model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason,source_window,atr,body,body_sma,normalized_atr,volatility_q33,volatility_q67,volatility_regime,trend_regime,crt_high,crt_low,sweep_above,sweep_below,volume,volume_zscore,direction_name,htf_regime_name,session_name,score_band,date_third,bos_present,retest_present,confirmation_present,stop_distance_points,target_distance_points,stop_distance_atr,stop_distance_pct,body_to_atr,time_since_setup_bars,time_since_bos_bars,time_since_retest_bars,relevant_crt_level,distance_from_crt_points,distance_from_crt_atr,outcome,split,range_atr,body_range_ratio,close_location,upper_wick_ratio,lower_wick_ratio,momentum_3_atr,accel_3,atr_ratio_6_72,body_atr_pct,minutes_from_rth_open,day_of_week,volatility_regime_code,trend_aligned,dist_pdh_atr,dist_pdl_atr,dist_onh_atr,dist_onl_atr,model_code,direction_code,win,large_winner,large_loser,mfe_r,mae_r,bars_to_mfe,bars_to_mae,good_entry,strong_entry,bad_entry,very_bad_entry,bars_in_trade
Control,Long,2021-01-05 08:30:00-06:00,,,,2021-01-05 08:30:00-06:00,2021-01-05 08:40:00-06:00,12690.75,12668.558257302144,12735.133485395714,12735.133485395714,2.0,90.0,-1,1,TARGET,2018-2023,,,,,,,,,,,,,,,Long,Bear,Premarket,90-94,Early third,False,False,False,22.19174269785617,44.38348539571416,,0.17486549414223881,,0.0,,,,,,Win,Research,3.1937554866677744,0.9206349206349206,0.9365079365079365,0.06349206349206349,0.015873015873015872,3.396533612805411,0.0,1.159183506753701,0.9859009872860288,-60,1,1.0,0,,,,,0,1,1,1,0,2.636115639789361,0.14645086887718672,2.0,1.0,True,True,False,False,2
Control,Long,2021-01-06 01:45:00-06:00,,,,2021-01-06 01:45:00-06:00,2021-01-06 01:50:00-06:00,12613.25,12586.367953820838,12667.014092358326,12586.367953820838,-1.0,75.0,-1,0,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bear,Overnight,75-79,Early third,False,False,False,26.88204617916199,53.7640923583258,,0.2131254528306502,,0.0,,,,,,Loss,Research,0.641692224060349,0.10869565217391304,0.45652173913043476,0.43478260869565216,0.45652173913043476,-1.1020366456688602,20.217391304347824,0.9841059369232483,0.05319980112223879,-465,2,1.0,0,,,,,0,1,0,0,1,0.20459752071490026,1.990175883317666,1.0,1.0,False,False,True,True,1
BOS,Long,2021-01-06 06:00:00-06:00,2021-01-06 06:00:00-06:00,,,2021-01-06 06:00:00-06:00,2021-01-06 06:55:00-06:00,12616.25,12583.623544955188,12681.502910089624,12583.623544955188,-1.0,90.0,-1,1,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bear,Premarket,90-94,Early third,True,False,False,32.626455044812246,65.25291008962449,,0.2586065989879104,,0.0,0.0,,,,,Loss,Research,2.5631040787343515,0.8430493273542601,0.852017937219731,0.14798206278026907,0.008968609865470852,3.7929342869163047,0.10909090909090909,0.9986920537035509,0.9532992400028412,-210,2,1.0,0,,,,,1,1,0,0,1,0.3601371949193206,1.0727490912490403,1.0,11.0,False,False,True,False,11
Control,Long,2021-01-06 06:00:00-06:00,,,,2021-01-06 06:00:00-06:00,2021-01-06 06:55:00-06:00,12616.25,12583.623544955188,12681.502910089624,12583.623544955188,-1.0,90.0,-1,1,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bear,Premarket,90-94,Early third,False,False,False,32.626455044812246,65.25291008962449,,0.2586065989879104,,0.0,,,,,,Loss,Research,2.5631040787343515,0.8430493273542601,0.852017937219731,0.14798206278026907,0.008968609865470852,3.7929342869163047,0.0,0.9986920537035509,0.9532992400028412,-210,2,1.0,0,,,,,0,1,0,0,1,0.3601371949193206,1.0727490912490403,1.0,11.0,False,False,True,False,11
Retest,Long,2021-01-06 06:00:00-06:00,2021-01-06 06:00:00-06:00,2021-01-06 06:35:00-06:00,,2021-01-06 06:35:00-06:00,2021-01-06 07:35:00-06:00,12604.25,12574.402280681428,12663.945438637144,12610.0,0.1926445347005898,90.0,-1,1,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bear,Premarket,90-94,Early third,True,True,False,29.847719318571762,59.695438637143525,,0.23680678595372007,,7.0,7.0,0.0,,,,Win,Research,1.193558530210176,0.17894736842105263,0.6526315789473685,0.3473684210526316,0.47368421052631576,-1.0302294681814153,0.4472049689440994,1.0183425403628301,0.1435471269266283,-175,2,1.0,0,,,,,2,1,1,0,0,1.2228740028819916,0.7705781388023508,9.0,4.0,False,False,True,False,12
Confirm,Long,2021-01-06 06:00:00-06:00,2021-01-06 06:00:00-06:00,2021-01-06 06:35:00-06:00,2021-01-06 06:40:00-06:00,2021-01-06 06:40:00-06:00,2021-01-06 07:40:00-06:00,12605.0,12576.078903489895,12662.842193020204,12604.5,-0.0172884178103465,90.0,-1,1,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bear,Premarket,90-94,Early third,True,True,True,28.92109651010469,57.84219302020392,,0.22944146378504315,,8.0,8.0,1.0,,,,Loss,Research,0.5834841010991965,0.06666666666666667,0.4222222222222222,0.5777777777777777,0.35555555555555557,-0.5834841010991965,0.15,1.0139002298670063,0.032317636195752536,-170,2,1.0,0,,,,,3,1,0,0,0,1.2361218734396662,0.8211998459913866,8.0,3.0,False,False,True,False,12
Control,Short,2021-01-07 06:00:00-06:00,,,,2021-01-07 06:00:00-06:00,2021-01-07 07:00:00-06:00,12704.5,12724.462461472218,12664.575077055562,12721.75,-0.8641218931846825,75.0,-1,1,TIME,2018-2023,,,,,,,,,,,,,,,Short,Bear,Premarket,75-79,Early third,False,False,False,19.96246147221791,39.92492294443764,,0.15712906035041058,,0.0,,,,,,Loss,Research,2.2542310256991716,0.725,0.21666666666666667,0.21666666666666667,0.058333333333333334,1.2961828397770236,23.41176470588235,0.94208177708848,0.8825910931174089,-210,3,1.0,1,,,,,0,0,0,0,1,0.7514103418997576,0.976833444469685,3.0,12.0,False,False,True,False,12
BOS,Long,2021-01-07 10:35:00-06:00,2021-01-07 10:35:00-06:00,,,2021-01-07 10:35:00-06:00,2021-01-07 10:55:00-06:00,12910.0,12884.601171499518,12960.797657000963,12884.601171499518,-1.0,75.0,1,3,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bull,MidAM,75-79,Early third,True,False,False,25.398828500481613,50.79765700096323,,0.19673763362108143,,0.0,0.0,,,,,Loss,Research,1.2549791420259604,0.6941176470588235,0.7647058823529411,0.23529411764705882,0.07058823529411765,1.0187477741151914,5.492204899777283,1.2145603564278984,0.5657717167412458,65,3,1.0,1,,,,,1,1,0,0,1,0.2756032625625731,1.0925700765873436,2.0,4.0,False,False,True,False,4
Control,Long,2021-01-07 10:35:00-06:00,,,,2021-01-07 10:35:00-06:00,2021-01-07 10:55:00-06:00,12910.0,12884.601171499518,12960.797657000963,12884.601171499518,-1.0,75.0,1,3,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bull,MidAM,75-79,Early third,False,False,False,25.398828500481613,50.79765700096323,,0.19673763362108143,,0.0,,,,,,Loss,Research,1.2549791420259604,0.6941176470588235,0.7647058823529411,0.23529411764705882,0.07058823529411765,1.0187477741151914,0.0,1.2145603564278984,0.5657717167412458,65,3,1.0,1,,,,,0,1,0,0,1,0.2756032625625731,1.0925700765873436,2.0,4.0,False,False,True,False,4
Retest,Long,2021-01-07 10:35:00-06:00,2021-01-07 10:35:00-06:00,2021-01-07 10:40:00-06:00,,2021-01-07 10:40:00-06:00,2021-01-07 10:55:00-06:00,12910.75,12885.799302106694,12960.65139578661,12885.799302106694,-1.0,75.0,1,3,STOP,2018-2023,,,,,,,,,,,,,,,Long,Bull,MidAM,75-79,Early third,True,True,False,24.950697893305914,49.90139578661001,,0.19325521672486815,,1.0,1.0,0.0,,,,Loss,Research,0.7665116255177647,0.0,0.5882352941176471,0.4117647058823529,0.5882352941176471,1.022015500690353,0.007377049180327868,1.2028978116333617,0.002592513672846083,70,3,1.0,1,,,,,2,1,0,0,1,0.2504939952672357,1.1422526184185948,1.0,3.0,False,False,True,False,3
BOS,Short,2021-01-07 11:10:00-06:00,2021-01-07 11:10:00-06:00,,,2021-01-07 11:10:00-06:00,2021-01-07 11:40:00-06:00,12869.5,12892.834055431527,12822.831889136944,12892.834055431527,-1.0,75.0,1,3,STOP,2018-2023,,,,,,,,,,,,,,,Short,Bull,MidAM,75-79,Early third,True,False,False,23.334055431527304,46.66811086305643,,0.18131283601948253,,0.0,0.0,,,,,Loss,Research,1.076752391958924,0.6865671641791045,0.7313432835820896,0.04477611940298507,0.26865671641791045,-1.2053198417450641,0.6,1.1216886732319764,0.47961502947652535,100,3,1.0,0,,,,,1,0,0,0,1,0.13928140393498992,1.0071116899914656,3.0,6.0,False,False,True,False,6
Control,Short,2021-01-07 11:10:00-06:00,,,,2021-01-07 11:10:00-06:00,2021-01-07 11:40:00-06:00,12869.5,12892.834055431527,12822.831889136944,12892.834055431527,-1.0,75.0,1,3,STOP,2018-2023,,,,,,,,,,,,,,,Short,Bull,MidAM,75-79,Early third,False,False,False,23.334055431527304,46.66811086305643,,0.18131283601948253,,0.0,,,,,,Loss,Research,1.076752391958924,0.6865671641791045,0.7313432835820896,0.04477611940298507,0.26865671641791045,-1.2053198417450641,0.0,1.1216886732319764,0.47961502947652535,100,3,1.0,0,,,,,0,0,0,0,1,0.13928140393498992,1.0071116899914656,3.0,6.0,False,False,True,False,6
BOS,Long,2021-01-07 12:30:00-06:00,2021-01-07 12:30:00-06:00,,,2021-01-07 12:30:00-06:00,2021-01-07 13:30:00-06:00,12906.0,12886.25134467326,12945.49731065348,12910.0,0.2025454358193137,75.0,1,4,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,Midday,75-79,Early third,True,False,False,19.748655326740845,39.49731065347987,,0.15301917965861495,,0.0,0.0,,,,,Win,Research,1.3671816917803679,0.875,0.8888888888888888,0.1111111111111111,0.013888888888888888,1.2152726149158826,2.607142857142857,0.940036586511253,0.7485972015057888,180,3,1.0,1,,,,,1,1,1,0,0,0.6329544869353338,0.4557272305934404,7.0,3.0,True,False,False,False,12
Control,Long,2021-01-07 12:30:00-06:00,,,,2021-01-07 12:30:00-06:00,2021-01-07 13:30:00-06:00,12906.0,12886.25134467326,12945.49731065348,12910.0,0.2025454358193137,75.0,1,4,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,Midday,75-79,Early third,False,False,False,19.748655326740845,39.49731065347987,,0.15301917965861495,,0.0,,,,,,Win,Research,1.3671816917803679,0.875,0.8888888888888888,0.1111111111111111,0.013888888888888888,1.2152726149158826,0.0,0.940036586511253,0.7485972015057888,180,3,1.0,1,,,,,0,1,1,0,0,0.6329544869353338,0.4557272305934404,7.0,3.0,True,False,False,False,12
Retest,Long,2021-01-07 12:30:00-06:00,2021-01-07 12:30:00-06:00,2021-01-07 12:45:00-06:00,,2021-01-07 12:45:00-06:00,2021-01-07 13:45:00-06:00,12899.5,12880.714633471996,12937.070733056013,12910.25,0.5722539394679108,75.0,1,4,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,Midday,75-79,Early third,True,True,False,18.78536652800358,37.570733056012614,,0.14562864086207666,,3.0,3.0,0.0,,,,Win,Research,1.2177031502631126,0.7377049180327869,0.16393442622950818,0.09836065573770492,0.16393442622950818,-0.5190210148662447,0.5342465753424658,0.9171665037162626,0.5851978123446268,195,3,1.0,1,,,,,2,1,1,0,0,1.0114255674317807,0.10646584920334534,4.0,1.0,True,False,False,False,12
Confirm,Long,2021-01-07 12:30:00-06:00,2021-01-07 12:30:00-06:00,2021-01-07 12:45:00-06:00,2021-01-07 12:50:00-06:00,2021-01-07 12:50:00-06:00,2021-01-07 13:50:00-06:00,12902.5,12884.06537393828,12939.36925212344,12906.25,0.2034215387632422,75.0,1,4,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,Midday,75-79,Early third,True,True,True,18.434626061720337,36.869252123440674,,0.14287638877520123,,4.0,4.0,1.0,,,,Win,Research,0.7526596934239962,0.32432432432432434,0.5405405405405406,0.4594594594594595,0.21621621621621623,-0.6102646162897266,0.20930232558139533,0.9098644403561748,0.16272462532850346,200,3,1.0,1,,,,,3,1,1,0,0,0.8679318987231394,0.17629866692813767,3.0,7.0,True,False,False,False,12
BOS,Long,2021-01-07 14:00:00-06:00,2021-01-07 14:00:00-06:00,,,2021-01-07 14:00:00-06:00,2021-01-07 15:00:00-06:00,12927.25,12910.483278031705,12960.783443936589,12919.25,-0.4771356031982698,75.0,1,5,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,PM,75-79,Early third,True,False,False,16.766721968295315,33.53344393658881,,0.1297006089330315,,0.0,0.0,,,,,Loss,Research,1.6997955863938365,0.6973684210526315,0.881578947368421,0.11842105263157894,0.18421052631578946,1.5208697351944853,7.815789473684211,0.8153274849257136,0.7433411463882378,270,3,1.0,1,,,,,1,1,0,0,0,1.6699746111938887,0.894629255996726,10.0,2.0,False,False,True,False,12
Control,Long,2021-01-07 14:00:00-06:00,,,,2021-01-07 14:00:00-06:00,2021-01-07 15:00:00-06:00,12927.25,12910.483278031705,12960.783443936589,12919.25,-0.4771356031982698,75.0,1,5,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,PM,75-79,Early third,False,False,False,16.766721968295315,33.53344393658881,,0.1297006089330315,,0.0,,,,,,Loss,Research,1.6997955863938365,0.6973684210526315,0.881578947368421,0.11842105263157894,0.18421052631578946,1.5208697351944853,0.0,0.8153274849257136,0.7433411463882378,270,3,1.0,1,,,,,0,1,0,0,0,1.6699746111938887,0.894629255996726,10.0,2.0,False,False,True,False,12
Retest,Long,2021-01-07 14:00:00-06:00,2021-01-07 14:00:00-06:00,2021-01-07 14:10:00-06:00,,2021-01-07 14:10:00-06:00,2021-01-07 14:50:00-06:00,12917.75,12900.620147894684,12952.00970421063,12952.00970421063,2.0,75.0,1,5,TARGET,2018-2023,,,,,,,,,,,,,,,Long,Bull,PM,75-79,Early third,True,True,False,17.129852105315877,34.259704210629934,,0.1326070879628099,,2.0,2.0,0.0,,,,Win,Research,1.5543041373800475,0.5211267605633803,0.30985915492957744,0.16901408450704225,0.30985915492957744,0.32837411353099594,1.027027027027027,0.8202268455861996,0.5262447617018254,280,3,1.0,1,,,,,2,1,1,1,0,2.189160756873242,0.029188810091643223,8.0,1.0,True,True,False,False,8
Confirm,Long,2021-01-07 14:00:00-06:00,2021-01-07 14:00:00-06:00,2021-01-07 14:10:00-06:00,2021-01-07 14:15:00-06:00,2021-01-07 14:15:00-06:00,2021-01-07 15:30:00-06:00,12924.25,12907.379423045064,12957.991153909872,12930.25,0.3556487733660243,75.0,1,5,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,PM,75-79,Early third,True,True,True,16.87057695493604,33.74115390987208,,0.13053428210484974,,3.0,3.0,1.0,,,,Win,Research,0.8002097400735547,0.6388888888888888,0.7777777777777778,0.2222222222222222,0.1388888888888889,-0.2667365800245182,0.5693430656934307,0.8230975588383372,0.32395766744797216,285,3,1.0,1,,,,,3,1,1,0,0,1.8375186623910886,0.4890170633782736,7.0,9.0,True,False,False,False,12
Control,Long,2021-01-07 21:05:00-06:00,,,,2021-01-07 21:05:00-06:00,2021-01-07 22:05:00-06:00,12952.75,12940.75381035201,12976.742379295982,12957.5,0.3959590619505994,75.0,1,0,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,Overnight,75-79,Early third,False,False,False,11.996189647990832,23.992379295981664,,0.09261500181807594,,0.0,,,,,,Win,Research,1.1566172599083298,0.1891891891891892,0.7837837837837838,0.02702702702702703,0.7837837837837838,-0.2188194816042786,5.34375,0.746653686582733,0.14709851551956815,695,3,1.0,1,,,,,0,1,1,0,0,1.0003176301910004,0.2709193581767293,3.0,1.0,True,True,False,False,12
BOS,Long,2021-01-07 23:10:00-06:00,2021-01-07 23:10:00-06:00,,,2021-01-07 23:10:00-06:00,2021-01-08 00:10:00-06:00,12965.0,12955.51723174097,12983.965536518055,12965.25,0.0263636095674883,90.0,1,0,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,Overnight,90-94,Early third,True,False,False,9.482768259029399,18.96553651805516,,0.07314129008121403,,0.0,0.0,,,,,Win,Research,1.2654532592394385,0.59375,0.6875,0.3125,0.09375,1.7795436458054603,0.8258426966292135,0.6431342943053968,0.48806733432772215,820,3,1.0,1,,,,,1,1,1,0,0,0.553635800917206,0.711817458322122,10.0,7.0,False,False,True,False,12
Control,Long,2021-01-07 23:10:00-06:00,,,,2021-01-07 23:10:00-06:00,2021-01-08 00:10:00-06:00,12965.0,12955.51723174097,12983.965536518055,12965.25,0.0263636095674883,90.0,1,0,TIME,2018-2023,,,,,,,,,,,,,,,Long,Bull,Overnight,90-94,Early third,False,False,False,9.482768259029399,18.96553651805516,,0.07314129008121403,,0.0,,,,,,Win,Research,1.2654532592394385,0.59375,0.6875,0.3125,0.09375,1.7795436458054603,0.0,0.6431342943053968,0.48806733432772215,820,3,1.0,1,,,,,0,1,1,0,0,0.553635800917206,0.711817458322122,10.0,7.0,False,False,True,False,12
BOS,Short,2021-01-08 03:05:00-06:00,2021-01-08 03:05:00-06:00,,,2021-01-08 03:05:00-06:00,2021-01-08 04:00:00-06:00,12963.0,12976.590204779406,12935.819590441188,12976.590204779406,-1.0,75.0,1,0,STOP,2018-2023,,,,,,,,,,,,,,,Short,Bull,Overnight,75-79,Early third,True,False,False,13.590204779406122,27.180409558812244,,0.10483842304563852,,0.0,0.0,,,,,Loss,Research,0.7450218863032257,0.7777777777777778,1.0,0.2222222222222222,0.0,-0.5794614671247311,0.14723926380368096,1.0597671050356716,0.3695930108672491,-385,4,1.0,0,,,,,1,0,0,0,1,1.3796701598207526,1.2325053427732056,6.0,11.0,False,False,True,False,11
Control,Short,2021-01-08 03:05:00-06:00,,,,2021-01-08 03:05:00-06:00,2021-01-08 04:00:00-06:00,12963.0,12976.590204779406,12935.819590441188,12976.590204779406,-1.0,75.0,1,0,STOP,2018-2023,,,,,,,,,,,,,,,Short,Bull,Overnight,75-79,Early third,False,False,False,13.590204779406122,27.180409558812244,,0.10483842304563852,,0.0,,,,,,Loss,Research,0.7450218863032257,0.7777777777777778,1.0,0.2222222222222222,0.0,-0.5794614671247311,0.0,1.0597671050356716,0.3695930108672491,-385,4,1.0,0,,,,,0,0,0,0,1,1.3796701598207526,1.2325053427732056,6.0,11.0,False,False,True,False,11
Control,Short,2021-01-08 04:35:00-06:00,,,,2021-01-08 04:35:00-06:00,2021-01-08 05:35:00-06:00,12976.0,12987.61282213046,12952.77435573908,12985.5,-0.8180612682495177,75.0,1,1,TIME,2018-2023,,,,,,,,,,,,,,,Short,Bull,Premarket,75-79,Early third,False,False,False,11.6128221304607,23.22564426091958,,0.08949462184387098,,0.0,,,,,,Loss,Research,1.1948000102065326,0.05405405405405406,0.7027027027027027,0.7027027027027027,0.24324324324324326,0.19375135300646473,19.5,0.9665340482683387,0.05057177356346331,-295,4,1.0,0,,,,,0,0,0,0,1,0.9472288369204198,0.9902846931440752,5.0,10.0,True,False,False,False,12
Control,Short,2021-01-08 10:05:00-06:00,,,,2021-01-08 10:05:00-06:00,2021-01-08 11:05:00-06:00,13036.75,13073.817944707213,12962.614110585577,13033.5,0.0876768330607661,85.0,1,2,TIME,2018-2023,,,,,,,,,,,,,,,Short,Bull,Open,85-89,Early third,False,False,False,37.06794470721252,74.13588941442322,,0.2843342451700962,,0.0,,,,,,Win,Research,0.8700239588337565,0.19767441860465115,0.8255813953488372,0.627906976744186,0.1744186046511628,0.05058278830428817,12.15,2.105792999817921,0.1171958235670147,35,4,1.0,0,,,,,0,0,1,0,0,1.119565714468251,0.033721858869525626,9.0,1.0,True,True,False,False,12
