event_id,direction,opportunity_time,take_time,entry_time,marker_time,causal_known_time,delta_bars,signal_entry_delta,pass_fail
P60-000089,LONG,7427,7427,7428,7428,7428,0,1,PASS
P60-000090,LONG,7532,7532,7533,7533,7533,0,1,PASS
P60-000091,SHORT,7553,7553,7554,7554,7554,0,1,PASS
P60-000092,SHORT,7621,7621,7622,7622,7622,0,1,PASS
P60-000093,SHORT,7660,7660,7661,7661,7661,0,1,PASS
P60-000094,SHORT,7854,7854,7855,7855,7855,0,1,PASS
P60-000095,SHORT,7925,7925,7926,7926,7926,0,1,PASS
P60-000096,SHORT,7979,7979,7980,7980,7980,0,1,PASS
P60-000097,LONG,8026,8026,8027,8027,8027,0,1,PASS
P60-000098,LONG,8081,8081,8082,8082,8082,0,1,PASS
P60-000099,LONG,8122,8122,8123,8123,8123,0,1,PASS
P60-000100,LONG,8197,8197,8198,8198,8198,0,1,PASS
P60-000101,SHORT,8205,8205,8206,8206,8206,0,1,PASS
P60-000102,SHORT,8270,8270,8271,8271,8271,0,1,PASS
P60-000103,LONG,8282,8282,8283,8283,8283,0,1,PASS
P60-000104,SHORT,8369,8369,8370,8370,8370,0,1,PASS
P60-000105,LONG,8377,8377,8378,8378,8378,0,1,PASS
P60-000106,LONG,8449,8449,8450,8450,8450,0,1,PASS
P60-000107,SHORT,8758,8758,8759,8759,8759,0,1,PASS
P60-000108,LONG,8792,8792,8793,8793,8793,0,1,PASS
P60-000109,LONG,8836,8836,8837,8837,8837,0,1,PASS
P60-000110,SHORT,8979,8979,8980,8980,8980,0,1,PASS
P60-000111,SHORT,9016,9016,9017,9017,9017,0,1,PASS
P60-000112,SHORT,9139,9139,9140,9140,9140,0,1,PASS
P60-000113,LONG,9262,9262,9263,9263,9263,0,1,PASS
P60-000114,LONG,9374,9374,9375,9375,9375,0,1,PASS
P60-000115,SHORT,9386,9386,9387,9387,9387,0,1,PASS
P60-000116,LONG,9432,9432,9433,9433,9433,0,1,PASS
P60-000117,LONG,9550,9550,9551,9551,9551,0,1,PASS
P60-000118,LONG,9652,9652,9653,9653,9653,0,1,PASS
P60-000119,SHORT,9972,9972,9973,9973,9973,0,1,PASS
P60-000120,LONG,10231,10231,10232,10232,10232,0,1,PASS
P60-000121,LONG,10307,10307,10308,10308,10308,0,1,PASS
P60-000122,LONG,10424,10424,10425,10425,10425,0,1,PASS
P60-000123,LONG,10517,10517,10518,10518,10518,0,1,PASS
P60-000124,LONG,10588,10588,10589,10589,10589,0,1,PASS
P60-000125,SHORT,10746,10746,10747,10747,10747,0,1,PASS
P60-000126,SHORT,10793,10793,10794,10794,10794,0,1,PASS
P60-000127,LONG,11337,11337,11338,11338,11338,0,1,PASS
P60-000128,SHORT,11531,11531,11532,11532,11532,0,1,PASS
P60-000129,LONG,11547,11547,11548,11548,11548,0,1,PASS
P60-000130,LONG,11621,11621,11622,11622,11622,0,1,PASS
P60-000131,SHORT,11766,11766,11767,11767,11767,0,1,PASS
P60-000132,SHORT,11807,11807,11808,11808,11808,0,1,PASS
P60-000133,SHORT,11878,11878,11879,11879,11879,0,1,PASS
P60-000134,SHORT,11970,11970,11971,11971,11971,0,1,PASS
P60-000135,SHORT,12022,12022,12023,12023,12023,0,1,PASS
P60-000136,LONG,12190,12190,12191,12191,12191,0,1,PASS
P60-000137,LONG,12215,12215,12216,12216,12216,0,1,PASS
P60-000138,LONG,12298,12298,12299,12299,12299,0,1,PASS
P60-000139,LONG,12361,12361,12362,12362,12362,0,1,PASS
P60-000140,SHORT,12435,12435,12436,12436,12436,0,1,PASS
P60-000141,SHORT,12501,12501,12502,12502,12502,0,1,PASS
P60-000142,LONG,12629,12629,12630,12630,12630,0,1,PASS
P60-000143,LONG,12693,12693,12694,12694,12694,0,1,PASS
P60-000144,LONG,12751,12751,12752,12752,12752,0,1,PASS
P60-000145,LONG,12858,12858,12859,12859,12859,0,1,PASS
P60-000146,LONG,12908,12908,12909,12909,12909,0,1,PASS
P60-000147,LONG,12970,12970,12971,12971,12971,0,1,PASS
P60-000148,LONG,13044,13044,13045,13045,13045,0,1,PASS
P60-000149,SHORT,13051,13051,13052,13052,13052,0,1,PASS
P60-000150,LONG,13061,13061,13062,13062,13062,0,1,PASS
P60-000151,SHORT,13233,13233,13234,13234,13234,0,1,PASS
P60-000152,LONG,13306,13306,13307,13307,13307,0,1,PASS
P60-000153,LONG,13396,13396,13397,13397,13397,0,1,PASS
P60-000154,LONG,13454,13454,13455,13455,13455,0,1,PASS
P60-000155,LONG,13557,13557,13558,13558,13558,0,1,PASS
P60-000156,SHORT,13703,13703,13704,13704,13704,0,1,PASS
P60-000157,SHORT,13752,13752,13753,13753,13753,0,1,PASS
P60-000158,SHORT,13842,13842,13843,13843,13843,0,1,PASS
P60-000159,SHORT,13938,13938,13939,13939,13939,0,1,PASS
P60-000160,LONG,14190,14190,14191,14191,14191,0,1,PASS
P60-000161,SHORT,14425,14425,14426,14426,14426,0,1,PASS
P60-000162,SHORT,14479,14479,14480,14480,14480,0,1,PASS
P60-000163,LONG,14498,14498,14499,14499,14499,0,1,PASS
P60-000164,LONG,14519,14519,14520,14520,14520,0,1,PASS
P60-000165,LONG,14576,14576,14577,14577,14577,0,1,PASS
P60-000166,LONG,14651,14651,14652,14652,14652,0,1,PASS
P60-000167,LONG,14704,14704,14705,14705,14705,0,1,PASS
P60-000168,LONG,14783,14783,14784,14784,14784,0,1,PASS
P60-000169,SHORT,14913,14913,14914,14914,14914,0,1,PASS
P60-000170,LONG,15011,15011,15012,15012,15012,0,1,PASS
P60-000171,SHORT,15103,15103,15104,15104,15104,0,1,PASS
P60-000172,SHORT,15454,15454,15455,15455,15455,0,1,PASS
P60-000173,SHORT,15510,15510,15511,15511,15511,0,1,PASS
P60-000174,SHORT,15594,15594,15595,15595,15595,0,1,PASS
P60-000175,SHORT,15670,15670,15671,15671,15671,0,1,PASS
P60-000176,LONG,15746,15746,15747,15747,15747,0,1,PASS
P60-000177,LONG,15779,15779,15780,15780,15780,0,1,PASS
P60-000178,SHORT,15789,15789,15790,15790,15790,0,1,PASS
P60-000179,LONG,16016,16016,16017,16017,16017,0,1,PASS
P60-000180,LONG,16116,16116,16117,16117,16117,0,1,PASS
P60-000181,LONG,16162,16162,16163,16163,16163,0,1,PASS
P60-000182,SHORT,16264,16264,16265,16265,16265,0,1,PASS
P60-000183,LONG,16347,16347,16348,16348,16348,0,1,PASS
P60-000184,SHORT,16441,16441,16442,16442,16442,0,1,PASS
P60-000185,SHORT,16479,16479,16480,16480,16480,0,1,PASS
P60-000186,LONG,16637,16637,16638,16638,16638,0,1,PASS
P60-000187,SHORT,16733,16733,16734,16734,16734,0,1,PASS
P60-000188,LONG,16804,16804,16805,16805,16805,0,1,PASS
P60-000189,LONG,17164,17164,17165,17165,17165,0,1,PASS
P60-000190,SHORT,17239,17239,17240,17240,17240,0,1,PASS
P60-000191,SHORT,17277,17277,17278,17278,17278,0,1,PASS
P60-000192,SHORT,17413,17413,17414,17414,17414,0,1,PASS
P60-000193,SHORT,17459,17459,17460,17460,17460,0,1,PASS
P60-000194,SHORT,17573,17573,17574,17574,17574,0,1,PASS
P60-000195,SHORT,17675,17675,17676,17676,17676,0,1,PASS
P60-000196,LONG,17919,17919,17920,17920,17920,0,1,PASS
P60-000197,SHORT,18002,18002,18003,18003,18003,0,1,PASS
P60-000198,LONG,18121,18121,18122,18122,18122,0,1,PASS
P60-000199,SHORT,18228,18228,18229,18229,18229,0,1,PASS
P60-000200,SHORT,18339,18339,18340,18340,18340,0,1,PASS
P60-000201,SHORT,18665,18665,18666,18666,18666,0,1,PASS
P60-000202,LONG,18805,18805,18806,18806,18806,0,1,PASS
P60-000203,LONG,18875,18875,18876,18876,18876,0,1,PASS
P60-000204,SHORT,19028,19028,19029,19029,19029,0,1,PASS
P60-000205,SHORT,19056,19056,19057,19057,19057,0,1,PASS
P60-000206,LONG,19197,19197,19198,19198,19198,0,1,PASS
P60-000207,SHORT,19208,19208,19209,19209,19209,0,1,PASS
P60-000208,SHORT,19270,19270,19271,19271,19271,0,1,PASS
P60-000209,LONG,19332,19332,19333,19333,19333,0,1,PASS
P60-000210,LONG,19382,19382,19383,19383,19383,0,1,PASS
P60-000211,SHORT,19490,19490,19491,19491,19491,0,1,PASS
P60-000212,LONG,19497,19497,19498,19498,19498,0,1,PASS
P60-000213,LONG,19558,19558,19559,19559,19559,0,1,PASS
P60-000214,LONG,19693,19693,19694,19694,19694,0,1,PASS
P60-000215,LONG,19810,19810,19811,19811,19811,0,1,PASS
P60-000216,SHORT,19954,19954,19955,19955,19955,0,1,PASS
P60-000217,LONG,19961,19961,19962,19962,19962,0,1,PASS
P60-000218,LONG,20001,20001,20002,20002,20002,0,1,PASS
P60-000219,LONG,20030,20030,20031,20031,20031,0,1,PASS
P60-000220,SHORT,20122,20122,20123,20123,20123,0,1,PASS
P60-000221,SHORT,20278,20278,20279,20279,20279,0,1,PASS
P60-000222,SHORT,20350,20350,20351,20351,20351,0,1,PASS
P60-000223,LONG,20488,20488,20489,20489,20489,0,1,PASS
P60-000224,SHORT,20502,20502,20503,20503,20503,0,1,PASS
P60-000225,LONG,20713,20713,20714,20714,20714,0,1,PASS
P60-000226,SHORT,20883,20883,20884,20884,20884,0,1,PASS
P60-000227,SHORT,20965,20965,20966,20966,20966,0,1,PASS
P60-000228,SHORT,20988,20988,20989,20989,20989,0,1,PASS
P60-000229,SHORT,21012,21012,21013,21013,21013,0,1,PASS
P60-000230,SHORT,21165,21165,21166,21166,21166,0,1,PASS
P60-000231,LONG,21460,21460,21461,21461,21461,0,1,PASS
P60-000232,SHORT,21712,21712,21713,21713,21713,0,1,PASS
P60-000233,SHORT,21803,21803,21804,21804,21804,0,1,PASS
P60-000234,LONG,21846,21846,21847,21847,21847,0,1,PASS
P60-000235,LONG,22062,22062,22063,22063,22063,0,1,PASS
P60-000236,LONG,22090,22090,22091,22091,22091,0,1,PASS
P60-000237,SHORT,22101,22101,22102,22102,22102,0,1,PASS
P60-000238,LONG,22108,22108,22109,22109,22109,0,1,PASS
P60-000239,LONG,22140,22140,22141,22141,22141,0,1,PASS
P60-000240,LONG,22234,22234,22235,22235,22235,0,1,PASS
P60-000241,SHORT,22241,22241,22242,22242,22242,0,1,PASS
P60-000242,LONG,22306,22306,22307,22307,22307,0,1,PASS
P60-000243,LONG,22399,22399,22400,22400,22400,0,1,PASS
P60-000244,LONG,22445,22445,22446,22446,22446,0,1,PASS
P60-000245,SHORT,22459,22459,22460,22460,22460,0,1,PASS
P60-000246,LONG,22522,22522,22523,22523,22523,0,1,PASS
P60-000247,SHORT,22646,22646,22647,22647,22647,0,1,PASS
P60-000248,SHORT,22683,22683,22684,22684,22684,0,1,PASS
P60-000249,SHORT,22730,22730,22731,22731,22731,0,1,PASS
P60-000250,LONG,22907,22907,22908,22908,22908,0,1,PASS
P60-000251,LONG,22948,22948,22949,22949,22949,0,1,PASS
P60-000252,LONG,22989,22989,22990,22990,22990,0,1,PASS
P60-000253,LONG,23008,23008,23009,23009,23009,0,1,PASS
P60-000254,LONG,23056,23056,23057,23057,23057,0,1,PASS
P60-000255,SHORT,23070,23070,23071,23071,23071,0,1,PASS
P60-000256,SHORT,23182,23182,23183,23183,23183,0,1,PASS
P60-000257,LONG,23296,23296,23297,23297,23297,0,1,PASS
P60-000258,SHORT,23327,23327,23328,23328,23328,0,1,PASS
P60-000259,LONG,23348,23348,23349,23349,23349,0,1,PASS
P60-000260,LONG,23400,23400,23401,23401,23401,0,1,PASS
P60-000261,SHORT,23496,23496,23497,23497,23497,0,1,PASS
P60-000262,SHORT,23568,23568,23569,23569,23569,0,1,PASS
P60-000263,LONG,23584,23584,23585,23585,23585,0,1,PASS
P60-000264,SHORT,23627,23627,23628,23628,23628,0,1,PASS
P60-000265,LONG,23641,23641,23642,23642,23642,0,1,PASS
P60-000266,SHORT,23651,23651,23652,23652,23652,0,1,PASS
P60-000267,SHORT,23746,23746,23747,23747,23747,0,1,PASS
P60-000268,LONG,23844,23844,23845,23845,23845,0,1,PASS
P60-000269,LONG,23919,23919,23920,23920,23920,0,1,PASS
P60-000270,LONG,23969,23969,23970,23970,23970,0,1,PASS
P60-000271,SHORT,24192,24192,24193,24193,24193,0,1,PASS
P60-000272,LONG,24361,24361,24362,24362,24362,0,1,PASS
P60-000273,SHORT,24369,24369,24370,24370,24370,0,1,PASS
P60-000274,SHORT,24508,24508,24509,24509,24509,0,1,PASS
P60-000275,LONG,24619,24619,24620,24620,24620,0,1,PASS
P60-000276,LONG,24777,24777,24778,24778,24778,0,1,PASS
P60-000277,SHORT,24961,24961,24962,24962,24962,0,1,PASS
P60-000278,LONG,25321,25321,25322,25322,25322,0,1,PASS
P60-000279,LONG,25372,25372,25373,25373,25373,0,1,PASS
P60-000280,LONG,25703,25703,25704,25704,25704,0,1,PASS
P60-000281,LONG,25752,25752,25753,25753,25753,0,1,PASS
P60-000282,SHORT,25843,25843,25844,25844,25844,0,1,PASS
P60-000283,LONG,25961,25961,25962,25962,25962,0,1,PASS
P60-000284,LONG,26025,26025,26026,26026,26026,0,1,PASS
P60-000285,LONG,26142,26142,26143,26143,26143,0,1,PASS
P60-000286,SHORT,26162,26162,26163,26163,26163,0,1,PASS
P60-000287,LONG,26315,26315,26316,26316,26316,0,1,PASS
P60-000288,LONG,26391,26391,26392,26392,26392,0,1,PASS
P60-000289,LONG,26708,26708,26709,26709,26709,0,1,PASS
P60-000290,LONG,26745,26745,26746,26746,26746,0,1,PASS
P60-000291,SHORT,26761,26761,26762,26762,26762,0,1,PASS
P60-000292,SHORT,26843,26843,26844,26844,26844,0,1,PASS
P60-000293,LONG,26873,26873,26874,26874,26874,0,1,PASS
P60-000294,LONG,27310,27310,27311,27311,27311,0,1,PASS
P60-000295,SHORT,27417,27417,27418,27418,27418,0,1,PASS
P60-000296,SHORT,27520,27520,27521,27521,27521,0,1,PASS
P60-000297,LONG,27528,27528,27529,27529,27529,0,1,PASS
P60-000298,LONG,27585,27585,27586,27586,27586,0,1,PASS
P60-000299,SHORT,27606,27606,27607,27607,27607,0,1,PASS
P60-000300,LONG,27613,27613,27614,27614,27614,0,1,PASS
P60-000301,SHORT,27633,27633,27634,27634,27634,0,1,PASS
P60-000302,LONG,27648,27648,27649,27649,27649,0,1,PASS
P60-000303,LONG,27676,27676,27677,27677,27677,0,1,PASS
P60-000304,LONG,28114,28114,28115,28115,28115,0,1,PASS
P60-000305,SHORT,28123,28123,28124,28124,28124,0,1,PASS
P60-000306,LONG,28216,28216,28217,28217,28217,0,1,PASS
P60-000307,SHORT,28224,28224,28225,28225,28225,0,1,PASS
P60-000308,LONG,28305,28305,28306,28306,28306,0,1,PASS
P60-000309,LONG,28385,28385,28386,28386,28386,0,1,PASS
P60-000310,SHORT,28449,28449,28450,28450,28450,0,1,PASS
P60-000311,LONG,28459,28459,28460,28460,28460,0,1,PASS
P60-000312,LONG,28542,28542,28543,28543,28543,0,1,PASS
P60-000313,SHORT,28557,28557,28558,28558,28558,0,1,PASS
P60-000314,LONG,28671,28671,28672,28672,28672,0,1,PASS
P60-000315,LONG,28702,28702,28703,28703,28703,0,1,PASS
P60-000316,SHORT,28834,28834,28835,28835,28835,0,1,PASS
P60-000317,LONG,28977,28977,28978,28978,28978,0,1,PASS
P60-000318,SHORT,28993,28993,28994,28994,28994,0,1,PASS
P60-000319,SHORT,29060,29060,29061,29061,29061,0,1,PASS
P60-000320,LONG,29208,29208,29209,29209,29209,0,1,PASS
P60-000321,LONG,29249,29249,29250,29250,29250,0,1,PASS
P60-000322,LONG,29314,29314,29315,29315,29315,0,1,PASS
P60-000323,SHORT,29342,29342,29343,29343,29343,0,1,PASS
P60-000324,LONG,29359,29359,29360,29360,29360,0,1,PASS
P60-000325,LONG,29390,29390,29391,29391,29391,0,1,PASS
P60-000326,SHORT,29445,29445,29446,29446,29446,0,1,PASS
P60-000327,LONG,29487,29487,29488,29488,29488,0,1,PASS
P60-000328,LONG,29569,29569,29570,29570,29570,0,1,PASS
P60-000329,LONG,29678,29678,29679,29679,29679,0,1,PASS
P60-000330,LONG,29702,29702,29703,29703,29703,0,1,PASS
P60-000331,LONG,29804,29804,29805,29805,29805,0,1,PASS
P60-000332,LONG,29887,29887,29888,29888,29888,0,1,PASS
P60-000333,LONG,29942,29942,29943,29943,29943,0,1,PASS
P60-000334,LONG,30072,30072,30073,30073,30073,0,1,PASS
P60-000335,SHORT,30247,30247,30248,30248,30248,0,1,PASS
P60-000336,SHORT,30280,30280,30281,30281,30281,0,1,PASS
P60-000337,SHORT,30377,30377,30378,30378,30378,0,1,PASS
P60-000338,SHORT,30557,30557,30558,30558,30558,0,1,PASS
P60-000339,SHORT,30603,30603,30604,30604,30604,0,1,PASS
P60-000340,SHORT,30670,30670,30671,30671,30671,0,1,PASS
P60-000341,LONG,30684,30684,30685,30685,30685,0,1,PASS
P60-000342,LONG,30733,30733,30734,30734,30734,0,1,PASS
P60-000343,SHORT,30762,30762,30763,30763,30763,0,1,PASS
P60-000344,SHORT,30842,30842,30843,30843,30843,0,1,PASS
P60-000345,SHORT,30907,30907,30908,30908,30908,0,1,PASS
P60-000346,SHORT,30946,30946,30947,30947,30947,0,1,PASS
P60-000347,SHORT,31001,31001,31002,31002,31002,0,1,PASS
P60-000348,LONG,31132,31132,31133,31133,31133,0,1,PASS
P60-000349,LONG,31204,31204,31205,31205,31205,0,1,PASS
P60-000350,SHORT,31256,31256,31257,31257,31257,0,1,PASS
P60-000351,LONG,31359,31359,31360,31360,31360,0,1,PASS
P60-000352,LONG,31557,31557,31558,31558,31558,0,1,PASS
P60-000353,LONG,31619,31619,31620,31620,31620,0,1,PASS
P60-000354,LONG,31701,31701,31702,31702,31702,0,1,PASS
P60-000355,SHORT,31715,31715,31716,31716,31716,0,1,PASS
P60-000356,SHORT,31799,31799,31800,31800,31800,0,1,PASS
P60-000357,SHORT,31905,31905,31906,31906,31906,0,1,PASS
P60-000358,LONG,31921,31921,31922,31922,31922,0,1,PASS
P60-000359,LONG,32121,32121,32122,32122,32122,0,1,PASS
P60-000360,LONG,32162,32162,32163,32163,32163,0,1,PASS
P60-000361,LONG,32220,32220,32221,32221,32221,0,1,PASS
P60-000362,LONG,32281,32281,32282,32282,32282,0,1,PASS
P60-000363,LONG,32451,32451,32452,32452,32452,0,1,PASS
P60-000364,LONG,32495,32495,32496,32496,32496,0,1,PASS
P60-000365,SHORT,32523,32523,32524,32524,32524,0,1,PASS
P60-000366,LONG,32539,32539,32540,32540,32540,0,1,PASS
P60-000367,LONG,32636,32636,32637,32637,32637,0,1,PASS
P60-000368,LONG,32782,32782,32783,32783,32783,0,1,PASS
P60-000369,LONG,32863,32863,32864,32864,32864,0,1,PASS
P60-000370,SHORT,32955,32955,32956,32956,32956,0,1,PASS
P60-000371,LONG,32973,32973,32974,32974,32974,0,1,PASS
P60-000372,LONG,33034,33034,33035,33035,33035,0,1,PASS
P60-000373,LONG,33260,33260,33261,33261,33261,0,1,PASS
P60-000374,LONG,33283,33283,33284,33284,33284,0,1,PASS
P60-000375,LONG,33478,33478,33479,33479,33479,0,1,PASS
P60-000376,SHORT,33616,33616,33617,33617,33617,0,1,PASS
P60-000377,SHORT,33757,33757,33758,33758,33758,0,1,PASS
P60-000378,LONG,33784,33784,33785,33785,33785,0,1,PASS
P60-000379,SHORT,33799,33799,33800,33800,33800,0,1,PASS
P60-000380,LONG,33812,33812,33813,33813,33813,0,1,PASS
P60-000381,LONG,33901,33901,33902,33902,33902,0,1,PASS
P60-000382,LONG,34023,34023,34024,34024,34024,0,1,PASS
P60-000383,LONG,34093,34093,34094,34094,34094,0,1,PASS
P60-000384,LONG,34187,34187,34188,34188,34188,0,1,PASS
P60-000385,SHORT,34199,34199,34200,34200,34200,0,1,PASS
P60-000386,LONG,34219,34219,34220,34220,34220,0,1,PASS
P60-000387,LONG,34357,34357,34358,34358,34358,0,1,PASS
P60-000388,LONG,34439,34439,34440,34440,34440,0,1,PASS
P60-000389,LONG,34469,34469,34470,34470,34470,0,1,PASS
P60-000390,LONG,34604,34604,34605,34605,34605,0,1,PASS
P60-000391,LONG,34626,34626,34627,34627,34627,0,1,PASS
P60-000392,LONG,34737,34737,34738,34738,34738,0,1,PASS
P60-000393,LONG,34834,34834,34835,34835,34835,0,1,PASS
P60-000394,SHORT,34850,34850,34851,34851,34851,0,1,PASS
P60-000395,SHORT,34883,34883,34884,34884,34884,0,1,PASS
P60-000396,LONG,34909,34909,34910,34910,34910,0,1,PASS
P60-000397,LONG,34946,34946,34947,34947,34947,0,1,PASS
P60-000398,LONG,34997,34997,34998,34998,34998,0,1,PASS
P60-000399,SHORT,35068,35068,35069,35069,35069,0,1,PASS
P60-000400,LONG,35164,35164,35165,35165,35165,0,1,PASS
P60-000401,LONG,35254,35254,35255,35255,35255,0,1,PASS
P60-000402,SHORT,35377,35377,35378,35378,35378,0,1,PASS
P60-000403,SHORT,35468,35468,35469,35469,35469,0,1,PASS
P60-000404,LONG,35614,35614,35615,35615,35615,0,1,PASS
P60-000405,LONG,35810,35810,35811,35811,35811,0,1,PASS
P60-000406,SHORT,35823,35823,35824,35824,35824,0,1,PASS
P60-000407,SHORT,35909,35909,35910,35910,35910,0,1,PASS
P60-000408,LONG,35947,35947,35948,35948,35948,0,1,PASS
P60-000409,LONG,36007,36007,36008,36008,36008,0,1,PASS
P60-000410,SHORT,36041,36041,36042,36042,36042,0,1,PASS
P60-000411,LONG,36071,36071,36072,36072,36072,0,1,PASS
P60-000412,LONG,36131,36131,36132,36132,36132,0,1,PASS
P60-000413,SHORT,36202,36202,36203,36203,36203,0,1,PASS
P60-000414,SHORT,36247,36247,36248,36248,36248,0,1,PASS
P60-000415,LONG,36435,36435,36436,36436,36436,0,1,PASS
P60-000416,SHORT,36596,36596,36597,36597,36597,0,1,PASS
P60-000417,SHORT,36642,36642,36643,36643,36643,0,1,PASS
