trade_id,signal_time,entry_time,entry_price,direction,initial_atr,stop_price,target_price,t5_time_c,mfe_at_t5_r_c,t5_result,exit_time,exit_bar,exit_price,exit_reason,gross_r_c,net_r,hold_minutes,entry_i,gross_r_i,mfe_at_t5_r_i,t5_time_i,mfe
P60-001307,,2018-01-29 11:34:00-06:00,7007.5,SHORT,2.625,7010.125,7000.9375,112368.0,0.9523809523809524,FAIL,112368,112368,7006.5,T5_NO_PROGRESS,0.3809523809523809,0.380848881603713,15,112353,0.3809523809523809,0.9523809523809524,112368.0,0.9523809523809524
P60-002042,,2018-04-06 04:26:00-05:00,6547.75,LONG,2.8035714285714284,6544.946428571428,6554.758928571428,177177.0,0.980891719745223,FAIL,177177,177177,6550.5,T5_NO_PROGRESS,0.980891719745223,0.9807809472571802,15,177162,0.980891719745223,0.980891719745223,177177.0,0.980891719745223
P60-026662,,2024-05-03 15:11:00-05:00,18022.0,LONG,5.785714285714286,18016.214285714286,18036.464285714286,2316122.0,0.9506172839506172,FAIL,2316122,2316122,18022.25,T5_NO_PROGRESS,0.0432098765432098,0.0431696350147454,15,2316107,0.0432098765432098,0.9506172839506172,2316122.0,0.9506172839506172
P60-030518,,2025-04-21 12:49:00-05:00,17723.75,SHORT,12.678571428571429,17736.428571428572,17692.053571428572,2655327.0,0.9859154929577464,FAIL,2655327,2655327,17707.75,T5_NO_PROGRESS,1.2619718309859154,1.2619308961388664,15,2655312,1.2619718309859154,0.9859154929577464,2655327.0,0.9859154929577464
P60-011226,,2020-08-03 17:04:00-05:00,11042.5,SHORT,3.767857142857143,11046.267857142857,11033.080357142857,989219.0,0.9952606635071092,FAIL,989219,989219,11041.0,T5_NO_PROGRESS,0.3981042654028436,0.3980385875704062,15,989204,0.3981042654028436,0.9952606635071092,989219.0,0.9952606635071092
P60-016821,,2021-12-07 07:07:00-06:00,16126.75,LONG,5.0,16121.75,16139.25,1463788.0,0.9,FAIL,1463788,1463788,16127.5,T5_NO_PROGRESS,0.15,0.1499550296959077,15,1463773,0.15,0.9,1463788.0,0.9
P60-024773,,2023-11-12 17:13:00-06:00,15580.75,LONG,6.142857142857143,15574.607142857143,15596.107142857143,2148811.0,0.9767441860465116,FAIL,2148811,2148811,15581.5,T5_NO_PROGRESS,0.1220930232558139,0.122046473124992,15,2148796,0.1220930232558139,0.9767441860465116,2148811.0,0.9767441860465116
P60-027804,,2024-08-15 01:46:00-05:00,19172.0,SHORT,5.982142857142857,19177.98214285714,19157.04464285714,2416456.0,0.9194029850746268,FAIL,2416456,2416456,19167.0,T5_NO_PROGRESS,0.8358208955223881,0.83578306815494,15,2416441,0.8358208955223881,0.9194029850746268,2416456.0,0.9194029850746268
P60-026782,,2024-05-16 07:36:00-05:00,18704.0,SHORT,8.678571428571429,18712.678571428572,18682.303571428572,2328082.0,0.9218106995884774,FAIL,2328082,2328082,18690.75,T5_NO_PROGRESS,1.5267489711934157,1.5267101914375945,15,2328067,1.5267489711934157,0.9218106995884774,2328082.0,0.9218106995884774
P60-005447,,2019-02-11 08:43:00-06:00,6938.75,SHORT,9.5,6948.25,6915.0,473801.0,0.9210526315789472,FAIL,473801,473801,6929.0,T5_NO_PROGRESS,1.0263157894736843,1.0262111605455897,15,473786,1.0263157894736843,0.9210526315789472,473801.0,0.9210526315789472
P60-017122,,2022-01-03 12:21:00-06:00,16429.75,LONG,6.732142857142857,16423.01785714286,16446.58035714286,1488938.0,0.9283819628647216,FAIL,1488938,1488938,16433.5,T5_NO_PROGRESS,0.5570291777188329,0.5569850323609999,15,1488923,0.5570291777188329,0.9283819628647216,1488938.0,0.9283819628647216
P60-008152,,2019-10-14 04:25:00-05:00,7829.75,SHORT,5.5,7835.25,7816.0,709658.0,0.9545454545454546,FAIL,709658,709658,7816.75,T5_NO_PROGRESS,2.363636363636364,2.363543702997964,15,709643,2.363636363636364,0.9545454545454546,709658.0,0.9545454545454546
P60-031921,,2025-08-21 07:48:00-05:00,23224.5,SHORT,9.303571428571429,23233.803571428572,23201.241071428572,2775505.0,0.9942418426103646,FAIL,2775505,2775505,23227.0,T5_NO_PROGRESS,-0.2687140115163148,-0.2687452410603865,15,2775490,-0.2687140115163148,0.9942418426103646,2775505.0,0.9942418426103646
P60-030726,,2025-05-08 01:08:00-05:00,20149.25,SHORT,6.767857142857143,20156.01785714286,20132.33035714286,2672566.0,0.9234828496042216,FAIL,2672566,2672566,20144.0,T5_NO_PROGRESS,0.7757255936675461,0.7756896000896515,15,2672551,0.7757255936675461,0.9234828496042216,2672566.0,0.9234828496042216
P60-034492,,2026-04-01 17:11:00-05:00,24188.25,SHORT,9.803571428571429,24198.053571428572,24163.741071428572,2990530.0,0.9435336976320584,FAIL,2990530,2990530,24186.25,T5_NO_PROGRESS,0.204007285974499,0.2039773005905273,15,2990515,0.204007285974499,0.9435336976320584,2990530.0,0.9435336976320584
