trade_id,signal_time,entry_time,entry_price,direction,initial_atr,stop_price,target_price,t5_time_c,mfe_at_t5_r_c,t5_result,exit_time,exit_bar,exit_price,exit_reason,gross_r_c,net_r,hold_minutes,entry_i,gross_r_i,mfe_at_t5_r_i,t5_time_i
P60-022225,,2023-03-29 22:45:00-05:00,12943.5,SHORT,1.3214285714285714,12944.82142857143,12940.19642857143,1927301.0,0.9459459459459459,FAIL,1927301,1927301,12944.5,T5_NO_PROGRESS,-0.7567567567567568,-0.7568127751462419,15,1927286,-0.7567567567567568,0.9459459459459459,1927301.0
P60-022303,,2023-04-05 00:05:00-05:00,13216.5,SHORT,2.107142857142857,13218.607142857143,13211.232142857143,1932900.0,0.0,FAIL,1932900,1932900,13216.25,T5_NO_PROGRESS,0.11864406779661017,0.11858920337659196,15,1932885,0.11864406779661017,0.0,1932900.0
P60-022338,,2023-04-09 20:31:00-05:00,13142.25,SHORT,2.6785714285714284,13144.92857142857,13135.55357142857,1936359.0,0.8400000000000001,FAIL,1936359,1936359,13140.5,T5_NO_PROGRESS,0.6533333333333334,0.6532781564956458,15,1936344,0.6533333333333334,0.8400000000000001,1936359.0
P60-022418,,2023-04-17 10:38:00-05:00,13100.75,SHORT,10.178571428571429,13110.92857142857,13075.30357142857,1944105.0,0.24561403508771928,FAIL,1944105,1944105,13106.75,T5_NO_PROGRESS,-0.5894736842105263,-0.5895290675835101,15,1944090,-0.5894736842105263,0.24561403508771928,1944105.0
P60-022436,,2023-04-18 10:50:00-05:00,13171.5,SHORT,9.089285714285714,13180.589285714286,13148.776785714286,1945496.0,0.5776031434184676,FAIL,1945496,1945496,13175.5,T5_NO_PROGRESS,-0.4400785854616896,-0.4401336665570708,15,1945481,-0.4400785854616896,0.5776031434184676,1945496.0
P60-022544,,2023-04-27 19:05:00-05:00,13206.25,SHORT,2.9285714285714284,13209.17857142857,13198.92857142857,1955590.0,0.7682926829268293,FAIL,1955590,1955590,13204.75,T5_NO_PROGRESS,0.5121951219512195,0.512140211525542,15,1955575,0.5121951219512195,0.7682926829268293,1955590.0
P60-022578,,2023-05-01 21:24:00-05:00,13289.75,SHORT,2.3035714285714284,13292.05357142857,13283.99107142857,1958489.0,0.6511627906976745,FAIL,1958489,1958489,13289.75,T5_NO_PROGRESS,-0.0,-5.4562778777498094e-05,15,1958474,-0.0,0.6511627906976745,1958489.0
P60-022594,,2023-05-02 15:23:00-05:00,13175.25,SHORT,6.732142857142857,13181.982142857143,13158.419642857143,1959568.0,0.29708222811671087,FAIL,1959568,1959568,13175.75,T5_NO_PROGRESS,-0.07427055702917772,-0.07432561257968576,15,1959553,-0.07427055702917772,0.29708222811671087,1959568.0
P60-022633,,2023-05-04 09:22:00-05:00,13024.75,SHORT,16.535714285714285,13041.285714285714,12983.410714285714,1961966.0,0.7257019438444925,FAIL,1961966,1961966,13022.5,T5_NO_PROGRESS,0.13606911447084233,0.13601338045662054,15,1961951,0.13606911447084233,0.7257019438444925,1961966.0
P60-022727,,2023-05-11 19:22:00-05:00,13468.25,LONG,4.25,13464.0,13478.875,1969404.0,0.8823529411764706,FAIL,1969404,1969404,13465.5,T5_NO_PROGRESS,-0.6470588235294118,-0.6471126708259062,15,1969389,-0.6470588235294118,0.8823529411764706,1969404.0
