trade_id,direction,entry_ts,net_R_m0,exit_reason_m0,market_state,15m_state,5m_state,total_evidence,reason_codes,bar_regime,efficiency,atr_ratio,overlap_ratio
LW-063165,LONG,2026-08-27T11:33:00-05:00,2.4043580683156853,TARGET,UNCERTAIN,BULLISH,,7,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,CHOP,0.052830188679245285,0.7256410256410256,0.8333333333333334
LW-063166,SHORT,2026-08-27T12:51:00-05:00,-1.1021383647798817,STOP,UNCERTAIN,BEARISH,,7,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,CHOP,0.16597164303586323,1.0085632730732634,0.7666666666666667
LW-063167,SHORT,2026-08-27T15:54:00-05:00,-1.1810479375697005,STOP,UNCERTAIN,BEARISH,,8,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.11172161172161173,0.5978152929493545,0.8
LW-063168,SHORT,2026-08-27T18:03:00-05:00,2.270621468926516,TARGET,UNCERTAIN,BEARISH,,7,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.04670912951167728,0.8648648648648647,0.6666666666666666
LW-063169,SHORT,2026-08-27T18:55:00-05:00,-1.244947209653006,STOP,UNCERTAIN,BEARISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW,UNCERTAIN,0.11949685534591195,0.9327902240325866,0.6
LW-063170,LONG,2026-08-27T19:08:00-05:00,2.4038484310242616,TARGET,UNCERTAIN,BULLISH,,8,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.07228915662650602,2.403326403326403,0.6666666666666666
LW-063171,LONG,2026-08-27T19:47:00-05:00,2.362256149279009,TARGET,UNCERTAIN,BULLISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.05863874345549738,1.0887096774193548,0.7333333333333333
LW-063172,LONG,2026-08-27T20:08:00-05:00,2.343091787439631,TARGET,UNCERTAIN,BULLISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,CHOP,0.06900584795321638,0.8756345177664975,0.6666666666666666
LW-063173,SHORT,2026-08-27T20:29:00-05:00,-1.1313915857604806,STOP,UNCERTAIN,NEUTRAL,,4,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING,CHOP,0.018028846153846152,1.0350877192982457,0.7666666666666667
LW-063174,LONG,2026-08-27T20:53:00-05:00,2.361551577152641,TARGET,REVERSAL_TRANSITION,BULLISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STR,UNCERTAIN,0.024896265560165973,0.9820359281437127,0.5666666666666667
LW-063175,SHORT,2026-08-27T21:37:00-05:00,2.289364461737971,TARGET,UNCERTAIN,BEARISH,,6,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHEN,CHOP,0.14012738853503184,0.7238605898123324,0.6333333333333333
