mode,slice,N,AvgR,PF,TotalR,WinRate,MaxDD,LONG,SHORT
original,15m_state=BULLISH,22120,0.6500983776696281,2.2358403162038742,14380.176114052172,0.4732820976491863,17.00151102252312,21287,833
original,15m_state=NEUTRAL,10798,0.2962802145179097,1.4719324612467097,3199.2337563643887,0.37182811631783663,24.505523520519546,5552,5246
original,15m_state=TRANSITION,7071,0.10069258390701835,1.147074739960353,711.9972608065268,0.3152312261349173,72.52005956171521,3599,3472
original,5m_state=BEARISH,8653,0.5729016368531706,2.0447539672643935,4957.317863690486,0.4509418698717208,18.00110437572539,822,7831
original,5m_state=BULLISH,9822,0.5299224534370367,1.945257878719762,5204.898337658575,0.4390144573406638,18.940334250339788,9057,765
original,5m_state=NEUTRAL,42860,0.5219726179240373,1.926482803353938,22371.74640422424,0.4360475968268782,22.00590849226637,21555,21305
causal_a,market_state=CONTINUATION,1541,-0.046013120370151275,0.936312051785122,-70.90621849040312,0.27709279688513955,124.73996913813147,903,638
causal_a,market_state=PULLBACK,1842,-0.007030966728081095,0.9901547765262142,-12.951040713125376,0.28555917480998916,70.84397372706668,1016,826
causal_a,market_state=REVERSAL_TRANSITION,6348,0.028912366841315845,1.041023636904566,183.535704708673,0.29458097038437303,96.27460024058652,3368,2980
causal_a,market_state=UNCERTAIN,24960,0.025930452901011335,1.0367837575353465,647.224104409243,0.2944310897435897,303.64385260825384,13113,11847
causal_a,high_subtype=(empty),17206,0.007856268890121657,1.0110660083685403,135.17496252343324,0.28949203766128095,277.372714319588,9325,7881
causal_a,high_subtype=HIGH_CLEAN,270,-0.014701531412311359,0.9794343099416415,-3.969413481324067,0.2851851851851852,29.297422085081028,153,117
causal_a,high_subtype=HIGH_CONFLICTED,12927,0.028516749090782587,1.0404939833529216,368.6360154965465,0.29511874371470564,190.4363005490879,6679,6248
causal_a,high_subtype=HIGH_REVERSAL,4288,0.057616834276056864,1.0827325192913448,247.06098537573183,0.3029384328358209,60.57885207152228,2243,2045
causal_a,direction_confidence_band=HIGH,17485,0.034985850008061446,1.0498037979208759,611.7275873909543,0.2968830426079497,199.1770765798111,9075,8410
causal_a,direction_confidence_band=LOW,1556,-0.03157630466472249,0.9561960686985286,-49.1327300583082,0.27892030848329047,80.07200426035355,856,700
causal_a,direction_confidence_band=MEDIUM,2064,-0.02296403406104742,0.968101194190647,-47.39776630200187,0.27955426356589147,125.34926059378984,1146,918
causal_a,direction_confidence_band=VERY_HIGH,13244,0.011871573505453979,1.0167534023373221,157.2271195062325,0.29077318030806404,210.59774998193012,7143,6101
causal_a,direction_confidence_band=VERY_LOW,342,0.21777292215646388,1.3339624982815554,74.47833937751065,0.347953216374269,20.007048055540704,180,162
causal_a,15m_state=BEARISH,8345,0.020153681350483087,1.0285112017846598,168.18247086978135,0.2926303175554224,101.6535167442485,791,7554
causal_a,15m_state=BULLISH,9446,-0.00116433896125704,0.998364990323985,-10.998345828034,0.28710565318653397,268.1902088071531,8778,668
causal_a,15m_state=NEUTRAL,10700,0.05311259923495232,1.0761815043762955,568.3048118139898,0.30205607476635515,96.52874942383275,5567,5133
causal_a,15m_state=TRANSITION,6200,0.0034538085578468447,1.0048528287485028,21.413613058650437,0.2880645161290323,146.9131103350793,3264,2936
causal_a,5m_state=BEARISH,5202,0.05961032792760792,1.0856812823231268,310.0929258794164,0.3037293348712034,97.94140268794376,465,4737
causal_a,5m_state=BULLISH,6542,-0.018069733916280403,0.9747968164682509,-118.21219928030641,0.28263527973096914,246.51502862298503,6112,430
causal_a,5m_state=NEUTRAL,22947,0.024187119157854077,1.0342847975302663,555.0218233152775,0.29385104806728546,233.74067930096425,11823,11124
causal_b,market_state=CONTINUATION,1999,0.15739974881754917,1.2374939415408381,314.6420978862808,0.33366683341670833,21.50233594521518,1143,856
causal_b,market_state=PULLBACK,1726,0.1009756302049858,1.1477013689097761,174.2839377338055,0.31575898030127464,44.43976099178305,930,796
causal_b,market_state=REVERSAL_TRANSITION,8880,0.020300107938642436,1.0287063123093132,180.26495849514484,0.2922297297297297,107.1661355631899,4553,4327
causal_b,market_state=UNCERTAIN,51897,0.21307300476874727,1.32701695338345,11057.849728483678,0.34791991829970903,47.010787529201025,26515,25382
causal_b,high_subtype=(empty),45381,0.32061903930124924,1.5167523617537702,14550.012622529992,0.3787488155836143,36.508133046321745,23401,21980
