time,open,high,low,close,GLD_armed_long,GLD_armed_short,GLD_evidence_threshold_long,GLD_evidence_threshold_short,GLD_decide_e_long,GLD_decide_e_short,GLD_p4_keep_long,GLD_p4_keep_short,GLD_h1_keep_long,GLD_h1_keep_short,GLD_gate_open,GLD_not_in_cooldown,GLD_take_long,GLD_take_short,GLD_bar_time_utc_ms,GLD_htf_warmup_ready,GLD_arm_total_long,GLD_arm_total_short,GLD_arm_total_long_prov,GLD_arm_total_short_prov,GLD_pass_reason_code
1785208620000,27986.25,28006.0,27984.0,28004.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785208620000,1,5.0,5.0,2,2,0
1785208680000,28003.5,28022.0,27998.0,28014.75,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785208680000,1,5.0,5.0,2,2,0
1785208740000,28013.0,28024.0,28012.25,28023.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785208740000,1,5.0,5.0,2,2,0
1785208800000,28022.25,28035.75,28020.0,28020.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785208800000,1,5.0,5.0,2,2,0
1785208860000,28021.0,28040.75,28018.5,28037.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785208860000,1,5.0,5.0,2,2,0
1785208920000,28038.25,28042.25,28033.0,28038.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785208920000,1,5.0,5.0,2,2,0
1785208980000,28036.5,28043.0,28032.0,28039.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785208980000,1,5.0,5.0,2,2,0
1785209040000,28038.0,28046.0,28033.0,28033.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785209040000,1,5.0,5.0,2,2,0
1785209100000,28034.5,28047.25,28032.75,28033.5,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785209100000,1,3.0,5.0,1,2,0
1785209160000,28032.25,28034.75,28013.5,28013.5,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785209160000,1,3.0,5.0,1,2,0
1785209220000,28013.0,28013.0,28001.5,28001.5,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785209220000,1,3.0,5.0,1,2,0
1785209280000,28001.25,28001.5,27985.0,27986.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785209280000,1,5.0,5.0,1,2,0
