time,open,high,low,close,GLD_armed_long,GLD_armed_short,GLD_evidence_threshold_long,GLD_evidence_threshold_short,GLD_decide_e_long,GLD_decide_e_short,GLD_p4_keep_long,GLD_p4_keep_short,GLD_h1_keep_long,GLD_h1_keep_short,GLD_gate_open,GLD_not_in_cooldown,GLD_take_long,GLD_take_short,GLD_bar_time_utc_ms,GLD_htf_warmup_ready,GLD_arm_total_long,GLD_arm_total_short,GLD_arm_total_long_prov,GLD_arm_total_short_prov,GLD_pass_reason_code
1787931900000,29671.0,29682.75,29662.5,29676.0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1787931900000,1,3.0,3.0,2,1,0
1787931960000,29676.0,29678.5,29660.5,29662.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787931960000,1,3.0,5.0,2,1,0
1787932020000,29662.75,29672.25,29650.0,29651.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932020000,1,3.0,4.0,2,1,0
1787932080000,29652.0,29654.25,29629.25,29645.75,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1787932080000,1,3.0,3.0,2,1,0
1787932140000,29646.0,29646.25,29627.5,29634.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787932140000,1,3.0,3.0,2,2,0
1787932200000,29633.75,29647.0,29619.75,29623.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932200000,1,3.0,5.0,2,1,0
1787932260000,29623.25,29631.0,29599.25,29600.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932260000,1,3.0,4.0,2,1,0
1787932320000,29599.75,29602.75,29585.5,29590.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932320000,1,3.0,4.0,2,1,0
1787932380000,29590.5,29615.75,29587.0,29594.25,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1787932380000,1,3.0,2.0,2,1,0
1787932440000,29594.5,29619.25,29585.75,29618.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932440000,1,3.0,4.0,2,1,0
1787932500000,29618.5,29620.25,29583.75,29584.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787932500000,1,3.0,4.0,2,2,0
1787932560000,29583.75,29588.75,29555.75,29562.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932560000,1,3.0,4.0,2,1,0
1787932620000,29562.0,29566.5,29547.5,29557.25,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1787932620000,1,3.0,3.0,2,1,0
1787932680000,29557.25,29571.75,29550.5,29565.0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1787932680000,1,3.0,2.0,2,1,0
1787932740000,29564.25,29567.25,29544.25,29552.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932740000,1,3.0,4.0,2,1,0
1787932800000,29553.0,29566.5,29545.0,29545.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932800000,1,3.0,5.0,2,1,0
1787932860000,29545.75,29546.0,29509.75,29528.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932860000,1,3.0,5.0,2,1,0
1787932920000,29528.5,29542.5,29520.5,29542.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932920000,1,3.0,5.0,2,1,0
1787932980000,29542.0,29555.75,29537.75,29550.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787932980000,1,3.0,5.0,2,1,0
1787933040000,29550.5,29559.0,29525.0,29531.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933040000,1,3.0,6.0,2,1,0
1787933100000,29531.75,29552.5,29528.75,29551.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933100000,1,3.0,5.0,2,1,0
1787933160000,29551.5,29562.5,29533.75,29556.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933160000,1,3.0,4.0,2,1,0
1787933220000,29556.25,29575.75,29555.75,29574.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933220000,1,3.0,5.0,2,1,0
1787933280000,29574.0,29579.75,29561.0,29578.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933280000,1,3.0,4.0,2,1,0
1787933340000,29578.75,29593.0,29576.75,29587.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933340000,1,3.0,5.0,2,1,0
1787933400000,29585.5,29591.5,29573.0,29590.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933400000,1,3.0,5.0,2,1,0
1787933460000,29590.0,29591.0,29554.5,29558.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787933460000,1,3.0,5.0,2,2,0
1787933520000,29558.75,29574.0,29554.0,29569.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933520000,1,3.0,5.0,2,1,0
1787933580000,29569.25,29571.5,29554.75,29562.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933580000,1,3.0,5.0,2,1,0
1787933640000,29562.25,29572.0,29555.25,29558.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933640000,1,3.0,7.0,2,1,0
1787933700000,29558.25,29570.75,29533.0,29533.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787933700000,1,3.0,7.0,2,2,0
1787933760000,29533.75,29538.25,29523.75,29533.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933760000,1,3.0,4.0,2,1,0
1787933820000,29534.0,29537.25,29518.75,29523.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1787933820000,1,3.0,5.0,2,1,0
1787933880000,29525.0,29529.5,29493.25,29495.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787933880000,1,3.0,5.0,2,2,0
