signal_i,entry_i,direction,atr,decision,delay_bars,reason,reaction_dir,orig_dir,year
15288,15290,SHORT,0.42857142857142855,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
15557,15559,LONG,1.7142857142857142,TAKE,1,DISPLACEMENT,LONG,LONG,2017
15737,15739,LONG,0.8928571428571429,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
15779,15781,SHORT,1.2321428571428572,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
15809,15811,LONG,0.9464285714285714,TAKE,1,DISPLACEMENT,LONG,LONG,2017
16016,16018,LONG,0.35714285714285715,TAKE,1,DISPLACEMENT,LONG,LONG,2017
16188,16190,LONG,0.3392857142857143,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
16479,16481,LONG,0.30357142857142855,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
16530,16532,SHORT,0.21428571428571427,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
16637,16639,SHORT,0.5714285714285714,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
16699,16701,SHORT,0.42857142857142855,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
16733,16735,LONG,0.375,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
17037,17039,SHORT,1.1071428571428572,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
17066,17068,SHORT,0.8214285714285714,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
17402,17404,LONG,0.25,TAKE,1,DISPLACEMENT,LONG,LONG,2017
17853,17855,SHORT,4.0,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
17910,17912,SHORT,1.3571428571428572,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
18002,18004,LONG,1.7142857142857142,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
18096,18098,LONG,1.6428571428571428,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
18208,18210,LONG,4.267857142857143,TAKE,1,DISPLACEMENT,LONG,LONG,2017
18280,18282,LONG,1.3571428571428572,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
18339,18341,LONG,1.5892857142857142,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
18468,18470,SHORT,1.7142857142857142,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
18993,18995,SHORT,0.5535714285714286,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
