candidate_id,direction,timestamp,bar_index,event,state_before,state_after,open,high,low,close,atr,setup_score,same_bar_setup_bos,bos_level,bos_condition,retest_level,tolerance,band_lower,band_upper,touch_condition,invalid_condition,opposite_bos,directional_candle,close_beyond_bos_level,confirmed,failed_conditions,risk_points
221,Short,2026-08-14 00:15:00-05:00,14871,CONFIRM_EVALUATION,SHORT_WAIT_CONFIRM,SHORT_WAIT_CONFIRM,29826.25,29833.5,29820.5,29826.5,11.32558545785348,,,29827.0,,,,,,,False,False,False,True,False,['bearish_candle=false'],
221,Short,2026-08-14 00:20:00-05:00,14872,CONFIRM_EVALUATION,SHORT_WAIT_CONFIRM,SHORT_WAIT_CONFIRM,29824.75,29833.75,29823.75,29832.5,11.230900782292517,,,29827.0,,,,,,,True,False,False,False,False,"['bearish_candle=false', 'close_below_bos_level=false']",
222,Long,2026-08-14 00:40:00-05:00,14876,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29843.5,29849.25,29834.75,29848.75,11.573862641687228,75.0,,,,,,,,,,,,,,,
222,Long,2026-08-14 00:40:00-05:00,14876,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29843.5,29849.25,29834.75,29848.75,11.573862641687228,,True,29847.25,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29848.75; level=29847.25,,,,,,,,,,,,
222,Long,2026-08-14 00:45:00-05:00,14877,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29849.25,29857.25,29846.75,29855.0,11.497158167280999,,,,,29847.25,1.1497158167280999,29846.10028418327,29848.39971581673,True,False,False,,,,,
222,Long,2026-08-14 00:45:00-05:00,14877,RETEST_ACCEPTED,LONG_WAIT_RETEST,LONG_WAIT_CONFIRM,29849.25,29857.25,29846.75,29855.0,11.497158167280999,,,,,29847.25,1.1497158167280999,,,,,,,,,,
222,Long,2026-08-14 00:50:00-05:00,14878,CONFIRM_EVALUATION,LONG_WAIT_CONFIRM,LONG_WAIT_CONFIRM,29855.25,29860.25,29852.75,29860.25,11.21164686961807,,,29847.25,,,,,,,False,False,True,True,True,[],
222,Long,2026-08-14 00:50:00-05:00,14878,CONFIRM_ENTRY,LONG_WAIT_CONFIRM,IDLE,29855.25,29860.25,29852.75,29860.25,11.21164686961807,,,,,,,,,,,,,,,,16.817470304427104
223,Short,2026-08-14 04:40:00-05:00,14924,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29898.5,29898.5,29889.25,29892.0,12.448400746436445,75.0,,,,,,,,,,,,,,,
223,Short,2026-08-14 04:40:00-05:00,14924,BOS_ACCEPTED,SHORT_WAIT_BOS,SHORT_WAIT_RETEST,29898.5,29898.5,29889.25,29892.0,12.448400746436445,,True,29892.5,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29892.0; level=29892.5,,,,,,,,,,,,
223,Short,2026-08-14 04:45:00-05:00,14925,RETEST_EVALUATION,SHORT_WAIT_RETEST,SHORT_WAIT_RETEST,29892.75,29908.0,29889.5,29904.75,12.880657835976697,,,,,29892.5,1.2880657835976699,29891.2119342164,29893.7880657836,True,True,False,,,,,
224,Long,2026-08-14 04:55:00-05:00,14927,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29909.0,29918.25,29906.25,29917.25,12.659852930000316,75.0,,,,,,,,,,,,,,,
224,Long,2026-08-14 04:55:00-05:00,14927,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29909.0,29918.25,29906.25,29917.25,12.659852930000316,,True,29914.25,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29917.25; level=29914.25,,,,,,,,,,,,
224,Long,2026-08-14 05:00:00-05:00,14928,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29916.5,29927.5,29915.75,29926.75,12.594863435000294,,,,,29914.25,1.2594863435000294,29912.9905136565,29915.5094863435,False,False,False,,,,,
224,Long,2026-08-14 05:05:00-05:00,14929,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29927.75,29931.25,29922.75,29924.5,12.30237318964313,,,,,29914.25,1.2302373189643132,29913.019762681037,29915.480237318963,False,False,False,,,,,
224,Long,2026-08-14 05:10:00-05:00,14930,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29926.0,29932.0,29921.75,29923.75,12.15577510466862,,,,,29914.25,1.2155775104668622,29913.034422489534,29915.465577510466,False,False,False,,,,,
224,Long,2026-08-14 05:15:00-05:00,14931,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29922.0,29923.0,29915.75,29916.75,11.85893402576372,,,,,29914.25,1.185893402576372,29913.064106597423,29915.435893402577,False,False,False,,,,,
224,Long,2026-08-14 05:20:00-05:00,14932,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29917.0,29921.0,29910.75,29920.5,11.744010166780598,,,,,29914.25,1.1744010166780599,29913.075598983323,29915.424401016677,True,False,False,,,,,
