feature_a,feature_b,correlation
swing_high,core_authorized,0.03201556522102308
body_vs_avg,m15_range_pos_20,-0.03197257044722551
atr_ratio,core_authorized,-0.031932938973596295
ext_60min_atr,m5_range_pos_12,0.031850145538244966
swing_low,core_authorized,0.03164930578992077
swing_high,break_dist_atr,-0.031245239181912264
swing_low,break_dist_atr,-0.03109408776505006
body_vs_avg,m15_range_pos_12,-0.0310354706791549
m15_body_atr,m5_range_pos_12,-0.03097167279674202
range_atr,m15_range_pos_4,-0.03093440310120542
atr_ratio,m5_range_pos_4,-0.030888259652414145
mom_10,m15_body_atr,-0.030730323583645042
range_atr,countertrend_15m,0.029992655245388525
ext_30min_atr,session_minute,0.029557216627848874
ext_30min_atr,min_since_prev_event,0.02948982397690832
body_vs_avg,m5_range_pos_4,-0.029439121670136695
atr,phase44_active,0.02923629706500612
m15_body_atr,min_since_core_entry,0.02917591264264958
body_atr,m15_range_pos_20,-0.02911682191567236
body_vs_avg,m15_range_pos_8,-0.028953845788031736
mtf_1m_15m_align,is_reversal,-0.02885918706976362
atr,m15_range_pos_20,-0.028579775652730482
m15_body_atr,m5_range_pos_8,-0.028380612851838332
ext_30min_atr,m5_range_pos_8,0.028213432415550535
body_vs_avg,mom_5,-0.028169944783955805
body_atr,m15_range_pos_12,-0.028061551177650614
m15_mom_4,m15_body_atr,-0.028054389501970808
body_atr,mom_10,-0.02783599651979392
ext_60min_atr,m5_range_pos_8,0.027734521258559956
mom_10,atr,-0.0276952639903923
body_atr,m5_range_pos_4,-0.02766031761982502
m15_body_atr,dow,-0.026896905209622048
atr_ratio,dow,-0.026846172580285082
ext_60min_atr,min_since_p44,-0.02648531592394295
body_atr,m15_range_pos_8,-0.02630697010374569
atr,is_reversal,-0.025688293982106352
ext_30min_atr,m15_range_pos_12,0.025469907607150392
ext_60min_atr,m15_range_pos_12,0.025379230531458113
range_atr,mom_3,-0.025376602972515115
body_vs_avg,m15_range_pos_4,-0.025139680672383813
range_atr,core_authorized,-0.02471243432290854
mom_5,m15_body_atr,-0.024168641871160194
m15_body_atr,m5_range_pos_4,-0.02394845337873546
ext_60min_atr,min_since_prev_event,0.02392783368987375
body_atr,mom_5,-0.02372838990475102
body_atr,m15_range_pos_4,-0.0232861149713569
is_reversal,min_since_prev_event,0.023168578532748608
dist_swing_high_atr,is_reversal,-0.022956158645955932
body_vs_avg,mom_3,-0.02253086918664592
atr,m5_range_pos_12,-0.022496034315663025
session_minute,min_since_prev_event,0.02203998209500509
ext_60min_atr,min_since_core_entry,-0.02177701111714777
break_dist_atr,session_minute,0.021615737603223956
atr,m15_range_pos_12,-0.021561693895373955
ext_30min_atr,m5_range_pos_4,0.021258472614224897
dist_swing_high_atr,m15_body_atr,-0.0212005086772822
ext_60min_atr,m5_range_pos_4,0.021167089708309175
ext_30min_atr,m15_range_pos_8,0.02100387185645118
range_atr,session_minute,0.02092564271044406
ext_60min_atr,m15_range_pos_8,0.020855000443966768
body_atr,core_authorized,-0.020853285535354385
body_vs_avg,ext_60min_atr,0.020768148892165963
mom_5,atr,-0.02049808600784174
dist_swing_high_atr,atr,-0.02030121446494497
atr_ratio,min_since_prev_event,-0.02029352835451588
swing_low,atr_ratio,-0.01960472341060018
swing_low,ext_30min_atr,-0.019229672174923
mtf_1m_5m_align,min_since_prev_event,0.019183715401926364
mom_3,m15_body_atr,-0.019004303033764405
swing_high,ext_30min_atr,-0.019000653887771033
swing_high,atr_ratio,-0.018932263619215156
body_atr,mom_3,-0.018673638317399127
atr,m5_range_pos_8,-0.018453654886834658
swing_high,core_b1_active,0.018006879894863086
atr,m15_range_pos_8,-0.017871937370698376
mom_1,atr_ratio,-0.0178366138557215
swing_low,core_b1_active,0.017739570372922096
atr_ratio,mtf_1m_15m_align,0.017697136581502435
body_vs_avg,core_authorized,-0.017660266949011415
range_atr,min_since_p44,0.017489458179280392
atr_ratio,core_b1_active,-0.017410320058650737
dist_swing_high_atr,body_atr,-0.017207477124785868
range_atr,min_since_core_entry,0.01719926117548184
range_atr,core_b1_active,-0.017143313702851114
m5_mom,mtf_1m_5m_align,0.017010297734369417
dist_swing_high_atr,range_atr,-0.016859429825389637
body_atr,session_minute,0.016857524461606765
m5_mom,m15_body_atr,-0.01681274642306496
atr_ratio,m5_mom,-0.016576429388719935
min_since_p44,min_since_prev_event,0.01645746162804216
ext_30min_atr,m15_range_pos_4,0.016321333508860638
ext_60min_atr,m15_range_pos_4,0.01608407486420014
mom_3,atr,-0.015947376263179606
body_atr,core_b1_active,-0.015499691192481827
atr_ratio,mtf_1m_5m_align,0.015326810803004623
phase44_active,dow,0.015277263423325532
break_dist_atr,countertrend_15m,-0.014920281486857414
break_dist_atr,m15_body_atr,0.014869496616822483
body_atr,countertrend_15m,-0.014539685583432693
atr,m15_range_pos_4,-0.01438473308687946
body_atr,phase44_active,-0.014218212917915751
body_vs_avg,is_reversal,-0.014213902448187907
ext_30min_atr,mtf_1m_5m_align,0.014201727513563647
range_atr,dow,0.014030247067995756
dist_swing_low_atr,session_minute,-0.013581296103155569
atr,dow,0.01351818244220338
core_authorized,session_minute,0.013336687512617061
mom_10,is_reversal,-0.013058436932692454
m5_range_pos_12,is_reversal,-0.012711314583215708
body_vs_avg,core_b1_active,-0.012650218899715066
atr,m5_range_pos_4,-0.01261477273399419
range_atr,close_loc,-0.012510933481563362
ext_30min_atr,countertrend_15m,-0.012438852561944568
body_vs_avg,mom_1,-0.012337566215452398
dist_swing_high_atr,body_vs_avg,-0.012331881851997798
atr,ext_30min_atr,-0.012316877030693554
m5_range_pos_8,is_reversal,-0.012308284397331582
