timestamp,timestamp_ct,signal_type,direction,entry,impulse_3bar,atr,stop,target,signal_id
2021-06-09 18:45:00+00:00,2021-06-09 18:45:00+00:00,S,Short,13852.734749111538,0.922826129230555,17.338043964295498,13865.73828208476,13813.724150191872,2514
2021-06-10 14:45:00+00:00,2021-06-10 14:45:00+00:00,S,Short,13903.755674030266,1.7930242278552737,35.55445543324006,13930.421515605196,13823.758149305477,2515
2021-06-10 20:00:00+00:00,2021-06-10 20:00:00+00:00,L,Long,13970.5,0.7806058790297781,22.418483475618842,13953.686137393286,14020.941587820142,2516
2021-06-11 14:45:00+00:00,2021-06-11 14:45:00+00:00,S,Short,13960.75,1.6094405334090163,18.32935072010082,13974.497013040076,13919.508960879772,2517
2021-06-14 15:00:00+00:00,2021-06-14 15:00:00+00:00,L,Long,14030.73049739873,1.3885138519071671,17.104618702491614,14017.902033371862,14069.215889479336,2521
2021-06-15 16:45:00+00:00,2021-06-15 16:45:00+00:00,S,Short,14058.43182949391,1.1959365690682977,18.18658327083725,14072.071766947038,14017.512017134526,2525
2021-06-16 14:45:00+00:00,2021-06-16 14:45:00+00:00,S,Short,14074.5,2.1188467525468107,13.686690632601245,14084.76501797445,14043.704946076648,2526
2021-06-16 17:00:00+00:00,2021-06-16 17:00:00+00:00,L,Long,14034.989559522206,2.0112220162122747,17.278052706207202,14022.03101999255,14073.865178111171,2527
2021-06-16 17:15:00+00:00,2021-06-16 17:15:00+00:00,RL,Long,14026.114559522206,0.779816580369752,17.3117632271924,14013.130737101812,14058.574115573192,2528
2021-06-17 14:45:00+00:00,2021-06-17 14:45:00+00:00,L,Long,14117.5,2.057528505577873,30.13323987100087,14094.90007009675,14185.299789709752,2529
2021-06-17 15:00:00+00:00,2021-06-17 15:00:00+00:00,RS,Short,14126.75,0.7231541890921859,29.73086559450081,14149.048149195876,14071.00462701031,2530
2021-06-17 16:30:00+00:00,2021-06-17 16:30:00+00:00,S,Short,14122.5,0.8985095715938051,37.00572709650726,14150.25429532238,14039.237114032858,2531
2021-06-18 15:15:00+00:00,2021-06-18 15:15:00+00:00,S,Short,14036.473273002686,2.528084249764157,37.67675068933553,14064.730836019688,13951.70058395168,2532
2021-06-18 19:30:00+00:00,2021-06-18 19:30:00+00:00,RL,Long,14083.326334369527,1.483136354881147,32.869533431338915,14058.674184296024,14144.95670955329,2534
2021-06-21 14:45:00+00:00,2021-06-21 14:45:00+00:00,L,Long,14111.25,1.5619110280667594,34.412971695659614,14085.440271228255,14188.679186315234,2535
2021-06-22 15:00:00+00:00,2021-06-22 15:00:00+00:00,L,Long,14187.580858694117,1.0068172341889257,26.07225930250046,14168.02666421724,14246.243442124742,2536
2021-06-22 19:00:00+00:00,2021-06-22 19:00:00+00:00,L,Long,14255.954843871852,1.9701966025939535,19.794978810060247,14241.108609764307,14300.493546194488,2537
2021-06-23 19:45:00+00:00,2021-06-23 19:45:00+00:00,S,Short,14277.712459546012,1.1043202890029264,17.884304215611184,14291.12568770772,14237.472775060887,2539
2021-06-24 15:00:00+00:00,2021-06-24 15:00:00+00:00,S,Short,14405.5,0.814691248113434,14.115777021823108,14416.086832766368,14373.739501700898,2540
2021-06-24 17:45:00+00:00,2021-06-24 17:45:00+00:00,S,Short,14368.5,1.068363112936102,19.656238357282177,14383.24217876796,14324.273463696116,2542
2021-06-25 16:30:00+00:00,2021-06-25 16:30:00+00:00,S,Short,14353.25,0.8686469517904332,19.282862808043387,14367.712147106033,14309.863558681902,2544
2021-06-25 20:00:00+00:00,2021-06-25 20:00:00+00:00,RL,Long,14338.25,0.9598379619023919,18.49270471113648,14324.380471466648,14372.92382133338,2547
2021-06-28 15:30:00+00:00,2021-06-28 15:30:00+00:00,RL,Long,14489.336811209012,1.097016104124611,17.091818369395764,14476.517947431965,14521.383970651628,2549
2021-06-28 19:00:00+00:00,2021-06-28 19:00:00+00:00,L,Long,14510.25,1.5178153254009827,16.96517327837447,14497.52612004122,14548.421639876342,2550
2021-06-29 14:45:00+00:00,2021-06-29 14:45:00+00:00,L,Long,14527.75,1.1522979673553764,17.79053732694615,14514.40709700479,14567.778708985628,2552
2021-06-29 16:30:00+00:00,2021-06-29 16:30:00+00:00,L,Long,14552.75,0.8379365111222686,17.304413648928843,14539.771689763304,14591.68493071009,2554
2021-06-30 15:30:00+00:00,2021-06-30 15:30:00+00:00,RS,Short,14568.78213513902,1.4559157810165468,18.20160228052286,14582.433336849414,14534.65413086304,2556
2021-06-30 16:45:00+00:00,2021-06-30 16:45:00+00:00,L,Long,14553.75,0.9222791353616936,19.245800234913606,14539.315649823817,14597.053050528555,2557
2021-06-30 16:45:00+00:00,2021-06-30 16:45:00+00:00,RL,Long,14553.75,0.9222791353616936,19.245800234913606,14539.315649823817,14589.835875440463,2558
2021-07-01 15:15:00+00:00,2021-07-01 15:15:00+00:00,S,Short,14505.75,1.924477283522991,23.64278362210994,14523.482087716582,14452.553736850252,2559
2021-07-01 16:00:00+00:00,2021-07-01 16:00:00+00:00,RL,Long,14530.070602261294,1.2269710007123555,22.20916385487447,14513.41372937014,14571.712784489184,2560
2021-07-01 17:45:00+00:00,2021-07-01 17:45:00+00:00,L,Long,14528.5,0.914908766618423,21.040349270178666,14512.719738047366,14575.8407858579,2561
2021-07-01 18:00:00+00:00,2021-07-01 18:00:00+00:00,RS,Short,14545.75,1.3094962393755003,21.573181465165906,14561.929886098877,14505.300284752811,2562
2021-07-02 15:45:00+00:00,2021-07-02 15:45:00+00:00,L,Long,14677.037313526866,1.6152726271251088,17.95362560660408,14663.572094321911,14717.432971141723,2563
2021-07-02 20:45:00+00:00,2021-07-02 20:45:00+00:00,S,Short,14715.25,0.8540378433694418,12.001810083216688,14724.251357562413,14688.245927312762,2564
2021-07-06 15:00:00+00:00,2021-07-06 15:00:00+00:00,S,Short,14753.25,1.315814830840911,21.469586250176242,14769.352189687632,14704.943430937104,2565
2021-07-06 17:00:00+00:00,2021-07-06 17:00:00+00:00,L,Long,14719.754831212898,1.750567734831024,26.8484326912016,14699.618506694496,14780.163804768104,2566
2021-07-07 14:45:00+00:00,2021-07-07 14:45:00+00:00,S,Short,14790.0,2.0279950496528794,28.969498722423367,14811.727124041818,14724.818627874549,2567
2021-07-07 15:00:00+00:00,2021-07-07 15:00:00+00:00,RL,Long,14783.25,0.7018934883335759,30.275248813678843,14760.54356338974,14840.016091525647,2568
2021-07-08 17:30:00+00:00,2021-07-08 17:30:00+00:00,L,Long,14758.75,0.9444253361483721,36.794862092243434,14731.153853430817,14841.538439707549,2571
2021-07-09 14:45:00+00:00,2021-07-09 14:45:00+00:00,L,Long,14755.689592242845,2.531193169625779,25.778356540700845,14736.35582483732,14813.690894459422,2573
2021-07-12 18:15:00+00:00,2021-07-12 18:15:00+00:00,L,Long,14866.154426904495,1.2330700713121356,16.21967839890687,14853.989668105318,14902.648703302037,2577
