bar_i,ts_utc,ts_chicago,ts_ny,unix_ms,open,high,low,close,atr,m5_completed_ts,m15_completed_ts,m5_open,m5_high,m5_low,m5_close,m15_open,m15_high,m15_low,m15_close,ctxDir,ctxConf,bullSc,bearSc,ctxRs,locationScore_LONG,locationScore_SHORT,reactionScore_LONG,reactionScore_SHORT,totalArm_LONG,totalArm_SHORT,would_arm_LONG,would_arm_SHORT,engine_state,engine_decision,engine_dir,armedBar,armedPrice,pbExtreme,engine_total_score,rawTake_engine,evTotal,evLoc,evDir,evReact,evContra,phase58d_decision,p4_status,h1_status,canonical_signal,canonical_entry,trade_id,signal_trade_id,entry_price_canon,stop_m1,target_m1
3134054,2026-08-26 18:48:00+00:00,2026-08-26 13:48:00-05:00,2026-08-26 14:48:00-04:00,1787770080000,29325.0,29327.25,29317.0,29317.5,7.607142857142857,2026-08-26 13:45:00-05:00,2026-08-26 13:45:00-05:00,29295.0,29328.75,29294.75,29319.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,4,0,SWING_HL|MOM_BULL|M5_BULL|M15_BULL,1,1,0,2,3,1,True,False,ARMED_LONG,ARMED,LONG,3134053,29325.0,29317.0,3,False,,,,,,,,,False,False,,,,,
3134055,2026-08-26 18:49:00+00:00,2026-08-26 13:49:00-05:00,2026-08-26 14:49:00-04:00,1787770140000,29317.5,29321.75,29316.0,29319.75,7.535714285714286,2026-08-26 13:45:00-05:00,2026-08-26 13:45:00-05:00,29295.0,29328.75,29294.75,29319.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,4,0,SWING_HL|MOM_BULL|M5_BULL|M15_BULL,1,1,1,1,3,1,True,False,IN_LONG,TAKE_LONG,LONG,3134053,29325.0,29316.0,4,False,,,,,,,,,False,False,,,,,
3134056,2026-08-26 18:50:00+00:00,2026-08-26 13:50:00-05:00,2026-08-26 14:50:00-04:00,1787770200000,29319.5,29324.25,29314.5,29314.5,7.892857142857143,2026-08-26 13:50:00-05:00,2026-08-26 13:45:00-05:00,29319.5,29327.0,29310.0,29318.75,29295.0,29329.75,29294.75,29321.75,BULLISH,75,3,0,SWING_HL|MOM_BULL|M15_BULL,1,1,0,2,3,1,True,False,IN_LONG,HOLD,LONG,3134053,29325.0,29316.0,0,False,,,,,,,,,False,False,,,,,
3134057,2026-08-26 18:51:00+00:00,2026-08-26 13:51:00-05:00,2026-08-26 14:51:00-04:00,1787770260000,29314.0,29315.0,29310.0,29313.5,7.857142857142857,2026-08-26 13:50:00-05:00,2026-08-26 13:45:00-05:00,29319.5,29327.0,29310.0,29318.75,29295.0,29329.75,29294.75,29321.75,NEUTRAL,25,2,1,SWING_HL|MOM_BEAR|M15_BULL,1,1,1,1,3,2,False,False,IN_LONG,HOLD,LONG,3134053,29325.0,29316.0,0,False,,,,,,,,,False,False,,,,,
3134058,2026-08-26 18:52:00+00:00,2026-08-26 13:52:00-05:00,2026-08-26 14:52:00-04:00,1787770320000,29313.0,29319.25,29312.0,29317.75,7.910714285714286,2026-08-26 13:50:00-05:00,2026-08-26 13:45:00-05:00,29319.5,29327.0,29310.0,29318.75,29295.0,29329.75,29294.75,29321.75,BULLISH,50,3,1,SWING_HH|SWING_HL|MOM_BEAR|M15_BULL,1,1,3,0,3,2,True,False,IN_LONG,HOLD,LONG,3134053,29325.0,29316.0,0,False,,,,,,,,,False,False,,,,,
3134059,2026-08-26 18:53:00+00:00,2026-08-26 13:53:00-05:00,2026-08-26 14:53:00-04:00,1787770380000,29317.25,29327.0,29316.5,29322.0,8.232142857142858,2026-08-26 13:50:00-05:00,2026-08-26 13:45:00-05:00,29319.5,29327.0,29310.0,29318.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,4,0,SWING_HH|SWING_HL|MOM_BULL|M15_BULL,1,1,2,0,3,1,True,False,IN_LONG,HOLD,LONG,3134053,29325.0,29316.0,0,False,,,,,,,,,False,False,,,,,
3134060,2026-08-26 18:54:00+00:00,2026-08-26 13:54:00-05:00,2026-08-26 14:54:00-04:00,1787770440000,29321.75,29324.75,29318.0,29318.75,8.339285714285714,2026-08-26 13:50:00-05:00,2026-08-26 13:45:00-05:00,29319.5,29327.0,29310.0,29318.75,29295.0,29329.75,29294.75,29321.75,BULLISH,75,3,0,SWING_HH|SWING_HL|M15_BULL,1,1,0,1,3,1,True,False,IN_LONG,HOLD,LONG,3134053,29325.0,29316.0,0,False,,,,,,,,,False,False,,,,,
3134061,2026-08-26 18:55:00+00:00,2026-08-26 13:55:00-05:00,2026-08-26 14:55:00-04:00,1787770500000,29318.25,29321.25,29316.0,29317.0,8.428571428571429,2026-08-26 13:55:00-05:00,2026-08-26 13:45:00-05:00,29318.25,29329.75,29315.75,29321.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,4,0,SWING_HH|SWING_HL|M5_BULL|M15_BULL,1,1,1,2,3,1,True,False,IN_LONG,HOLD,LONG,3134053,29325.0,29316.0,0,False,,,,,,,,,False,False,,,,,
3134062,2026-08-26 18:56:00+00:00,2026-08-26 13:56:00-05:00,2026-08-26 14:56:00-04:00,1787770560000,29316.25,29324.5,29315.75,29322.75,8.660714285714286,2026-08-26 13:55:00-05:00,2026-08-26 13:45:00-05:00,29318.25,29329.75,29315.75,29321.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,5,0,SWING_HH|SWING_HL|MOM_BULL|M5_BULL|M15_BULL,0,1,3,0,2,1,True,False,IN_LONG,HOLD,LONG,3134053,29325.0,29316.0,0,False,,,,,,,,,False,False,,,,,
3134063,2026-08-26 18:57:00+00:00,2026-08-26 13:57:00-05:00,2026-08-26 14:57:00-04:00,1787770620000,29323.0,29329.75,29321.25,29324.5,8.821428571428571,2026-08-26 13:55:00-05:00,2026-08-26 13:45:00-05:00,29318.25,29329.75,29315.75,29321.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,5,0,SWING_HH|SWING_HL|MOM_BULL|M5_BULL|M15_BULL,0,2,1,1,2,2,True,False,COOLDOWN,EXIT_TARGET,LONG,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134064,2026-08-26 18:58:00+00:00,2026-08-26 13:58:00-05:00,2026-08-26 14:58:00-04:00,1787770680000,29324.25,29328.0,29321.25,29324.5,8.821428571428571,2026-08-26 13:55:00-05:00,2026-08-26 13:45:00-05:00,29318.25,29329.75,29315.75,29321.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,4,0,SWING_HH|SWING_HL|M5_BULL|M15_BULL,0,2,0,1,2,2,True,False,COOLDOWN,WATCH,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134065,2026-08-26 18:59:00+00:00,2026-08-26 13:59:00-05:00,2026-08-26 14:59:00-04:00,1787770740000,29324.25,29324.75,29320.25,29321.75,7.785714285714286,2026-08-26 13:55:00-05:00,2026-08-26 13:45:00-05:00,29318.25,29329.75,29315.75,29321.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,5,0,SWING_HH|SWING_HL|MOM_BULL|M5_BULL|M15_BULL,1,1,0,1,3,1,True,False,COOLDOWN,WATCH,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
