model_id,components,feature_cols,roles,logic_type,threshold,retention,N,AvgR,PF,TotalR,DD,WinRate,LONG_AvgR,SHORT_AvgR,DeltaAvgR,DeltaTotalR,kept_AvgR,rejected_AvgR,random_control_result,year_stability,causal_pass,complexity,status,partition,N_validation,AvgR_validation,PF_validation,TotalR_validation,DD_validation,DeltaAvgR_validation,validation_pass
PAIR_VETO_F_LOCATION_SCORE_NOT_F_CT_LOW,P58D_LOCATION_SCORE+P58F_CT_LOW,F_LOCATION_SCORE+F_CT_LOW,CONFLICT+LOCATION,VETO,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007271229477295236,-157.8147645752158,0.0,0.007271229477295236,0.0,0.0,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_M15_NOT_NEUTRAL,P58D_LOCATION_SCORE+P75_M15_NOT_NEUTRAL,F_LOCATION_SCORE+F_M15_NOT_NEUTRAL,CONTEXT+LOCATION,AND,,0.5780040545521563,12545,0.0023686054868839747,1.0033265230518473,29.714155832959463,218.11166218228394,0.2875249103228378,0.019368888838704554,-0.017624789331042057,-0.004902623990411262,-128.10060874225633,0.0023686054868839747,0.013986309503467223,0.029603186496345375,0.2857142857142857,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_M5_TRENDING,P58D_LOCATION_SCORE+P75_M5_TRENDING,F_LOCATION_SCORE+F_M5_TRENDING,CONTEXT+LOCATION,AND,,0.24027828971618134,5215,0.024765618399803645,1.0351348909294678,129.15269995497601,70.92696996212598,0.29415148609779485,0.016246886047499232,0.03518345434130463,0.01749438892250841,-28.66206462023979,0.024765618399803645,0.0017382536612432326,0.021049260743565026,0.5714285714285714,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_M5_DIRECTION_ALIGN,P58D_LOCATION_SCORE+P60_DEV_HTF_5M,F_LOCATION_SCORE+F_M5_DIRECTION_ALIGN,CONTEXT+LOCATION,AND,,0.19738297088094361,4284,0.034142732808030374,1.0486328977069954,146.26746734960213,57.529451348257055,0.2969187675070028,0.011465988638053204,0.06344414381418066,0.02687150333073514,-11.547297225613676,0.034142732808030374,0.000662875845327994,0.039235851790128624,0.5714285714285714,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_MARKET_REVERSAL,P58D_LOCATION_SCORE+P58E_MARKET_STATE_REV,F_LOCATION_SCORE+F_MARKET_REVERSAL,CONTEXT+LOCATION,AND,,0.2709178031699226,5880,0.004238316166857001,1.0059546425861672,24.921299061119164,127.566916471658,0.28775510204081634,0.02095043169988964,-0.01411996063923667,-0.003032913310438235,-132.89346551409665,0.004238316166857001,0.008398222037038463,0.05674841905005803,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_CONF_HIGH,P58D_LOCATION_SCORE+P58F_CONF_HIGH,F_LOCATION_SCORE+F_CONF_HIGH,CONTEXT+LOCATION,AND,,0.5642277921120531,12246,-0.0009718521478369746,0.9986364279892197,-11.90130140241159,102.51307556151578,0.28670586313898416,0.015988031322437563,-0.020512976230634854,-0.008243081625132211,-169.7160659776274,-0.0009718521478369746,0.017944181219880246,0.0065180653088157585,0.2857142857142857,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_SB_WINDOW,P58D_LOCATION_SCORE+P78_SB_WINDOW,F_LOCATION_SCORE+F_SB_WINDOW,LOCATION+TIMING,AND,,0.09500552893475857,2062,0.008479626685785491,1.0119215095050837,17.484990226089682,66.11507824223327,0.2880698351115422,0.009520614850645103,0.007268235421536495,0.0012083972084902554,-140.32977434912613,0.008479626685785491,0.007144372994049793,0.024934352156324592,0.5714285714285714,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_RTH,P58D_LOCATION_SCORE+P78_RTH,F_LOCATION_SCORE+F_RTH,LOCATION+TIMING,AND,,0.20586067084408405,4468,0.031074971547464185,1.0441854692164638,138.84297287406997,110.33202632400628,0.29565801253357205,0.029708485090248017,0.03263255668547878,0.02380374207016895,-18.971791701145833,0.031074971547464185,0.001100707339356335,0.032454172959505145,0.7142857142857143,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_TOTAL_EVIDENCE,P58D_REACTION_SCORE+P58D_TOTAL_EVIDENCE,F_REACTION_SCORE+F_TOTAL_EVIDENCE,CONTEXT+REACTION,AND,,0.2646977515665315,5745,0.022077317957646676,1.0312603238885008,126.83419166668016,74.43165945004043,0.29312445604873805,0.021682023336970693,0.022548143701495296,0.014806088480351441,-30.98057290853565,0.022077317957646676,0.0019412602862670329,0.02163903457484372,0.7142857142857143,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_GOOD_LOCATION,P58D_REACTION_SCORE+P58E_GOOD_LOCATION,F_REACTION_SCORE+F_GOOD_LOCATION,LOCATION+REACTION,AND,,0.23889605602653888,5185,0.005400900476944226,1.0075945512070823,28.003668972955808,134.150031504651,0.28833172613307617,0.018668057483294344,-0.009329585609064373,-0.0018703290003510105,-129.81109560226,0.005400900476944226,0.007858290187194134,0.012127849169437394,0.5714285714285714,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_ALIGNED_ACTIVE,P58D_REACTION_SCORE+P58E_ALIGNED_ACTIVE,F_REACTION_SCORE+F_ALIGNED_ACTIVE,CONTEXT+REACTION,AND,,0.4399189089568743,9548,0.0065390204711815265,1.0092093764145869,62.434567458841215,166.5102674848721,0.2890657729367407,0.02892063622525936,-0.020262256115347124,-0.0007322090061137095,-95.38019711637459,0.0065390204711815265,0.007846347245506298,0.017381035547112476,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_HTF_SUPPORT,P58D_REACTION_SCORE+P58F_HTF_SUPPORT,F_REACTION_SCORE+F_HTF_SUPPORT,CONTEXT+REACTION,AND,,0.29980648728345005,6507,-0.006599135581380682,0.9907624006727386,-42.940575228044096,126.94372279064638,0.285231289380667,0.029043443003834588,-0.048888767632588724,-0.013870365058675917,-200.75533980325991,-0.006599135581380682,0.013210195420363216,-0.01897930483372545,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_NO_HTF_CONTRA,P58D_REACTION_SCORE+P58F_HTF_CONTRA,F_REACTION_SCORE+F_NO_HTF_CONTRA,CONFLICT+REACTION,AND,,0.585514190932547,12708,-0.0010449516768318914,0.9985331447230854,-13.279245909179675,182.32708045776462,0.2869058860560277,0.027661322499688196,-0.03478293156316994,-0.008316181154127127,-171.09401048439548,-0.0010449516768318914,0.01901889845313421,-0.005424360096471133,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
PAIR_VETO_F_REACTION_SCORE_NOT_F_NO_HTF_CONTRA,P58D_REACTION_SCORE+P58F_HTF_CONTRA,F_REACTION_SCORE+F_NO_HTF_CONTRA,CONFLICT+REACTION,VETO,,0.11841135274603759,2570,0.0761902395937213,1.1103232437040234,195.80891575586375,73.03489582133577,0.30817120622568095,0.11054696973948401,0.0366584371247475,0.06891901011642607,37.99415118064795,0.0761902395937213,-0.0019856878426177515,0.09359284527815796,0.7142857142857143,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_FALSE_REV_LOW,P58D_REACTION_SCORE+P58F_FALSE_REV_LOW,F_REACTION_SCORE+F_FALSE_REV_LOW,CONFLICT+REACTION,AND,,0.6577589384445264,14276,0.013175491659113239,1.0185991341542633,188.0933189255006,189.1955456066096,0.2908377696833847,0.04461491935640972,-0.023430755265573967,0.005904262181818003,30.278554350284793,0.013175491659113239,-0.004076272798907496,0.009426802009386705,0.7142857142857143,True,2,CANDIDATE,train,,,,,,,
PAIR_VETO_F_REACTION_SCORE_NOT_F_FALSE_REV_LOW,P58D_REACTION_SCORE+P58F_FALSE_REV_LOW,F_REACTION_SCORE+F_FALSE_REV_LOW,CONFLICT+REACTION,VETO,,0.04616660523405824,1002,-0.005552543990834845,0.9922156001645168,-5.563649078816514,37.209573541458454,0.28542914171656686,-0.0012796024644864705,-0.010988190694420875,-0.01282377346813008,-163.37841365403233,-0.005552543990834845,0.00789191448430259,0.0026317934342131206,0.5,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_REVERSAL_STRONG,P58D_REACTION_SCORE+P58F_REVERSAL_STRONG,F_REACTION_SCORE+F_REVERSAL_STRONG,REACTION,AND,,0.395410984150387,8582,0.008208919707363151,1.0115619297153198,70.44894892859057,187.48636768544588,0.2894430202749942,0.042333357497598915,-0.029709920513668824,0.0009376902300679149,-87.36581564662524,0.008208919707363151,0.006657964917438288,0.019835190958407613,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_NO_PULLBACK,P58D_REACTION_SCORE+P58F_PULLBACK_OK,F_REACTION_SCORE+F_NO_PULLBACK,CONFLICT+REACTION,AND,,0.6613066715812753,14353,0.011397432206664412,1.016077349418241,163.5873444622543,193.69687006562157,0.2903225806451613,0.043108027844753295,-0.025592678448603644,0.004126202729369176,5.772579887038489,0.011397432206664412,-0.0007852781780762515,0.035760957902443456,0.7142857142857143,True,2,CANDIDATE,train,,,,,,,
PAIR_VETO_F_REACTION_SCORE_NOT_F_NO_PULLBACK,P58D_REACTION_SCORE+P58F_PULLBACK_OK,F_REACTION_SCORE+F_NO_PULLBACK,CONFLICT+REACTION,VETO,,0.04261887209730925,925,0.02047818960478905,1.0290209078829158,18.94232538442987,33.204461332113226,0.292972972972973,0.017126480488101753,0.02465155556804287,0.013206960127493814,-138.87243919078594,0.02047818960478905,0.006683307146194997,0.029149054151356817,0.3333333333333333,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_REACTION_SCORE_F_HTF_LTF_AGREE,P58D_REACTION_SCORE+P58F_HTF_LTF_AGREE,F_REACTION_SCORE+F_HTF_LTF_AGREE,CONFLICT+REACTION,AND,,0.6105326207150755,13251,0.018181007578077446,1.0257234467349798,240.91653141710424,216.109898391526,0.29235529394008,0.03838163340520021,-0.005528880511335854,0.010909778100782211,83.10176684188843,0.018181007578077446,-0.009831038310882344,0.0335611517494465,0.7142857142857143,True,2,CANDIDATE,train,,,,,,,
PAIR_VETO_F_REACTION_SCORE_NOT_F_HTF_LTF_AGREE,P58D_REACTION_SCORE+P58F_HTF_LTF_AGREE,F_REACTION_SCORE+F_HTF_LTF_AGREE,CONFLICT+REACTION,VETO,,0.09339292296350903,2027,-0.028804569102328596,0.960066246167244,-58.386861570420066,88.67400628460905,0.27824370991613223,0.06197434314957837,-0.13357173031972602,-0.036075798579623834,-216.20162614563588,-0.028804569102328596,0.010987529915415753,-0.02651126333560661,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
