level,event_type,regime_dimension,regime_value,N,mean_forward_atr,era1_mean,era2_mean,era3_mean
PDH,SWEEP,htf_vol_regime,low_vol,2177,0.15782548699732613,0.12614752575029162,0.23047434550042975,0.1087938091531305
PDH,BREAK,htf_vol_regime,low_vol,1397,0.22935941215315594,0.2565556296976566,0.1882855289865689,0.24017972515327066
PDH,BREAK_HOLD,htf_vol_regime,low_vol,650,0.15711507571201594,0.1889666764874603,0.22593369786443396,0.030987336325017666
ONL,APPROACH,htf_vol_regime,low_vol,1320,0.045330228449807206,0.09954718356132918,-0.0747783746287161,0.1324193162800439
ONL,TOUCH,htf_vol_regime,low_vol,4727,0.036118447246192786,0.1644975617155926,0.011718935257885487,-0.08835100017070818
ONH,APPROACH,htf_vol_regime,low_vol,1382,0.052023491702295324,0.15151942070647925,-0.20523894500839435,0.23487866577498984
ONH,TOUCH,htf_vol_regime,low_vol,5370,0.056702244894655876,0.13872617454356304,-0.005648440095930265,0.039639539754687175
PDL,TOUCH,htf_vol_regime,low_vol,588,0.1544767597225896,0.31646890208971523,-0.05362405122957675,0.30996759382711964
PDL,SWEEP,htf_vol_regime,low_vol,1017,0.15869218250696268,0.15097101749811923,0.14799070812332668,0.19329371215762925
PDL,BREAK,htf_vol_regime,low_vol,636,0.11568951343042683,0.331628952830933,-0.14250745845071586,0.25092968622803125
ONL,BREAK,htf_vol_regime,low_vol,237,-0.11675681597505723,-0.1672141772467729,-0.46313077942268577,0.46937712403549126
PDL,BREAK_FAILURE,htf_vol_regime,low_vol,121,-0.006498976495210394,-0.2091470240982507,0.09337655715745374,0.1395552782586003
PDL,APPROACH,htf_vol_regime,low_vol,243,0.37954849157407977,0.6382214757473305,0.17742886168245006,0.4274627583860335
ONL,BREAK_HOLD,htf_vol_regime,low_vol,185,-0.21807361884222956,-0.35801603013385574,-0.955278872969462,1.0163681423921629
PDL,TOUCH,htf_vol_regime,high_vol,1744,0.04521664366730823,-0.0006463517894109241,0.05115415776245748,0.07988912638382693
ONH,TOUCH,htf_vol_regime,high_vol,4743,0.10027908990356986,0.15233615454757307,0.09020972257521134,0.056260012562508316
ONH,SWEEP,htf_vol_regime,high_vol,2464,0.09109560944907412,0.04043524384224707,0.16509279480041514,0.06583271612805602
ORH,TOUCH,htf_vol_regime,high_vol,3370,0.05415907325365402,0.06957228850016862,0.0991944687904066,-0.017365613635765286
ORL,TOUCH,htf_vol_regime,high_vol,3320,0.051032024071660395,0.059712640313472794,0.04626883864031633,0.04711966301015546
ORH,APPROACH,htf_vol_regime,high_vol,1774,0.05960114177875665,0.14422641268919353,0.06485920196190723,-0.0397718378334785
ONH,BREAK,htf_vol_regime,high_vol,1682,-0.032584413283760286,0.020898728549478815,-0.09005093531188986,-0.010500907305844683
ONH,BREAK_HOLD,htf_vol_regime,high_vol,859,0.006490337236231648,-0.15229216081065938,0.15633347577775195,-0.010012760794292978
ORH,SWEEP,htf_vol_regime,high_vol,3600,0.08945567588528591,0.1160055486429142,0.1380905337327157,0.006499730636957633
ORH,BREAK,htf_vol_regime,high_vol,2489,-0.006921970048560551,0.07937190143692989,-0.019979409183884123,-0.08307540918916324
ORH,BREAK_HOLD,htf_vol_regime,high_vol,1310,0.06774868983068065,0.09974899730023791,-0.030343662979239336,0.1538216625558367
SESSION_OPEN,BREAK_FAILURE,htf_vol_regime,low_vol,614,-0.13318977562348006,-0.20198882340974808,-0.042180918220349944,-0.19427840428413462
PDH,BREAK_FAILURE,htf_vol_regime,low_vol,260,0.08752067080372943,0.17954412897821787,-0.05376249706726868,0.10903007324826042
ONH,BREAK,htf_vol_regime,low_vol,303,-0.15590413873168787,-0.18200995290550756,-0.12643759927537876,-0.10849736829455903
ONH,BREAK_HOLD,htf_vol_regime,low_vol,221,-0.1759099461862851,-0.19148305528064277,-0.021678373117676213,-0.29385191688867207
PDH,BREAK_FAILURE,htf_vol_regime,high_vol,496,0.06391839352866915,-0.15831170360698907,0.1844955676523034,0.09890514712784045
