time_bucket,level,event_type,N,mean_forward_atr,replicated
OVERNIGHT,PRIOR_RTH_CLOSE,BREAK_FAILURE,1538,-0.03566175578985642,False
OVERNIGHT,SESSION_OPEN,APPROACH,3736,-0.041634027094255774,False
OVERNIGHT,ONL,APPROACH,3392,-0.04720328888629715,False
OVERNIGHT,PRIOR_RTH_CLOSE,BREAK,6708,-0.07024902450954314,True
OVERNIGHT,PDL,BREAK_HOLD,1082,-0.07833044228629842,False
OVERNIGHT,SESSION_OPEN,BREAK_FAILURE,1896,-0.15901973254910462,False
OVERNIGHT,ONH,BREAK_HOLD,344,-0.2330793580135854,False
OVERNIGHT,ONH,BREAK,402,-0.3735657297436098,False
OVERNIGHT,ONL,BREAK,462,-0.46670560082580853,False
OVERNIGHT,ONL,BREAK_HOLD,392,-0.4894150267688343,False
PREMARKET,ONL,BREAK,18,2.306260408718985,False
PREMARKET,ONL,BREAK_HOLD,18,2.191251360473273,False
PREMARKET,ONL,APPROACH,376,0.37588772793091546,False
PREMARKET,PDL,BREAK_FAILURE,346,0.20137763718403967,False
PREMARKET,ONH,APPROACH,400,0.1809016527403255,False
PREMARKET,PRIOR_RTH_CLOSE,BREAK_FAILURE,522,0.14416480966892598,False
PREMARKET,PRIOR_RTH_CLOSE,TOUCH,2448,0.12771032861217474,True
PREMARKET,ONL,TOUCH,6046,0.08052650946396296,True
PREMARKET,PRIOR_RTH_CLOSE,SWEEP,5514,0.07463092060894203,False
PREMARKET,ONH,BREAK_HOLD,38,0.02551655993228253,False
PREMARKET,SESSION_OPEN,SWEEP,5604,0.012265039120930589,False
PREMARKET,ONH,TOUCH,6944,0.005102426574857704,False
PREMARKET,PDL,TOUCH,1344,-0.02226294945312848,False
PREMARKET,PDL,BREAK_HOLD,618,-0.03388939086561074,False
PREMARKET,PDH,TOUCH,1782,-0.04697632067381164,False
PREMARKET,SESSION_OPEN,BREAK_HOLD,706,-0.05347180335938363,False
PREMARKET,PDL,SWEEP,2798,-0.05996603358254463,False
PREMARKET,SESSION_OPEN,TOUCH,2400,-0.07255346929761955,False
PREMARKET,PDH,BREAK_FAILURE,422,-0.0907424251755804,False
PREMARKET,PRIOR_RTH_CLOSE,BREAK_HOLD,1004,-0.09913827551656684,False
PREMARKET,PRIOR_RTH_CLOSE,APPROACH,434,-0.12019633830895946,False
PREMARKET,PDL,BREAK,1630,-0.12168637263714772,False
PREMARKET,PDH,SWEEP,3674,-0.13158486015921517,False
PREMARKET,PDH,BREAK_HOLD,816,-0.14193849587689544,False
