level,event_type,direction,time_bucket,displacement_quantile,horizon,N,sample_tier,mean_forward_atr,median_forward_atr,positive_return_rate,mfe_atr,mae_atr,effect_size,standard_error,ci95_low,ci95_high,raw_p_value,era1_avg_atr,era2_avg_atr,era3_avg_atr,same_sign_across_eras,replicated,fdr_q_value,fdr_survivor_5pct
PRIOR_RTH_CLOSE,BREAK_HOLD,reversal,RTH_OPEN,Q3,6,28,INSUFFICIENT,-0.15811567897192802,0.10140480771505656,0.5357142857142857,1.4187350162167722,1.1977253871260956,-0.15811567897192802,0.31570028014813406,-0.844420804738485,0.4332242054624374,1.0,-0.4272210505412963,0.4293972277374692,-0.2094718928804128,False,False,1.0,False
ORH,BREAK,reversal,RTH_OPEN,Q1,6,212,WEAK_SAMPLE,0.11509850829276524,-0.08324367712338254,0.4716981132075472,0.9071396032265929,1.1368922942306465,0.11509850829276524,0.08853739502729326,-0.04414518287798054,0.29469800575130206,0.19360137657670148,0.0982052901550687,0.03962925032526387,0.19321740298783563,True,False,1.0,False
ORH,BREAK,reversal,MIDDAY,Q4,6,162,WEAK_SAMPLE,0.07458262951079017,-0.005231112225215051,0.5,1.3908573487999902,1.605147508984657,0.07458262951079017,0.1881226689470856,-0.2949243029081889,0.43836369537603703,0.691767607729859,0.42149977315648457,-0.06261378788060573,-0.21174304792805032,False,False,1.0,False
PRIOR_RTH_CLOSE,SWEEP,reversal,MIDDAY,Q4,6,135,WEAK_SAMPLE,-0.08627897033139682,-0.0966861095382852,0.45925925925925926,1.6695127918545878,1.5083354329005159,-0.08627897033139682,0.1854397185443925,-0.42644110333806556,0.2954204059223073,1.0,0.2772296649454054,-0.0574912096113253,-0.8336805540410629,False,False,1.0,False
PRIOR_RTH_CLOSE,SWEEP,reversal,MIDDAY,Q2,6,151,WEAK_SAMPLE,-0.008634120285566527,0.1443351308306054,0.5364238410596026,1.208220824475969,1.2634194635938862,-0.008634120285566527,0.15044553184323953,-0.29823452275934886,0.26290129377088123,1.0,0.601168527382311,-0.5425835594674379,-0.1412271206041156,False,False,1.0,False
ORL,APPROACH,reversal,MIDDAY,Q4,6,21,INSUFFICIENT,0.1687661132717939,0.4818714356435619,0.5714285714285714,1.9211257462976061,1.6315363480318728,0.1687661132717939,0.43020554445762543,-0.6371436617354111,0.9431709052976482,0.6948426116533506,0.07279486592117634,-0.030196146587037332,0.5078386258419056,False,False,1.0,False
PRIOR_RTH_CLOSE,TOUCH,reversal,MIDDAY,Q4,6,60,INSUFFICIENT,-0.31033204222386424,-0.15248171657917842,0.48333333333333334,1.8267221007543446,1.4173907580204677,-0.31033204222386424,0.25649222041408315,-0.7781464562603795,0.1673773418481953,1.0,-0.27760920559802255,0.13302306306220776,-1.120263151112455,False,False,1.0,False
SESSION_OPEN,BREAK,reversal,MIDDAY,Q4,6,98,INSUFFICIENT,-0.14689023783030655,-0.3109786718252925,0.41836734693877553,1.6668948150177458,1.4391235383386598,-0.14689023783030655,0.2178556331814759,-0.5529472354286205,0.23454190378614861,1.0,-0.1669798545546523,0.12527114513658563,-0.5007634728331478,False,False,1.0,False
ONL,SWEEP,reversal,MIDDAY,Q1,6,146,WEAK_SAMPLE,-0.013842610933743206,0.1186283659544366,0.541095890410959,1.3508257369813714,1.337173576618327,-0.013842610933743206,0.14583901022712367,-0.30625819571828294,0.2593202913966602,1.0,0.18263800048065534,0.10411071263116817,-0.3226641398056268,False,False,1.0,False
ORL,BREAK,reversal,MIDDAY,Q1,6,127,WEAK_SAMPLE,0.1709194553227913,0.0620345973321145,0.5748031496062992,1.034692311128959,1.2597708296398604,0.1709194553227913,0.13052156051235925,-0.07931044509193991,0.4055638607384081,0.19036122050004928,-0.01828988154711374,0.3125308605619273,0.029828301531050316,False,False,1.0,False
ORL,BREAK_HOLD,reversal,MIDDAY,Q3,6,53,INSUFFICIENT,-0.05452850290515566,0.0508736358959798,0.5094339622641509,1.3360802171409185,1.175371389469933,-0.05452850290515566,0.22980051770216642,-0.5005813270443864,0.3703914171028422,1.0,-0.3629620704503147,0.014092239703496582,0.1852329257179546,False,False,1.0,False
ONL,BREAK,reversal,MIDDAY,Q1,6,72,INSUFFICIENT,-0.03832402607704349,-0.14860710868895627,0.4305555555555556,1.2799207878577623,1.1483286236836259,-0.03832402607704349,0.17858543120165662,-0.402993463518074,0.31854625288016813,1.0,0.2578299713023035,0.08409966385030741,-0.4429089995133835,False,False,1.0,False
ORL,SWEEP,reversal,MIDDAY,Q1,6,178,WEAK_SAMPLE,0.05302159291035619,0.16898924070527455,0.550561797752809,1.2343302396432598,1.2485676941705677,0.05302159291035619,0.11554205687599935,-0.16121434090389816,0.2724270088390769,0.6463100622539056,-0.08549460985433012,-0.03481514684152136,0.2696893823668162,False,False,1.0,False
ONL,BREAK_HOLD,reversal,RTH_AFTERNOON,Q2,6,26,INSUFFICIENT,-0.0037081814334392785,0.36845396331856484,0.6153846153846154,1.059477532517682,1.1598741148894027,-0.0037081814334392785,0.26481858075700776,-0.5654754595173515,0.4568268656737748,1.0,-0.16228447187613856,0.16066204694118885,0.14183174866242018,False,False,1.0,False
ONL,TOUCH,reversal,RTH_AFTERNOON,Q3,6,38,INSUFFICIENT,-0.17354845189574158,-0.20309915608702483,0.47368421052631576,1.4363081025262687,1.1147964632340936,-0.17354845189574158,0.2780129037702427,-0.6815006006178388,0.4133406471347346,1.0,-0.13997001051586355,-0.297963395482257,-0.04881001034415225,True,False,1.0,False
ONL,SWEEP,reversal,RTH_AFTERNOON,Q4,6,129,WEAK_SAMPLE,0.2343385499883161,0.205542481104222,0.5348837209302325,1.2092481498075875,1.4900258961070456,0.2343385499883161,0.1397600872006829,-0.038505695932562645,0.5013092159132077,0.09359722458491694,0.06009064221288633,0.3746023668345127,0.33389062488556515,True,False,1.0,False
SESSION_OPEN,TOUCH,reversal,RTH_AFTERNOON,Q2,6,43,INSUFFICIENT,0.084135813103347,0.1478562468205003,0.6046511627906976,0.9920090481355348,1.1219950893646529,0.084135813103347,0.2748484739585776,-0.4039106765055242,0.5779265110298647,0.7595155015627374,-0.19806018312800788,0.10460570724627433,0.4923434061750856,False,False,1.0,False
