level,event_type,direction,horizon,N,full_mean_atr,era1_mean_atr,era2_mean_atr,era3_mean_atr,same_sign_across_eras,replicated,failure_reasons
ORH,BREAK_FAILURE,reversal,1,612,-0.04388502893010438,-0.022565358302407794,-0.12727537384948903,0.024796813720020662,False,False,not_same_sign
PDL,BREAK_HOLD,reversal,1,1204,-0.03347134542889762,-0.06768263938814878,-0.014420546456418366,-0.021519170105219903,True,False,insufficient_positive_eras
PRIOR_RTH_CLOSE,BREAK_FAILURE,reversal,1,1240,0.10150183028919584,0.012718163302238166,0.21727751585279012,0.004346098792568379,True,False,single_era_dominance
ONH,BREAK_FAILURE,reversal,1,420,0.007119166664916634,0.03428217779663651,-0.0450985766443753,0.037532315288019556,False,False,not_same_sign
ONL,SWEEP,reversal,1,2408,0.0016323453229499475,-0.03792472147229004,0.0035839181456439493,0.041927469691019494,False,False,not_same_sign
ONL,BREAK_FAILURE,reversal,1,385,-0.026111392327540252,0.04854343411784602,-0.024967819485568216,-0.12976810207398803,False,False,not_same_sign
SESSION_OPEN,TOUCH,continuation,3,5980,-0.01806685457876719,0.054548513454225935,-0.034874753583626926,-0.07779000464282922,False,False,not_same_sign
SESSION_OPEN,SWEEP,continuation,3,12020,0.005307303594195305,0.05547320107045617,-0.0177686700127615,-0.01822697860681899,False,False,not_same_sign
SESSION_OPEN,BREAK,continuation,3,8022,-0.0704206556938539,0.032498147952781595,-0.2188317855227506,0.04353861595739964,False,False,not_same_sign
SESSION_OPEN,BREAK_HOLD,continuation,3,3096,-0.023543975105728844,0.022302961021650875,-0.05404762681327244,-0.03787440231099864,False,False,not_same_sign
PDH,SWEEP,continuation,3,5606,0.005199942250249016,0.004213264101478923,0.014160309647971043,-0.0032550747740694853,False,False,not_same_sign
PDH,BREAK,continuation,3,3904,-0.08102341436808555,-0.038938484436402646,-0.2136824177416144,0.06876256183894106,False,False,not_same_sign
PDH,BREAK_HOLD,continuation,3,1604,-0.029382358167769847,-0.02208492911623608,-0.06419910308311079,0.001298171869725032,False,False,not_same_sign
PDH,APPROACH,continuation,3,1289,0.014429313564199119,0.018407387384444945,0.047956925880719536,-0.02680786443803341,False,False,not_same_sign
PDH,TOUCH,continuation,3,2979,0.003100967392326779,-0.034840884479347675,0.003111174836010809,0.04672730355752492,False,False,not_same_sign
SESSION_OPEN,APPROACH,continuation,3,2212,0.005826262070019857,0.005157742322894271,-0.0068084431887463995,0.02200080580089263,False,False,not_same_sign
ONL,APPROACH,continuation,3,1974,0.004686712745088014,0.06696230627389062,-0.09909028105239245,0.059100041348038784,False,False,not_same_sign
ONL,TOUCH,continuation,3,9635,0.024691633926210176,0.07637246401879572,-0.032046267691656555,0.03578385755471852,False,False,not_same_sign
ONH,APPROACH,continuation,3,2030,0.03947597388088962,0.022096511414320622,-0.053320665701281494,0.16787877728014855,False,False,not_same_sign
ONH,TOUCH,continuation,3,10113,0.03442741111430674,0.03693272924279032,0.0020782049790831507,0.06799629859177435,True,False,effect_too_small
PDL,TOUCH,continuation,3,2332,0.08161143069450388,0.1366051743606153,0.07047741539336919,0.040516406821503655,True,True,
PDL,SWEEP,continuation,3,4538,0.02514154855089324,0.08478842515464058,-0.01038866478515086,0.014621272587475058,False,False,not_same_sign
PDL,BREAK,continuation,3,2768,0.03982472383486199,0.1547339734455721,-0.058289622762472064,0.06503708501127335,False,False,not_same_sign
ONL,BREAK,continuation,3,1684,-0.04347923416222468,-0.06416059350300772,-0.05075066174225673,-0.006529330920555089,True,False,insufficient_positive_eras
PDL,BREAK_FAILURE,continuation,3,547,0.04757618008055744,0.059375713529786524,0.13287764286780082,-0.09880627441129129,False,False,not_same_sign
PDL,APPROACH,continuation,3,1043,0.024059054843637608,0.13827301718293072,-0.07669203866069364,0.04170369153991077,False,False,not_same_sign
ONL,BREAK_HOLD,continuation,3,921,-0.013374193718554285,-0.07232856528339227,-0.029492552178415215,0.08728773794838168,False,False,not_same_sign
ONH,SWEEP,continuation,3,2639,0.0005196864742945019,0.009086258864850677,-0.01726078561115553,0.009374404368542155,False,False,not_same_sign
ORH,TOUCH,continuation,3,3548,0.012464765311879433,0.04547759287748505,-0.015535607832385851,0.005072351095905617,False,False,not_same_sign
ORL,TOUCH,continuation,3,3451,-0.005559340046215899,0.04345535644763336,-0.035423078333256586,-0.026068136271575785,False,False,not_same_sign
