trade_id,transition,m0_r,m1_r,delta_r,direction,entry_price,stop_m0,target_m0,exit_i_m0,net_R_m0,stop_m1,target_m1,exit_i_m1,net_R_m1
E-048073,M0_STOP_M1_TARGET,-1.2174029451137207,2.499962128738038,3.7173650738517585,LONG,19148.25,19144.915178571428,19156.587053571428,2399724,-1.2174029451137207,19143.803571428572,19159.366071428572,2399737,2.499962128738038
E-017299,M0_STOP_M1_TARGET,-1.134995843724033,2.499911248100906,3.634907091824939,SHORT,8176.0,8181.370535714285,8162.573660714285,878643,-1.134995843724033,8183.160714285715,8158.098214285715,878646,2.499911248100906
E-057267,M0_STOP_M1_TARGET,-1.095641931684315,2.499972211461198,3.5956141431455126,LONG,26100.0,26092.41964285714,26118.95089285714,2847337,-1.095641931684315,26089.89285714286,26125.26785714286,2847344,2.499972211461198
E-039153,M0_STOP_M1_TARGET,-1.5523809523809524,2.4999450164002806,4.052325968781233,SHORT,13187.5,13188.8125,13184.21875,1959962,-1.5523809523809524,13189.25,13183.125,1959973,2.4999450164002806
E-042462,M0_STOP_M1_TARGET,-1.4473829201100494,2.499951657285878,3.947334577395927,LONG,14999.25,14997.629464285714,15003.301339285714,2125692,-1.4473829201100494,14997.089285714286,15004.651785714286,2125698,2.499951657285878
E-047702,M0_STOP_M1_TARGET,-1.318431372548947,2.4999652743921734,3.81839664694112,LONG,20881.0,20878.723214285714,20886.691964285714,2381997,-1.318431372548947,20877.964285714286,20888.589285714286,2382034,2.4999652743921734
E-061176,M0_STOP_M1_TARGET,-1.0473607465733434,2.4999749272364937,3.547335673809837,SHORT,28936.25,28951.558035714286,28897.979910714286,3035401,-1.0473607465733434,28956.660714285714,28885.223214285714,3035408,2.4999749272364937
E-040382,M0_STOP_M1_TARGET,-2.0410256410244756,2.4999527450911927,4.540978386115668,LONG,15343.25,15342.55357142857,15344.99107142857,2021160,-2.0410256410244756,15342.32142857143,15345.57142857143,2021165,2.4999527450911927
E-057390,M0_STOP_M1_TARGET,-1.0522522522522522,2.4999716594838115,3.5522239117360637,LONG,25600.25,25586.375,25634.9375,2853925,-1.0522522522522522,25581.75,25646.5,2853935,2.4999716594838115
E-015473,M0_STOP_M1_TARGET,-2.503703703702893,2.4999174927552135,5.0036211964581065,LONG,8787.75,8787.267857142857,8788.955357142857,785111,-2.503703703702893,8787.107142857143,8789.357142857143,785115,2.4999174927552135
E-039555,M0_STOP_M1_TARGET,-1.1134870719776333,2.4999477636808334,3.6134348356584667,LONG,13887.75,13881.361607142857,13903.720982142857,1978463,-1.1134870719776333,13879.232142857143,13909.044642857143,1978468,2.4999477636808334
E-011792,M0_STOP_M1_TARGET,-1.582078853046777,2.4999065611989626,4.0819854142457395,LONG,7760.75,7759.504464285715,7763.863839285715,599217,-1.582078853046777,7759.089285714285,7764.901785714285,599221,2.4999065611989626
E-016177,M0_STOP_M1_TARGET,-1.1822671156004132,2.499923082606628,3.6821901982070413,SHORT,9431.0,9434.97767857143,9421.05580357143,821137,-1.1822671156004132,9436.30357142857,9417.74107142857,821150,2.499923082606628
E-049618,M0_STOP_M1_TARGET,-1.12981614708231,2.499964390619121,3.629780537701431,SHORT,20367.25,20372.834821428572,20353.287946428572,2476913,-1.12981614708231,20374.696428571428,20348.633928571428,2476922,2.499964390619121
E-060516,M0_STOP_M1_TARGET,-1.216533333333367,2.4999721360529277,3.716505469386295,LONG,26023.75,26020.401785714286,26032.120535714286,3003098,-1.216533333333367,26019.285714285714,26034.910714285714,3003108,2.4999721360529277
E-032825,M0_STOP_M1_TARGET,-1.249462365591398,2.499938016308123,3.749400381899521,LONG,11700.5,11697.59375,11707.765625,1648795,-1.249462365591398,11696.625,11710.1875,1648802,2.499938016308123
