model,quarter,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,expectancy_R,std_trade_R,median_trade_R,sem_R,ci95_low_R,ci95_high_R,longest_drawdown_trades,longest_drawdown_days,recovery_factor
BOS,2021Q4,209,70,138,33.49282296650718,-0.1781279168570767,-37.228734623129036,0.7029186619369269,38.79456901599152,2.0,-1.0,5,11,1,-0.1781279168570767,1.123028287963204,-1.0,0.07768149101149034,-0.3303836392395978,-0.025872194474555632,191,283.3125,-0.9596377938309604
BOS,2022Q1,183,74,108,40.43715846994535,0.04137344362642117,7.5713401836350736,1.0826846115021356,17.109406910942344,2.0,-1.0,5,9,1,0.04137344362642117,1.1911179429542729,-0.4223869830319078,0.0880499719647454,-0.1312045014244798,0.21395138867732216,165,82.18402777777777,0.4425249935924321
BOS,2022Q2,173,71,102,41.040462427745666,0.019757671432047277,3.418077157744179,1.039431340891999,18.214134088462405,2.0,-1.0,5,7,0,0.019757671432047277,1.173484997834728,-0.5490295235537332,0.08921841226749545,-0.15511041661224378,0.19462575947633837,107,510.78125,0.1876607002640511
BOS,2022Q3,200,79,121,39.5,-0.060554414394802004,-12.110882878960401,0.8898429671052938,21.172626094785073,2.0,-1.0,4,10,0,-0.060554414394802004,1.1519065858212538,-0.9214189625658438,0.08145209581276523,-0.22020052218782185,0.09909169339821786,198,87.47222222222223,-0.5720066478642144
BOS,2022Q4,198,88,110,44.44444444444444,-0.006477778226087121,-1.28260008876525,0.9869001056878451,17.203393978592306,2.0,-1.0,7,6,0,-0.006477778226087121,1.1272105793991996,-0.4052137648992319,0.08010736767051069,-0.16348821886028805,0.15053266240811383,98,46.4375,-0.07455506107465201
BOS,2023Q1,195,92,103,47.17948717948718,0.11711715535844543,22.83784529489686,1.2512277228557316,11.336221305961597,2.0,-1.0,5,6,0,0.11711715535844543,1.1885870964065142,-0.1933400884677723,0.08511648988280462,-0.04971116481185163,0.2839454755287425,64,30.461805555555557,2.0145906363778097
BOS,2023Q2,179,80,99,44.6927374301676,0.07406083451453285,13.25688937810138,1.1532262956460075,19.864758831243513,2.0,-1.0,6,8,0,0.07406083451453285,1.1764250202285726,-0.2642888104696086,0.08793013441102412,-0.09828222893107444,0.24640389796014014,125,824.5416666666666,0.6673571771357626
BOS,2023Q3,199,81,118,40.7035175879397,-0.008580059286771928,-1.707431798067614,0.9836014914202348,13.30382770172109,2.0,-1.0,4,6,0,-0.008580059286771928,1.1758135231047113,-0.6124843501980668,0.08335121071235646,-0.1719484322829906,0.1547883137094467,172,913.2777777777778,-0.1283413943978489
BOS,2023Q4,192,67,124,34.895833333333336,-0.1293789651914735,-24.84076131676291,0.7678461867309601,26.514660634723597,2.0,-1.0,5,18,1,-0.1293789651914735,1.10762490504806,-1.0,0.07993594213632889,-0.2860534117786781,0.027295481395731125,123,1004.0763888888889,-0.936868914106766
C1,2021Q1,35,14,21,40.0,0.06552642657447728,2.293424930106705,1.1200958904588234,4.177932413544827,2.0,-1.0,3,4,0,0.06552642657447728,1.317153791288017,-0.8641218931846825,0.2226396261677728,-0.37084724071435743,0.501900093863312,12,24.88888888888889,0.5489377766551315
C1,2021Q2,37,12,25,32.432432432432435,-0.07241841973271487,-2.67948153011045,0.8919999876007958,13.0,2.0,-1.0,7,9,0,-0.07241841973271487,1.3792017875203435,-1.0,0.22673937715808304,-0.5168275989625576,0.3719907594971279,16,102.20833333333333,-0.20611396385465003
C1,2021Q3,26,12,14,46.15384615384615,0.22833447021135544,5.936696225495242,1.4240497303925175,6.6220481937898565,2.0,-1.0,4,6,0,0.22833447021135544,1.4024296164142132,-1.0,0.2750390761744814,-0.3107421190906281,0.767411059513339,22,257.3541666666667,0.8965045333047656
C1,2021Q4,32,7,25,21.875,-0.37292226694646513,-11.933512542286884,0.4868864374760136,11.933512542286882,2.0,-1.0,2,9,0,-0.37292226694646513,1.128289649050434,-1.0,0.19945531549653792,-0.7638546853196795,0.018010151426749166,32,364.37847222222223,-1.0000000000000002
