gross_R,net_R,cost_R,MFE_R,MAE_R,bars_to_MFE,bars_to_MAE,bars_to_plus_0.5r,bars_to_plus_1r,bars_to_stop,bars_to_target,exit_type,exit_timestamp,wrong_direction,signal_id,fold,variant
-1.0,-1.0197147527834889,0.019714752783488998,0.8837647799495069,1.0265267828644271,5.0,36.0,3.0,,36.0,,STOP,2022-07-14 12:21:00-05:00,0,3234,3,M0
3.0,2.9794292383986787,0.020570761601321142,1.6527542941751125,0.2198943481520536,42.0,30.0,42.0,42.0,,42.0,TARGET,2022-07-17 17:00:00-05:00,0,3238,3,M0
-1.0,-1.01801939583584,0.018019395835839825,0.0124271695419585,1.019027902440597,1.0,48.0,,,48.0,,STOP,2022-07-18 11:54:00-05:00,1,3239,3,M0
3.0,2.992240193247795,0.007759806752204958,0.15519613504409915,0.47629158685947676,41.0,17.0,,,,41.0,TARGET,2022-07-18 13:44:00-05:00,0,3240,3,M0
0.7318811653144038,0.7140454058235486,0.01783575949085522,0.9655911172635412,0.07995340461417857,10.0,41.0,5.0,,,,TIME,2022-07-19 11:25:00-05:00,0,3242,3,M0
-0.35591811697678055,-0.37179754065728304,0.015879423680502516,0.4106747503578237,0.8158738373775432,8.0,47.0,,,,,TIME,2022-07-19 14:01:00-05:00,1,3243,3,M0
0.6710670053727974,0.6618873152049619,0.009179690167835436,0.804014242286276,0.2215787281891312,60.0,22.0,31.0,,,,TIME,2022-07-21 11:01:00-05:00,0,3248,3,M0
0.11272793449006693,0.10218241803777035,0.010545516452296583,0.29818356865114476,0.44727535297671717,10.0,26.0,,,,,TIME,2022-07-22 15:05:00-05:00,0,3252,3,M0
2.5,2.4868224875333884,0.013177512466611732,0.5770841666412724,0.15903894356255538,23.0,5.0,22.0,,,23.0,TARGET,2022-07-26 10:53:00-05:00,0,3257,3,M0
-1.0,-1.0373663244974618,0.03736632449746186,0.10307951585506721,1.0179102190687885,1.0,13.0,,,13.0,,STOP,2022-07-26 14:02:00-05:00,1,3259,3,M0
0.5955718135479138,0.5739823353068019,0.021589478241111876,0.7295754715961944,0.9008023679912197,60.0,11.0,54.0,,,,TIME,2022-07-27 11:15:00-05:00,0,3260,3,M0
3.0,2.990472401163823,0.00952759883617688,0.9067645788913168,0.30882561744849196,25.0,15.0,23.0,,,25.0,TARGET,2022-07-27 14:29:00-05:00,0,3261,3,M0
3.0,2.991661738284242,0.008338261715758027,0.6325577853333676,0.2846510034000154,28.0,4.0,14.0,,,28.0,TARGET,2022-07-28 10:44:00-05:00,0,3262,3,M0
-0.27241632328868726,-0.27814101414040604,0.00572469085171879,0.08290931578351352,0.3276892004776963,9.0,14.0,,,,,TIME,2022-07-28 17:48:00-05:00,0,3263,3,M0
-0.6835675189916514,-0.6967831576921566,0.01321563870050526,0.6698961686118183,0.9478802930017566,11.0,41.0,5.0,,,,TIME,2022-07-29 11:22:00-05:00,0,3264,3,M0
-1.0,-1.014797563577191,0.014797563577191095,0.24492519024316295,1.0409320585334425,4.0,30.0,,,30.0,,STOP,2022-08-01 13:15:00-05:00,1,3266,3,M0
-0.0786926810885849,-0.09390659943237799,0.015213918343793082,0.23083186452651572,0.44067901409607546,12.0,19.0,,,,,TIME,2022-08-03 13:02:00-05:00,0,3272,3,M0
3.0,2.9781254605093443,0.021874539490655848,3.273637978946427,0.13577300373510526,28.0,1.0,2.0,23.0,,28.0,TARGET,2022-08-08 10:43:00-05:00,0,3279,3,M0
0.7347733538196974,0.7212011071567859,0.013572246662911607,0.865815735392637,0.19188348730323307,60.0,16.0,4.0,,,,TIME,2022-08-10 11:00:00-05:00,0,3285,3,M0
3.0,2.9760759303702966,0.02392406962970324,2.2274133793171984,0.0,7.0,,3.0,4.0,,7.0,TARGET,2022-08-11 10:09:00-05:00,0,3288,3,M0
0.7616435669897836,0.7393327958355375,0.022310771154246185,1.6771545212502306,0.3615883600860589,41.0,4.0,10.0,20.0,,,TIME,2022-08-11 14:32:00-05:00,0,3289,3,M0
3.0,2.9912904216632183,0.008709578336781688,0.15617174948711993,0.12013211499009226,10.0,2.0,,,,10.0,TARGET,2022-08-15 10:55:00-05:00,0,3291,3,M0
3.0,2.988421401243931,0.011578598756068996,0.40325464633205815,0.06787454443212859,17.0,6.0,,,,17.0,TARGET,2022-08-16 10:47:00-05:00,0,3292,3,M0
-1.0,-1.0173098179548654,0.017309817954865345,0.6744860099654428,1.0744024937502628,8.0,33.0,8.0,,33.0,,STOP,2022-08-16 13:35:00-05:00,0,3294,3,M0
-1.0,-1.027142720285,0.027142720285000067,0.02807867615689662,1.038911017805175,1.0,3.0,,,3.0,,STOP,2022-08-17 10:18:00-05:00,1,3295,3,M0
-1.0,-1.0144250427459622,0.014425042745962336,0.5372084884703215,1.1092360456377934,7.0,38.0,7.0,,38.0,,STOP,2022-08-17 14:10:00-05:00,0,3297,3,M0
0.03381615134015094,0.017471678192411317,0.01634447314773962,0.6086907241227169,0.3156174125080754,20.0,13.0,20.0,,,,TIME,2022-08-17 15:16:00-05:00,0,3298,3,M0
3.0,2.9840545614076013,0.015945438592398893,1.1546696911737129,0.7972719296199446,55.0,4.0,15.0,32.0,,55.0,TARGET,2022-08-18 10:56:00-05:00,0,3299,3,M0
-0.14067120595744181,-0.15698906584850505,0.016317859891063248,0.4051330731574324,0.7258634227403997,2.0,28.0,,,,,TIME,2022-08-19 13:15:00-05:00,0,3303,3,M0
2.5,2.4898548851630133,0.010145114836986604,0.1994039812787022,0.059471362837507674,3.0,1.0,,,,3.0,TARGET,2022-08-24 10:18:00-05:00,0,3311,3,M0
0.04851884524216558,0.036793457641975565,0.011725387600190014,0.3679345764197556,0.48518845242165576,10.0,52.0,,,,,TIME,2022-08-25 11:15:00-05:00,0,3314,3,M0
2.5,2.491822411982904,0.008177588017095871,0.03383829524315533,0.05075744286473299,1.0,1.0,,,,1.0,TARGET,2022-08-25 14:47:00-05:00,0,3316,3,M0
3.0,2.9806105445136097,0.019389455486390053,4.071785652141911,0.22063863139685233,60.0,1.0,18.0,50.0,,60.0,TARGET,2022-08-28 17:00:00-05:00,0,3317,3,M0
-1.0,-1.0166438072909942,0.016643807290994253,0.25252673131163694,1.0101069252465478,4.0,10.0,,,10.0,,STOP,2022-09-01 10:10:00-05:00,1,3325,3,M0
3.0,2.9927583884765876,0.007241611523412361,0.7391437968724341,0.19477437890557386,36.0,1.0,17.0,,,36.0,TARGET,2022-09-02 12:21:00-05:00,0,3329,3,M0
0.2042557663820955,0.19485351681847524,0.009402249563620268,0.5155026484881458,0.5933143690146584,36.0,25.0,36.0,,,,TIME,2022-09-06 11:06:00-05:00,0,3334,3,M0
-0.6346649968870689,-0.6481982946148078,0.01353329772773897,0.3453324247767875,0.7933312461088362,25.0,53.0,,,,,TIME,2022-09-07 11:30:00-05:00,1,3337,3,M0
0.6406023087493902,0.6276110731174095,0.01299123563198064,0.9049067578138239,0.3807775961097774,55.0,19.0,35.0,,,,TIME,2022-09-07 14:01:00-05:00,0,3338,3,M0
-0.7077291193945348,-0.7163527095048043,0.008623590110269542,0.1932873645405242,0.767202154637773,21.0,60.0,,,,,TIME,2022-09-08 11:00:00-05:00,1,3339,3,M0
0.47678422613675264,0.4643277013097564,0.01245652482699624,1.0652476403776094,0.12026989488134301,27.0,47.0,3.0,27.0,,,TIME,2022-09-08 13:10:00-05:00,0,3340,3,M0
0.3865818049757454,0.3741252801487492,0.01245652482699624,1.0652476403776094,0.05583959405205211,27.0,1.0,3.0,27.0,,,TIME,2022-09-08 12:55:00-05:00,0,3341,3,M0
3.0,2.9798081892398542,0.020191810760145635,2.423017291217476,0.15317925404248414,46.0,1.0,7.0,22.0,,46.0,TARGET,2022-09-13 14:31:00-05:00,0,3348,3,M0
3.0,2.9951560498079743,0.004843950192025706,0.04843950192025706,0.07516474435901957,1.0,1.0,,,,1.0,TARGET,2022-09-14 10:07:00-05:00,0,3349,3,M0
3.0,2.996173262523683,0.003826737476316817,0.0013195646470057988,0.02111303435209278,1.0,1.0,,,,1.0,TARGET,2022-09-14 15:02:00-05:00,0,3350,3,M0
1.0,0.9882818174266432,0.011718182573356781,0.016163010446009353,0.11718182573356781,1.0,1.0,,,1.0,,STOP,2022-09-16 10:24:00-05:00,0,3354,3,M0
3.0,2.993882781751644,0.006117218248355968,0.04429709766050874,0.048515868866271475,1.0,1.0,,,,1.0,TARGET,2022-09-20 10:24:00-05:00,0,3359,3,M0
1.0,0.9405837293252493,0.05941627067475071,0.6556278143420767,0.1434185843873293,1.0,1.0,1.0,,1.0,,STOP,2022-09-20 12:31:00-05:00,0,3360,3,M0
1.0,0.9842617022814955,0.015738297718504542,0.08683198741243886,0.17909097403815516,1.0,1.0,,,1.0,,STOP,2022-09-22 10:16:00-05:00,0,3365,3,M0
3.0,2.994479822652204,0.00552017734779632,0.0266491320238443,0.03997369803576645,1.0,1.0,,,,1.0,TARGET,2022-09-23 12:18:00-05:00,0,3368,3,M0
1.0,0.9820499331150102,0.017950066884989818,0.0061896782362033855,0.7056233189271859,1.0,1.0,,,1.0,,STOP,2022-09-26 10:46:00-05:00,0,3371,3,M0
3.0,2.9942873282005515,0.005712671799448639,0.03545796289312948,0.05515683116709031,1.0,1.0,,,,1.0,TARGET,2022-09-27 10:10:00-05:00,0,3375,3,M0
0.07642576191202707,0.07138860942237074,0.00503715248965633,0.08163660931511982,0.3334942337979363,60.0,23.0,,,,,TIME,2022-09-28 12:16:00-05:00,0,3376,3,M0
3.0,2.99483978954535,0.00516021045465011,0.012455680407776129,0.0711753166158636,1.0,1.0,,,,1.0,TARGET,2022-09-28 14:31:00-05:00,0,3377,3,M0
1.0,0.9850014233774683,0.014998576622531698,0.1396419202787434,0.08275076757258867,1.0,1.0,,,1.0,,STOP,2022-09-29 13:16:00-05:00,0,3378,3,M0
3.0,2.9943528935147135,0.005647106485286379,0.0447873962626161,0.11878396400085141,46.0,42.0,,,,46.0,TARGET,2022-09-29 17:04:00-05:00,0,3379,3,M0
1.0,0.9880631019281463,0.011936898071853688,0.045277889238065715,0.03704554574023558,1.0,1.0,,,1.0,,STOP,2022-10-04 12:37:00-05:00,0,3385,3,M0
3.0,2.9939147605977494,0.006085239402250556,0.029377017803968203,0.0,1.0,,,,,1.0,TARGET,2022-10-04 15:26:00-05:00,0,3387,3,M0
3.0,2.994561201835809,0.0054387981641909906,0.07689335335580366,0.020629924071069276,1.0,1.0,,,,1.0,TARGET,2022-10-05 10:36:00-05:00,0,3388,3,M0
3.0,2.9957912386218086,0.004208761378191426,0.030477237566213778,0.030477237566213778,1.0,1.0,,,,1.0,TARGET,2022-10-06 10:01:00-05:00,0,3391,3,M0
1.0,0.9811398079415654,0.018860192058434536,0.14307731906398613,0.4032178991803246,1.0,1.0,,,1.0,,STOP,2022-10-10 10:02:00-05:00,0,3395,3,M0
-0.23758057106046712,-0.24346932025769238,0.005888749197225254,0.03452025391476873,0.5909055228939823,1.0,30.0,,,,,TIME,2022-10-12 14:35:00-05:00,0,3401,3,M0
3.0,2.99751676945058,0.0024832305494196035,0.09676036278772938,0.011131723152570636,1.0,1.0,,,,1.0,TARGET,2022-10-13 10:36:00-05:00,0,3403,3,M0
3.0,2.99523128663621,0.004768713363789975,0.03617644620806188,0.008221919592741336,1.0,1.0,,,,1.0,TARGET,2022-10-17 10:53:00-05:00,0,3406,3,M0
1.0,0.9646650343253331,0.03533496567466693,0.0852912964560926,0.8529129645609259,1.0,1.0,,,1.0,,STOP,2022-10-18 10:34:00-05:00,1,3407,3,M0
2.5,2.495617014328637,0.004382985671362683,0.13904644198805755,0.034761610497014386,1.0,1.0,,,,1.0,TARGET,2022-10-18 15:01:00-05:00,0,3409,3,M0
1.0,0.9829036684417956,0.017096331558204482,0.011790573488416885,0.38319363837354875,1.0,1.0,,,1.0,,STOP,2022-10-19 10:22:00-05:00,0,3410,3,M0
-0.2693181109039535,-0.27497769439396413,0.005659583490010617,0.05074109335871588,0.47618564536641056,45.0,35.0,,,,,TIME,2022-10-19 14:32:00-05:00,0,3412,3,M0
1.0,0.9783978499136534,0.021602150086346566,0.5214312089807792,0.05959213816923191,1.0,1.0,1.0,,1.0,,STOP,2022-10-20 11:38:00-05:00,0,3414,3,M0
3.0,2.9955468286335294,0.004453171366470422,0.07524324033001749,0.0,1.0,,,,,1.0,TARGET,2022-10-21 11:01:00-05:00,0,3415,3,M0
3.0,2.9950109942110963,0.004989005788903581,0.16687364190470597,0.3389083242806915,21.0,2.0,,,,21.0,TARGET,2022-10-24 10:36:00-05:00,0,3416,3,M0
