signal_id,entry_timestamp,direction,phase44_class,setup_type,walk_forward_fold,entry_price,initial_stop,initial_target,initial_risk_points,atr_entry,mfe_r,mae_r,time_to_0_5r,time_to_1r,time_to_1_5r,time_to_2r,time_to_mfe,max_giveback,control_exit_timestamp,control_exit_price,control_exit_r,control_exit_type,hold_minutes,reached_1r_then_negative,reached_2r_gave_back_1r
5070,2025-04-30 15:01:00-05:00,Long,A+,L,6,19728.75,18033.098024725103,18266.70305894317,1695.6519752748973,43.375,0.007519231650075472,0.008846154882441733,,,,,,0.0,2025-04-30 15:02:00-05:00,,2.9995724358473486,TARGET,1,0,0
5071,2025-05-01 10:15:00-05:00,Long,A,L,6,20092.0,18585.025859062753,18737.339211943316,1506.9741409372473,12.0,0.015760058089138097,0.00016589534830671683,,,,,,0.0,2025-05-01 10:16:00-05:00,,2.9995189034899106,TARGET,1,0,0
5077,2025-05-05 10:04:00-05:00,Long,B,L,6,20115.5,18607.853697675964,18729.543013919963,1507.6463023240358,12.017857142857142,0.0008291069318268654,0.005637927136422685,,,,,,0.0,2025-05-05 10:05:00-05:00,,2.9995191179795406,TARGET,1,0,0
5079,2025-05-05 14:21:00-05:00,Short,B,RS,6,20124.5,18721.082537144182,18633.40502755792,1403.4174628558176,9.839285714285714,0.011578878295366822,0.0016032293024354062,,,,,,0.0,2025-05-05 14:22:00-05:00,,0.9994834038914375,STOP,1,0,0
5081,2025-05-06 15:23:00-05:00,Short,A,S,6,19876.5,18459.19680552036,18302.40958343892,1417.3031944796385,10.928571428571429,0.0022930873313901155,0.0031750439973093907,,,,,,0.0,2025-05-06 15:24:00-05:00,,0.9994884651337668,STOP,1,0,0
5083,2025-05-07 12:03:00-05:00,Long,A,L,6,19909.5,18382.73074032124,18531.886563970536,1526.7692596787601,10.732142857142858,0.0011462111834555856,0.005894800372057298,,,,,,0.0,2025-05-07 12:04:00-05:00,,2.99952514108114,TARGET,1,0,0
5084,2025-05-07 14:08:00-05:00,Long,A+,RL,6,19884.0,18272.604874463348,18465.40456415656,1611.395125536652,29.446428571428573,0.004809496986295633,0.009618993972591265,,,,,,0.0,2025-05-07 14:09:00-05:00,,2.499550079314185,TARGET,1,0,0
5085,2025-05-08 10:35:00-05:00,Long,A+,L,6,20199.75,18595.34417947774,18768.97615556974,1604.405820522261,20.875,0.00794686720586046,0.0009349255536306425,,,,,,0.0,2025-05-08 10:36:00-05:00,,2.999548119315745,TARGET,1,0,0
5086,2025-05-08 15:10:00-05:00,Short,A+,S,6,20161.0,18831.47077237209,18664.110278658143,1329.5292276279106,10.75,0.005265021523813434,0.0020684013129267063,,,,,,0.0,2025-05-08 15:11:00-05:00,,0.9994546941993193,STOP,1,0,0
5089,2025-05-12 15:18:00-05:00,Long,B,L,6,20950.75,19448.682481334858,19592.952555995424,1502.0675186651424,6.875,0.00016643725857421512,0.003328745171484302,,,,,,0.0,2025-05-12 15:19:00-05:00,,2.999517331950135,TARGET,1,0,0
5093,2025-05-15 10:15:00-05:00,Long,A,L,6,21385.75,19851.91589266332,19982.368609565176,1533.8341073366792,10.714285714285714,0.003911765927814898,0.001955882963907449,,,,,,0.0,2025-05-15 10:16:00-05:00,,2.9995273282837225,TARGET,1,0,0
5094,2025-05-15 13:15:00-05:00,Short,A+,S,6,21416.5,20039.30092602001,19915.1109721541,1377.1990739799912,12.571428571428571,0.013433061602732953,0.005082780065898955,,,,,,0.0,2025-05-15 13:16:00-05:00,,0.9994735692074604,STOP,1,0,0
5095,2025-05-15 15:00:00-05:00,Long,A,RL,6,21433.5,19868.63807961044,19997.72833808872,1564.8619203895614,23.053571428571427,0.007508649706981763,0.011183095308270712,,,,,,0.0,2025-05-15 15:01:00-05:00,,2.4995367003372286,TARGET,1,0,0
5103,2025-05-21 10:22:00-05:00,Long,A+,L,6,21520.0,19974.059374192548,20108.880859999805,1545.9406258074523,12.25,0.0012937107458156035,0.004689701453581563,,,,,,0.0,2025-05-21 10:23:00-05:00,,2.999531029854642,TARGET,1,0,0
5104,2025-05-21 12:30:00-05:00,Short,A+,S,6,21181.25,20027.874892253654,19852.258629032985,1153.3751077463457,38.94642857142857,0.009537226810359737,0.050720706218731336,,,,,,0.0,2025-05-21 12:31:00-05:00,,0.9993714100511354,STOP,1,0,0
5106,2025-05-22 11:02:00-05:00,Long,B,L,6,21277.25,19773.15721610683,19941.518721715645,1504.0927838931711,14.053571428571429,0.0028256235556156075,0.0024931972549549477,,,,,,0.0,2025-05-22 11:03:00-05:00,,2.999517981864042,TARGET,1,0,0
5107,2025-05-22 12:45:00-05:00,Long,A,L,6,21277.25,19781.191640721405,19941.066013399883,1496.0583592785952,11.642857142857142,0.0015039520256983547,0.005848702322160268,,,,,,0.0,2025-05-22 12:46:00-05:00,,2.999515393236164,TARGET,1,0,0
5111,2025-05-28 14:50:00-05:00,Short,A,S,6,21395.75,20018.151689524024,19910.826433064503,1377.5983104759762,15.553571428571429,0.004718356541649775,0.0029036040256306306,,,,,,0.0,2025-05-28 14:51:00-05:00,,0.9994737217703544,STOP,1,0,0
5117,2025-06-02 13:51:00-05:00,Long,B,L,6,21513.75,20017.076173452944,20144.771479641167,1496.6738265470558,7.214285714285714,0.00033407412565872107,0.0038418524450752924,,,,,,0.0,2025-06-02 13:52:00-05:00,,2.999515592517795,TARGET,1,0,0
5118,2025-06-03 10:18:00-05:00,Long,B,L,6,21673.75,20180.76793842627,20287.696184721193,1492.9820615737299,8.946428571428571,0.001004700618049538,0.002846651751140358,,,,,,0.0,2025-06-03 10:19:00-05:00,,2.999514394701276,TARGET,1,0,0
5122,2025-06-04 12:00:00-05:00,Long,B,RL,6,21759.5,20252.293526822392,20348.344682173996,1507.2064731776081,6.714285714285714,0.002985655966904624,0.0011610884315740205,,,,,,0.0,2025-06-04 12:01:00-05:00,,2.4995189776497764,TARGET,1,0,0
5128,2025-06-09 12:06:00-05:00,Long,B,L,6,21879.0,20384.371780877784,20471.341906119265,1494.6282191222163,6.660714285714286,0.0011708597346220062,0.0026762508219931574,,,,,,0.0,2025-06-09 12:07:00-05:00,,2.9995149295385137,TARGET,1,0,0
5129,2025-06-09 15:00:00-05:00,Short,B,S,6,21807.5,20397.739810894163,20315.332310909456,1409.7601891058366,13.0,0.004965383512808561,0.003546702509148972,,,,,,0.0,2025-06-09 15:01:00-05:00,,0.9994857281361734,STOP,1,0,0
5131,2025-06-10 11:20:00-05:00,Long,B,RL,6,21900.0,20391.86044284442,20485.35107313595,1508.1395571555804,7.035714285714286,0.0006630686101000131,0.005801850338375115,,,,,,0.0,2025-06-10 11:21:00-05:00,,2.4995192752576774,TARGET,1,0,0
5133,2025-06-11 13:15:00-05:00,Short,A+,S,6,21830.25,20487.65217709716,20339.896499637365,1342.5978229028406,22.928571428571427,0.017130967746001206,0.0,,,,,,0.0,2025-06-11 13:16:00-05:00,,0.9994600021036587,STOP,1,0,0
5140,2025-06-13 13:31:00-05:00,Short,A+,S,6,21664.25,20312.613701352,20153.379048330684,1351.6362986480017,16.053571428571427,0.023675007864178085,0.0009248049946944565,,,,,,0.0,2025-06-13 13:32:00-05:00,,0.9994636131030772,STOP,1,0,0
5153,2025-06-20 10:00:00-05:00,Short,A+,S,6,21782.0,20221.31168476766,20062.79603136181,1560.688315232339,21.875,0.0038444575649345994,0.008329658057358299,,,,,,0.0,2025-06-20 10:01:00-05:00,,0.9995354613775704,STOP,1,0,0
5170,2025-06-27 13:52:00-05:00,Short,A,S,6,22602.25,21009.901129143,20900.6383702715,1592.3488708570003,17.339285714285715,0.0012560061658621344,0.013031063970819644,,,,,,0.0,2025-06-27 13:53:00-05:00,,0.999544697764875,STOP,1,0,0
5174,2025-07-01 10:00:00-05:00,Short,A+,S,6,22677.75,21045.141689706805,20938.671522213943,1632.6083102931952,14.767857142857142,0.004593875917888166,0.012862852570086864,,,,,,0.0,2025-07-01 10:01:00-05:00,,0.9995559253279375,STOP,1,0,0
5185,2025-07-09 10:06:00-05:00,Short,A+,S,6,22935.75,21305.58086231155,21200.34689462886,1630.1691376884482,15.089285714285714,0.005060824554498902,0.0013802248784997005,,,,,,0.0,2025-07-09 10:07:00-05:00,,0.9995552608724835,STOP,1,0,0
5196,2025-07-15 10:48:00-05:00,Long,B,RL,6,23178.5,21453.459268093295,21554.743247292863,1725.0407319067053,8.732142857142858,0.0014492411418231988,0.0026086340552817578,,,,,,0.0,2025-07-15 10:49:00-05:00,,2.4995797200688714,TARGET,1,0,0
5197,2025-07-15 14:21:00-05:00,Short,B,S,6,23088.5,21450.07626274882,21339.77121175355,1638.4237372511816,8.017857142857142,0.001373271119579159,0.0035094706389245177,,,,,,0.0,2025-07-15 14:22:00-05:00,,0.9995575015281356,STOP,1,0,0
5200,2025-07-16 12:20:00-05:00,Long,B,L,6,23062.75,21335.08252566705,21498.75242299885,1727.6674743329495,8.535714285714286,0.0,0.006222262188590755,,,,,,0.0,2025-07-16 12:21:00-05:00,,2.9995803590617,TARGET,1,0,0
5220,2025-07-29 10:31:00-05:00,Short,A,S,6,23455.75,21845.77085317156,21761.233335364257,1609.9791468284384,12.25,0.0013975336291978465,0.014441180835044413,,,,,,0.0,2025-07-29 10:32:00-05:00,,0.9995496836083696,STOP,1,0,0
5225,2025-07-30 11:10:00-05:00,Long,B,RL,6,23525.25,21802.636519210184,21875.57858890509,1722.613480789816,5.5,0.00029025663944691216,0.00406359295225677,,,,,,0.0,2025-07-30 11:11:00-05:00,,2.499579127872802,TARGET,1,0,0
5228,2025-07-31 10:15:00-05:00,Short,A+,S,6,23496.25,21884.768539670953,21747.42745617788,1611.481460329047,16.732142857142858,0.008067111114853,0.0034130085485916542,,,,,,0.0,2025-07-31 10:16:00-05:00,,0.9995501034185947,STOP,1,0,0
5229,2025-07-31 11:00:00-05:00,Long,B,RL,6,23590.25,21869.00975978241,21988.65887025252,1721.2402402175903,11.285714285714286,0.001016708742400058,0.004212079075657383,,,,,,0.0,2025-07-31 11:01:00-05:00,,2.4995787920924344,TARGET,1,0,0
5230,2025-07-31 12:48:00-05:00,Short,B,S,6,23453.5,21835.48029451844,21693.55911644467,1618.0197054815617,14.267857142857142,0.002317647916954083,0.005562355000689799,,,,,,0.0,2025-07-31 12:49:00-05:00,,0.9995519214027222,STOP,1,0,0
5232,2025-08-01 11:00:00-05:00,Long,A,L,6,23015.75,21274.22664242667,21463.254899355987,1741.5233575733291,14.946428571428571,0.003732364525421709,0.003014602116686765,,,,,,0.0,2025-08-01 11:01:00-05:00,,2.9995836978029335,TARGET,1,0,0
5233,2025-08-01 13:45:00-05:00,Long,A+,L,6,22927.0,21177.692951764453,21366.133057295738,1749.307048235547,12.196428571428571,0.002572447189610859,0.0020007922585862235,,,,,,0.0,2025-08-01 13:46:00-05:00,,2.999585550175007,TARGET,1,0,0
5235,2025-08-04 15:33:00-05:00,Long,B,L,6,23338.0,21634.799163420234,21720.6025097393,1703.2008365797665,3.732142857142857,0.004550256102247424,0.0007339122745560361,,,,,,0.0,2025-08-04 15:34:00-05:00,,2.9995743308807574,TARGET,1,0,0
5237,2025-08-05 10:49:00-05:00,Short,B,RS,6,23136.75,21534.752770109888,21417.520266517076,1601.997229890112,16.964285714285715,0.01045569847904728,0.004993766437753924,,,,,,0.0,2025-08-05 10:50:00-05:00,,0.9995474399165786,STOP,1,0,0
5238,2025-08-05 13:46:00-05:00,Short,A,S,6,23145.75,21523.660966068022,21396.15465748683,1622.0890339319776,12.410714285714286,0.002465955885481771,0.004161300556750488,,,,,,0.0,2025-08-05 13:47:00-05:00,,0.9995530454957564,STOP,1,0,0
5239,2025-08-06 10:00:00-05:00,Long,A,L,6,23287.25,21554.735747016806,21685.742437597,1732.5142529831937,13.517857142857142,0.0021644843576570432,0.005916257244262584,,,,,,0.0,2025-08-06 10:01:00-05:00,,2.999581533024186,TARGET,1,0,0
5245,2025-08-07 15:00:00-05:00,Long,A+,L,6,23525.0,21730.732431079847,21880.19472903027,1794.2675689201533,13.982142857142858,0.00041799785772830616,0.005851970008196286,,,,,,0.0,2025-08-07 15:01:00-05:00,,2.999595935404196,TARGET,1,0,0
5254,2025-08-12 10:32:00-05:00,Long,B,L,6,23846.5,22119.23322152369,22256.300335428936,1727.2667784763107,11.982142857142858,0.0010131613841052065,0.0046315948987666585,,,,,,0.0,2025-08-12 10:33:00-05:00,,2.9995802617122993,TARGET,1,0,0
5270,2025-08-20 10:31:00-05:00,Long,A+,L,6,23230.0,21419.6118971063,21587.26890463376,1810.3881028936994,13.392857142857142,0.010356895281199792,0.0012428274337439751,,,,,,0.0,2025-08-20 10:32:00-05:00,,2.9995995333824603,TARGET,1,0,0
5272,2025-08-20 14:31:00-05:00,Long,A,L,6,23334.5,21598.32696915126,21767.019092546212,1736.1730308487386,13.089285714285714,0.0005759794572498019,0.0046078356579984155,,,,,,0.0,2025-08-20 14:32:00-05:00,,2.999582414893494,TARGET,1,0,0
5275,2025-08-21 13:00:00-05:00,Long,B,L,6,23218.25,21495.0920306544,21651.084342567978,1723.1579693456006,11.035714285714286,0.0026114843096532547,0.0011606596931792244,,,,,,0.0,2025-08-21 13:01:00-05:00,,2.9995792608612226,TARGET,1,0,0
5277,2025-08-25 10:16:00-05:00,Long,B,L,6,23590.75,21875.48735548467,21962.17815022692,1715.2626445153292,9.446428571428571,0.0017490032850611581,0.0008745016425305791,,,,,,0.0,2025-08-25 10:17:00-05:00,,2.9995773242061103,TARGET,1,0,0
5283,2025-08-27 15:47:00-05:00,Short,A,RS,6,23518.0,21935.60463023248,21813.869015659628,1582.3953697675206,16.553571428571427,0.0022118366034616283,0.0037917198916485053,,,,,,0.0,2025-08-27 15:48:00-05:00,,0.9995418338464258,STOP,1,0,0
5284,2025-08-28 10:09:00-05:00,Long,A,L,6,23713.75,21993.921708618946,22119.90115339273,1719.8282913810544,9.625,0.006105260654578663,0.000726816744592698,,,,,,0.0,2025-08-28 10:10:00-05:00,,2.9995784462881363,TARGET,1,0,0
5290,2025-09-02 10:04:00-05:00,Short,A,S,6,23143.0,21535.02082271798,21365.16308786753,1607.9791772820208,15.714285714285714,0.003264967652674529,0.002021170451655661,,,,,,0.0,2025-09-02 10:05:00-05:00,,0.9995491235146307,STOP,1,0,0
5291,2025-09-02 12:01:00-05:00,Long,A,RL,6,23135.0,21367.23180101296,21499.805802861185,1767.7681989870398,10.642857142857142,0.002969846387670248,0.0007071062827786305,,,,,,0.0,2025-09-02 12:02:00-05:00,,2.4995898783559882,TARGET,1,0,0
5294,2025-09-03 10:06:00-05:00,Long,A,L,6,23513.5,21797.819119757623,21919.54264072713,1715.6808802423766,10.607142857142858,0.0,0.00845145514354136,,,,,,0.0,2025-09-03 10:07:00-05:00,,2.999577427242823,TARGET,1,0,0
5295,2025-09-03 13:00:00-05:00,Short,A,S,6,23339.5,21723.342469503044,21591.75488739301,1616.1575304969556,13.732142857142858,0.00015468789105176336,0.013457846521503412,,,,,,0.0,2025-09-03 13:01:00-05:00,,0.9995514051159499,STOP,1,0,0
5307,2025-09-10 14:36:00-05:00,Short,B,S,6,23823.75,22154.54554516615,22054.363364501543,1669.204454833849,10.053571428571429,0.0011981755705289428,0.004493158389483535,,,,,,0.0,2025-09-10 14:37:00-05:00,,0.9995656613556833,STOP,1,0,0
