gross_R,net_R,cost_R,MFE_R,MAE_R,bars_to_MFE,bars_to_MAE,bars_to_plus_0.5r,bars_to_plus_1r,bars_to_stop,bars_to_target,exit_type,exit_timestamp,wrong_direction,signal_id,fold,variant,family,bars_to_plus_1.5r,bars_to_plus_2r,exit_i,exit_price,hold_bars,mfe_capture,realized_parts,initial_risk_points,initial_stop,initial_target
1.0,0.9994831026116326,0.0005168973883673335,0.0058819357986627605,0.0010694428724841382,,,,,,,STOP,2025-03-26 12:18:00-05:00,0,5006,6,TIME_60,Time_Exit,,,2631824.0,18721.650535742738,1.0,170.01205627360756,1.0,1402.5994642572623,18721.650535742738,18587.0483927718
1.0,0.9994855516486449,0.0005144483513550674,0.010288967027101349,0.0008869799161294265,,,,,,,STOP,2025-03-26 14:07:00-05:00,0,5007,6,TIME_60,Time_Exit,,,2631933.0,18650.22344562805,1.0,97.19148650841038,1.0,1409.2765543719506,18650.22344562805,18512.868430119805
1.0,0.9994819194825694,0.0005180805174305969,0.021259166060083115,0.0005359453628592382,,,,,,,STOP,2025-03-28 11:16:00-05:00,0,5012,6,TIME_60,Time_Exit,,,2634522.0,18138.853621237075,1.0,47.038533739930266,1.0,1399.3963787629255,18138.853621237075,17963.439136288773
1.0,0.9994812387095565,0.000518761290443476,0.0005366496108035959,0.0033987808684227735,,,,,,,STOP,2025-03-28 15:38:00-05:00,0,5013,6,TIME_60,Time_Exit,,,2634784.0,17985.440056041545,1.0,1863.413258611273,1.0,1397.5599439584548,17985.440056041545,17844.351770338522
3.0,2.999533148980323,0.00046685101967694373,0.00563440885817001,0.006761290629804012,,,,,,,TARGET,2025-04-01 10:01:00-05:00,0,5016,6,TIME_60,Time_Exit,,,2637207.0,18159.200419778033,1.0,532.4427238981668,1.0,1552.9579447029864,17967.792055297014,18159.200419778033
1.0,0.999452289076448,0.0005477109235520305,0.007554633428303869,0.011331950142455803,,,,,,,STOP,2025-04-03 10:06:00-05:00,0,5022,6,TIME_60,Time_Exit,,,2639969.0,17430.309036711904,1.0,132.3690963288096,1.0,1323.690963288096,17430.309036711904,17178.93149997367
1.0,0.9994733143753839,0.0005266856246161041,0.00908078663131214,0.000908078663131214,,,,,,,STOP,2025-04-03 13:16:00-05:00,0,5024,6,TIME_60,Time_Exit,,,2640159.0,17409.217271337726,1.0,110.12261829298193,1.0,1376.5327286622742,17409.217271337726,17165.382111796258
1.0,0.9994299740529512,0.0005700259470488232,0.03754308823666387,0.002162167385357605,,,,,,,STOP,2025-04-04 15:23:00-05:00,0,5027,6,TIME_60,Time_Exit,,,2641666.0,16186.12807249649,1.0,26.636061308974014,1.0,1271.8719275035091,16186.12807249649,15713.61578251053
1.0,0.9994408917364163,0.0005591082635837163,0.018122819578230802,0.00809743002431589,,,,,,,STOP,2025-04-08 10:17:00-05:00,0,5030,6,TIME_60,Time_Exit,,,2644120.0,16728.54228304914,1.0,55.17905178514295,1.0,1296.7077169508593,16728.54228304914,16422.0753322807
1.0,0.9994593734015443,0.0005406265984556566,0.01565952905871557,0.017896604638532078,,,,,,,STOP,2025-04-08 12:01:00-05:00,0,5031,6,TIME_60,Time_Exit,,,2644224.0,16303.463502589364,1.0,63.858880829077904,1.0,1341.036497410636,16303.463502589364,15918.609492231908
3.0,2.9995881149998276,0.00041188500017224277,0.006817406899402639,0.06703783451079262,,,,,,,TARGET,2025-04-09 13:19:00-05:00,0,5035,6,TIME_60,Time_Exit,,,2645682.0,18033.60016531424,1.0,440.05001377618646,1.0,1760.2000551047458,17206.799944895254,18033.60016531424
3.0,2.9995664093002046,0.0004335906997952472,0.0,0.06085221200574676,,,,,,,TARGET,2025-04-10 12:01:00-05:00,0,5037,6,TIME_60,Time_Exit,,,2646984.0,17152.337668656262,1.0,0.0,1.0,1672.0838346910205,16701.41616530898,17152.337668656262
3.0,2.9995407083005565,0.00045929169944358906,0.0012670115846719697,0.013620374535223675,,,,,,,TARGET,2025-04-11 12:04:00-05:00,0,5042,6,TIME_60,Time_Exit,,,2648367.0,17580.552596824444,1.0,2367.776298412222,1.0,1578.5175322748146,17179.482467725185,17580.552596824444
1.0,0.999454513376924,0.0005454866230759649,0.009781139448258681,0.018433685883256744,,,,,,,STOP,2025-04-14 10:31:00-05:00,0,5044,6,TIME_60,Time_Exit,,,2649654.0,17626.91149566277,1.0,102.23757725670993,1.0,1329.088504337229,17626.91149566277,17386.30091711809
1.0,0.9994714112627356,0.0005285887372643197,0.008019967048148297,0.0045567994591751695,,,,,,,STOP,2025-04-15 12:17:00-05:00,0,5050,6,TIME_60,Time_Exit,,,2651140.0,17585.42329227029,1.0,124.6887916117918,1.0,1371.5767077297096,17585.42329227029,17372.73012318913
1.0,0.9994720050398848,0.0005279949601152091,0.017296386624463745,0.0014565378210074733,,,,,,,STOP,2025-04-17 14:16:00-05:00,0,5056,6,TIME_60,Time_Exit,,,2654019.0,17011.130832646955,1.0,57.81554388854926,1.0,1373.1191673530448,17011.130832646955,16786.283231062378
1.0,0.9994827570170569,0.0005172429829430409,0.01248517545034926,0.002675394739360556,,,,,,,STOP,2025-04-21 10:31:00-05:00,0,5057,6,TIME_60,Time_Exit,,,2655174.0,16464.587678986285,1.0,80.09498977221229,1.0,1401.662321013715,16464.587678986285,16306.498519649149
3.0,2.999524953978414,0.0004750460215859392,0.008190448648033434,0.0016380897296066868,,,,,,,TARGET,2025-04-22 10:05:00-05:00,0,5060,6,TIME_60,Time_Exit,,,2656528.0,16972.150818435326,1.0,366.28030147290093,1.0,1526.1679228037538,16833.582077196246,16972.150818435326
1.0,0.9994398068127915,0.0005601931872085118,0.011010693679615576,0.031100380393300136,,,,,,,STOP,2025-04-22 12:31:00-05:00,0,5062,6,TIME_60,Time_Exit,,,2656674.0,16955.55361104937,1.0,90.8207992246056,1.0,1294.1963889506296,16955.55361104937,16755.96488878285
3.0,2.9995398095404506,0.0004601904595492109,0.0034911000379595305,0.023009522977460544,,,,,,,TARGET,2025-04-24 15:02:00-05:00,0,5064,6,TIME_60,Time_Exit,,,2659585.0,17966.82452902206,1.0,859.3279961560289,1.0,1575.4346596193864,17807.815340380614,17966.82452902206
3.0,2.999517937578703,0.0004820624212966789,0.0033245684227357166,0.0,,,,,,,TARGET,2025-04-25 15:16:00-05:00,0,5066,6,TIME_60,Time_Exit,,,2660979.0,18234.745059228808,1.0,902.3727649832407,1.0,1503.954608305401,18051.7953916946,18234.745059228808
