failure_event_id,failure_definition,displacement_direction,reversal_direction,body_ratio,body_atr_ratio,reclaim_depth,bars_until_reclaim,bars_until_opposite_bos,extreme_beyond_disp,reversal_body,reversal_close_location,volume_ratio24
C_EXT_MID_4_2018-03-28 11:45:00-05:00_Long,C_EXT_MID_4,Short,Long,1.7885375494071145,1.0561909127202551,0.084070796460177,4,4,14.75,5.75,0.18571428571428572,0.7687674108764988
A_MID_1_2018-04-02 10:15:00-05:00_Short,A_MID_1,Long,Short,1.7783505154639176,0.8684134601006894,1.6862745098039216,1,1,,55.0,0.27564102564102566,3.3308231206450514
B_OPEN_1_2018-04-02 10:15:00-05:00_Short,B_OPEN_1,Long,Short,1.7783505154639176,0.8684134601006894,1.4803921568627452,1,1,,55.0,0.27564102564102566,3.3308231206450514
C_EXT_MID_1_2018-04-02 10:15:00-05:00_Short,C_EXT_MID_1,Long,Short,1.7783505154639176,0.8684134601006894,1.6862745098039216,1,1,0.75,55.0,0.27564102564102566,3.3308231206450514
C_EXT_OPEN_1_2018-04-02 10:15:00-05:00_Short,C_EXT_OPEN_1,Long,Short,1.7783505154639176,0.8684134601006894,1.4803921568627452,1,1,0.75,55.0,0.27564102564102566,3.3308231206450514
A_MID_2_2018-04-02 10:15:00-05:00_Short,A_MID_2,Long,Short,1.7783505154639176,0.8684134601006894,1.6862745098039216,1,1,,55.0,0.27564102564102566,3.3308231206450514
B_OPEN_2_2018-04-02 10:15:00-05:00_Short,B_OPEN_2,Long,Short,1.7783505154639176,0.8684134601006894,1.4803921568627452,1,1,,55.0,0.27564102564102566,3.3308231206450514
C_EXT_MID_2_2018-04-02 10:15:00-05:00_Short,C_EXT_MID_2,Long,Short,1.7783505154639176,0.8684134601006894,1.6862745098039216,1,1,0.75,55.0,0.27564102564102566,3.3308231206450514
C_EXT_OPEN_2_2018-04-02 10:15:00-05:00_Short,C_EXT_OPEN_2,Long,Short,1.7783505154639176,0.8684134601006894,1.4803921568627452,1,1,0.75,55.0,0.27564102564102566,3.3308231206450514
A_MID_3_2018-04-02 10:15:00-05:00_Short,A_MID_3,Long,Short,1.7783505154639176,0.8684134601006894,1.6862745098039216,1,1,,55.0,0.27564102564102566,3.3308231206450514
B_OPEN_3_2018-04-02 10:15:00-05:00_Short,B_OPEN_3,Long,Short,1.7783505154639176,0.8684134601006894,1.4803921568627452,1,1,,55.0,0.27564102564102566,3.3308231206450514
C_EXT_MID_3_2018-04-02 10:15:00-05:00_Short,C_EXT_MID_3,Long,Short,1.7783505154639176,0.8684134601006894,1.6862745098039216,1,1,0.75,55.0,0.27564102564102566,3.3308231206450514
C_EXT_OPEN_3_2018-04-02 10:15:00-05:00_Short,C_EXT_OPEN_3,Long,Short,1.7783505154639176,0.8684134601006894,1.4803921568627452,1,1,0.75,55.0,0.27564102564102566,3.3308231206450514
A_MID_4_2018-04-02 10:15:00-05:00_Short,A_MID_4,Long,Short,1.7783505154639176,0.8684134601006894,1.6862745098039216,1,1,,55.0,0.27564102564102566,3.3308231206450514
B_OPEN_4_2018-04-02 10:15:00-05:00_Short,B_OPEN_4,Long,Short,1.7783505154639176,0.8684134601006894,1.4803921568627452,1,1,,55.0,0.27564102564102566,3.3308231206450514
C_EXT_MID_4_2018-04-02 10:15:00-05:00_Short,C_EXT_MID_4,Long,Short,1.7783505154639176,0.8684134601006894,1.6862745098039216,1,1,0.75,55.0,0.27564102564102566,3.3308231206450514
C_EXT_OPEN_4_2018-04-02 10:15:00-05:00_Short,C_EXT_OPEN_4,Long,Short,1.7783505154639176,0.8684134601006894,1.4803921568627452,1,1,0.75,55.0,0.27564102564102566,3.3308231206450514
D_OPP_BOS_2018-04-02 10:15:00-05:00_Short,D_OPP_BOS,Long,Short,1.7783505154639176,0.8684134601006894,0.17647058823529413,9,9,,7.25,0.08695652173913043,1.0909465828750984
E_MID_BOS_2018-04-02 10:15:00-05:00_Short,E_MID_BOS,Long,Short,1.7783505154639176,0.8684134601006894,2.7058823529411766,9,9,,7.25,0.08695652173913043,1.0909465828750984
E_OPEN_BOS_2018-04-02 10:15:00-05:00_Short,E_OPEN_BOS,Long,Short,1.7783505154639176,0.8684134601006894,2.5,9,9,,7.25,0.08695652173913043,1.0909465828750984
A_MID_1_2018-04-02 11:30:00-05:00_Short,A_MID_1,Long,Short,2.09366391184573,1.078120063640919,0.2391304347826087,1,1,,21.5,0.24615384615384617,0.9019608919683864
A_MID_2_2018-04-02 11:30:00-05:00_Short,A_MID_2,Long,Short,2.09366391184573,1.078120063640919,0.2391304347826087,1,1,,21.5,0.24615384615384617,0.9019608919683864
B_OPEN_2_2018-04-02 11:30:00-05:00_Short,B_OPEN_2,Long,Short,2.09366391184573,1.078120063640919,0.5579710144927537,2,2,,26.5,0.039735099337748346,1.037559453738261
A_MID_3_2018-04-02 11:30:00-05:00_Short,A_MID_3,Long,Short,2.09366391184573,1.078120063640919,0.2391304347826087,1,1,,21.5,0.24615384615384617,0.9019608919683864
B_OPEN_3_2018-04-02 11:30:00-05:00_Short,B_OPEN_3,Long,Short,2.09366391184573,1.078120063640919,0.5579710144927537,2,2,,26.5,0.039735099337748346,1.037559453738261
A_MID_4_2018-04-02 11:30:00-05:00_Short,A_MID_4,Long,Short,2.09366391184573,1.078120063640919,0.2391304347826087,1,1,,21.5,0.24615384615384617,0.9019608919683864
B_OPEN_4_2018-04-02 11:30:00-05:00_Short,B_OPEN_4,Long,Short,2.09366391184573,1.078120063640919,0.5579710144927537,2,2,,26.5,0.039735099337748346,1.037559453738261
D_OPP_BOS_2018-04-02 11:30:00-05:00_Short,D_OPP_BOS,Long,Short,2.09366391184573,1.078120063640919,0.13043478260869565,4,4,,7.25,0.08695652173913043,1.0909465828750984
E_MID_BOS_2018-04-02 11:30:00-05:00_Short,E_MID_BOS,Long,Short,2.09366391184573,1.078120063640919,1.7826086956521738,4,4,,7.25,0.08695652173913043,1.0909465828750984
E_OPEN_BOS_2018-04-02 11:30:00-05:00_Short,E_OPEN_BOS,Long,Short,2.09366391184573,1.078120063640919,1.3333333333333333,4,4,,7.25,0.08695652173913043,1.0909465828750984
A_MID_4_2018-04-03 09:45:00-05:00_Short,A_MID_4,Long,Short,3.575184016824396,1.9456374202927587,0.45982142857142855,4,4,,33.75,0.011363636363636364,1.251750067843397
B_OPEN_4_2018-04-03 09:45:00-05:00_Short,B_OPEN_4,Long,Short,3.575184016824396,1.9456374202927587,0.0625,4,4,,33.75,0.011363636363636364,1.251750067843397
C_EXT_MID_4_2018-04-03 09:45:00-05:00_Short,C_EXT_MID_4,Long,Short,3.575184016824396,1.9456374202927587,0.45982142857142855,4,4,9.25,33.75,0.011363636363636364,1.251750067843397
C_EXT_OPEN_4_2018-04-03 09:45:00-05:00_Short,C_EXT_OPEN_4,Long,Short,3.575184016824396,1.9456374202927587,0.0625,4,4,9.25,33.75,0.011363636363636364,1.251750067843397
D_OPP_BOS_2018-04-03 10:45:00-05:00_Long,D_OPP_BOS,Short,Long,2.313624678663239,1.2965314580182208,0.25,12,12,,76.0,0.8840579710144928,1.606734158854337
A_MID_2_2018-04-05 11:45:00-05:00_Short,A_MID_2,Long,Short,1.6589861751152075,0.7307923050370188,1.554054054054054,2,2,,29.75,0.20666666666666667,1.2861762474912262
B_OPEN_2_2018-04-05 11:45:00-05:00_Short,B_OPEN_2,Long,Short,1.6589861751152075,0.7307923050370188,1.2297297297297298,2,2,,29.75,0.20666666666666667,1.2861762474912262
C_EXT_MID_2_2018-04-05 11:45:00-05:00_Short,C_EXT_MID_2,Long,Short,1.6589861751152075,0.7307923050370188,1.554054054054054,2,2,8.0,29.75,0.20666666666666667,1.2861762474912262
C_EXT_OPEN_2_2018-04-05 11:45:00-05:00_Short,C_EXT_OPEN_2,Long,Short,1.6589861751152075,0.7307923050370188,1.2297297297297298,2,2,8.0,29.75,0.20666666666666667,1.2861762474912262
A_MID_3_2018-04-05 11:45:00-05:00_Short,A_MID_3,Long,Short,1.6589861751152075,0.7307923050370188,1.554054054054054,2,2,,29.75,0.20666666666666667,1.2861762474912262
B_OPEN_3_2018-04-05 11:45:00-05:00_Short,B_OPEN_3,Long,Short,1.6589861751152075,0.7307923050370188,1.2297297297297298,2,2,,29.75,0.20666666666666667,1.2861762474912262
C_EXT_MID_3_2018-04-05 11:45:00-05:00_Short,C_EXT_MID_3,Long,Short,1.6589861751152075,0.7307923050370188,1.554054054054054,2,2,8.0,29.75,0.20666666666666667,1.2861762474912262
C_EXT_OPEN_3_2018-04-05 11:45:00-05:00_Short,C_EXT_OPEN_3,Long,Short,1.6589861751152075,0.7307923050370188,1.2297297297297298,2,2,8.0,29.75,0.20666666666666667,1.2861762474912262
