analysis_level,dimension,category,family_id,family_definition,direction_slice,sample_label,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
Single factor,Liquidity context,No recent matching sweep,,,All,ADEQUATE N,172,24.397163120567377,82,89,1,47.674418604651166,0.06468660748612019,-0.10010041859983315,11.126096487612674,1.1544081179062502,12.072053728573895,80,92,0,46.51162790697674,0.04427440140403159,-0.1269857297073955,7.615197041493434,1.1029914013474575,13.281458565636369,0.985916491817584,0.7706568152476211
Single factor direction slice,Liquidity context,No recent matching sweep,,,Long,ADEQUATE N,82,11.631205673758865,39,42,1,47.5609756097561,-0.028587225042612994,-0.07269055010069861,-2.3441524534942655,0.9298029289835203,9.534416221178242,39,43,0,47.5609756097561,-0.05215770349789231,-0.09493807225698042,-4.27693168682717,0.8757023416506649,10.053553781339591,0.8450036280415318,0.7691284027225637
Single factor direction slice,Liquidity context,No recent matching sweep,,,Short,ADEQUATE N,90,12.76595744680851,43,47,0,47.77777777777778,0.14966943267896599,-0.11913733055690136,13.47024894110694,1.3484056589057871,5.38196179714557,41,49,0,45.55555555555556,0.13213476364800675,-0.14231147773878344,11.892128728320607,1.3008278889028175,5.82795335927297,1.114303767702432,0.7720493688815621
Single factor,Liquidity context,Recent BSL,,,All,ADEQUATE N,253,35.88652482269504,91,162,0,35.96837944664031,-0.08857131167070492,-1.0,-22.408541852688344,0.8485259185608715,30.52861534313012,90,163,0,35.573122529644266,-0.12757093380471995,-1.0108692498756457,-32.27544625259415,0.7907893967942468,37.774025244068355,1.088648494784846,0.9339738661331339
Single factor,Liquidity context,Recent SSL,,,All,ADEQUATE N,280,39.716312056737586,116,164,0,41.42857142857143,-0.05120766426826557,-0.7472964390233734,-14.33814599511436,0.9032141799272465,23.89474774070696,114,166,0,40.714285714285715,-0.0871029172964895,-0.7945880228465143,-24.38881684301706,0.8419804337070339,31.779705289067188,0.9769031986494164,0.9494519958696691
Single factor,CRT bar sweep,Both CRT sweeps,,,All,SMALL SAMPLE,7,0.9929078014184397,5,2,0,71.42857142857143,0.22391363680581794,0.39130995125180346,1.5673954576407256,2.9505499938875643,0.4400181381855038,5,2,0,71.42857142857143,0.2033742072235213,0.3714011993460099,1.4236194505646491,2.6765595791103363,0.47114137234984316,0.7314093635473613,0.5782305901067277
Single factor,CRT bar sweep,None,,,All,ADEQUATE N,605,85.81560283687944,250,354,1,41.32231404958678,-0.021386506736354113,-0.5625371242387778,-12.938836575494237,0.9584414925350345,32.14054519598639,245,360,0,40.49586776859504,-0.055091988091164334,-0.6154833813823662,-33.33065279515442,0.8970836723595474,45.78681395577654,1.0351107102216368,0.9009208966685287
Single factor direction slice,CRT bar sweep,None,,,Long,ADEQUATE N,309,43.829787234042556,131,177,1,42.394822006472495,-0.05659725733898267,-0.4724893195420648,-17.488552517745646,0.8868155765535447,28.21283399050301,129,180,0,41.74757281553398,-0.08985177904668357,-0.49989370007550304,-27.76419972542522,0.8273260973400313,36.375463857757794,0.9389639557517366,0.9153261055367641
Single factor direction slice,CRT bar sweep,None,,,Short,ADEQUATE N,296,41.98581560283688,119,177,0,40.2027027027027,0.015370661967065586,-0.688211496146256,4.549715942251414,1.029011145010951,16.106466052162187,116,180,0,39.189189189189186,-0.018805584695031095,-0.7134714768980934,-5.566453069729205,0.9658650331336511,22.569376772302412,1.1354801262054175,0.8858830265999992
Single factor,CRT bar sweep,Sweep above CRT reference,,,All,ADEQUATE N,43,6.099290780141844,13,30,0,30.23255813953488,-0.3100788989615404,-1.0,-13.333392655346238,0.5306628365160331,14.644079780533296,13,30,0,30.23255813953488,-0.34135153068847685,-1.0157546924141119,-14.678115819604505,0.49936676434544575,15.6389233941877,0.8548123847652787,0.9562080524801414
Single factor direction slice,CRT bar sweep,Sweep above CRT reference,,,Short,ADEQUATE N,36,5.1063829787234045,10,26,0,27.77777777777778,-0.37004528534073483,-1.0,-13.321630272266454,0.4542325287683995,13.598653851561451,10,26,0,27.77777777777778,-0.39860232720434985,-1.0155939964431835,-14.349683779356594,0.42969980655791984,14.495966714740945,0.8118665035201725,0.9512731200293102
Single factor,CRT bar sweep,Sweep below CRT reference,,,All,ADEQUATE N,50,7.092198581560283,21,29,0,42.0,-0.018315151739805732,-1.0,-0.9157575869902865,0.9668000836799874,6.0,21,29,0,42.0,-0.049278337798470025,-1.009718912893834,-2.4639168899235013,0.9136172040782682,6.554574599999649,1.0083964724239687,0.8894643265185614
Single factor direction slice,CRT bar sweep,Sweep below CRT reference,,,Long,ADEQUATE N,42,5.957446808510638,18,24,0,42.857142857142854,-0.00717268300087429,-0.7808001344783501,-0.3012526860367202,0.986660277188514,5.231650555432726,18,24,0,42.857142857142854,-0.03843378097487641,-0.8023267935450579,-1.6142188009448093,0.9308119205613471,5.769253352223285,1.0119712428256111,0.876144045584387
Single factor,Setup/BOS timing,Delayed BOS,,,All,ADEQUATE N,41,5.815602836879433,16,25,0,39.02439024390244,-0.127712957925792,-1.0,-5.236231274957472,0.790550749001701,9.952463154821343,15,26,0,36.58536585365854,-0.16580448212192,-1.0166717964652916,-6.79798376699872,0.7391653612984207,10.471293309185628,0.9379704385044132,0.9549727858146095
Single factor,Setup/BOS timing,Same-bar Setup+BOS,,,All,ADEQUATE N,664,94.18439716312056,273,390,1,41.1144578313253,-0.030699337477759887,-0.562068696597739,-20.384360085232565,0.940593923325686,34.62785408230198,269,395,0,40.51204819277108,-0.06363114802276967,-0.607136449036045,-42.25108228711906,0.8814805487154832,50.28684400978257,1.0242195985185938,0.8968991490653344
Single factor direction slice,Setup/BOS timing,Same-bar Setup+BOS,,,Long,ADEQUATE N,342,48.51063829787234,145,196,1,42.39766081871345,-0.057979953029244094,-0.5107645514584898,-19.82914393600148,0.8844030564006814,27.26066806074691,144,198,0,42.10526315789473,-0.09070658448084838,-0.5384508455502213,-31.021651892450148,0.8260447798024367,36.08486772415301,0.9413841445076976,0.9129192617246026
Single factor direction slice,Setup/BOS timing,Same-bar Setup+BOS,,,Short,ADEQUATE N,322,45.673758865248224,128,194,0,39.75155279503105,-0.0017242737553760292,-0.7031852276111155,-0.5552161492310814,0.9967644561721335,18.68686146422853,125,197,0,38.81987577639752,-0.03487400743685998,-0.744047831824342,-11.229430394668913,0.9369697743571077,25.372924126157717,1.112200111784825,0.8798839983526958
Single factor,BOS→Retest timing,Delayed retest (2+ bars),,,All,ADEQUATE N,162,22.97872340425532,58,104,0,35.80246913580247,-0.18138279885177958,-1.0,-29.384013413988292,0.6844855287301425,30.85983906240842,58,104,0,35.80246913580247,-0.21378020682215523,-1.0087249830072387,-34.63239350518915,0.6416828697352089,35.4370420892231,0.9164325789682024,1.0554766917836251
Single factor direction slice,BOS→Retest timing,Delayed retest (2+ bars),,,Long,ADEQUATE N,79,11.205673758865249,34,45,0,43.037974683544306,-0.0630908197811158,-0.8259215525946003,-4.9841747627081485,0.8807476292358993,9.400635093333568,34,45,0,43.037974683544306,-0.09514097967302944,-0.847117769431099,-7.516137394169325,0.8264982608641175,10.83901148777372,0.948417360228654,1.1182722133972993
Single factor direction slice,BOS→Retest timing,Delayed retest (2+ bars),,,Short,ADEQUATE N,83,11.77304964539007,24,59,0,28.915662650602407,-0.2939739596539776,-1.0,-24.39983865128014,0.5246966199140773,25.313994279313206,24,59,0,28.915662650602407,-0.3267018808556605,-1.0099182252411822,-27.11625611101982,0.4915638557918018,27.802536454789422,0.8859892329492184,0.9957074603682002
Single factor,BOS→Retest timing,Immediate retest (1 bar),,,All,ADEQUATE N,543,77.02127659574468,231,311,1,42.5414364640884,0.006930795679186483,-0.549130154393184,3.7634220537982603,1.0136848991764174,25.309313645233715,226,317,0,41.62062615101289,-0.026550041526572046,-0.5758595570265584,-14.416672548928622,0.9495744611233378,33.05040993303957,1.0498646843502366,0.8539736558542059
