event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect,FDR_q,FDR_survivor
DISPLACEMENT_STRUCTURE_BREAK,BEARISH,1.25-1.50,none,none,12,1664,-0.13355793337435662,-0.2936771347320073,0.44471153846153844,-0.06741948964547309,-0.06613844372888353,2.2749363120342503,2.1387884721585877,1.5438392471837221,1.688660782763976,0.10865590276141204,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,601,-0.2645002292499821,582,-0.12162212914365085,481,0.015609804170300577,1.0,False
DISPLACEMENT_FAILURE,BEARISH,1.00-1.25,none,none,12,1959,0.030841693926678376,0.21709511735609324,0.5319040326697294,-0.06741948964547309,0.09826118357215147,2.195931266142203,2.083987748319601,1.4466747185827915,1.631464249798968,0.27305553006244704,True,False,0.6490729988102847,NO_DIRECTIONAL_INFORMATION,SMALL,678,0.08965896839298851,661,-0.03924272264346507,620,0.041241189514914754,1.0,False
DISPLACEMENT_PCT_90,BEARISH,1.25-1.50,none,none,12,4431,-0.054210210042491824,-0.1871743943836425,0.4640036109230422,-0.0674194896454731,0.01320927960298128,2.391068889337602,2.185540889554919,1.6651187889344818,1.6588158442787793,0.22218949021953577,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1555,-0.07906573934590883,1541,-0.11689551304874067,1335,0.04709945287843915,1.0,False
DISPLACEMENT_PCT_95,BEARISH,1.25-1.50,none,none,12,2702,-0.03854313973735288,-0.20274663238860624,0.4600296076980015,-0.06741948964547309,0.028876349908120214,2.427895562798719,2.1665281788236874,1.682270355511098,1.6479205181732606,0.23785656052467471,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,883,-0.10443966013373558,913,-0.12293592753575278,906,0.11072534014117365,1.0,False
DISPLACEMENT_ALONE,BULLISH,1.25-1.50,none,none,12,4427,0.14250070145005125,0.1456192535683314,0.5208945109555003,0.05901444083812424,0.08348626061192702,2.2335166338037187,2.180820055948898,1.679986955137739,1.5665518756396577,-0.1919308753780624,False,True,0.0028558752242298395,ERA_DEPENDENT,SMALL,1581,0.2517020608527315,1535,0.11002145543984303,1311,0.04883807247219629,0.28558752242298396,False
DISPLACEMENT_FAILURE,BULLISH,1.25-1.50,none,none,12,1024,-0.109104466129739,-0.25157679880617934,0.462890625,0.05901444083812423,-0.16811890696786322,2.307857902243171,2.4759334243851177,1.758374575329611,1.7996138136863047,-0.37527209322450766,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,341,-0.05135286632637059,357,-0.26443230656345806,326,0.0005849311153195377,1.0,False
DISPLACEMENT_PCT_90,BULLISH,1.25-1.50,none,none,12,4427,0.14250070145005125,0.1456192535683314,0.5208945109555003,0.05901444083812424,0.08348626061192702,2.2335166338037187,2.180820055948898,1.679986955137739,1.5665518756396577,-0.1919308753780624,False,True,0.0028558752242298395,ERA_DEPENDENT,SMALL,1581,0.2517020608527315,1535,0.11002145543984303,1311,0.04883807247219629,0.28558752242298396,False
DISPLACEMENT_FAILURE,BULLISH,>=1.50,none,none,12,1427,0.01862253859700818,-0.18629674956957257,0.4653118430273301,0.05901444083812424,-0.04039190224111606,2.6079679375709737,2.8923799628780325,2.03684777072801,2.0753247377934407,-0.24754508849776047,False,False,0.8509698101946525,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,475,-0.06571240654370807,506,0.0712344381451194,446,0.04875141252188691,1.0,False
DISPLACEMENT_ALONE,BEARISH,1.00-1.25,none,none,12,8678,0.009261514888400145,-0.12660364441438807,0.4756856418529615,-0.06741948964547309,0.07668100453387323,2.2688447285450892,2.0991977405482283,1.580164221061294,1.5854569653492394,0.28566121515042775,True,False,0.7823055625018959,NO_DIRECTIONAL_INFORMATION,SMALL,3024,-0.051682087198088915,3101,0.07977659793271788,2553,-0.004202574344222779,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BEARISH,1.00-1.25,none,none,12,2389,-0.012649795190244017,-0.16291552296415465,0.47048974466303894,-0.0674194896454731,0.054769694455229084,2.218012072402651,2.0223283517650756,1.5331163065327016,1.5605966829369342,0.2637499050717836,False,False,1.0,NO_DIRECTIONAL_INFORMATION,SMALL,839,-0.051033646681692545,877,0.11699969023755967,673,-0.13374719090920167,1.0,False
