event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q4,3,7099,-0.03514998306524315,-0.04014967262533873,0.48330750809973233,-0.00041954483605344777,-0.0347304382291897,1.202110999081818,1.2071587780707593,0.8468215801980515,0.8469841904536036,-0.2500751792862021,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2582,-0.0536932501156182,2452,-0.06153798088035693,2065,0.019369186991283444
DISPLACEMENT_ALONE,ALL,1.00-1.25,volume_ratio24,Q1,3,2080,-0.0010244409956058935,-0.02422652698362516,0.4793269230769231,-0.0006776755747023163,-0.00034676542090357715,0.8228598160711136,0.823331253370093,0.6493169779467833,0.6394688577651526,-0.1681900324617755,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,813,0.025660249209163283,671,-0.03936838232067315,596,0.005744236005472592
DISPLACEMENT_ALONE,ALL,1.00-1.25,volume_ratio24,Q2,3,4110,-0.013277665498075953,-0.040342666278639534,0.47883211678832116,-0.0005099512424272806,-0.012767714255648672,0.8997468155479849,0.8959316849954108,0.6966037624455659,0.719829525297647,-0.03971266049880443,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1403,-0.003212673928779033,1486,-0.008957454356235586,1221,-0.030100775185625813
DISPLACEMENT_ALONE,ALL,1.00-1.25,volume_ratio24,Q3,3,5719,-0.005089138076894007,-0.021555222630363285,0.48365098793495365,-0.000881011974085375,-0.004208126102808632,1.0031160077297963,0.9679988220654555,0.7462521030320359,0.752114592824299,0.11155253437416567,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1906,0.004924644899667936,2079,-0.025502782970655204,1734,0.008378968832449981
DISPLACEMENT_ALONE,ALL,1.00-1.25,volume_ratio24,Q4,3,5725,-0.0013907962170679991,0.0,0.4920524017467249,-0.0004803475847113358,-0.0009104486323566634,1.2384147401073051,1.1996800598751567,0.903424138991844,0.8597128938046735,0.10431570426160207,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2017,-0.02991303714646511,2047,0.012989965780239978,1661,0.015521870938925092
DISPLACEMENT_ALONE,ALL,1.25-1.50,volume_ratio24,Q1,3,468,0.033440724693709345,-0.008695286826174538,0.49572649572649574,-0.0008261003969093519,0.034266825090618694,0.868482490367188,0.8165667537840401,0.6653575248523318,0.6729673826859014,-0.09233188646243196,False,False,0.5039609492458471,INSUFFICIENT_SAMPLE,NEGLIGIBLE,180,0.11755511963990516,145,0.14516546526967028,143,-0.1857248590393647
DISPLACEMENT_ALONE,ALL,1.25-1.50,volume_ratio24,Q2,3,1383,0.0014960563633641753,0.0,0.4953000723065799,-0.0014207580864458885,0.0029168144498100635,0.9353617663786815,0.9074950803205948,0.7032851212727993,0.7307139739124386,-0.0005496262492878394,False,False,0.9637852995510786,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,495,0.01888001434435994,454,-0.04104716425948159,434,0.026172468718615526
DISPLACEMENT_ALONE,ALL,1.25-1.50,volume_ratio24,Q3,3,2777,0.05856027787472271,0.03976353833414715,0.5095426719481455,-0.0014710301207232592,0.06003130799544597,1.0610848801963602,0.9441322234583395,0.803526224632648,0.7392048355701067,-0.09979009973177377,False,True,0.022727805191922388,ERA_DEPENDENT,SMALL,949,0.02057628247939985,985,0.1291276378115032,843,0.018866282729328433
DISPLACEMENT_ALONE,ALL,1.25-1.50,volume_ratio24,Q4,3,4230,0.02581465776677099,-0.013900833879442045,0.4874704491725768,-0.00036812058924825646,0.02618277835601925,1.2720747465584863,1.1979291620115493,0.9157328355603771,0.891800868870908,0.010080786579371094,True,False,0.34701600150015066,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1512,0.058275975627065144,1492,-0.006660861097996868,1226,0.025302391487381823
DISPLACEMENT_ALONE,ALL,>=1.50,volume_ratio24,Q1,3,216,0.009567056433802935,-0.03864386087675678,0.4722222222222222,-0.0010447106001600247,0.01061176703396296,0.9033539391836156,0.7786034300726683,0.6732202081996834,0.5764577884198118,0.49108194145338385,True,False,0.9071310816401367,INSUFFICIENT_SAMPLE,NEGLIGIBLE,88,-0.044191800773921625,57,0.10384777905751501,71,0.0005075950919462002
DISPLACEMENT_ALONE,ALL,>=1.50,volume_ratio24,Q2,3,583,0.032207306386856115,0.03822644152854042,0.5145797598627787,-0.0016432687706384615,0.033850575157494574,0.9853683579023782,0.9400462338258286,0.7704348444422323,0.7265262975510867,-0.19043798623155664,False,False,0.5509440974647695,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,190,0.10559532299415869,203,-0.029835141659325434,190,0.025106747428894873
DISPLACEMENT_ALONE,ALL,>=1.50,volume_ratio24,Q3,3,1771,-0.043541539315926026,-0.07669370366568508,0.47035573122529645,-0.002527880356488765,-0.04101365895943726,1.070536615639652,1.0520433833096527,0.830783124310377,0.814346419193847,-0.28285216469980246,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,598,0.0004000977201255393,610,-0.024716015043865606,563,-0.11061199891364484
DISPLACEMENT_ALONE,ALL,>=1.50,volume_ratio24,Q4,3,8356,0.00967028584990077,-0.06372626426140937,0.48001436093824795,-0.0016993625401003558,0.011369648390001126,1.5271357751038492,1.4272455900957024,1.1053153180388977,1.044254399207577,-0.13567954124167353,False,False,0.6784185165254913,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2947,-0.022860687246691408,2991,0.009677956339090434,2418,0.0493087619799632
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q1,6,23310,-0.015051209970264467,-0.023221408762495344,0.48717288717288715,-0.001372687046338301,-0.013678522923926167,1.093018505454839,1.1219322996445262,0.82842892982272,0.860844154495793,-0.22589737660221204,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,8404,-0.010495101110410293,7903,-0.012065968702061551,7003,-0.023887694419903488
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q2,6,17953,0.006003312735618726,0.0,0.49713139865203587,-0.0010516445741945682,0.007054957309813294,1.2827171105116406,1.2720643609263713,0.9584723793658924,0.9518214617392501,-0.09177252594852771,False,False,0.6507836445986941,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,5996,0.007885826754713603,6422,0.021301258345043345,5535,-0.013785478730003265
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q3,6,13565,-0.01797535373984058,-0.026975676406464838,0.48809436048654625,-0.0006776388833140641,-0.017297714856526515,1.4091610098125977,1.4200963118508072,1.0216056811361378,1.043955993172415,0.03772073541606387,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,4717,-0.004040017098527447,4902,-0.020342731385272678,3946,-0.03169256046035905
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q4,6,8286,-0.003856444420274763,-0.04485582586575701,0.48587979724837077,-0.001004840813972477,-0.002851603606302286,1.6951333777004154,1.6795786544458904,1.2166634410996577,1.2026974520763858,0.02650848135602851,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3202,-0.050627070297922135,2774,0.026163364080936852,2310,0.024924765656723455
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q1,6,7622,-0.041114782771910614,-0.024935369977350692,0.48714248228811335,-0.0008327009805552782,-0.04028208179135533,1.1182477667084698,1.1572564265259282,0.873094954231787,0.8881709648418827,-0.2888182013457678,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2853,-0.02041371476925252,2535,-0.06799187232922668,2234,-0.037053334689451954
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q2,6,9667,-0.014925053253605734,-0.018638490911645926,0.490327919726906,-0.0007841945157826175,-0.014140858737823116,1.2706415624964356,1.28985434255914,0.971828294992412,0.9853955508460732,-0.11983948975038294,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3253,-0.06394900620348426,3467,0.00010114562861395876,2947,0.02151169171459896
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q3,6,9864,-0.030604826939257434,-0.071408045957473,0.47850770478507704,-0.000971109271857833,-0.0296337176673996,1.4297698849957152,1.45478216054298,1.0346517965121727,1.082873321154974,-0.16873260102650134,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3335,0.0002312807484880038,3511,-0.03207355847445887,3018,-0.06297119629596346
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q4,6,7099,-0.030939682649103975,-0.042705430002747964,0.4869699957740527,-0.001153262598747758,-0.029786420050356217,1.7082206897759278,1.71222186859256,1.237684845248087,1.2138215487278319,-0.24586487887006292,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2582,-0.03420159467452666,2452,-0.07214332362158868,2065,0.02206447450061703
