signal_id,marker_bar_timestamp,signal_type,direction,entry_price,stop,target,risk_points,atr_at_entry,exit_type,exit_timestamp,exit_price,realized_R,MFE_R,MAE_R,MFE_ATR,MAE_ATR,bars_held,max_forward_range,net_directional_move,total_absolute_move,directional_efficiency,movement_efficiency,fav_excursion_over_total,adv_excursion_over_total,time_near_entry_bars,direction_changes,max_consec_favorable,max_consec_adverse,bars_to_plus_0.25r,bars_to_plus_0.50r,bars_to_plus_1.00r,bars_to_plus_1.50r,bars_to_plus_2.00r,bars_to_target,bars_to_minus_0.25r,bars_to_minus_0.50r,bars_to_minus_1.00r
1880,2020-07-13 17:00:00+00:00,S,Short,10777.25,10796.57400993943,10719.277970181713,19.324009939429743,25.765346585905373,STOP,2020-07-13 12:15:00-05:00,10796.57400993943,-1.0,0.02587454682373006,1.8241555510729695,0.018883219140941123,1.3312669494363492,1,35.75,33.5,33.5,1.0,0.013986013986013986,0.014925373134328358,1.0522388059701493,0,0,0,1,,,,,,,1.0,1.0,1.0
1881,2020-07-13 17:30:00+00:00,RL,Long,10774.75,10753.697983776718,10827.380040558208,21.052016223282408,28.06935496437759,STOP,2020-07-13 12:45:00-05:00,10753.697983776718,-1.0,0.2612576364024123,1.4487923473224682,0.19206707383542115,1.0650992276327902,1,36.0,-26.25,26.25,0.0,0.1527777777777778,0.20952380952380953,1.161904761904762,0,0,0,1,1.0,,,,,,1.0,1.0,1.0
1882,2020-07-13 19:00:00+00:00,RL,Long,10575.0,10539.728105755828,10663.17973561043,35.27189424417156,47.02919232556328,STOP,2020-07-13 14:15:00-05:00,10539.728105755828,-1.0,0.21972168396599892,2.1192510808333442,0.1563672077985765,1.5081869397346572,1,82.5,-69.0,69.0,0.0,0.09393939393939395,0.11231884057971016,1.0833333333333333,0,0,0,1,,,,,,,1.0,1.0,1.0
1883,2020-07-14 19:15:00+00:00,S,Short,10403.75,10447.629355683368,10272.111932949894,43.879355683367976,58.50580757782503,STOP,2020-07-14 14:45:00-05:00,10447.629355683368,-1.0,0.26777968402242786,2.005498910125417,0.20407517695764218,1.5019835255588414,2,71.75,71.75,71.75,1.0,0.11779448621553884,0.16376306620209058,1.2264808362369337,0,1,0,2,1.0,,,,,,1.0,1.0,2.0
1884,2020-07-15 15:00:00+00:00,S,Short,10500.018255104498,10529.141121341028,10412.64965639491,29.12286623653017,38.8304883153725,TARGET,2020-07-15 10:45:00-05:00,10412.64965639491,3.0,4.267033817867236,0.0,2.877878030212938,0.0,3,66.5,-124.26825510449817,124.26825510449817,0.0,1.0,0.9999999999999999,0.0,0,2,3,0,1.0,1.0,1.0,1.0,1.0,3.0,,,
1885,2020-07-15 16:30:00+00:00,RL,Long,10408.038396436024,10375.96295697086,10488.226995098936,32.07543946516489,42.76725262021921,TIME,2020-07-15 12:15:00-05:00,10456.75,1.5186574019314119,1.978510805218966,0.0,1.4653469797744159,0.0,3,51.75,48.711603563975586,48.711603563975586,1.0,1.0,1.3028025957024394,0.0,0,2,3,0,1.0,1.0,1.0,2.0,,,,,
1886,2020-07-15 18:15:00+00:00,L,Long,10499.25,10467.353032184808,10594.940903445582,31.8969678151916,42.52929042025887,STOP,2020-07-15 13:45:00-05:00,10467.353032184808,-1.0,0.4075622509111501,1.4421433493779159,0.3139929895104458,1.1065699412523236,2,43.75,-39.5,39.5,0.0,0.22033898305084745,0.3291139240506329,1.1645569620253164,0,1,0,2,1.0,,,,,,1.0,2.0,2.0
1887,2020-07-15 19:00:00+00:00,RS,Short,10469.593010162744,10501.00776081507,10391.056133531927,31.414750652325893,41.88633420310085,STOP,2020-07-15 14:45:00-05:00,10501.00776081507,-1.0,1.4433668649662368,1.0793334065424427,1.049654713718698,0.8148603847264164,3,60.25,20.656989837256333,20.656989837256333,1.0,0.5721515477948728,2.1950444145044,1.6414293710936863,0,2,0,3,1.0,1.0,1.0,,,,1.0,2.0,3.0
1888,2020-07-16 15:00:00+00:00,S,Short,10300.559810517052,10326.687915844725,10222.175494534033,26.12810532767253,34.83747377023108,STOP,2020-07-16 10:30:00-05:00,10326.687915844725,-1.0,0.7486118978683098,1.2033091986065045,0.5538925157065528,0.9018362823774324,2,41.5,5.9401894829479716,20.44018948294797,0.2906132297796709,0.3835256964127849,0.9569290212974596,1.5381554808568014,0,1,1,1,1.0,1.0,,,,,1.0,1.0,2.0
1889,2020-07-16 16:00:00+00:00,RL,Long,10340.033652692173,10314.071607157402,10404.938766529092,25.96204553477037,34.616060713025036,TIME,2020-07-16 11:45:00-05:00,10360.75,0.7979474221352181,1.3660844735954223,0.665727693491071,1.0528871177121026,0.5064713473099792,3,43.5,20.716347307827164,56.283652692172836,0.3680704132890812,0.6723478162621263,0.6301358496009507,0.30708121924319265,0,2,1,1,1.0,2.0,2.0,,,,1.0,1.0,
1890,2020-07-16 16:45:00+00:00,L,Long,10360.75,10335.48636059042,10436.54091822874,25.26363940958072,33.68485254610641,TIME,2020-07-16 12:45:00-05:00,10388.75,1.1083122089441149,2.1077723259383614,0.11874773667258373,1.560675212178305,0.08516625250730896,4,55.25,28.0,77.0,0.36363636363636365,0.9466666666666667,0.6915584415584416,0.03896103896103896,0,3,1,2,1.0,1.0,1.0,1.0,1.0,,,,
1891,2020-07-16 19:45:00+00:00,RL,Long,10398.36798179102,10372.965982198582,10461.872980772112,25.401999592437278,33.86933278991593,STOP,2020-07-16 15:00:00-05:00,10372.965982198582,-1.0,0.8712707095534903,3.5378310067281213,0.5610130560774061,2.278016881787644,1,112.0,-78.1179817910197,78.1179817910197,0.0,0.1976073054373241,0.2833152841581035,1.1504135121083063,0,0,0,1,1.0,1.0,,,,,1.0,1.0,1.0
1892,2020-07-17 15:00:00+00:00,L,Long,10400.701494076133,10380.079481760213,10462.5675310239,20.622012315920074,27.496016421229715,TIME,2020-07-17 11:00:00-05:00,10424.75,1.1661570925016804,1.5540920756373486,0.8947475054065581,1.1703605716196215,0.6637811255244581,4,40.25,24.048505923867197,61.0485059238672,0.39392456146032107,0.6346238796805386,0.5249678995229543,0.3022431719974183,1,3,2,1,1.0,1.0,3.0,4.0,,,2.0,3.0,
1893,2020-07-17 18:15:00+00:00,L,Long,10437.5,10418.90376401895,10493.288707943148,18.596235981049176,24.79498130806538,TIME,2020-07-17 14:15:00-05:00,10454.0,0.8872763292966716,1.425019559173442,0.5108560683829321,1.0863604609696298,0.39050485162524773,4,25.25,16.5,36.0,0.4583333333333333,0.736111111111111,0.7361111111111112,0.2638888888888889,0,3,2,1,1.0,2.0,2.0,,,,1.0,1.0,
1894,2020-07-20 19:30:00+00:00,L,Long,10733.982317310129,10717.056357471733,10784.760196825317,16.92595983839601,22.567946451194793,TIME,2020-07-20 15:45:00-05:00,10750.0,0.9463382190908797,1.950712574359999,0.0,1.4338445946661242,0.0,4,29.0,16.017682689871435,29.517682689871435,0.542647024773651,1.0,1.1185729935772015,0.0,0,3,2,1,1.0,1.0,1.0,1.0,,,,,
1895,2020-07-21 14:45:00+00:00,S,Short,10701.25,10725.67791485426,10627.96625543722,24.427914854259143,32.570553139012766,TIME,2020-07-21 10:45:00-05:00,10652.0,2.016136059660982,2.7734663561833814,0.5731148189899238,1.9578380799639654,0.4056566830884517,4,59.75,-49.25,49.25,0.0,0.8287461773700306,1.3756345177664975,0.2842639593908629,0,3,4,0,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,
1896,2020-07-21 15:00:00+00:00,RL,Long,10687.25,10661.366043349615,10751.95989162596,25.88395665038479,34.511942200511854,STOP,2020-07-21 10:45:00-05:00,10661.366043349615,-1.0,0.56985105481471,2.076575877714621,0.4323201736029732,1.553266373403146,3,41.5,-35.25,35.25,0.0,0.21532846715328469,0.41843971631205673,1.5248226950354609,1,2,0,3,1.0,1.0,,,,,1.0,1.0,3.0
1897,2020-07-21 17:30:00+00:00,L,Long,10682.319372139484,10658.25142331092,10754.523218625183,24.067948828564113,32.0905984380877,TIME,2020-07-21 13:30:00-05:00,10693.75,0.4749315341301676,2.2823144694127,0.0,1.6888975737333924,0.0,4,38.25,11.430627860516324,81.93062786051632,0.13951593145333294,1.0,0.6704529099182978,0.0,0,3,2,2,1.0,1.0,1.0,2.0,2.0,,,,
1898,2020-07-22 15:15:00+00:00,S,Short,10618.0,10642.610969023324,10544.167092930024,24.610969023324287,32.81462536443304,STOP,2020-07-22 10:30:00-05:00,10642.610969023324,-1.0,0.060948433138834204,1.0564395077397928,0.0462463256185147,0.8016029773875881,1,27.5,22.75,22.75,1.0,0.05454545454545456,0.06593406593406594,1.1428571428571428,0,0,0,1,,,,,,,1.0,1.0,1.0
1899,2020-07-22 18:00:00+00:00,S,Short,10604.5,10626.037511343957,10539.88746596813,21.537511343956794,28.716681791942165,STOP,2020-07-22 13:30:00-05:00,10626.037511343957,-1.0,0.4294832328710743,1.1027272195338393,0.3282079972922034,0.8430879754871973,2,28.0,19.75,19.75,1.0,0.28030303030303033,0.46835443037974683,1.2025316455696202,0,1,0,2,1.0,,,,,,1.0,1.0,2.0
1900,2020-07-22 18:15:00+00:00,RL,Long,10606.496668179194,10585.35915764552,10659.340444513378,21.137510533673776,28.18334737823201,TIME,2020-07-22 14:00:00-05:00,10652.0,2.152728995607861,2.4011026151803416,0.29552525446373756,1.779378070624135,0.2217469822626047,3,40.0,45.503331820806125,55.003331820806125,0.8272831902083715,0.8904093301895811,0.9227319535142714,0.1135689052354997,0,2,1,1,1.0,1.0,1.0,3.0,3.0,,1.0,,
1901,2020-07-23 17:45:00+00:00,S,Short,10407.0,10437.637842086271,10315.08647374118,30.63784208627112,40.85045611503066,TIME,2020-07-23 13:45:00-05:00,10386.0,0.6854268633171833,2.937543699930785,0.08159843610918849,1.9827516157974554,0.057371788893109996,4,79.0,-21.0,117.0,0.0,0.972972972972973,0.7692307692307693,0.021367521367521368,0,3,1,1,1.0,1.0,1.0,1.0,1.0,,,,
1902,2020-07-24 15:00:00+00:00,L,Long,10297.0,10263.818930028256,10396.54320991523,33.181069971744364,44.24142662899072,STOP,2020-07-24 11:00:00-05:00,10263.818930028256,-1.0,1.1000248042357255,1.5068832934735965,0.808686916532524,1.0686451298514363,4,66.5,-48.75,106.25,0.0,0.4219653179190751,0.34352941176470586,0.47058823529411764,0,3,1,3,1.0,1.0,1.0,,,,1.0,1.0,4.0
1903,2020-07-24 16:45:00+00:00,S,Short,10233.25,10266.801010096511,10132.596969710468,33.55101009651116,44.73468012868141,STOP,2020-07-24 12:45:00-05:00,10266.801010096511,-1.0,1.4753654169460404,1.6318435672281961,1.0545754259396656,1.1915288830403987,4,68.25,42.25,132.25,0.31947069943289225,0.47482014388489213,0.3742911153119093,0.41398865784499056,1,3,1,3,1.0,1.0,1.0,,,,1.0,1.0,4.0
1904,2020-07-24 17:30:00+00:00,RL,Long,10226.318832113137,10191.138572753796,10314.269480511492,35.1802593593402,46.907012479122834,TIME,2020-07-24 13:15:00-05:00,10313.5,2.4781274917951186,2.492340007822726,0.0,1.9665431260316555,0.0,3,41.5,87.18116788686348,87.18116788686348,1.0,1.0,1.005735183550751,0.0,0,2,3,0,1.0,1.0,1.0,1.0,2.0,,,,
1905,2020-07-24 20:00:00+00:00,RL,Long,10260.25,10228.585240156108,10339.411899609731,31.66475984389217,42.21967979185631,TIME,2020-07-26 17:00:00-05:00,10278.75,0.5842457069374702,1.8869557291629107,0.0,1.5364858000461734,0.0,3,49.75,18.5,27.0,0.6851851851851852,1.0,2.212962962962963,0.0,1,2,1,1,1.0,3.0,3.0,3.0,,,,,
1906,2020-07-27 15:15:00+00:00,S,Short,10361.935398987043,10384.081727470122,10295.496413537812,22.146328483078833,29.528437977436436,TIME,2020-07-27 11:15:00-05:00,10370.0,-0.36415069970259656,2.1644851436060346,0.9285783432982732,1.5739758142385578,0.6913585709161895,4,42.5,8.0646010129567,68.9353989870433,0.11698780498060911,0.6997868465261795,0.6953669622780156,0.29831699410083784,1,3,1,2,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,
1907,2020-07-28 15:00:00+00:00,L,Long,10430.25,10407.556059941278,10498.331820176163,22.693940058721637,30.25858674496109,STOP,2020-07-28 11:00:00-05:00,10407.556059941278,-1.0,1.0575510439306208,1.5532780957730992,0.7978694768309872,1.1873096049711276,4,31.25,-17.75,48.75,0.0,0.40506329113924056,0.49230769230769234,0.7230769230769231,0,3,1,2,1.0,2.0,2.0,,,,1.0,1.0,4.0
1908,2020-07-28 17:00:00+00:00,RL,Long,10418.25,10397.712674594171,10469.59331351457,20.537325405828597,27.383100541103456,TIME,2020-07-28 12:45:00-05:00,10439.75,1.0468743896855328,1.7042141227438907,0.09738366415679375,1.360847429779768,0.0734946124065038,3,25.0,21.5,21.5,1.0,0.9459459459459459,1.627906976744186,0.09302325581395349,0,2,3,0,1.0,1.0,1.0,3.0,,,,,
1909,2020-07-28 18:15:00+00:00,S,Short,10415.697496526043,10434.786360005372,10358.430906088062,19.08886347932821,25.45181797243694,TARGET,2020-07-28 14:15:00-05:00,10358.430906088062,3.0,3.4285695739255506,0.2908765878057442,2.494879188968742,0.2217051024998354,4,45.5,-55.697496526043324,55.697496526043324,0.0,0.9217957257189201,1.1750527511670303,0.09969035989544715,0,3,4,0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,,
1910,2020-07-29 14:45:00+00:00,L,Long,10440.0,10425.019030889393,10484.942907331824,14.980969110607475,19.974625480810992,STOP,2020-07-29 10:00:00-05:00,10425.019030889393,-1.0,0.26700542337863487,1.2849636000096802,0.1979357204185962,0.9525656545144942,1,23.25,-4.5,4.5,0.0,0.17204301075268819,0.8888888888888888,4.277777777777778,0,0,0,1,1.0,,,,,,1.0,1.0,1.0
1911,2020-07-29 18:15:00+00:00,L,Long,10438.5,10423.18272701067,10484.451818967991,15.317272989330377,20.423030652440698,TARGET,2020-07-29 13:30:00-05:00,10484.451818967991,3.0,3.166359967194152,0.03264288625973352,2.158986641239782,0.02225759423958538,1,49.0,42.75,42.75,1.0,0.9897959183673469,1.1345029239766082,0.011695906432748537,0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,,,
1912,2020-07-29 19:15:00+00:00,RS,Short,10460.081891744763,10480.089300997372,10410.06336861324,20.00740925260834,26.676545670146783,TIME,2020-07-29 15:00:00-05:00,10477.5,-0.8705828943328096,1.0537042291977297,0.933059748992892,0.7863703458929932,0.6774880100850994,3,37.25,17.418108255236803,33.4181082552368,0.5212176620592307,0.53036205647203,0.6308523386107455,0.5586225322108532,1,2,1,1,1.0,1.0,2.0,,,,1.0,1.0,
1913,2020-07-30 15:45:00+00:00,L,Long,10458.25,10430.490533814069,10541.528398557792,27.75946618593116,37.01262158124041,TIME,2020-07-30 11:45:00-05:00,10490.0,1.1437539824195644,1.8462170582363047,0.3332196641694794,1.386639358293054,0.25186512418357077,4,40.0,31.75,38.25,0.8300653594771242,0.847107438016529,1.3398692810457515,0.24183006535947713,0,3,3,1,1.0,1.0,2.0,2.0,,,1.0,,
1914,2020-07-30 19:30:00+00:00,L,Long,10509.75,10486.924772365626,10578.22568290312,22.825227634373732,30.433636845831774,TARGET,2020-07-30 15:00:00-05:00,10578.22568290312,3.0,4.413975694519479,0.84336508307196,2.7852750173748833,0.5321741348334144,2,120.0,86.25,90.75,0.9504132231404959,0.8395833333333332,1.1101928374655647,0.21212121212121213,1,1,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,
1915,2020-07-30 19:45:00+00:00,RS,Short,10510.206636315415,10532.49970483305,10454.473965021336,22.29306851763431,29.72409135684379,STOP,2020-07-30 15:00:00-05:00,10532.49970483305,-1.0,0.8839804309499607,4.498858629768726,0.5447980328121,2.7726511193961976,1,120.0,85.79336368458462,85.79336368458462,1.0,0.16422196929512817,0.22969884230050622,1.1690107413588373,0,0,0,1,1.0,1.0,,,,,1.0,1.0,1.0
1916,2020-07-31 15:15:00+00:00,L,Long,10615.25,10589.76782164947,10691.696535051591,25.482178350530376,33.97623780070788,STOP,2020-07-31 10:45:00-05:00,10589.76782164947,-1.0,0.529782023118091,1.5304814001189293,0.3887301645407232,1.1205772510751772,2,52.5,-26.5,26.5,0.0,0.2571428571428571,0.5094339622641509,1.471698113207547,0,1,0,2,1.0,1.0,,,,,1.0,1.0,2.0
1917,2020-07-31 16:00:00+00:00,RS,Short,10591.769650924329,10618.17743912991,10525.750180410372,26.4077882055808,35.21038427410904,TARGET,2020-07-31 11:30:00-05:00,10525.750180410372,2.5,3.3804289185212126,0.0,2.4155061596804517,0.0,2,64.5,-62.019650924328744,62.019650924328744,0.0,1.0,1.4393768683614199,0.0,0,1,2,0,1.0,1.0,1.0,1.0,2.0,2.0,,,
1918,2020-07-31 19:15:00+00:00,L,Long,10641.25,10612.348955859256,10727.953132422232,28.90104414074449,38.53472552099227,TIME,2020-07-31 15:30:00-05:00,10712.5,2.465308853653223,2.586411744709873,0.09515227154451038,2.00111132045715,0.07362060348410955,4,59.5,71.25,71.25,1.0,0.964516129032258,1.0491228070175438,0.03859649122807018,1,3,4,0,1.0,1.0,2.0,2.0,2.0,,,,
