signal_id,movement_efficiency,directional_efficiency,MFE_R,MAE_R,behavior_class
76,0.5880879538212866,0.48999852585685755,1.1421877449359146,0.8000179022197363,IMMEDIATE_EXPANSION
77,0.8988337314392171,0.6178086427042786,1.6903640362373706,0.19025523417068485,CLEAN_WINNER
78,0.06849315068493152,0.0,0.15464431964915099,2.103162747228453,WRONG_DIRECTION
79,1.0,0.0,4.087080023185791,0.0,CLEAN_WINNER
80,0.11363636363636363,0.0,0.22361093626933579,1.7441653029008193,WRONG_DIRECTION
81,0.039999999999999994,1.0,0.08810206468629418,2.1144495524710605,WRONG_DIRECTION
82,0.11538461538461539,1.0,0.13976342968417438,1.0715196275786703,WRONG_DIRECTION
83,1.0,0.5451104659813516,2.183321435867335,0.0,CLEAN_WINNER
84,0.3333333333333333,1.0,0.6521376069182034,1.3042752138364069,IMMEDIATE_EXPANSION
85,1.0,1.0,1.8063559057527714,0.0,CLEAN_WINNER
86,0.0,0.0,0.0,3.5501790914339835,WRONG_DIRECTION
87,0.675,0.5121951219512195,1.0209859045982927,0.4915858059176965,IMMEDIATE_EXPANSION
88,0.6470588235294117,0.21568627450980393,1.101559274876348,0.6008505135689172,DELAYED_EXPANSION
89,0.7606274273082759,0.10592923220602854,2.012543528406227,0.6333557070818457,IMMEDIATE_EXPANSION
90,1.0,1.0,2.1200214918140814,0.0,CLEAN_WINNER
91,0.8333333333333334,0.08333333333333333,1.4396464650983902,0.287929293019678,CLEAN_WINNER
92,0.2122488887543503,0.0,0.922815792860562,3.424984557362227,IMMEDIATE_EXPANSION
93,0.870967741935484,0.09090909090909091,1.4435682231985285,0.2138619589923746,CLEAN_WINNER
94,0.8748330855168006,0.0,2.299717375495834,0.3290325124182639,CLEAN_WINNER
95,0.0,0.0,0.0,1.1402925154231278,WRONG_DIRECTION
96,0.7691226314347601,0.0,2.7827768543346196,0.8353416882747529,IMMEDIATE_EXPANSION
97,0.5261290866817165,0.0,0.7508807262526058,0.67629892463572,DELAYED_EXPANSION
98,0.19999999999999998,0.0,0.3026842227634962,1.2107368910539849,WRONG_DIRECTION
99,0.26247799885259154,0.9672698782879795,0.4142413970177177,1.1639533424596926,WRONG_DIRECTION
100,0.4285714285714286,0.0,1.1948316451983294,1.5931088602644392,IMMEDIATE_EXPANSION
101,0.5263157894736843,1.0,0.6312151480036393,0.5680936332032753,DELAYED_EXPANSION
102,0.16666666666666666,0.0,0.3163891928337328,1.581945964168664,WRONG_DIRECTION
103,0.7157156209166715,0.0,1.0989601614640658,0.4365102535263795,IMMEDIATE_EXPANSION
104,0.7494645147578467,0.0,1.5750761273957015,0.5265258782771239,IMMEDIATE_EXPANSION
105,0.3962304913937779,0.0,0.7186619771001176,1.0950853056295802,IMMEDIATE_EXPANSION
106,1.0,0.8687470277752575,3.23585270565863,0.0,CLEAN_WINNER
107,1.0,0.0,3.104929098040986,0.0,CLEAN_WINNER
108,0.6736402013516454,0.1119685766940025,1.2096184188920744,0.5860262241458555,IMMEDIATE_EXPANSION
109,0.0,1.0,0.0,1.7810419976907588,WRONG_DIRECTION
110,0.22580645161290322,0.0,0.4007744814976668,1.3740839365634292,WRONG_DIRECTION
111,1.0,0.31472992334095096,2.4798866456225803,0.0,CLEAN_WINNER
112,0.9280575539568345,0.0,3.1294431676897467,0.2425924936193602,CLEAN_WINNER
113,0.8526315789473685,0.8837209302325582,2.4981460968682048,0.431778337730307,DELAYED_EXPANSION
114,0.2840124074687651,1.0,0.5770246250009687,1.4546634626556534,IMMEDIATE_EXPANSION
115,0.0975609756097561,1.0,0.12025195886257133,1.1123306194787848,WRONG_DIRECTION
116,0.6403940886699507,1.0,1.9030338688118662,1.0686267109482017,IMMEDIATE_EXPANSION
117,0.5067555819070384,0.4804398288773271,0.9331662925053791,0.9082861272068197,IMMEDIATE_EXPANSION
118,1.0,0.0,3.573400633603677,0.0,CLEAN_WINNER
119,0.15,1.0,0.2754156073237732,1.5606884415013815,WRONG_DIRECTION
120,0.8169014084507041,0.0,1.364700744381746,0.30588120132694313,CLEAN_WINNER
121,0.15053763440860216,0.0,0.33953485523312027,1.9159466831011787,WRONG_DIRECTION
122,1.0,0.0,2.408869936321737,0.0,CLEAN_WINNER
