signal_id,signal_type,timestamp_ct,move_since_displacement_atr,move_since_bos_reclaim_atr,pre_entry_move_5_atr,exhaustion_bucket,realized_R,MFE_R
5316,RS,2025-09-16 17:45:00+00:00,0.1536814461262245,,-0.7556004434539371,0-0.5,-0.2219843110712233,0.7001043656861657
5317,S,2025-09-16 19:30:00+00:00,0.043269641296136724,-0.1442321376537891,-0.3605803441344727,0-0.5,-1.0,1.4807832799124148
5318,RL,2025-09-16 20:45:00+00:00,0.38165215641289635,,-0.3522942982272889,0-0.5,1.1743143274242325,1.5266086256515023
5319,S,2025-09-17 15:30:00+00:00,-0.1613616881599774,-0.37967456037641745,0.8732514888657601,,1.2023027745253063,2.164144994145551
5320,S,2025-09-17 18:15:00+00:00,-2.5063377320545763,-2.5116931545589667,-0.8300904881804687,,3.0,4.2843380035119445
5321,RL,2025-09-17 18:30:00+00:00,-0.06830498451978312,,-1.6074439690322293,,-1.0,1.8518240247587818
5322,L,2025-09-18 15:15:00+00:00,0.11441897303179313,-0.11441897303179313,0.8129769136469511,0-0.5,-1.0,0.7467343503127122
5323,RS,2025-09-18 16:00:00+00:00,0.5099760336258738,,-0.4693541572852981,0.5-1.0,-1.0,0.12234675394378651
5324,S,2025-09-18 19:30:00+00:00,0.21320612073236841,0.06317218392070174,0.7501696840583333,0-0.5,-0.15793045980174877,1.2423862837737571
5325,S,2025-09-19 14:45:00+00:00,-0.3680690574843713,-0.3950009397393253,0.12568211718978534,,-0.37106148884600415,2.657279049155256
5326,L,2025-09-22 16:15:00+00:00,0.18648959901016526,0.10040852446130934,2.4102700873679663,0-0.5,1.4857214440820203,1.7917874869224188
5327,S,2025-09-22 19:45:00+00:00,-0.2769527191067604,-0.4154290786601406,0.6116039213607626,,0.15386262172602094,1.123197138599953
5328,L,2025-09-23 15:15:00+00:00,-0.1444764435869901,-0.3556343226756679,0.022227145167229245,,-1.0,0.25190764522857145
5329,RS,2025-09-23 16:00:00+00:00,0.6076848719935172,,0.6103681311780252,0.5-1.0,1.0105126749807214,1.700194179136915
5330,S,2025-09-23 17:15:00+00:00,0.16867110202770988,0.0938857882202098,2.271603906902815,0-0.5,3.0,6.268963279581455
5331,RS,2025-09-23 18:15:00+00:00,0.6223289240024786,,2.911996776890733,0.5-1.0,0.41892353664666193,1.1896027506311517
5332,S,2025-09-24 15:00:00+00:00,0.2467583213949725,0.09953860004848566,1.668490175260184,0-0.5,-1.0,0.5085055418000702
5333,S,2025-09-25 15:30:00+00:00,-1.6239762312453565,-1.835001391237691,-1.2340384356073473,,1.449651099077729,1.816651377325255
5334,L,2025-09-26 14:45:00+00:00,-1.0794232745124335,-1.367852165677699,-1.8616773884303508,,0.3729181623146803,1.6664780378437276
5335,RS,2025-09-26 15:00:00+00:00,0.733465124638768,,2.7141953506111265,0.5-1.0,-1.0,0.937949100913005
5336,S,2025-09-29 15:00:00+00:00,0.3075171119276093,0.09458904184062794,1.5560128198664023,0-0.5,3.0,3.488198774920221
5337,S,2025-09-29 19:15:00+00:00,0.0672929320541933,-0.10093939808128996,1.749616233409026,0-0.5,-1.0,0.35889563762234683
5338,RL,2025-09-29 20:00:00+00:00,0.5789693414012331,,-0.46801029518137627,0.5-1.0,-1.0,0.24495213679744016
5339,L,2025-09-30 15:00:00+00:00,-0.3913500128405049,-0.72777370808936,1.1671842488225586,,-1.0,0.21055088410132386
5340,RS,2025-09-30 15:45:00+00:00,0.5745623305191822,,-0.4754477675806671,0.5-1.0,0.12792124193806967,1.2657449592251218
5341,L,2025-09-30 18:15:00+00:00,0.138565132130657,0.10174433234191653,1.4666951915848285,0-0.5,1.4926384808680546,1.6317392800699297
5342,L,2025-10-01 15:45:00+00:00,0.013048560892106343,-0.0456699631223722,1.0569334322606136,0-0.5,0.8351078970948045,0.9307973436369175
5343,S,2025-10-01 19:45:00+00:00,-0.1663781649816129,-0.19264840155765703,0.5254047315208829,,0.11675660700464811,0.8873502132353257
5344,S,2025-10-02 15:00:00+00:00,-0.3232575276432719,-0.40792021345460505,0.9389861517256946,,-1.0,1.2930301105730966
5345,RL,2025-10-02 16:00:00+00:00,0.7150957309820478,,1.0758017888899123,0.5-1.0,1.1278287607260387,1.2403309085838123
5346,L,2025-10-03 16:00:00+00:00,-0.04274914651986426,-0.2735945377271312,0.9319313941330408,,-1.0,0.35339294456422893
5347,RS,2025-10-03 16:45:00+00:00,0.5656257170168436,,0.061836979149036145,0.5-1.0,2.5,5.005505292335441
5348,L,2025-10-03 18:30:00+00:00,-0.5896905238329505,-0.7300930295074626,-0.3313499133918484,,0.0074881336359743575,0.5391456217901537
5349,RS,2025-10-03 19:30:00+00:00,0.640785622120409,,0.640785622120409,0.5-1.0,0.9858240340313583,1.2651408436735765
5350,S,2025-10-06 20:00:00+00:00,0.25717073389545037,0.10294696082869505,2.539551463165904,0-0.5,-1.0,0.21916566109380023
5351,S,2025-10-07 15:30:00+00:00,0.3287933704041904,0.0929849199287214,4.4484945522129005,0-0.5,-1.0,2.6207454942782227
5352,L,2025-10-07 19:45:00+00:00,-0.5712390910950124,-0.5712390910950124,0.19262713536924836,,0.336543960645145,0.8413599016128624
5353,RS,2025-10-07 20:00:00+00:00,0.21830773792520766,,-0.15008656982358026,0-0.5,0.1455384919501363,0.3092692953940396
5354,L,2025-10-08 19:15:00+00:00,0.13139729948059806,0.10026953248585853,0.861201553521127,0-0.5,3.0,3.6846467080411536
5355,S,2025-10-09 14:45:00+00:00,-1.5731880827485736,-1.6387375861964308,0.8275624810291976,,-1.0,1.2126658137853275
5356,RL,2025-10-09 15:15:00+00:00,0.7904936531006118,,-1.3912688294570767,0.5-1.0,-1.0,0.3478172073642745
5357,RS,2025-10-09 16:45:00+00:00,0.5896497821728531,,0.3441418855458432,0.5-1.0,2.5,2.636864911998856
5358,S,2025-10-09 17:00:00+00:00,0.08168203333143213,-0.1293298861081009,1.694902191627217,0-0.5,-0.26319766295686975,1.452125037003419
5359,S,2025-10-10 15:30:00+00:00,-0.47799988257435544,-0.7200639256729072,5.806472932553869,,2.059076417243429,2.24700799500771
5360,L,2025-10-10 17:30:00+00:00,-0.06582710041292406,-0.15168853573412935,-0.9215794057809368,,-1.0,0.16409074305830643
5361,RL,2025-10-10 17:30:00+00:00,0.5695475209639951,,-0.9215794057809368,0.5-1.0,-0.6182023343126893,0.16409074305830643
5362,S,2025-10-13 15:00:00+00:00,-1.0392813076515894,-1.253794887166864,0.876546868019312,,-1.0,0.014794039966571451
5363,L,2025-10-14 15:45:00+00:00,0.3139968680994462,0.1010043978444646,1.187171145683504,0-0.5,1.7135899983106773,2.742471657903023
5364,S,2025-10-14 19:45:00+00:00,-0.5983491734753862,-0.8805893496430212,2.0810508989426952,,0.02007041252747627,1.2042247516485762
5365,S,2025-10-15 17:15:00+00:00,-0.6679758430430682,-0.6978295120058869,3.179415744540191,,-1.0,0.17414640228311953
5366,L,2025-10-16 14:45:00+00:00,-1.28077180095558,-1.4622985129020403,0.29245970258040804,,-1.0,0.6655979438037114
5367,RS,2025-10-16 15:00:00+00:00,0.8922047245037206,,-1.2273117644863152,0.5-1.0,2.5,2.8415640490559158
5368,S,2025-10-16 16:30:00+00:00,0.2032142552031322,0.09328932298354647,3.4846203513608667,0-0.5,-1.0,2.543125924550486
5369,RL,2025-10-16 19:00:00+00:00,0.5459287600943732,,-1.2527628389534036,0.5-1.0,1.1378304684072353,1.3715262885178123
5370,S,2025-10-17 14:45:00+00:00,0.37111639547252,0.09713227183382495,-0.8075321538824697,0-0.5,-1.0,0.5165160273275368
5371,RS,2025-10-17 17:15:00+00:00,0.4313663322483697,,0.6966003135038704,0-0.5,-1.0,0.764688897585523
5372,L,2025-10-17 18:00:00+00:00,0.22443214750541612,0.10333756002723687,0.7810600892342561,0-0.5,1.4768110863394175,1.6261610775625064
5373,L,2025-10-21 15:00:00+00:00,-0.3322945485220635,-0.44541609695510637,1.4564399360754272,,-1.0,0.0
5374,S,2025-10-21 17:00:00+00:00,-0.5549369418868481,-0.763854378832485,0.41783487389127383,,-0.1479831845031549,1.6974541751832473
5375,RS,2025-10-21 17:00:00+00:00,0.41783487389127383,,0.41783487389127383,0-0.5,-0.2263272233577663,1.6974541751832473
5376,S,2025-10-22 14:45:00+00:00,-1.9937897416977426,-2.0543605692936233,1.746458862347896,,3.0,4.024594989148529
5377,RL,2025-10-22 15:15:00+00:00,-0.8144386217737007,,-3.2269378905952575,,0.8746043577965986,2.435978580440191
5378,S,2025-10-22 17:15:00+00:00,0.12162100414630642,0.1005251143713133,2.1939725365992837,0-0.5,0.16130897102149094,2.2521460464986522
5379,S,2025-10-23 15:45:00+00:00,-1.2403803864270244,-1.4114673362790278,-0.5560325870190109,,-1.0,0.253462147928901
5380,L,2025-10-23 17:45:00+00:00,0.2631213412109199,0.08946125601171277,1.0630102184921164,0-0.5,-0.14033138197915138,0.25961305666143003
5381,L,2025-10-24 14:45:00+00:00,-1.41074673525033,-1.516692142245414,-0.9869651072699936,,1.6356483886960664,2.3345163365934765
5382,RS,2025-10-24 15:00:00+00:00,0.6504156954129898,,0.08894573612485332,0.5-1.0,-1.0,0.0
5383,L,2025-10-27 14:45:00+00:00,-1.2079740871549935,-1.2559095668040012,0.7382063865947183,,1.8151568293756553,2.684386860344279
5384,RS,2025-10-27 15:00:00+00:00,-0.1572005771660061,,-1.6459825138558286,,0.012329457032628258,0.9370387344797476
5385,L,2025-10-27 17:45:00+00:00,0.11039821670318972,-0.05519910835159486,0.9163051986364747,0-0.5,0.8831857336255133,1.1628612159402592
5386,L,2025-10-28 16:00:00+00:00,0.14556603157333864,0.10014551400391068,1.4171201481661522,0-0.5,3.0,3.984599574289382
5387,L,2025-10-28 18:30:00+00:00,0.0995165724537332,-0.06332872792510295,2.035566254735452,0-0.5,0.4583793640293557,2.255708975618145
5388,L,2025-10-29 17:45:00+00:00,-0.05808037965982374,-0.12445795641390801,-0.01659439418852107,,-1.0,1.5930618420980238
5389,RS,2025-10-29 18:15:00+00:00,0.22273279078728603,,0.3376916505484659,0-0.5,-1.0,7.616024459178675
5390,L,2025-10-29 20:00:00+00:00,-0.6624027966340574,-0.7435796099470547,0.5909672009186199,,-1.0,0.779297407804794
