profile_level,event,orientation,open_location,value_migration,time_bucket,horizon,N,sample_tier,mean_directional_atr_return,median_directional_atr_return,positive_rate,mfe_atr,mae_atr,effect_vs_unconditional,standard_error,ci95_low,ci95_high,era1_effect,era2_effect,era3_effect,same_sign_all_eras,session_control_result,raw_p,replication_classification,fdr_q,fdr_survivor_5pct
VAL,HOLD_BELOW_VAL,continuation_down,ABOVE_VAH,VALUE_UP,RTH_1400_1600,24,330,ANALYZABLE,0.36105903335649575,-0.002650663807662301,0.49393939393939396,1.190225136099646,1.871151045874769,0.18276397606233782,0.10323642551121236,0.1520265668166463,0.5546855535129274,0.2389813513197079,0.4092232207136846,0.49982022411737337,True,False,0.0004698175167477519,REPLICATED_INFORMATION,0.03132116778318346,True
VAL,ACCEPTANCE_BELOW_VAL,continuation_down,ABOVE_VAH,VALUE_UP,RTH_1400_1600,24,330,ANALYZABLE,0.36105903335649575,-0.002650663807662301,0.49393939393939396,1.190225136099646,1.871151045874769,0.18276397606233782,0.10323642551121236,0.1520265668166463,0.5546855535129274,0.2389813513197079,0.4092232207136846,0.49982022411737337,True,False,0.0004698175167477519,REPLICATED_INFORMATION,0.03132116778318346,True
VALUE,FULL_VALUE_TRAVERSAL,both,ABOVE_VAH,VALUE_UP,RTH_1400_1600,24,654,ANALYZABLE,-0.08010688364872753,0.07333638426480488,0.5076452599388379,1.5194573361512742,1.817284078011494,-0.2584019409428855,0.09172499625953257,-0.25340590245812405,0.09860883053774376,-0.07385967777538086,-0.2765885897899331,0.13651700777397296,False,False,1.0,ERA_DEPENDENT,1.0,False
VAH,TEST_VAH_FROM_BELOW,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1030_1200,24,46,INSUFFICIENT,0.9035216015315399,0.6451301098839111,0.6086956521739131,2.215021025869514,1.613329199814428,0.725226544237382,0.4736502705651042,0.09430598400639745,1.851689232194987,-0.3033390331010789,2.289394103994401,0.8841318338037983,False,False,0.056446664112517475,NO_INFORMATION,0.696872396450833,False
VAH,CLOSE_ABOVE_VAH,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1030_1200,24,29,INSUFFICIENT,0.9328734514442825,0.8257596134201739,0.6896551724137931,2.00695794793579,1.3578825379156656,0.7545783941501245,0.34637517549413793,0.2959076036356574,1.6644545935104362,0.7495821502206329,0.7904973266937672,1.4504815746141324,True,False,0.007076010237027585,NO_INFORMATION,0.207485747862658,False
VAH,HOLD_ABOVE_VAH,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1030_1200,24,475,ANALYZABLE,-0.347124609360952,0.2104492707443871,0.5410526315789473,1.9660431694697342,2.668045497800021,-0.52541966665511,0.19436101990918825,-0.7787933775400862,0.045420672050073316,-0.8247555094549316,-0.04515815384449086,-0.2557534115590061,True,False,1.0,ERA_DEPENDENT,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1030_1200,24,475,ANALYZABLE,-0.347124609360952,0.2104492707443871,0.5410526315789473,1.9660431694697342,2.668045497800021,-0.52541966665511,0.19436101990918825,-0.7787933775400862,0.045420672050073316,-0.8247555094549316,-0.04515815384449086,-0.2557534115590061,True,False,1.0,ERA_DEPENDENT,1.0,False
VAH,HOLD_ABOVE_VAH,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1200_1400,24,799,ANALYZABLE,0.9625609836033945,1.0902715605480173,0.6795994993742178,3.00630712018074,2.2043807845532832,0.7842659263092365,0.12826812299778514,0.6996473714088288,1.207641931776372,1.669292320667959,0.3774543189745697,0.934633767094097,True,False,6.176320495687998e-14,REPLICATED_INFORMATION,9.264480743531997e-11,True
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1200_1400,24,799,ANALYZABLE,0.9625609836033945,1.0902715605480173,0.6795994993742178,3.00630712018074,2.2043807845532832,0.7842659263092365,0.12826812299778514,0.6996473714088288,1.207641931776372,1.669292320667959,0.3774543189745697,0.934633767094097,True,False,6.176320495687998e-14,REPLICATED_INFORMATION,9.264480743531997e-11,True
VAH,HOLD_ABOVE_VAH,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1400_1600,24,935,ANALYZABLE,0.3593913975801588,0.2199472833564146,0.544385026737968,2.470329652769418,1.9587844655947708,0.18109634028600088,0.11868829484383099,0.11276498451369378,0.5737608899481664,0.9538743323868715,-0.44900703682287596,0.607598988197311,False,False,0.0024615584452715622,ERA_DEPENDENT,0.09347690298499603,False
