event_id,extreme_timestamp,direction,extreme_price,capture_status,matched_signal_time,matched_signal_type,MFE_R_x,MAE_R_x,atr_at_extreme,MFE_R_y,MAE_R_y,bars_to_0.5R,bars_to_1R,bars_to_2R,primary_hit,hit_1.5R_before_0.5R_60m,hit_2R_before_0.75R_90m,hit_2R_before_1R_90m,hit_2R_before_1R_120m,hit_2.5R_before_1R_120m,hit_3R_before_1R_120m,cluster_size
MR00027,2018-01-24 19:45:00+00:00,Short,6939.5,MISSED,,,2.061345616619991,0.1442941931633993,16.170666900580375,2.061345616619991,0.1442941931633993,1,1,2,True,True,True,True,True,False,False,1
MR00028,2018-01-25 15:45:00+00:00,Long,6904.25,MISSED,,,2.7194477786042075,0.3708337879914828,13.483129536499618,2.7194477786042075,0.3708337879914828,1,1,4,True,True,True,True,True,True,False,1
MR00029,2018-01-25 17:00:00+00:00,Short,6949.75,MISSED,,,3.729641757127163,0.1021819659486894,13.048616954608857,3.729641757127163,0.1021819659486894,1,1,3,True,True,True,True,True,True,True,1
MR00030,2018-01-25 18:45:00+00:00,Short,6937.25,MISSED,,,5.564407097266906,0.1384180869966892,12.040815639263467,5.564407097266906,0.1384180869966892,1,1,1,True,True,True,True,True,True,True,1
MR00031,2018-01-25 20:00:00+00:00,Long,6883.0,MISSED,,,3.3750314529430376,0.0,14.024560657666916,3.3750314529430376,0.0,1,1,1,True,True,True,True,True,True,True,1
MR00032,2018-01-26 17:15:00+00:00,Long,6952.0,MISSED,,,3.5385478220762976,0.3283188700895534,9.137458347068842,3.5385478220762976,0.3283188700895534,2,4,5,True,True,True,True,True,True,True,1
MR00034,2018-01-29 18:15:00+00:00,Short,7008.5,MISSED,,,2.648358412417165,0.1765572274944776,11.327771897995826,2.648358412417165,0.1765572274944776,1,2,5,True,True,True,True,True,True,False,1
MR00035,2018-01-30 18:00:00+00:00,Long,6896.75,MISSED,,,2.897180227222588,0.3317381939567849,15.072126427056345,2.897180227222588,0.3317381939567849,1,2,3,True,True,True,True,True,True,False,1
MR00036,2018-01-30 19:00:00+00:00,Short,6935.25,MISSED,,,2.211687701535985,0.4062283533433442,14.770017776008856,2.211687701535985,0.4062283533433442,1,2,2,True,True,True,True,True,False,False,1
MR00039,2018-01-31 19:00:00+00:00,Short,6960.25,MISSED,,,5.137335866553866,1.0147823933933562,10.511284720853435,5.137335866553866,1.0147823933933562,1,1,1,True,False,True,True,True,True,True,1
MR00041,2018-01-31 20:45:00+00:00,Short,6952.0,MISSED,,,3.7848698701710415,1.8924349350855207,14.619613152204034,3.7848698701710415,1.8924349350855207,1,1,1,True,True,True,True,True,True,True,1
MR00042,2018-01-31 21:45:00+00:00,Long,6902.5,MISSED,,,4.328087439046981,0.0,17.020604991032165,4.328087439046981,0.0,1,1,1,True,True,True,True,True,True,True,1
MR00044,2018-02-01 20:30:00+00:00,Long,6865.75,MISSED,,,5.828354375864459,0.2273471565053512,16.128051579920957,5.828354375864459,0.2273471565053512,1,1,1,True,True,True,True,True,True,True,1
MR00047,2018-02-06 17:30:00+00:00,Short,6575.75,MISSED,,,2.2882344799626657,0.0917916410300209,50.8397781573641,2.2882344799626657,0.0917916410300209,1,2,6,True,False,True,True,True,False,False,1
MR00050,2018-02-07 20:30:00+00:00,Short,6637.0,MISSED,,,6.850241765109736,0.1245498502747224,29.43935025677683,6.850241765109736,0.1245498502747224,1,1,1,True,True,True,True,True,True,True,1
MR00055,2018-02-12 20:15:00+00:00,Short,6548.5,MISSED,,,2.7635388147096727,0.4137919080848707,22.55562071411754,2.7635388147096727,0.4137919080848707,1,1,2,True,True,True,True,True,True,False,1
MR00058,2018-02-15 16:00:00+00:00,Long,6650.75,MISSED,,,4.314885626373904,0.449133076351187,20.78077484107493,4.314885626373904,0.449133076351187,1,1,4,True,True,True,True,True,True,True,1
MR00064,2018-02-21 19:15:00+00:00,Short,6866.5,MISSED,,,11.849630577513494,0.575224785316189,14.487090170762851,11.849630577513494,0.575224785316189,1,2,2,True,False,True,True,True,True,True,1
MR00066,2018-02-22 19:30:00+00:00,Short,6780.75,MISSED,,,2.7238400023819636,0.9079466674606546,18.35643795387234,2.7238400023819636,0.9079466674606546,1,1,2,True,True,True,True,True,True,False,1
MR00068,2018-02-23 18:00:00+00:00,Long,6809.5,MISSED,,,6.56087751718511,0.3468305295428252,11.533010099406766,6.56087751718511,0.3468305295428252,1,1,4,True,True,True,True,True,True,True,1
MR00072,2018-02-28 16:45:00+00:00,Long,6874.0,MISSED,,,3.71432103230574,0.8603794481612167,15.884464344045822,3.71432103230574,0.8603794481612167,1,4,4,True,False,False,True,True,True,True,1
MR00079,2018-03-05 19:15:00+00:00,Long,6833.25,MISSED,,,2.774353949884631,0.0,17.421473325472128,2.774353949884631,0.0,1,1,2,True,True,True,True,True,True,False,1
MR00083,2018-03-06 21:00:00+00:00,Short,6899.5,MISSED,,,9.585100539056585,0.5933633667035029,14.606002245833462,9.585100539056585,0.5933633667035029,3,3,3,True,False,True,True,True,True,True,1
MR00088,2018-03-12 18:30:00+00:00,Long,7103.0,MISSED,,,3.4814577317224074,0.3191336254078873,11.489440080092688,3.4814577317224074,0.3191336254078873,1,1,3,True,True,True,True,True,True,True,1
MR00090,2018-03-13 16:00:00+00:00,Long,7035.5,MISSED,,,3.35673616862869,0.0402004331572298,16.583569238153107,3.35673616862869,0.0402004331572298,1,1,2,True,True,True,True,True,True,True,1
MR00093,2018-03-14 16:00:00+00:00,Long,6991.25,MISSED,,,4.957643406276554,0.0404705584185841,16.47288035345054,4.957643406276554,0.0404705584185841,1,1,2,True,True,True,True,True,True,True,1
MR00098,2018-03-19 18:00:00+00:00,Short,6820.5,MISSED,,,2.465547456240876,3.805878623727527,20.144275276855343,2.465547456240876,3.805878623727527,1,1,2,True,True,True,True,True,False,False,1
MR00101,2018-03-20 15:45:00+00:00,Long,6817.75,MISSED,,,3.1038091921319952,0.4992140658673838,15.357473258182024,3.1038091921319952,0.4992140658673838,1,1,2,True,True,True,True,True,True,True,1
MR00102,2018-03-20 16:30:00+00:00,Short,6868.25,MISSED,,,2.1955955209393045,0.4600295377206162,15.941005374717898,2.1955955209393045,0.4600295377206162,1,2,4,True,True,True,True,True,False,False,1
MR00103,2018-03-20 17:45:00+00:00,Long,6829.25,MISSED,,,3.841255948604182,0.5030216123172143,14.578565122782049,3.841255948604182,0.5030216123172143,1,1,2,True,False,True,True,True,True,True,2
MR00104,2018-03-20 19:00:00+00:00,Short,6876.75,MISSED,,,2.04284129074226,0.1425238109820181,14.032742923583024,2.04284129074226,0.1425238109820181,1,2,3,True,True,True,True,True,False,False,1
MR00105,2018-03-21 18:15:00+00:00,Short,6905.75,MISSED,,,5.528175335099006,0.1687992468732521,15.797858794174669,5.528175335099006,0.1687992468732521,1,1,1,True,True,True,True,True,True,True,2
MR00110,2018-03-23 15:45:00+00:00,Long,6577.5,MISSED,,,3.7935823109950744,0.3351221122787168,24.8665576755574,3.7935823109950744,0.3351221122787168,1,1,5,True,True,True,True,True,True,True,1
MR00111,2018-03-23 18:00:00+00:00,Short,6651.75,MISSED,,,5.923597769634898,0.0,29.59912879839916,5.923597769634898,0.0,1,2,3,True,True,True,True,True,True,True,1
MR00115,2018-03-29 19:00:00+00:00,Short,6608.5,MISSED,,,4.54474229787322,0.2864880531610626,25.59734429557717,4.54474229787322,0.2864880531610626,1,1,1,True,True,True,True,True,True,True,1
MR00117,2018-04-02 18:30:00+00:00,Long,6281.25,MISSED,,,3.804943502034936,0.2292134639780082,29.084969752502396,3.804943502034936,0.2292134639780082,1,1,2,True,True,True,True,True,True,True,1
MR00119,2018-04-03 16:15:00+00:00,Long,6332.0,MISSED,,,2.4738162110804933,0.160798053720232,26.948916563833393,2.4738162110804933,0.160798053720232,1,1,4,True,True,True,True,True,False,False,1
MR00120,2018-04-03 17:15:00+00:00,Short,6391.0,MISSED,,,2.53846557586256,3.3186361886276585,28.626217096513056,2.53846557586256,3.3186361886276585,1,4,5,True,True,True,True,True,True,False,1
MR00123,2018-04-04 16:45:00+00:00,Short,6461.25,MISSED,,,2.026303821817596,2.650688139005576,28.29453940520395,2.026303821817596,2.650688139005576,1,1,2,True,True,True,True,True,False,False,1
MR00125,2018-04-05 15:30:00+00:00,Short,6598.0,MISSED,,,5.503067993574381,0.383934976295887,18.232253980958777,5.503067993574381,0.383934976295887,1,2,3,True,True,True,True,True,True,True,1
MR00127,2018-04-05 19:00:00+00:00,Short,6587.75,MISSED,,,2.2289379858252243,0.3793936997149317,21.086275301912043,2.2289379858252243,0.3793936997149317,1,2,2,True,True,True,True,True,False,False,1
MR00132,2018-04-11 15:00:00+00:00,Long,6550.5,MISSED,,,3.6937384489778937,0.9186499769478698,17.416862136282344,3.6937384489778937,0.9186499769478698,1,2,3,True,False,False,True,True,True,True,1
MR00133,2018-04-11 16:00:00+00:00,Short,6618.0,MISSED,,,3.047054078641719,0.1948697375875518,18.815988116263014,3.047054078641719,0.1948697375875518,1,2,3,True,True,True,True,True,True,True,1
MR00134,2018-04-12 15:15:00+00:00,Short,6640.25,MISSED,,,3.7266506335870098,1.1364962925123503,12.611861057327271,3.7266506335870098,1.1364962925123503,1,2,2,True,False,True,True,True,False,False,1
MR00138,2018-04-13 19:15:00+00:00,Long,6561.0,MISSED,,,6.527570003869788,0.4299597008536986,17.055862023284433,6.527570003869788,0.4299597008536986,1,1,2,True,True,True,True,True,True,True,1
MR00140,2018-04-16 19:15:00+00:00,Long,6627.75,MISSED,,,4.141044625895985,0.1254862007847268,13.281672855215806,4.141044625895985,0.1254862007847268,1,1,3,True,True,True,True,True,True,True,1
MR00141,2018-04-17 19:30:00+00:00,Short,6799.5,MISSED,,,2.653479134271171,0.542757095646376,11.054668926722233,2.653479134271171,0.542757095646376,1,1,5,True,False,True,True,True,True,False,1
MR00145,2018-04-20 17:45:00+00:00,Short,6653.0,MISSED,,,3.3941993896353253,0.4114181078345849,16.20411581239169,3.3941993896353253,0.4114181078345849,2,3,5,True,True,True,True,True,True,True,1
MR00146,2018-04-20 19:00:00+00:00,Long,6600.75,MISSED,,,5.184454475965948,0.8055526875006851,16.137988491272885,5.184454475965948,0.8055526875006851,2,2,4,True,False,False,True,True,True,True,1
MR00148,2018-04-23 18:45:00+00:00,Long,6571.5,MISSED,,,5.3890686970522514,0.3820608404626596,16.57676647955842,5.3890686970522514,0.3820608404626596,1,1,3,True,True,True,True,True,True,True,1
MR00149,2018-04-25 15:00:00+00:00,Short,6499.75,MISSED,,,2.9613942397302706,0.3684031111626173,23.52495514849521,2.9613942397302706,0.3684031111626173,1,2,2,True,True,True,True,True,True,False,1
MR00150,2018-04-25 19:45:00+00:00,Long,6450.25,MISSED,,,4.538971500988948,0.0971645275441059,24.014250800264147,4.538971500988948,0.0971645275441059,1,1,2,True,True,True,True,True,True,True,1
MR00151,2018-04-26 15:45:00+00:00,Long,6571.75,MISSED,,,3.336171096936474,0.0633450208279077,15.786560442007664,3.336171096936474,0.0633450208279077,1,2,5,True,True,True,True,True,True,True,1
MR00154,2018-04-27 19:15:00+00:00,Long,6601.5,MISSED,,,3.116918822406396,0.0380112051512975,17.53868797406204,3.116918822406396,0.0380112051512975,1,1,6,True,True,True,True,True,True,True,1
MR00159,2018-05-02 18:00:00+00:00,Short,6673.5,MISSED,,,7.217072176578303,0.2987959818328597,14.502649288494483,7.217072176578303,0.2987959818328597,1,1,3,True,True,True,True,True,True,True,1
MR00162,2018-05-04 18:30:00+00:00,Short,6743.25,MISSED,,,2.5036549628144216,0.0486146594721246,13.713284715054494,2.5036549628144216,0.0486146594721246,1,1,5,True,True,True,True,True,True,False,1
MR00163,2018-05-04 19:45:00+00:00,Long,6716.0,MISSED,,,2.2221754968816945,0.1997461120792534,13.35028070838551,2.2221754968816945,0.1997461120792534,2,4,4,True,True,True,True,True,False,False,1
MR00165,2018-05-07 17:00:00+00:00,Long,6773.5,MISSED,,,3.120578769918618,1.7149126573426638,11.85677488953914,3.120578769918618,1.7149126573426638,1,2,4,True,False,True,True,True,True,True,2
MR00173,2018-05-09 19:30:00+00:00,Long,6839.5,MISSED,,,2.149185603118601,0.0596996000866278,11.16702064501759,2.149185603118601,0.0596996000866278,1,1,5,True,True,True,True,True,False,False,1
MR00175,2018-05-10 18:30:00+00:00,Long,6891.25,MISSED,,,3.4498194908787077,0.0319427730636917,10.435328600578575,3.4498194908787077,0.0319427730636917,1,1,3,True,True,True,True,True,True,True,1
MR00176,2018-05-10 19:45:00+00:00,Short,6926.0,MISSED,,,2.3432125525265204,0.2466539528975284,10.81136805366555,2.3432125525265204,0.2466539528975284,2,2,4,True,True,True,True,True,False,False,1
MR00177,2018-05-11 14:45:00+00:00,Short,6929.75,MISSED,,,5.9678346062099425,0.0723373891661811,9.216073103428288,5.9678346062099425,0.0723373891661811,1,1,2,True,True,True,True,True,True,True,2
MR00178,2018-05-11 18:00:00+00:00,Long,6883.0,MISSED,,,3.803739142041109,0.0618494169437578,10.778867443049515,3.803739142041109,0.0618494169437578,1,1,1,True,True,True,True,True,True,True,1
MR00181,2018-05-14 19:00:00+00:00,Short,6936.25,MISSED,,,2.675159508618536,0.2488520473133522,10.715871922519588,2.675159508618536,0.2488520473133522,1,2,3,True,True,True,True,True,True,False,1
MR00182,2018-05-15 16:00:00+00:00,Long,6816.5,MISSED,,,2.012709285845158,1.3850902612267757,15.402124995405272,2.012709285845158,1.3850902612267757,2,2,3,True,True,True,True,True,False,False,1
MR00184,2018-05-15 18:00:00+00:00,Long,6809.0,MISSED,,,2.728454641695529,0.8274821454322506,14.904651902659229,2.728454641695529,0.8274821454322506,1,2,2,True,False,False,True,True,True,False,1
MR00185,2018-05-16 14:30:00+00:00,Short,6891.0,MISSED,,,3.5752792390575903,2.7995111022809436,9.882677959063937,3.5752792390575903,2.7995111022809436,1,1,1,True,True,True,True,True,True,True,1
MR00190,2018-05-18 15:30:00+00:00,Short,6860.5,MISSED,,,2.817712565740768,0.0,12.894620187698749,2.817712565740768,0.0,1,1,3,True,True,True,True,True,True,False,1
MR00191,2018-05-18 20:00:00+00:00,Long,6826.5,MISSED,,,10.873886180830334,0.147442524485835,9.043071786670527,10.873886180830334,0.147442524485835,3,3,3,True,True,True,True,True,True,True,1
MR00193,2018-05-21 15:30:00+00:00,Long,6836.25,MISSED,,,3.718207198445393,0.3913902314153045,11.923308994686847,3.718207198445393,0.3913902314153045,1,1,2,True,True,True,True,True,True,True,1
MR00195,2018-05-21 18:30:00+00:00,Long,6837.75,MISSED,,,2.7790408454204294,0.206949850190883,11.274873266064947,2.7790408454204294,0.206949850190883,1,1,5,True,False,True,True,True,True,False,1
MR00198,2018-05-22 18:30:00+00:00,Short,6886.25,MISSED,,,4.935069030227141,0.6994586027093586,8.578063057283092,4.935069030227141,0.6994586027093586,1,1,4,True,False,True,True,True,True,True,1
MR00200,2018-05-24 15:00:00+00:00,Long,6840.0,MISSED,,,4.027709318768458,0.3356424432307048,14.896804920953445,4.027709318768458,0.3356424432307048,1,1,3,True,True,True,True,True,True,True,1
MR00201,2018-05-25 15:30:00+00:00,Short,6944.25,MISSED,,,2.6081521961542986,0.3032735111807323,10.991178624060153,2.6081521961542986,0.3032735111807323,1,2,3,True,True,True,True,True,True,False,1
MR00202,2018-05-28 15:00:00+00:00,Short,6953.0,MISSED,,,3.035592917831261,0.7175037805782981,6.03945714382261,3.035592917831261,0.7175037805782981,1,1,3,True,True,True,True,True,True,True,1
MR00204,2018-05-28 16:45:00+00:00,Short,6952.75,MISSED,,,2.6449328665673133,0.574985405775503,5.797248590749099,2.6449328665673133,0.574985405775503,1,1,1,True,True,True,True,True,True,False,1
MR00206,2018-05-29 19:15:00+00:00,Long,6848.0,MISSED,,,3.5358333894208123,0.2946527824517344,16.969125349491737,3.5358333894208123,0.2946527824517344,1,1,2,True,True,True,True,True,True,True,1
MR00216,2018-06-06 16:00:00+00:00,Short,7146.75,MISSED,,,2.3399462740327897,0.6017004704655745,9.97173892079129,2.3399462740327897,0.6017004704655745,1,5,5,True,False,True,True,True,False,False,1
MR00218,2018-06-07 17:30:00+00:00,Long,7071.5,MISSED,,,3.58996455659205,0.5865955157830147,14.206268389572696,3.58996455659205,0.5865955157830147,1,2,4,True,False,True,True,True,True,True,1
MR00220,2018-06-08 19:45:00+00:00,Short,7117.75,MISSED,,,3.5408325100182307,0.5447434630797278,9.790541226839386,3.5408325100182307,0.5447434630797278,3,4,4,True,False,True,True,True,True,True,1
MR00223,2018-06-12 17:45:00+00:00,Short,7172.5,MISSED,,,6.551505901113754,0.0442669317642821,7.530075386934579,6.551505901113754,0.0442669317642821,1,1,2,True,True,True,True,True,True,True,1
MR00225,2018-06-13 15:30:00+00:00,Short,7220.0,MISSED,,,4.034514801874245,0.370989866839011,7.18797709864095,4.034514801874245,0.370989866839011,1,2,3,True,True,True,True,True,True,True,1
MR00231,2018-06-19 14:30:00+00:00,Long,7087.5,MISSED,,,3.9995793582101697,0.082042653501747,16.25170903699428,3.9995793582101697,0.082042653501747,1,1,1,True,True,True,True,True,True,True,1
MR00232,2018-06-19 17:30:00+00:00,Long,7133.5,MISSED,,,2.937078353765726,0.182144394031983,14.640399342723788,2.937078353765726,0.182144394031983,1,2,3,True,True,True,True,True,True,False,1
MR00234,2018-06-21 15:45:00+00:00,Short,7222.0,MISSED,,,3.2432646171820485,0.0586132159731695,17.060998674049113,3.2432646171820485,0.0586132159731695,1,1,3,True,True,True,True,True,True,True,1
MR00237,2018-06-25 18:45:00+00:00,Long,6925.5,MISSED,,,4.585529006527143,0.3275377861805101,19.336191427522667,4.585529006527143,0.3275377861805101,1,2,3,True,True,True,True,True,True,True,1
MR00238,2018-06-27 14:30:00+00:00,Short,7081.5,MISSED,,,4.747027098082001,0.2080370441390518,17.62506615992808,4.747027098082001,0.2080370441390518,1,1,2,True,True,True,True,True,True,True,1
MR00239,2018-06-28 15:30:00+00:00,Short,6971.75,MISSED,,,2.188088365890272,0.1823406971575226,21.93695681959816,2.188088365890272,0.1823406971575226,1,2,3,True,True,True,True,True,False,False,1
MR00242,2018-06-29 14:45:00+00:00,Short,7053.75,MISSED,,,3.70016053953953,0.4308406107683014,13.15258247490068,3.70016053953953,0.4308406107683014,1,2,4,True,True,True,True,True,True,True,1
MR00250,2018-07-09 16:00:00+00:00,Short,7204.0,MISSED,,,2.334287410918086,0.4119330725149563,9.71031525965852,2.334287410918086,0.4119330725149563,1,1,4,True,True,True,True,True,False,False,1
MR00254,2018-07-11 16:15:00+00:00,Long,7173.5,MISSED,,,2.1228419873450655,0.8586776578024984,13.974976396509527,2.1228419873450655,0.8586776578024984,1,1,4,True,True,True,True,True,False,False,1
MR00257,2018-07-11 19:00:00+00:00,Short,7205.75,MISSED,,,2.0409170611407053,0.4231169516999023,13.392672271579835,2.0409170611407053,0.4231169516999023,1,3,5,True,True,True,True,True,False,False,1
MR00262,2018-07-16 19:45:00+00:00,Short,7309.25,MISSED,,,8.189226734273332,0.4254143758064068,9.402597155814684,8.189226734273332,0.4254143758064068,1,1,1,True,True,True,True,True,True,True,1
MR00263,2018-07-17 19:30:00+00:00,Short,7366.0,MISSED,,,2.0066968798852667,0.0308722596905425,10.797179625806494,2.0066968798852667,0.0308722596905425,1,1,2,True,True,True,True,True,False,False,1
MR00264,2018-07-19 14:30:00+00:00,Long,7291.75,MISSED,,,3.744095670842544,0.3490258676209151,10.505429559304517,3.744095670842544,0.3490258676209151,1,1,2,True,True,True,True,True,True,True,1
MR00268,2018-07-20 14:45:00+00:00,Short,7343.75,MISSED,,,3.846003092699441,0.7866824507794311,11.440448418650954,3.846003092699441,0.7866824507794311,1,4,5,True,False,False,True,True,True,True,1
MR00269,2018-07-23 17:15:00+00:00,Long,7295.0,MISSED,,,2.3630227244863233,0.0665640204080654,10.015420681919744,2.3630227244863233,0.0665640204080654,1,2,6,True,True,True,True,True,False,False,1
MR00270,2018-07-24 14:30:00+00:00,Short,7414.75,MISSED,,,8.463021748022994,0.3570895252330378,9.3347272820674,8.463021748022994,0.3570895252330378,1,1,2,True,True,True,True,True,True,True,1
MR00272,2018-07-26 14:30:00+00:00,Long,7342.5,MISSED,,,2.0179983171031397,0.6544859406820994,12.223333616093376,2.0179983171031397,0.6544859406820994,1,2,6,True,True,True,True,True,False,False,1
MR00273,2018-07-26 16:00:00+00:00,Short,7371.5,MISSED,,,2.845406662378761,0.1625946664216435,12.30052648106896,2.845406662378761,0.1625946664216435,1,1,3,True,True,True,True,True,True,False,1
MR00277,2018-07-30 16:45:00+00:00,Long,7096.75,MISSED,,,2.8593277322974537,0.857798319689236,18.652403056462617,2.8593277322974537,0.857798319689236,1,2,4,True,False,False,True,True,True,False,1
MR00278,2018-07-31 16:15:00+00:00,Short,7214.25,MISSED,,,2.898632462711466,0.0216315855426228,15.409565455871611,2.898632462711466,0.0216315855426228,1,1,3,True,True,True,True,True,True,False,1
MR00279,2018-07-31 19:45:00+00:00,Long,7163.25,MISSED,,,5.589701591797689,0.02552375156072,13.05973115042849,5.589701591797689,0.02552375156072,1,1,1,True,True,True,True,True,True,True,1
MR00282,2018-08-02 19:00:00+00:00,Long,7298.25,MISSED,,,2.2056430218886733,0.0769410356472793,12.99696568401157,2.2056430218886733,0.0769410356472793,1,3,6,True,True,True,True,True,False,False,1
MR00283,2018-08-03 14:30:00+00:00,Short,7331.25,MISSED,,,2.6629031599026844,0.0,12.392489707063168,2.6629031599026844,0.0,1,1,1,True,True,True,True,True,True,False,1
MR00284,2018-08-03 15:45:00+00:00,Long,7298.75,MISSED,,,2.829377034233464,0.0250387348162253,13.312706723397625,2.829377034233464,0.0250387348162253,1,1,3,True,True,True,True,True,True,False,1
MR00286,2018-08-06 17:15:00+00:00,Short,7378.25,MISSED,,,2.1683750636626087,0.2797903307951753,9.530946473696549,2.1683750636626087,0.2797903307951753,1,2,2,True,True,True,True,True,False,False,1
MR00289,2018-08-08 14:45:00+00:00,Short,7426.0,MISSED,,,3.6109483411355385,0.1703277519403556,9.785056443710303,3.6109483411355385,0.1703277519403556,1,2,4,True,True,True,True,True,True,True,1
MR00293,2018-08-09 15:45:00+00:00,Long,7408.75,MISSED,,,3.4006886615866296,0.0,8.429665141204637,3.4006886615866296,0.0,1,1,4,True,True,True,True,True,True,True,1
MR00298,2018-08-13 18:30:00+00:00,Short,7375.25,MISSED,,,2.8487420818266367,0.0241418820493782,13.807263768895666,2.8487420818266367,0.0241418820493782,1,1,5,True,True,True,True,True,True,False,1
MR00299,2018-08-15 17:00:00+00:00,Short,7294.75,MISSED,,,2.3713545642979037,0.7499155459745508,16.446296385689113,2.3713545642979037,0.7499155459745508,1,1,4,True,True,True,True,True,False,False,1
MR00300,2018-08-15 18:00:00+00:00,Long,7257.5,MISSED,,,3.878452267327856,0.0799680879861413,16.673317655968003,3.878452267327856,0.0799680879861413,1,2,4,True,True,True,True,True,True,True,1
MR00304,2018-08-17 16:45:00+00:00,Long,7278.25,MISSED,,,6.026431629336238,0.217168707363468,12.27923994686562,6.026431629336238,0.217168707363468,1,3,5,True,True,True,True,True,True,True,1
MR00307,2018-08-22 18:15:00+00:00,Long,7350.25,MISSED,,,2.1226943655091066,0.7628432876048351,10.050120111482348,2.1226943655091066,0.7628432876048351,2,3,5,True,False,False,True,True,False,False,1
MR00309,2018-08-23 15:30:00+00:00,Long,7341.25,MISSED,,,3.005955095580694,0.176820887975335,11.310880874430309,3.005955095580694,0.176820887975335,1,1,3,True,True,True,True,True,True,True,1
MR00313,2018-08-28 15:15:00+00:00,Short,7516.25,MISSED,,,3.2661741860216646,0.4354898914695553,7.6542151692316915,3.2661741860216646,0.4354898914695553,1,1,1,True,True,True,True,True,True,True,1
MR00316,2018-08-30 15:30:00+00:00,Long,7587.0,MISSED,,,4.933814546496118,0.0,9.458536843426405,4.933814546496118,0.0,1,1,2,True,True,True,True,True,True,True,1
MR00318,2018-08-30 19:00:00+00:00,Long,7556.25,MISSED,,,2.184114357325106,0.5720299507280039,12.81984155549974,2.184114357325106,0.5720299507280039,1,1,4,True,False,True,True,True,False,False,1
MR00320,2018-08-31 17:15:00+00:00,Short,7589.25,MISSED,,,2.6898250415776497,0.5021006744278279,9.29428480052252,2.6898250415776497,0.5021006744278279,1,1,4,True,True,True,True,True,True,False,1
MR00321,2018-08-31 18:15:00+00:00,Long,7563.25,MISSED,,,3.974664135789564,0.4147475619954328,9.644420767069024,3.974664135789564,0.4147475619954328,1,2,3,True,True,True,True,True,True,True,1
MR00322,2018-09-04 14:30:00+00:00,Long,7547.25,MISSED,,,2.5730097328043873,3.675728189720554,12.695897046243372,2.5730097328043873,3.675728189720554,1,1,1,True,False,True,True,True,True,False,1
