timestamp,direction,label,event_id
2019-12-06 20:30:00+00:00,Short,1,MR00895
2019-12-09 20:15:00+00:00,Short,1,MR00899
2019-12-10 20:30:00+00:00,Long,1,MR00900
2019-12-11 17:30:00+00:00,Long,1,MR00902
2019-12-12 17:15:00+00:00,Long,1,MR00903
2019-12-13 16:15:00+00:00,Long,1,MR00905
2019-12-13 20:45:00+00:00,Long,1,MR00906
2019-12-17 20:15:00+00:00,Short,1,MR00907
2019-12-19 18:00:00+00:00,Long,1,MR00909
2019-12-24 17:30:00+00:00,Long,1,MR00915
2019-12-26 17:15:00+00:00,Long,1,MR00917
2019-12-26 19:00:00+00:00,Short,1,MR00918
2019-12-27 18:30:00+00:00,Long,1,MR00920
2019-12-30 17:45:00+00:00,Short,1,MR00922
2019-12-31 19:15:00+00:00,Long,1,MR00923
2020-01-03 16:00:00+00:00,Long,1,MR00926
2020-01-03 17:45:00+00:00,Short,1,MR00927
2020-01-07 20:15:00+00:00,Short,1,MR00931
2020-01-08 20:30:00+00:00,Short,1,MR00932
2020-01-09 15:30:00+00:00,Short,1,MR00934
2020-01-09 17:30:00+00:00,Long,1,MR00935
2020-01-09 20:15:00+00:00,Long,1,MR00936
2020-01-10 20:30:00+00:00,Long,1,MR00940
2020-01-15 15:45:00+00:00,Short,1,MR00944
2020-01-15 18:45:00+00:00,Long,1,MR00945
2020-01-15 20:30:00+00:00,Long,1,MR00947
2020-01-16 20:00:00+00:00,Long,1,MR00950
2020-01-17 20:00:00+00:00,Long,1,MR00953
2020-01-23 15:30:00+00:00,Short,1,MR00957
2020-01-23 18:00:00+00:00,Long,1,MR00958
2020-01-24 16:00:00+00:00,Short,1,MR00959
2020-01-24 19:15:00+00:00,Long,1,MR00961
2020-01-24 20:15:00+00:00,Short,1,MR00962
2020-01-27 19:30:00+00:00,Short,1,MR00964
2020-01-27 21:00:00+00:00,Long,1,MR00965
2020-01-28 21:30:00+00:00,Short,1,MR00967
2020-01-29 18:00:00+00:00,Long,1,MR00969
2020-01-30 16:00:00+00:00,Long,1,MR00971
2020-01-30 16:45:00+00:00,Short,1,MR00972
2020-01-31 19:30:00+00:00,Short,1,MR00975
2020-02-03 15:30:00+00:00,Short,1,MR00976
2020-02-03 16:30:00+00:00,Long,1,MR00977
2020-02-05 18:15:00+00:00,Long,1,MR00982
2020-02-07 21:45:00+00:00,Long,1,MR00985
2020-02-11 15:30:00+00:00,Short,1,MR00986
2020-02-12 20:00:00+00:00,Long,1,MR00988
2020-02-12 21:00:00+00:00,Short,1,MR00989
2020-02-13 19:00:00+00:00,Short,1,MR00992
2020-02-14 16:15:00+00:00,Short,1,MR00993
2020-02-14 19:15:00+00:00,Long,1,MR00994
2020-02-17 17:45:00+00:00,Short,1,MR00995
2020-02-18 16:30:00+00:00,Long,1,MR00996
2020-02-18 20:45:00+00:00,Long,1,MR00998
2020-02-20 20:45:00+00:00,Short,1,MR01000
2020-02-21 17:00:00+00:00,Short,1,MR01001
2020-02-21 20:30:00+00:00,Long,1,MR01002
2020-02-21 20:45:00+00:00,Short,1,MR01003
2020-02-24 20:00:00+00:00,Short,1,MR01005
2020-02-25 20:00:00+00:00,Short,1,MR01007
2020-02-26 20:15:00+00:00,Short,1,MR01010
2020-02-28 16:30:00+00:00,Short,1,MR01014
2020-03-02 19:30:00+00:00,Long,1,MR01017
2020-03-03 20:15:00+00:00,Short,1,MR01020
2020-03-04 20:45:00+00:00,Short,1,MR01022
2020-03-05 20:15:00+00:00,Long,1,MR01025
2020-03-06 20:45:00+00:00,Short,1,MR01028
2020-03-09 18:30:00+00:00,Long,1,MR01031
2020-03-10 17:15:00+00:00,Short,1,MR01033
2020-03-11 19:15:00+00:00,Long,1,MR01037
2020-03-12 17:00:00+00:00,Short,1,MR01039
2020-03-13 17:45:00+00:00,Short,1,MR01041
2020-03-13 19:30:00+00:00,Long,1,MR01042
2020-03-13 20:00:00+00:00,Short,1,MR01043
2020-03-16 19:45:00+00:00,Long,1,MR01045
2020-03-17 16:00:00+00:00,Short,1,MR01046
2020-03-17 17:15:00+00:00,Long,1,MR01047
2020-03-18 18:15:00+00:00,Long,1,MR01048
2020-03-19 15:30:00+00:00,Short,1,MR01049
2020-03-19 16:15:00+00:00,Long,1,MR01050
2020-03-20 16:15:00+00:00,Long,1,MR01053
2020-03-23 15:45:00+00:00,Long,1,MR01054
2020-03-23 19:30:00+00:00,Long,1,MR01056
2020-03-24 18:00:00+00:00,Long,1,MR01058
2020-03-26 19:30:00+00:00,Long,1,MR01060
2020-03-27 16:00:00+00:00,Long,1,MR01061
2020-03-27 19:15:00+00:00,Short,1,MR01062
2020-04-01 19:30:00+00:00,Long,1,MR01068
2020-04-08 17:45:00+00:00,Long,1,MR01075
2020-04-08 19:30:00+00:00,Long,1,MR01076
2020-04-09 15:15:00+00:00,Long,1,MR01077
2020-04-09 17:30:00+00:00,Short,1,MR01078
2020-04-09 18:45:00+00:00,Long,1,MR01079
2020-04-14 18:15:00+00:00,Short,1,MR01082
2020-04-15 15:45:00+00:00,Long,1,MR01083
2020-04-16 16:00:00+00:00,Short,1,MR01084
2020-04-17 19:45:00+00:00,Short,1,MR01086
2020-04-21 15:30:00+00:00,Long,1,MR01089
2020-04-27 15:45:00+00:00,Short,1,MR01096
2020-04-28 16:15:00+00:00,Long,1,MR01098
2020-04-28 18:15:00+00:00,Short,1,MR01099
2020-04-30 18:45:00+00:00,Long,1,MR01103
2020-04-30 19:45:00+00:00,Short,1,MR01104
2020-05-01 19:15:00+00:00,Short,1,MR01105
2020-05-04 17:15:00+00:00,Long,1,MR01107
2020-05-05 16:30:00+00:00,Long,1,MR01108
2020-05-05 18:45:00+00:00,Short,1,MR01109
2020-05-06 17:45:00+00:00,Short,1,MR01110
2020-05-07 17:00:00+00:00,Short,1,MR01111
2020-05-07 19:00:00+00:00,Short,1,MR01112
2020-05-08 18:00:00+00:00,Long,1,MR01115
2020-05-14 18:30:00+00:00,Long,1,MR01121
2020-05-20 18:15:00+00:00,Long,1,MR01127
2020-05-21 18:15:00+00:00,Short,1,MR01129
2020-05-22 15:15:00+00:00,Long,1,MR01130
2020-05-22 18:30:00+00:00,Short,1,MR01131
2020-05-22 19:30:00+00:00,Long,1,MR01132
