fold,marker_bar_timestamp,signal_type,direction,score,threshold,entry_i,entry_price,stop,target,realized_R,MFE_R,MAE_R,net_R
3,2022-08-31 14:45:00-05:00,MRL,Long,0.9832348310328688,0.982505583120832,109294,12273.5,12236.893277650996,12365.01680587251,0.689764020915877,0.7785455285585147,0.06829346741741356,0.6699589153648273
3,2022-09-08 11:00:00-05:00,MRL,Long,0.9939657891730935,0.982505583120832,109815,12166.75,12127.916407704652,12263.83398073837,1.3905486669712033,1.8733780652250933,0.9527833458876763,1.3718792635720527
3,2022-09-15 09:45:00-05:00,MRL,Long,0.9883922131164775,0.982505583120832,110270,11923.5,11889.107992303952,12009.480019240118,1.3084435313490639,1.7155148522132173,0.7123748115122681,1.287363052232885
3,2022-09-21 13:00:00-05:00,MRL,Long,0.9998809123578061,0.982505583120832,110651,11709.75,11675.686271796194,11794.909320509516,2.5,2.7301767863920574,0.19081880765105777,2.4787163637619973
3,2022-10-18 13:30:00-05:00,MRL,Long,0.9883757330582109,0.982505583120832,112401,11024.75,10983.710174813534,11127.349562966165,0.9381131577698901,1.0599460354023433,0.7858220607293236,0.9204473905131845
3,2022-10-25 15:00:00-05:00,MRL,Long,0.9991156710364806,0.982505583120832,112867,11504.0,11475.252606859454,11575.868482851365,-1.0,0.1391430513523078,1.8523418711275978,-1.0252196780576062
3,2022-10-27 15:00:00-05:00,MRL,Long,0.9974172773887531,0.982505583120832,113051,10969.75,10928.687120581224,11072.407198546938,-1.0,0.10349980469359715,1.6194675322645202,-1.0176558490359664
3,2022-11-02 13:45:00-05:00,MRL,Long,0.9950909876849504,0.982505583120832,113414,11071.0,11015.838672997943,11208.903317505145,-1.0,1.5182738442256036,3.063740652825397,-1.013143266114192
3,2022-11-08 12:15:00-06:00,MRL,Long,0.9957516209515949,0.982505583120832,113776,11012.25,10984.230629412215,11082.298426469462,-1.0,0.7316367059628799,1.0796102612379082,-1.025874956674297
3,2022-11-23 10:45:00-06:00,MRL,Long,0.9892249828544856,0.982505583120832,114782,11696.75,11673.82191486998,11754.070212825045,0.17445852880069204,1.3629572562554066,0.13084389660051904,0.14283792045556784
3,2022-11-29 10:00:00-06:00,MRL,Long,0.9899550768681166,0.982505583120832,115116,11428.25,11403.642559501068,11489.768601247331,-1.0,0.02031905756397928,2.123341515435835,-1.0294626334677701
3,2022-12-14 13:00:00-06:00,MRL,Long,0.9994189015093768,0.982505583120832,116140,11688.5,11655.587657379177,11770.780856552057,-1.0,0.3190292505449559,1.2077535913487616,-1.022028210156676
3,2022-01-04 13:30:00-06:00,MRS,Short,0.9891039384301573,0.9878417369220868,93729,16237.0,16266.664859288456,16162.837851778859,-1.0,0.3792365873239687,1.6180761059155997,-1.0244396911831009
3,2022-01-28 09:45:00-06:00,MRS,Short,0.9953345711678119,0.9878417369220868,95354,14165.75,14231.179304669722,14002.176738325696,-1.0,0.8979157014821106,1.723233963269923,-1.011080661848077
3,2022-02-03 15:00:00-06:00,MRS,Short,0.9971998850013275,0.9878417369220868,95743,14716.0,14766.944106334036,14588.63973416491,-1.0,0.24536695016374716,2.139599805427875,-1.014231283109497
3,2022-02-22 13:45:00-06:00,MRS,Short,0.9934715681966816,0.9878417369220868,96918,13947.5,13999.634895244322,13817.162761889194,-1.0,0.11508606609607468,1.6543622001310734,-1.013906232986609
3,2022-03-02 10:00:00-06:00,MRS,Short,0.989061288736146,0.9878417369220868,97455,14193.0,14246.209931938807,14059.975170152982,0.15034787131846453,0.6906605338691963,0.9631660506339134,0.13672259548022872
3,2022-03-08 09:45:00-06:00,MRS,Short,0.9942095255240312,0.9878417369220868,97822,13335.0,13394.312499553562,13186.718751116096,2.5,3.2961011839242436,0.49736565179419534,2.487776606862685
3,2022-03-08 11:00:00-06:00,MRS,Short,0.9906006340859431,0.9878417369220868,97827,13479.5,13551.962109159764,13298.344727100592,-1.0,0.3174072665934965,1.314480093175241,-1.0100052290556645
3,2022-04-01 14:45:00-05:00,MRS,Short,0.9943160867866464,0.9878417369220868,99498,14885.0,14920.25471332797,14796.863216680074,0.4680225264208661,0.8651325488385706,0.09218625520410999,0.44745790025994886
3,2022-05-04 13:45:00-05:00,MRS,Short,0.9892620062182016,0.9878417369220868,101518,13362.25,13426.543776501761,13201.515558745596,-1.0,0.4393893396388975,1.4659272658749058,-1.0112763635836532
3,2022-05-06 09:45:00-05:00,MRS,Short,0.9884670943673812,0.9878417369220868,101686,12865.25,12930.084896179438,12703.162759551406,-1.0,1.311022381600689,1.3688616043183663,-1.0111822497254175
3,2022-05-20 14:15:00-05:00,MRS,Short,0.9900804263434336,0.9878417369220868,102624,11701.25,11753.178453813376,11571.428865466558,-1.0,0.5536463708956832,2.537144673582827,-1.0139615171791085
3,2022-06-15 13:30:00-05:00,MRS,Short,0.9988354853919256,0.9878417369220868,104261,11710.75,11771.208892266925,11559.602769332689,2.5,2.6257510524526615,0.5747707028203464,2.4880083810202946
3,2022-06-15 13:45:00-05:00,MRS,Short,0.9903534076924778,0.9878417369220868,104262,11585.5,11652.006471390716,11419.23382152321,-1.0,0.22554196135105653,1.2517578854983638,-1.0109011947986344
3,2022-07-27 13:30:00-05:00,MRS,Short,0.9987496741187176,0.9878417369220868,106989,12584.75,12615.135663875732,12508.78584031067,-1.0,1.1354038582501984,1.0449006521577913,-1.0238599361516352
3,2022-08-17 13:00:00-05:00,MRS,Short,0.9917371514492407,0.9878417369220868,108367,13571.5,13600.77499458654,13498.31251353365,-1.0,1.6823231121157696,1.2467978394360526,-1.0247651625641407
3,2022-09-21 13:30:00-05:00,MRS,Short,0.9996164055326514,0.9878417369220868,110653,11992.0,12041.669107481854,11867.827231295367,-1.0,2.1542565474745587,1.1979277063059461,-1.014596598102047
3,2022-11-02 13:00:00-05:00,MRS,Short,0.9976494908201894,0.9878417369220868,113411,11293.0,11324.668095718547,11213.829760703633,-1.0,1.7288693480844641,1.7288693480844641,-1.0228937036960952
3,2022-11-02 13:30:00-05:00,MRS,Short,0.995940802447351,0.9878417369220868,113413,11229.5,11275.217006002216,11115.20748499446,2.5,4.385676524623696,0.8038584153612011,2.484141568676548
3,2022-11-30 12:30:00-06:00,MRS,Short,0.9980844415904728,0.9878417369220868,115218,11594.5,11623.102643404505,11522.993391488737,-1.0,1.8879373922304732,2.9280510481352247,-1.0253473075808723
3,2022-12-01 09:45:00-06:00,MRS,Short,0.9963543769366027,0.9878417369220868,115299,11984.0,12016.614641838985,11902.463395402538,0.7205352772542114,2.077287873786078,0.11497903360439544,0.6983059974240284
3,2022-12-22 13:00:00-06:00,MRS,Short,0.9931122793067053,0.9878417369220868,116692,10736.0,10760.348005622473,10675.129985943817,-1.0,1.4374894002691951,1.879004001780448,-1.0297765661484342
4,2023-01-18 09:30:00-06:00,MRL,Long,0.9924633300798781,0.9818102157101216,118226,11417.0,11391.864833742175,11479.837915644563,-1.0,0.5370961091533409,1.6311807759471835,-1.0288440503063823
4,2023-02-02 15:00:00-06:00,MRL,Long,0.9972353513205783,0.9818102157101216,119260,12497.75,12448.280961806071,12621.422595484823,-1.0,0.6771912538237169,1.79910512209883,-1.0146556316126027
4,2023-02-07 12:15:00-06:00,MRL,Long,0.9844846377740178,0.9818102157101216,119525,12337.75,12298.289519566402,12436.401201083996,-1.0,0.044348167603909,2.230079285225138,-1.0183728122930484
4,2023-02-27 09:30:00-06:00,MRL,Long,0.9844553312478407,0.9818102157101216,120786,11894.75,11873.704531925725,11947.36367018569,-1.0,0.16630658855614178,1.1403880358135436,-1.034449221915202
4,2023-04-03 09:45:00-05:00,MRL,Long,0.9880222589536499,0.9818102157101216,123087,12840.5,12821.167735956918,12888.830660107704,-1.0,0.556065237679551,1.306106721061271,-1.0375020741690861
