trade_id,entry_time,direction,entry_price,initial_atr,t5_time,mfe_at_t5_r,t5_result,exit_reason,gross_r
P60-000074,2017-10-06 14:22:00-05:00,SHORT,6059.5,1.0178571428571428,,,,M0_STOP,-1.0
P60-000075,2017-10-06 15:50:00-05:00,LONG,6065.0,0.7678571428571429,,,,M0_STOP,-1.0
P60-000076,2017-10-08 18:20:00-05:00,LONG,6067.25,0.26785714285714285,,,,M0_STOP,-1.0
P60-000077,2017-10-08 18:51:00-05:00,LONG,6069.25,0.26785714285714285,,,,M0_STOP,-1.0
P60-000078,2017-10-08 20:03:00-05:00,LONG,6074.5,0.6071428571428571,,,,M0_TARGET,2.5
P60-000079,2017-10-08 21:00:00-05:00,LONG,6075.75,0.5,,,,M0_TARGET,2.5
P60-000080,2017-10-08 22:22:00-05:00,LONG,6075.75,0.32142857142857145,,,,M0_STOP,-1.0
P60-000081,2017-10-08 22:56:00-05:00,SHORT,6075.0,0.16071428571428573,,,,M0_STOP,-1.0
P60-000082,2017-10-08 23:39:00-05:00,SHORT,6074.75,0.08928571428571429,,,,M0_TARGET,2.5
P60-000083,2017-10-09 01:21:00-05:00,SHORT,6072.5,0.30357142857142855,,,,M0_STOP,-1.0
P60-000084,2017-10-09 01:54:00-05:00,SHORT,6071.0,0.32142857142857145,,,,M0_STOP,-1.0
P60-000085,2017-10-09 03:36:00-05:00,LONG,6074.75,0.39285714285714285,,,,M0_TARGET,2.5
P60-000086,2017-10-09 04:49:00-05:00,LONG,6075.5,0.4642857142857143,,,,M0_STOP,-1.0
P60-000087,2017-10-09 04:57:00-05:00,SHORT,6075.25,0.5535714285714286,,,,M0_STOP,-1.0
P60-000088,2017-10-09 05:14:00-05:00,LONG,6076.5,0.44642857142857145,7379.0,2.2399999999999998,PASS,M0_TARGET,2.5
P60-000089,2017-10-09 06:18:00-05:00,LONG,6076.75,0.2857142857142857,,,,M0_TARGET,2.5
P60-000090,2017-10-09 08:05:00-05:00,LONG,6080.5,0.7678571428571429,,,,M0_STOP,-1.0
P60-000091,2017-10-09 08:26:00-05:00,SHORT,6079.25,0.8035714285714286,,,,M0_TARGET,2.5
P60-000092,2017-10-09 09:34:00-05:00,SHORT,6075.0,2.125,,,,M0_TARGET,2.5
P60-000093,2017-10-09 10:13:00-05:00,SHORT,6071.5,1.4107142857142858,,,,M0_STOP,-1.0
P60-000094,2017-10-09 13:27:00-05:00,SHORT,6070.25,1.4107142857142858,,,,M0_TARGET,2.5
P60-000095,2017-10-09 14:38:00-05:00,SHORT,6058.0,1.7321428571428572,,,,M0_STOP,-1.0
P60-000096,2017-10-09 15:48:00-05:00,SHORT,6062.5,0.48214285714285715,,,,M0_STOP,-1.0
P60-000097,2017-10-09 17:39:00-05:00,LONG,6063.5,0.10714285714285714,,,,M0_STOP,-1.0
P60-000098,2017-10-09 18:42:00-05:00,LONG,6064.5,0.125,,,,M0_STOP,-1.0
P60-000099,2017-10-09 19:25:00-05:00,LONG,6064.25,0.25,,,,M0_TARGET,2.5
P60-000100,2017-10-09 20:40:00-05:00,LONG,6069.75,0.6071428571428571,,,,M0_STOP,-1.0
P60-000101,2017-10-09 20:48:00-05:00,SHORT,6069.0,0.5178571428571429,,,,M0_STOP,-1.0
P60-000102,2017-10-09 21:53:00-05:00,SHORT,6066.75,0.21428571428571427,,,,M0_STOP,-1.0
P60-000103,2017-10-09 22:05:00-05:00,LONG,6069.0,0.32142857142857145,,,,M0_STOP,-1.0
P60-000104,2017-10-09 23:51:00-05:00,SHORT,6068.5,0.17857142857142858,,,,M0_STOP,-1.0
P60-000105,2017-10-10 00:01:00-05:00,LONG,6069.5,0.30357142857142855,,,,M0_TARGET,2.5
P60-000106,2017-10-10 01:14:00-05:00,LONG,6071.5,0.375,,,,M0_STOP,-1.0
P60-000107,2017-10-10 06:25:00-05:00,SHORT,6073.75,0.5357142857142857,,,,M0_STOP,-1.0
P60-000108,2017-10-10 06:59:00-05:00,LONG,6076.0,0.4642857142857143,,,,M0_STOP,-1.0
P60-000109,2017-10-10 07:43:00-05:00,LONG,6078.5,0.7321428571428571,,,,M0_TARGET,2.5
P60-000110,2017-10-10 10:06:00-05:00,SHORT,6058.0,2.5714285714285716,,,,M0_STOP,-1.0
P60-000111,2017-10-10 10:43:00-05:00,SHORT,6057.5,2.482142857142857,,,,M0_TARGET,2.5
P60-000112,2017-10-10 12:46:00-05:00,SHORT,6057.0,2.4285714285714284,9155.0,0.5147058823529412,FAIL,T5_NO_PROGRESS,-0.2058823529411765
P60-000113,2017-10-10 14:49:00-05:00,LONG,6063.25,1.3392857142857142,,,,M0_STOP,-1.0
P60-000114,2017-10-10 18:02:00-05:00,LONG,6064.5,0.16071428571428573,,,,M0_STOP,-1.0
P60-000115,2017-10-10 18:15:00-05:00,SHORT,6064.5,0.25,,,,M0_STOP,-1.0
P60-000116,2017-10-10 19:06:00-05:00,LONG,6066.75,0.2857142857142857,,,,M0_TARGET,2.5
