event_id,timestamp_ct,timestamp_utc,direction,event_type,quality_score,D10_pass,episode_status,episode_id,suppressed_same_direction,suppression_until,core_authorized,core_b1_active,model_hash
F56-0000059,2025-01-01 20:40:00-06:00,2025-01-02 02:40:00+00:00,LONG,E11,0.4409107870991603,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000060,2025-01-01 20:41:00-06:00,2025-01-02 02:41:00+00:00,LONG,E13,0.45374391511831036,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000061,2025-01-01 20:50:00-06:00,2025-01-02 02:50:00+00:00,LONG,E13,0.29871009242605967,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000062,2025-01-01 20:51:00-06:00,2025-01-02 02:51:00+00:00,SHORT,E6,0.40561746446727975,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000063,2025-01-01 20:52:00-06:00,2025-01-02 02:52:00+00:00,SHORT,E6,0.40641786516122436,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000064,2025-01-01 21:03:00-06:00,2025-01-02 03:03:00+00:00,SHORT,E2,0.39812890462691597,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000065,2025-01-01 21:03:00-06:00,2025-01-02 03:03:00+00:00,SHORT,E4,0.39812890462691597,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000066,2025-01-01 21:04:00-06:00,2025-01-02 03:04:00+00:00,LONG,E5,0.33227760457058875,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000067,2025-01-01 21:06:00-06:00,2025-01-02 03:06:00+00:00,SHORT,E2,0.4503164472377876,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000068,2025-01-01 21:06:00-06:00,2025-01-02 03:06:00+00:00,SHORT,E4,0.4503164472377876,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000069,2025-01-01 21:07:00-06:00,2025-01-02 03:07:00+00:00,LONG,E5,0.3362950015397858,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000070,2025-01-01 21:10:00-06:00,2025-01-02 03:10:00+00:00,LONG,E5,0.33012243112520423,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000071,2025-01-01 21:16:00-06:00,2025-01-02 03:16:00+00:00,SHORT,E14,0.04098357433072925,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000072,2025-01-01 21:20:00-06:00,2025-01-02 03:20:00+00:00,SHORT,E6,0.415625423777001,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000073,2025-01-01 21:22:00-06:00,2025-01-02 03:22:00+00:00,LONG,E1,0.5366366991393631,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000074,2025-01-01 21:22:00-06:00,2025-01-02 03:22:00+00:00,LONG,E3,0.5366366991393631,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000075,2025-01-01 21:24:00-06:00,2025-01-02 03:24:00+00:00,LONG,E11,0.4152492098951194,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000076,2025-01-01 21:25:00-06:00,2025-01-02 03:25:00+00:00,LONG,E13,0.5182714534662705,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000077,2025-01-01 21:27:00-06:00,2025-01-02 03:27:00+00:00,LONG,E11,0.5075353475418779,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000078,2025-01-01 21:28:00-06:00,2025-01-02 03:28:00+00:00,LONG,E13,0.38613961663795376,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000079,2025-01-01 21:43:00-06:00,2025-01-02 03:43:00+00:00,SHORT,E14,0.419157178192331,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000080,2025-01-01 21:44:00-06:00,2025-01-02 03:44:00+00:00,SHORT,E14,0.4161883495150821,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000081,2025-01-01 21:44:00-06:00,2025-01-02 03:44:00+00:00,SHORT,E2,0.4161883495150821,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000082,2025-01-01 21:45:00-06:00,2025-01-02 03:45:00+00:00,LONG,E5,0.3373520881656325,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000083,2025-01-01 21:46:00-06:00,2025-01-02 03:46:00+00:00,SHORT,E12,0.033381286909240665,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000084,2025-01-01 21:46:00-06:00,2025-01-02 03:46:00+00:00,SHORT,E2,0.033381286909240665,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000085,2025-01-01 21:47:00-06:00,2025-01-02 03:47:00+00:00,SHORT,E14,0.03347343835663343,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000086,2025-01-01 21:51:00-06:00,2025-01-02 03:51:00+00:00,LONG,E5,0.39147881654314687,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000087,2025-01-01 22:00:00-06:00,2025-01-02 04:00:00+00:00,LONG,E1,0.035147390406381984,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000088,2025-01-01 22:00:00-06:00,2025-01-02 04:00:00+00:00,LONG,E3,0.035147390406381984,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000089,2025-01-01 22:02:00-06:00,2025-01-02 04:02:00+00:00,SHORT,E6,0.34210353624540296,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000090,2025-01-01 22:04:00-06:00,2025-01-02 04:04:00+00:00,SHORT,E6,0.2782079510654621,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000091,2025-01-01 22:05:00-06:00,2025-01-02 04:05:00+00:00,SHORT,E2,0.2986311523036175,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000092,2025-01-01 22:06:00-06:00,2025-01-02 04:06:00+00:00,LONG,E5,0.40177182817625956,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000093,2025-01-01 22:07:00-06:00,2025-01-02 04:07:00+00:00,LONG,E5,0.39971391926281624,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000094,2025-01-01 22:15:00-06:00,2025-01-02 04:15:00+00:00,LONG,E5,0.4357831222213483,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000095,2025-01-01 22:17:00-06:00,2025-01-02 04:17:00+00:00,SHORT,E2,0.02058713331261534,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000096,2025-01-01 22:18:00-06:00,2025-01-02 04:18:00+00:00,LONG,E5,0.3276504365274216,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000097,2025-01-01 22:20:00-06:00,2025-01-02 04:20:00+00:00,SHORT,E2,0.3684436331227317,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000098,2025-01-01 22:21:00-06:00,2025-01-02 04:21:00+00:00,SHORT,E12,0.3607364961527267,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000099,2025-01-01 22:22:00-06:00,2025-01-02 04:22:00+00:00,SHORT,E14,0.35891049432160416,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000100,2025-01-01 22:25:00-06:00,2025-01-02 04:25:00+00:00,LONG,E5,0.37620119214113795,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
