dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
month,2025-12,72,29,43,40.27777777777778,-0.08235114441199644,-5.929282397663743,0.8423762556255997,7.667840411813975,2.0,-1.0,3,8
month,2026-01,51,24,27,47.05882352941177,0.20825378554352122,10.620943062719583,1.4849662496270504,5.1938510860246865,2.0,-1.0,3,6
month,2026-02,64,23,41,35.9375,-0.20812371952072473,-13.319918049326382,0.6508128592769931,15.688533212130672,2.0,-1.0,4,14
month,2026-03,61,22,39,36.0655737704918,-0.15041285338189636,-9.175184056295677,0.724071833175931,19.44717856282675,2.0,-1.0,5,6
month,2026-04,77,35,42,45.45454545454545,0.1633248126445859,12.576010573633114,1.3184386287687915,6.929690908940987,2.0,-1.0,6,5
month,2026-05,60,23,37,38.333333333333336,-0.14056204666470398,-8.433722799882238,0.7506208702076185,11.483947590705544,2.0,-1.0,3,6
month,2026-06,53,24,29,45.283018867924525,0.2196035221533531,11.638986674127715,1.483430145551422,5.29937402191032,2.0,-1.0,7,7
direction,Long,2150,941,1206,43.76744186046512,0.0274847305172901,59.09217061217371,1.0557451680984353,45.7611921374498,2.0,-1.0,6,14
direction,Short,2000,788,1210,39.4,-0.005426871510544246,-10.853743021088492,0.9899988061614651,54.09483683072784,2.0,-1.0,8,15
session,Overnight,1410,591,817,41.91489361702128,0.04766426271740859,67.20661043154611,1.0928772626795968,40.27363182401355,2.0,-1.0,8,12
session,Premarket,989,381,606,38.52376137512639,0.011778714750238438,11.649148887985815,1.020348632479622,43.92451325422238,2.0,-1.0,5,11
session,Open,255,122,133,47.84313725490196,0.020558627053493192,5.242449898640764,1.045482487744602,25.200755332722807,2.0,-1.0,7,8
session,MidAM,388,177,211,45.618556701030926,0.030169495467762434,11.705764241491824,1.0655363530172155,14.114712511091604,2.0,-1.0,11,8
session,Midday,587,253,334,43.100511073253834,0.00278870871088702,1.6369720132906806,1.0055224642699676,45.489587161824645,2.0,-1.0,7,10
session,PM,520,205,314,39.42307692307692,-0.09423261448991979,-49.000959534758294,0.8105883971369873,53.71329051720744,2.0,-1.0,4,8
session,After-hours,1,0,1,0.0,-0.2015583471116507,-0.2015583471116507,0.0,0.2015583471116507,-0.2015583471116507,-0.2015583471116507,0,1
time_of_day,00:00-01:59,366,124,242,33.87978142076503,-0.08806519238185093,-32.23186041175744,0.8638076857482236,39.28807187061396,2.0,-1.0,4,18
time_of_day,02:00-03:59,372,163,209,43.81720430107527,0.16224192665678167,60.353996716322776,1.3288240221665626,21.426271612280043,2.0,-1.0,8,12
time_of_day,04:00-05:59,213,85,127,39.906103286384976,-0.02359869061627335,-5.026521101266224,0.9551793984432834,24.385082960547088,2.0,-1.0,3,10
time_of_day,06:00-07:59,356,141,214,39.60674157303371,0.061004408036691576,21.717569261062202,1.1075582102913957,18.151368936306255,2.0,-1.0,7,7
time_of_day,08:00-09:59,547,214,333,39.122486288848265,-0.008370638492185643,-4.578739255225546,0.9856507320632275,35.75333278660086,2.0,-1.0,5,9
time_of_day,10:00-11:59,516,240,276,46.51162790697674,0.0319477793092015,16.485054123547975,1.070690088001464,24.41494213581866,2.0,-1.0,8,10
time_of_day,12:00-13:59,587,253,334,43.100511073253834,0.00278870871088702,1.6369720132906806,1.0055224642699676,45.489587161824645,2.0,-1.0,7,10
time_of_day,14:00-15:59,520,205,314,39.42307692307692,-0.09423261448991979,-49.000959534758294,0.8105883971369873,53.71329051720744,2.0,-1.0,4,8
time_of_day,16:00-17:59,1,0,1,0.0,-0.2015583471116507,-0.2015583471116507,0.0,0.2015583471116507,-0.2015583471116507,-0.2015583471116507,0,1
time_of_day,18:00-19:59,234,99,135,42.30769230769231,0.023795981664357417,5.568259709459635,1.0499320154915075,12.139668131038437,2.0,-1.0,7,9
time_of_day,20:00-21:59,224,108,115,48.214285714285715,0.08486292904597892,19.009296106299278,1.2144605014655656,10.585224277820618,2.0,-1.0,6,7
time_of_day,22:00-23:59,214,97,116,45.32710280373832,0.06778933790290592,14.506918311221867,1.1405125696732132,10.323122891204555,2.0,-1.0,5,9
day_of_week,Monday,777,336,441,43.24324324324324,0.0600189889438121,46.634754409342,1.1207441545986223,27.371262539472387,2.0,-1.0,8,11
day_of_week,Tuesday,854,370,483,43.32552693208431,0.04896597145094569,41.816939619107615,1.0977327273418729,37.87234766374459,2.0,-1.0,8,9
day_of_week,Wednesday,835,332,503,39.76047904191617,-0.023169500823593175,-19.346533187700302,0.9564195527203814,46.17818529424602,2.0,-1.0,8,14
day_of_week,Thursday,853,362,490,42.438452520515824,-0.01288540837261547,-10.991253341840997,0.9750724701028144,41.68755053612244,2.0,-1.0,7,14
day_of_week,Friday,726,285,439,39.256198347107436,-0.02095471841977103,-15.213125572753768,0.9620991822935552,40.84512808391649,2.0,-1.0,7,11
day_of_week,Saturday,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
day_of_week,Sunday,105,44,60,41.904761904761905,0.050834720618387584,5.3376456649306965,1.1187743998986521,5.840767448911119,2.0,-1.0,4,4
HTF_bias,Bull,2402,1003,1396,41.75686927560366,0.028364583580542585,68.13172976046329,1.0548206741316748,45.17694898174716,2.0,-1.0,9,18
HTF_bias,Bear,1743,724,1017,41.537578886976476,-0.01156024422349428,-20.14950568155053,0.9776135821816407,54.57754514155862,2.0,-1.0,9,15
HTF_bias,Neutral,5,2,3,40.0,0.051240702434495765,0.25620351217247883,1.1068524960190596,2.397730719615378,2.0,-1.0,2,3
HTF_alignment,Aligned,2072,884,1185,42.664092664092664,0.024618222351327785,51.00895671195117,1.0489178604051366,40.47554151587407,2.0,-1.0,7,14
HTF_alignment,Counter-trend,2073,843,1228,40.6657018813314,-0.0014600736290585699,-3.0267326330384154,0.9972487776394643,42.26769327246569,2.0,-1.0,8,15
HTF_alignment,Neutral,5,2,3,40.0,0.051240702434495765,0.25620351217247883,1.1068524960190596,2.397730719615378,2.0,-1.0,2,3
CRT_direction,Bullish reclaim,239,99,140,41.42259414225941,-0.031023032707393646,-7.4145048170670815,0.9418711506564877,31.511180774071683,2.0,-1.0,5,10
CRT_direction,Bearish reclaim,228,94,134,41.228070175438596,0.035900063871261344,8.185214562647586,1.065996140079971,15.817857592321378,2.0,-1.0,4,12
CRT_direction,Both reclaims,22,9,13,40.90909090909091,-0.04094181871388173,-0.9007200117053981,0.9076612231060887,5.232290080062034,2.0,-1.0,2,4
CRT_direction,No current reclaim,3661,1527,2129,41.709915323682054,0.013211810395304599,48.36843785721014,1.0256739121544165,68.29642288169549,2.0,-1.0,9,16
score_band,70-74,6,4,2,66.66666666666667,0.6747872874302518,4.048723724581511,3.0243618622907555,1.0,2.0,-1.0,2,1
score_band,75-79,1812,765,1045,42.21854304635762,0.007734133021966373,14.014249035803068,1.0153510513886101,50.889508616826234,2.0,-1.0,8,10
score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
score_band,85-89,271,112,159,41.32841328413284,-0.11308934254494797,-30.6472118296809,0.7750845349697594,41.63666919372922,2.0,-1.0,5,11
score_band,90-94,1643,674,966,41.022519780888615,0.04631822340305875,76.10084105122553,1.085765207660941,49.13503427126506,2.0,-1.0,6,14
