fold,train_period,evaluation_period,hypothesis_id,dimension,condition,complexity,training_eligible,selected_by_train,train_N,train_wins,train_losses,train_win_pct,train_avg_R,train_total_R,train_profit_factor,train_max_drawdown_R,train_largest_win_R,train_largest_loss_R,train_max_consecutive_wins,train_max_consecutive_losses,train_realistic_total_R,train_one_sided_p,eval_N,eval_wins,eval_losses,eval_win_pct,eval_avg_R,eval_total_R,eval_profit_factor,eval_max_drawdown_R,eval_largest_win_R,eval_largest_loss_R,eval_max_consecutive_wins,eval_max_consecutive_losses,eval_realistic_total_R,eval_realistic_profit_factor
F1,2021,2022,H0104,direction x volatility,Short | Medium,2,False,False,106,37,69,34.905660377358494,-0.008743337055927768,-0.9267937279283434,0.9861024170476435,13.403229571816308,2.0,-1.0,6,13,-6.223739189066125,0.5266110844030311,103,40,63,38.83495145631068,-0.05032481869010137,-5.183456325080441,0.9082403540440953,11.853962859735434,2.0,-1.0,3,10,-8.561451082675747,0.85390540601105
F1,2021,2022,H0105,direction x volatility,Short | High,2,False,False,131,52,79,39.69465648854962,0.00591386979793303,0.7747169435292269,1.01088169976169,12.663455705658226,2.0,-1.0,5,9,-2.683718092845117,0.47807576226971615,185,91,94,49.189189189189186,0.14214476648726707,26.296781800144405,1.3320400752448864,12.195624162312436,2.0,-1.0,9,6,23.166867720383188,1.2866988684116492
F1,2021,2022,H0106,direction x volatility,Short | Unavailable,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0107,HTF_bias x session,Bull | Overnight,2,False,False,147,66,80,44.89795918367347,0.10513435124350314,15.454749632794961,1.2150909142175903,12.165383742003922,2.0,-1.0,4,8,2.4383802198955333,0.1513973028166019,126,46,80,36.507936507936506,-0.07497002636934301,-9.44622332253722,0.8711858363094763,13.413123935830232,2.0,-1.0,5,11,-16.502526735215092,0.7880929562870111
F1,2021,2022,H0108,HTF_bias x session,Bull | Premarket,2,False,False,124,48,75,38.70967741935484,0.08321666529309467,10.31886649634374,1.1408993716884768,15.152610217545575,2.0,-1.0,4,12,3.246555426294965,0.24988308028998207,63,25,38,39.682539682539684,0.02944189037602883,1.8548390936898165,1.0536834795686094,9.972539961730218,2.0,-1.0,3,9,-0.5075802497054576,0.9859102368554469
F1,2021,2022,H0109,HTF_bias x session,Bull | Open,2,False,False,22,8,14,36.36363636363637,-0.0614682004810633,-1.3523004105833927,0.8815905653276326,7.176194864299868,2.0,-1.0,2,4,-1.890000637093096,0.6008608949076857,17,11,6,64.70588235294117,0.23489883603708356,3.9932802126304203,1.7467709697767089,2.0,2.0,-1.0,4,2,3.64453215681592,1.6686853877051762
F1,2021,2022,H0110,HTF_bias x session,Bull | MidAM,2,False,False,42,17,25,40.476190476190474,-0.16555253380359677,-6.953206419751065,0.6700788449672339,10.131657375100874,2.0,-1.0,3,6,-8.907885051095247,0.8725695987071832,29,11,18,37.93103448275862,-0.09950710292689813,-2.8857059848800457,0.8252739820376059,6.884119401643208,2.0,-1.0,2,7,-3.507513908974521,0.7932736633094102
F1,2021,2022,H0111,HTF_bias x session,Bull | Midday,2,False,False,73,34,39,46.57534246575342,0.124332249046549,9.076254180398077,1.2604501021517032,6.258485221677644,2.0,-1.0,4,5,5.845095056351896,0.19386034483965986,50,19,31,38.0,0.02716958743087561,1.3584793715437806,1.053502903653546,6.635858841401363,2.0,-1.0,5,7,0.29812758311714704,1.0114579990725734
F1,2021,2022,H0112,HTF_bias x session,Bull | PM,2,False,False,72,24,48,33.333333333333336,-0.11971598580127833,-8.61955097769204,0.7880544093399199,15.285187582598342,2.0,-1.0,4,7,-11.746979477024658,0.8157923596687333,39,20,19,51.282051282051285,0.08029396116626353,3.1314644854842775,1.1930385104749195,3.9836967976471644,2.0,-1.0,4,3,2.28845593820151,1.1374029679637623
F1,2021,2022,H0113,HTF_bias x session,Bull | After-hours,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0114,HTF_bias x session,Bear | Overnight,2,False,False,97,44,53,45.36082474226804,0.1455293188326474,14.116343926766797,1.296256059952574,6.316415071280936,2.0,-1.0,8,7,8.287419074277045,0.1307240036506968,149,54,94,36.241610738255034,-0.07828817286367058,-11.664937756686916,0.8590091712259806,28.915412279696177,2.0,-1.0,4,9,-18.286516031793745,0.7892939058730419
F1,2021,2022,H0115,HTF_bias x session,Bear | Premarket,2,False,False,67,28,39,41.791044776119406,0.06548951593506759,4.387797567649528,1.1170933141692574,9.0,2.0,-1.0,4,9,2.141614273383513,0.3400569114456542,101,35,66,34.65346534653465,-0.16438471054694698,-16.602855765241646,0.7338353932617302,17.252945822622774,2.0,-1.0,5,6,-19.122072644894534,0.7013869132242713
F1,2021,2022,H0116,HTF_bias x session,Bear | Open,2,False,False,17,8,9,47.05882352941177,0.08048634455125288,1.368267857371299,1.1829738812133688,3.4779408312148097,2.0,-1.0,3,5,1.0749895732796964,0.3866698453244102,20,14,6,70.0,0.4709606733476571,9.419213466953142,3.1696374917487478,2.0,2.0,-1.0,5,2,9.13817221752159,3.0647721685646836
F1,2021,2022,H0117,HTF_bias x session,Bear | MidAM,2,False,False,18,11,7,61.111111111111114,0.41906413504002354,7.543154430720424,2.2834579823855625,1.473367248962294,2.0,-1.0,4,2,7.184595366775418,0.07024303744522387,39,20,19,51.282051282051285,0.14908343660412454,5.814254027560857,1.3907929430242254,5.057070744017803,2.0,-1.0,5,6,5.223970503362132,1.344987195991562
F1,2021,2022,H0118,HTF_bias x session,Bear | Midday,2,False,False,49,18,31,36.734693877551024,-0.07974485227709649,-3.9074977615777278,0.853945418206521,10.172790365952686,2.0,-1.0,3,9,-5.052909305854931,0.6889274184569861,70,39,31,55.714285714285715,0.19051807362299977,13.336265153609984,1.458336367334839,6.308264374095753,2.0,-1.0,7,5,12.102246937601286,1.4084310238990694
F1,2021,2022,H0119,HTF_bias x session,Bear | PM,2,False,False,35,11,24,31.428571428571427,-0.24636683133176673,-8.622839096611836,0.5974206329690498,9.813228494890572,2.0,-1.0,3,6,-9.499366941906262,0.9128862158345661,51,18,33,35.294117647058826,-0.013963502126918785,-0.712138608472858,0.9665896264599888,5.677403402924029,2.0,-1.0,3,5,-1.7182214822801654,0.9218912993916438
F1,2021,2022,H0120,HTF_bias x session,Bear | After-hours,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0121,HTF_bias x session,Neutral | Overnight,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0122,HTF_bias x session,Neutral | Premarket,2,False,False,1,1,0,100.0,2.0,2.0,99.9,0.0,2.0,2.0,1,0,1.956715003385051,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0123,HTF_bias x session,Neutral | Open,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0124,HTF_bias x session,Neutral | MidAM,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0125,HTF_bias x session,Neutral | Midday,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0126,HTF_bias x session,Neutral | PM,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0127,HTF_bias x session,Neutral | After-hours,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
