hypothesis_id,dimension,condition,complexity,conditions_json,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,one_sided_p,realistic_avg_R,realistic_total_R,realistic_profit_factor,realistic_max_drawdown_R,positive_years,calendar_year_buckets,max_positive_year_contribution,top_1pct_removed_count,top_1pct_removed_total_R,fdr_q,evidence_label
H0011,session,Open,1,"[{""feature"": ""session_name"", ""value"": ""Open""}]",255,122,133,47.84313725490196,0.020558627053493192,5.242449898640764,1.045482487744602,25.200755332722807,2.0,-1.0,7,8,0.37713882659747666,0.0021223366066587526,0.5411958346979819,1.0045951832390043,27.780478320172087,3,6,0.6258032864211435,3,-0.7575501013592358,0.8146660830790688,DESCRIPTIVE ONLY
H0012,session,MidAM,1,"[{""feature"": ""session_name"", ""value"": ""MidAM""}]",388,177,211,45.618556701030926,0.030169495467762434,11.705764241491824,1.0655363530172155,14.114712511091604,2.0,-1.0,11,8,0.29218780808109757,0.0073933046684376185,2.868602211353796,1.0156154284582206,18.449758530758864,4,6,0.6538594701429273,4,3.7057642414918206,0.810637825225694,DESCRIPTIVE ONLY
H0013,session,Midday,1,"[{""feature"": ""session_name"", ""value"": ""Midday""}]",587,253,334,43.100511073253834,0.00278870871088702,1.6369720132906806,1.0055224642699676,45.489587161824645,2.0,-1.0,7,10,0.4764329601034222,-0.022658653776019288,-13.300629766523322,0.9563919276849863,51.60234128037938,3,6,0.5088334947173555,6,-10.363027986709326,0.8323791975112178,DESCRIPTIVE ONLY
H0014,session,PM,1,"[{""feature"": ""session_name"", ""value"": ""PM""}]",520,205,314,39.42307692307692,-0.09423261448991979,-49.000959534758294,0.8105883971369873,53.71329051720744,2.0,-1.0,4,8,0.98055654884489,-0.1207515350035663,-62.79079820185447,0.7650829371186031,65.59443700566347,1,6,1.0,6,-61.0009595347583,0.9981197158276405,DESCRIPTIVE ONLY
H0015,session,After-hours,1,"[{""feature"": ""session_name"", ""value"": ""After-hours""}]",1,0,1,0.0,-0.2015583471116507,-0.2015583471116507,0.0,0.2015583471116507,-0.2015583471116507,-0.2015583471116507,0,1,1.0,-0.212185969050265,-0.212185969050265,0.0,0.212185969050265,0,6,,1,0.0,,DESCRIPTIVE ONLY
H0016,time_of_day,00:00-01:59,1,"[{""feature"": ""time_of_day"", ""value"": ""00:00-01:59""}]",366,124,242,33.87978142076503,-0.08806519238185093,-32.23186041175744,0.8638076857482236,39.28807187061396,2.0,-1.0,4,18,0.9020286191676046,-0.16148798034176712,-59.10460080508677,0.7679839591791159,65.63395463553039,2,6,0.7888717486278823,4,-40.231860411757445,0.9913383834416248,DESCRIPTIVE ONLY
H0017,time_of_day,02:00-03:59,1,"[{""feature"": ""time_of_day"", ""value"": ""02:00-03:59""}]",372,163,209,43.81720430107527,0.16224192665678167,60.353996716322776,1.3288240221665626,21.426271612280043,2.0,-1.0,8,12,0.007424277674608293,0.11417456747350677,42.472939100144515,1.2194210710255846,26.749367833582873,5,6,0.39586332767199,4,52.353996716322776,0.6587394577799878,RAW P<0.05
H0018,time_of_day,04:00-05:59,1,"[{""feature"": ""time_of_day"", ""value"": ""04:00-05:59""}]",213,85,127,39.906103286384976,-0.02359869061627335,-5.026521101266224,0.9551793984432834,24.385082960547088,2.0,-1.0,3,10,0.6156328916565038,-0.0709848004322391,-15.119762492066931,0.8722874073957474,31.142343532664732,3,6,0.44213184116099363,3,-11.026521101266223,0.8675875867948656,DESCRIPTIVE ONLY
H0019,time_of_day,06:00-07:59,1,"[{""feature"": ""time_of_day"", ""value"": ""06:00-07:59""}]",356,141,214,39.60674157303371,0.061004408036691576,21.717569261062202,1.1075582102913957,18.151368936306255,2.0,-1.0,7,7,0.1896652661094821,0.015730631739892934,5.6001048994018845,1.0265267537404388,19.917153126759132,4,6,0.39586610189376215,4,13.717569261062204,0.7017614846050838,DESCRIPTIVE ONLY
H0020,time_of_day,08:00-09:59,1,"[{""feature"": ""time_of_day"", ""value"": ""08:00-09:59""}]",547,214,333,39.122486288848265,-0.008370638492185643,-4.578739255225546,0.9856507320632275,35.75333278660086,2.0,-1.0,5,9,0.5615434807396154,-0.033380798347542394,-18.25929669610569,0.9442706630504365,46.47040979854863,3,6,0.6487453340146915,6,-16.57873925522555,0.8574602119719096,DESCRIPTIVE ONLY
