bar_i,open,high,low,close,fav_r,adv_r,mfe_a,mae_a,entry,atr,stop,target_2p5
130197,6777.5,6779.75,6777.5,6779.25,3.252525252525252,-2.8282828282828283,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130198,6779.0,6782.0,6778.25,6778.75,3.6767676767676765,-2.9696969696969697,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130199,6779.0,6779.0,6772.75,6773.0,3.111111111111111,-1.9326599326599325,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130200,6773.0,6775.0,6772.25,6773.0,2.356902356902357,-1.8383838383838382,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130201,6773.0,6776.25,6773.0,6776.25,2.5925925925925926,-1.9797979797979797,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130202,6776.0,6776.25,6773.5,6774.0,2.5925925925925926,-2.074074074074074,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130203,6773.75,6776.75,6773.75,6776.25,2.686868686868687,-2.121212121212121,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130204,6776.25,6778.25,6775.75,6778.0,2.9696969696969697,-2.4983164983164983,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130205,6778.0,6780.75,6777.5,6780.25,3.4410774410774407,-2.8282828282828283,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130206,6779.75,6781.5,6779.5,6780.5,3.582491582491582,-3.2053872053872055,3.6767676767676765,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130207,6780.5,6783.5,6780.5,6781.75,3.9595959595959593,-3.3939393939393936,3.9595959595959593,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
