bar_i,original_direction,shadow_direction_t0,direction_relation,market_state,location_score,long_continuation_score,short_continuation_score,long_reversal_score,short_reversal_score,long_total,short_total,long_evidence,short_evidence,countertrend_ratio,active_1m,active_5m,active_15m,dominant_active,15m_state,5m_state,reason_codes,market_state_reasons,opportunity_id,traded
4121,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,5,3,7,6,7,6,1.0,DOWN,NEUTRAL,NEUTRAL,DOWN,BULLISH,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00004121_LONG,True
5730,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00005730_LONG,True
5754,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,0,2,6,6,6,6,6,1.0,STRONG_DOWN,STRONG_UP,NEUTRAL,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00005754_SHORT,True
5779,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_DOWN,DOWN,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00005779_LONG,True
5807,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,2,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00005807_LONG,True
6358,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,5,3,7,6,7,6,1.0,UP,DOWN,TRANSITION,DOWN,BULLISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00006358_LONG,True
7653,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00007653_LONG,True
8197,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,2,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00008197_LONG,True
8271,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00008271_LONG,True
10280,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,6,7,8,7,8,1.0,UP,STRONG_DOWN,STRONG_UP,STRONG_UP,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00010280_SHORT,True
10469,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,6,3,8,6,8,6,1.0,UP,TRANSITION,STRONG_DOWN,STRONG_DOWN,NEUTRAL,TRANSITION,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00010469_LONG,True
10752,SHORT,SHORT,SAME,REVERSAL_TRANSITION,1,3,1,3,6,6,7,6,7,1.0,DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00010752_SHORT,True
10780,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,0,2,7,7,7,7,7,1.0,DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00010780_SHORT,True
11130,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,2,6,6,7,6,7,1.0,STRONG_DOWN,STRONG_UP,UP,STRONG_UP,TRANSITION,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00011130_SHORT,True
11729,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,4,6,2,6,6,6,6,1.0,TRANSITION,DOWN,NEUTRAL,DOWN,TRANSITION,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00011729_LONG,True
12426,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,3,1,2,6,5,7,5,7,1.0,UP,UP,TRANSITION,UP,BEARISH,UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00012426_SHORT,True
13439,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,2,8,7,8,7,1.0,NEUTRAL,STRONG_DOWN,TRANSITION,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00013439_LONG,True
14088,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,4,6,2,6,6,6,6,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00014088_LONG,True
14357,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,3,6,7,7,7,7,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00014357_SHORT,True
14425,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,3,2,3,6,6,8,6,8,1.0,DOWN,TRANSITION,STRONG_UP,STRONG_UP,TRANSITION,TRANSITION,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00014425_SHORT,True
15435,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,2,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00015435_LONG,True
15577,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,2,7,6,8,6,8,1.0,STRONG_DOWN,TRANSITION,STRONG_UP,STRONG_UP,BEARISH,TRANSITION,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00015577_SHORT,True
16475,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,2,7,7,8,7,8,1.0,NEUTRAL,STRONG_UP,TRANSITION,STRONG_UP,TRANSITION,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00016475_SHORT,True
16637,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,4,6,3,7,7,7,7,1.0,STRONG_UP,STRONG_DOWN,UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00016637_LONG,True
16762,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,2,7,7,8,7,8,1.0,STRONG_DOWN,STRONG_UP,NEUTRAL,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00016762_SHORT,True
17459,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,6,7,8,7,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00017459_SHORT,True
17940,SHORT,SHORT,SAME,REVERSAL_TRANSITION,1,3,1,3,6,6,7,6,7,1.0,STRONG_DOWN,NEUTRAL,STRONG_UP,STRONG_UP,TRANSITION,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00017940_SHORT,True
18463,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,2,8,7,8,7,0.8571428571428572,UP,NEUTRAL,STRONG_DOWN,STRONG_DOWN,BULLISH,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00018463_LONG,True
18664,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,0,2,6,6,6,6,6,1.0,STRONG_UP,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00018664_SHORT,True
19824,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,0,2,6,6,6,6,6,0.8888888888888887,TRANSITION,TRANSITION,UP,UP,BEARISH,TRANSITION,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00019824_SHORT,True
20488,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,3,6,3,8,6,8,6,1.0,STRONG_DOWN,STRONG_DOWN,UP,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00020488_LONG,True
22459,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,6,7,8,7,8,1.0,UP,STRONG_DOWN,STRONG_UP,STRONG_UP,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00022459_SHORT,True
23735,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,4,6,3,7,7,7,7,1.0,STRONG_UP,UP,STRONG_DOWN,STRONG_DOWN,BULLISH,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00023735_LONG,True
24450,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,3,6,7,7,7,7,1.0,STRONG_UP,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00024450_SHORT,True
25372,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,2,5,3,6,5,6,5,1.0,UP,DOWN,NEUTRAL,DOWN,BULLISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00025372_LONG,True
26735,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,0.9629629629629629,STRONG_DOWN,STRONG_DOWN,DOWN,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00026735_LONG,True
26862,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,5,7,3,9,8,9,8,1.0,DOWN,STRONG_UP,STRONG_DOWN,STRONG_DOWN,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00026862_LONG,True
27234,LONG,LONG,SAME,REVERSAL_TRANSITION,1,0,4,7,2,7,6,7,6,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00027234_LONG,True
27320,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,0,2,7,7,7,7,7,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00027320_SHORT,True
27427,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,6,3,8,6,8,6,1.0,STRONG_UP,STRONG_DOWN,UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00027427_LONG,True
27792,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,7,7,9,7,9,1.0,STRONG_DOWN,STRONG_UP,UP,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00027792_SHORT,True
29000,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,3,6,3,8,6,8,6,1.0,STRONG_UP,STRONG_DOWN,DOWN,STRONG_DOWN,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00029000_LONG,True
29470,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,STRONG_DOWN,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00029470_LONG,True
29730,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,6,3,8,6,8,6,1.0,NEUTRAL,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00029730_LONG,True
29809,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,STRONG_UP,NEUTRAL,STRONG_DOWN,STRONG_DOWN,TRANSITION,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00029809_LONG,True
30247,SHORT,SHORT,SAME,REVERSAL_TRANSITION,1,3,1,3,6,6,7,6,7,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00030247_SHORT,True
30990,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,2,7,7,8,7,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00030990_SHORT,True
31291,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,5,7,2,8,7,8,7,1.0,STRONG_DOWN,STRONG_DOWN,UP,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00031291_LONG,True
31330,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,3,2,3,5,6,7,6,7,1.0,UP,NEUTRAL,NEUTRAL,UP,BULLISH,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00031330_SHORT,True
33025,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,6,7,8,7,8,0.9333333333333333,STRONG_UP,UP,NEUTRAL,STRONG_UP,TRANSITION,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00033025_SHORT,True
34731,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,4,6,3,7,7,7,7,1.0,UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00034731_LONG,True
34909,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,4,6,2,7,6,7,6,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00034909_LONG,True
35571,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,2,3,7,8,9,8,9,1.0,STRONG_DOWN,STRONG_UP,UP,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00035571_SHORT,True
35858,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,NEUTRAL,STRONG_DOWN,STRONG_DOWN,BULLISH,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00035858_LONG,True
36128,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00036128_LONG,True
36577,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,6,7,8,7,8,1.0,STRONG_UP,DOWN,DOWN,STRONG_UP,TRANSITION,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00036577_SHORT,True
36688,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,0,2,6,6,6,6,6,1.0,STRONG_DOWN,UP,STRONG_UP,STRONG_UP,BULLISH,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00036688_SHORT,True
