trade_id,entry_time,direction,entry_price,initial_atr,stop_price,target_price,t5_time,mfe_at_t5_r,t5_result,exit_time,exit_price,exit_reason,gross_r,net_r,hold_minutes
P60-006807,2019-06-14 04:46:00-05:00,SHORT,7463.5,2.1607142857142856,7465.660714285715,7458.098214285715,,,,592996,7465.660714285715,M0_STOP,-1.0,-1.0000971675422117,3
P60-006808,2019-06-14 06:43:00-05:00,SHORT,7461.5,1.3035714285714286,7462.803571428572,7458.241071428572,,,,593112,7462.803571428572,M0_STOP,-1.0,-1.0000971824276936,2
P60-006809,2019-06-14 06:51:00-05:00,LONG,7471.25,1.8928571428571428,7469.357142857143,7475.982142857143,,,,593124,7475.982142857143,M0_TARGET,2.5,2.49990293676067,6
P60-006810,2019-06-14 07:57:00-05:00,LONG,7474.25,2.642857142857143,7471.607142857143,7480.857142857143,,,,593189,7480.857142857143,M0_TARGET,2.5,2.4999029659902967,5
P60-006811,2019-06-14 08:53:00-05:00,LONG,7470.75,6.589285714285714,7464.160714285715,7487.223214285715,,,,593241,7464.160714285715,M0_STOP,-1.0,-1.0000971308131954,1
P60-006812,2019-06-14 09:54:00-05:00,LONG,7490.25,4.25,7486.0,7500.875,,,,593304,7486.0,M0_STOP,-1.0,-1.0000968474485707,3
P60-006813,2019-06-14 10:53:00-05:00,SHORT,7479.75,3.0714285714285716,7482.821428571428,7472.071428571428,,,,593364,7482.821428571428,M0_STOP,-1.0,-1.000096968191567,4
P60-006814,2019-06-14 12:25:00-05:00,LONG,7482.0,1.9642857142857142,7480.035714285715,7486.910714285715,,,,593453,7480.035714285715,M0_STOP,-1.0,-1.0000969246709097,1
P60-006815,2019-06-14 12:53:00-05:00,SHORT,7475.5,2.0357142857142856,7477.535714285715,7470.410714285715,,,,593481,7477.535714285715,M0_STOP,-1.0,-1.000097009896921,1
P60-006816,2019-06-16 17:49:00-05:00,LONG,7493.75,0.8928571428571429,7492.857142857143,7495.982142857143,,,,593704,7492.857142857143,M0_STOP,-1.0,-1.000096758817922,5
P60-006817,2019-06-16 18:40:00-05:00,LONG,7495.0,0.6428571428571429,7494.357142857143,7496.607142857143,,,,593751,7494.357142857143,M0_STOP,-1.0,-1.0000967394515874,3
P60-006818,2019-06-16 21:44:00-05:00,LONG,7510.5,0.9107142857142857,7509.589285714285,7512.776785714285,,,,593940,7512.776785714285,M0_TARGET,2.5,2.4999034567707477,8
P60-006819,2019-06-16 22:56:00-05:00,LONG,7512.5,0.375,7512.125,7513.4375,,,,594004,7512.125,M0_STOP,-1.0,-1.0000965106411301,1
P60-006820,2019-06-16 23:51:00-05:00,SHORT,7511.0,0.8214285714285714,7511.821428571428,7508.946428571428,,,,594067,7508.946428571428,M0_TARGET,2.5,2.4999034643460067,10
P60-006821,2019-06-17 02:10:00-05:00,SHORT,7491.25,2.0714285714285716,7493.321428571428,7486.071428571428,,,,594206,7493.321428571428,M0_STOP,-1.0,-1.0000968063443922,10
P60-006822,2019-06-17 03:25:00-05:00,SHORT,7494.75,1.2857142857142858,7496.035714285715,7491.535714285715,,,,594276,7496.035714285715,M0_STOP,-1.0,-1.0000967509782335,5
P60-006823,2019-06-17 03:50:00-05:00,SHORT,7494.25,1.1785714285714286,7495.428571428572,7491.303571428572,,,,594297,7495.428571428572,M0_STOP,-1.0,-1.0000967560508278,1
P60-006824,2019-06-17 04:06:00-05:00,LONG,7504.0,1.5892857142857142,7502.410714285715,7507.973214285715,,,,594313,7502.410714285715,M0_STOP,-1.0,-1.000096635605222,1
P60-006825,2019-06-17 07:15:00-05:00,SHORT,7498.0,2.3035714285714284,7500.303571428572,7492.241071428572,,,,594509,7500.303571428572,M0_STOP,-1.0,-1.0000967221667671,8
