signal_id,direction,mfe_r,mae_r,result_R,P_p0.5R_before_l0.5R,P_p0.5R_before_l1.0R,P_p1.0R_before_l0.5R,P_p1.0R_before_l1.0R,P_p1.5R_before_l0.5R,P_p1.5R_before_l1.0R,P_p2.0R_before_l0.5R,P_p2.0R_before_l1.0R,P_p2.5R_before_l0.5R,P_p2.5R_before_l1.0R,P_p3.0R_before_l0.5R,P_p3.0R_before_l1.0R
102,Short,1.2140263240612155,2.3354032707598646,-0.9999999999999902,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Long,0.0,0.45458015056759515,-0.38891857326338697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Long,1.1854172758161279,0.8929117142511093,-0.7543564482466268,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Long,1.3186683176133052,0.3018638317428048,0.45120699060503455,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Short,0.5444753665482016,0.4820875641312202,-0.06522361161775332,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Long,0.6027231053119546,0.4853930074778941,-0.4355678974387725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Short,0.11124081793241895,1.0985030770826372,-0.9999999999999962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Long,0.3232767178254151,1.564953202200305,-1.0000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Short,0.670827668201658,0.3958299905537733,-0.19999831101664337,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Long,0.9544824367142828,0.12527581981874963,0.5249653401928556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Long,0.35105709147756947,0.3173016019124185,-0.16877744782575455,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Long,0.1054175560810599,1.185947505911924,-0.9999999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Short,0.5277896895984796,0.5586710012239225,-0.23020614120784746,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Long,0.6795316942996388,0.05547197504486847,0.42990780659773065,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Short,1.7437070475728023,0.5222269837908392,1.2303313685919772,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117,Short,1.6274803872117398,0.2567718476343348,1.4764381238974253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
118,Long,2.5808859507703024,0.13921791435690428,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
119,Long,1.1688704984430058,0.3757083744995376,1.060332523587584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,Short,0.18313438909383947,0.8115367046119161,0.10054437048289226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Long,0.8602214669810386,0.13891775243172053,0.7747336193307491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,Long,0.04881585001729854,0.5654502627003748,-0.48409051267154385,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Short,1.0604859165907545,0.7604800322920543,-0.6104770901427041,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Short,1.3247030394329415,0.6380202394003555,0.9948790173700458,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
125,Long,1.9608513022216572,0.19649449375081324,1.6988586438872395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,Long,0.0551418408707464,1.078329332583485,-0.9999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Short,0.5435847740545812,0.9891460642632542,-0.9356787094382135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Long,1.6028551491088978,0.9572607140511473,-0.1855156422579743,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
129,Short,0.25067726475761676,0.2155824476915504,-0.0025067726475761676,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Short,0.31187064073077314,0.6164884758631562,-0.17406733436136174,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
131,Short,0.4519993033333639,0.6557172992019223,0.23554893272302063,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Long,2.0169277227793323,0.1373535008344348,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
133,Short,0.5355360738257413,0.6069408836691734,0.3998669351232202,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
134,Short,0.7111974981498415,1.686226326258495,-1.000000000000011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Short,0.11732510018246527,0.08690748161664094,0.017381496323328187,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Short,1.3942610406267517,0.3776123651697453,0.3098357868059448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,Short,1.2614290924437834,0.7151409028027749,1.1422389419766543,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
138,Long,0.2946320471190802,0.9910350675823606,0.06026564600163004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Long,1.6199853238864625,0.04778717769576586,1.0704327803851552,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Short,0.0,0.7297709553215969,-0.4928323334639355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Long,0.06251195103607937,1.7118657360649425,-1.0000000000000155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Long,0.08338704047685122,0.7087898440532353,-0.5524391431591393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Long,0.8555032293537423,0.4777485566520899,-0.27776078875121507,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Long,0.010518951111825246,1.0624140622943499,-1.0000000000000173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Long,0.5866727744718446,0.7391153064212216,0.2124956505961012,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Short,1.0109717395632298,0.0,0.2983770759127588,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Long,0.223813403036171,0.24696651369508527,-0.1620717746123997,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Long,0.6204576839028617,0.7445492206834341,0.4963661471222894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
149,Long,0.040533446433723724,0.9246094040826585,0.03351190453181883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Long,0.4881766740158213,0.8165864365355556,0.03550375811024155,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
151,Long,1.1626102378890428,0.2591806262809968,1.021912183622216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
152,Long,0.7727384789172316,0.3224008223297059,0.7062113251031653,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Long,0.24155056066405584,1.1441868663034225,-0.9999999999999548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Short,1.2947096703235865,0.14297407402346354,0.1747460904731221,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
155,Long,1.2125173254858022,0.08109192304204409,1.0078567578082622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
156,Long,1.6432433789429624,0.06507894570071138,1.5862993014548399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
157,Short,0.10825144549394501,0.9742630094455051,-0.9201372866985327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Long,0.9973939305077921,0.16857362205765503,0.8709637139645509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159,Long,0.7799986371764954,0.24631535910836697,0.26273638304892477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
160,Long,0.12671913818570776,0.08003313990676279,-0.0600248549300721,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Long,1.5494902977445009,1.4293747707875628,-1.000000000000038,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Long,2.2737127260878403,0.3981395701799383,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,Short,2.1279753419854552,0.0796994510106912,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
164,Long,0.347337482503776,0.8559387961700193,-0.5375461038748914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Long,0.22429439571762674,0.3440879934304501,0.19880639620426008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Short,0.33953443257999005,1.1481164318168737,-0.9999999999999885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
