key,timestamp_ct,signal_type,ref_entry,act_entry,ref_stop,act_stop,ref_target,act_target,parity_status
2017-10-09 19:30:00+00:00|RL,2017-10-09 19:30:00+00:00,RL,6059.0,6059.0,6055.138411540349,6055.138411540349,6068.653971149129,6068.653971149129,MATCH
2017-10-10 14:45:00+00:00|L,2017-10-10 14:45:00+00:00,L,6064.0,6064.0,6059.817004516244,6059.817004516244,6076.548986451268,6076.548986451268,MATCH
2017-10-10 15:15:00+00:00|RS,2017-10-10 15:15:00+00:00,RS,6061.908891035345,6061.908891035345,6066.72197132491,6066.72197132491,6049.876190311432,6049.876190311432,MATCH
2017-10-10 16:45:00+00:00|L,2017-10-10 16:45:00+00:00,L,6055.0,6055.0,6049.495828260945,6049.495828260945,6071.512515217164,6071.512515217164,MATCH
2017-10-11 15:30:00+00:00|S,2017-10-11 15:30:00+00:00,S,6067.0,6067.0,6071.051382858856,6071.051382858856,6054.845851423432,6054.845851423432,MATCH
2017-10-11 16:00:00+00:00|RL,2017-10-11 16:00:00+00:00,RL,6069.5319569253825,6069.5319569253825,6065.639756909328,6065.639756909328,6079.262456965519,6079.262456965519,MATCH
2017-10-11 18:15:00+00:00|L,2017-10-11 18:15:00+00:00,L,6073.0,6073.0,6069.253219584381,6069.253219584381,6084.240341246855,6084.240341246855,MATCH
2017-10-11 20:30:00+00:00|RS,2017-10-11 20:30:00+00:00,RS,6082.118026711053,6082.118026711053,6085.702304973362,6085.702304973362,6073.157331055282,6073.157331055282,MATCH
2017-10-12 15:15:00+00:00|L,2017-10-12 15:15:00+00:00,L,6086.25,6086.25,6082.343050431091,6082.343050431091,6097.970848706726,6097.970848706726,MATCH
2017-10-12 17:15:00+00:00|L,2017-10-12 17:15:00+00:00,L,6090.0,6090.0,6086.30548900699,6086.30548900699,6101.083532979032,6101.083532979032,MATCH
2017-10-12 17:45:00+00:00|RS,2017-10-12 17:45:00+00:00,RS,6088.014012924675,6088.014012924675,6091.5458871992605,6091.5458871992605,6079.184327238211,6079.184327238211,MATCH
2017-10-13 14:45:00+00:00|S,2017-10-13 14:45:00+00:00,S,6095.276161060506,6095.276161060506,6099.018075103412,6099.018075103412,6084.050418931786,6084.050418931786,MATCH
2017-10-13 19:45:00+00:00|S,2017-10-13 19:45:00+00:00,S,6096.0,6096.0,6098.964422006847,6098.964422006847,6087.10673397946,6087.10673397946,MATCH
2017-10-13 20:30:00+00:00|RL,2017-10-13 20:30:00+00:00,RL,6098.5384522484665,6098.5384522484665,6095.592088375216,6095.592088375216,6105.904361931593,6105.904361931593,MATCH
2017-10-16 16:15:00+00:00|S,2017-10-16 16:15:00+00:00,S,6103.820195886423,6103.820195886423,6107.188474534549,6107.188474534549,6093.715359942046,6093.715359942046,MATCH
2017-10-16 19:45:00+00:00|L,2017-10-16 19:45:00+00:00,L,6116.5,6116.5,6113.559190823898,6113.559190823898,6125.322427528307,6125.322427528307,MATCH
2017-10-16 22:30:00+00:00|RS,2017-10-16 22:30:00+00:00,RS,6118.5,6118.5,6120.981731154947,6120.981731154947,6112.295672112633,6112.295672112633,MATCH
2017-10-17 15:00:00+00:00|L,2017-10-17 15:00:00+00:00,L,6116.410852467867,6116.410852467867,6113.214737066649,6113.214737066649,6125.999198671521,6125.999198671521,MATCH
2017-10-17 15:45:00+00:00|RS,2017-10-17 15:45:00+00:00,RS,6115.7092136035335,6115.7092136035335,6118.899511721783,6118.899511721783,6107.73346830791,6107.73346830791,MATCH
2017-10-17 19:45:00+00:00|L,2017-10-17 19:45:00+00:00,L,6124.25,6124.25,6121.571805178174,6121.571805178174,6132.284584465477,6132.284584465477,MATCH
2017-10-18 14:45:00+00:00|L,2017-10-18 14:45:00+00:00,L,6120.75,6120.75,6117.558555775986,6117.558555775986,6130.324332672041,6130.324332672041,MATCH
2017-10-18 15:30:00+00:00|RS,2017-10-18 15:30:00+00:00,RS,6119.75,6119.75,6122.989172908221,6122.989172908221,6111.6520677294475,6111.6520677294475,MATCH
2017-10-18 19:45:00+00:00|S,2017-10-18 19:45:00+00:00,S,6118.356476396691,6118.356476396691,6121.4854800625935,6121.4854800625935,6108.969465398982,6108.969465398982,MATCH
2017-10-19 15:00:00+00:00|L,2017-10-19 15:00:00+00:00,L,6081.706411134019,6081.706411134019,6074.751047879243,6074.751047879243,6102.572500898345,6102.572500898345,MATCH
2017-10-19 16:00:00+00:00|RS,2017-10-19 16:00:00+00:00,RS,6074.75,6074.75,6081.418783968129,6081.418783968129,6058.0780400796775,6058.0780400796775,MATCH
2017-10-19 18:45:00+00:00|L,2017-10-19 18:45:00+00:00,L,6084.5,6084.5,6079.129978874878,6079.129978874878,6100.610063375365,6100.610063375365,MATCH
2017-10-20 14:45:00+00:00|S,2017-10-20 14:45:00+00:00,S,6106.441629117782,6106.441629117782,6110.6784977618,6110.6784977618,6093.731023185729,6093.731023185729,MATCH
2017-10-20 15:45:00+00:00|RL,2017-10-20 15:45:00+00:00,RL,6112.442044480607,6112.442044480607,6108.372448990661,6108.372448990661,6122.616033205474,6122.616033205474,MATCH
2017-10-20 19:00:00+00:00|S,2017-10-20 19:00:00+00:00,S,6113.25,6113.25,6116.5592803223635,6116.5592803223635,6103.322159032909,6103.322159032909,MATCH
2017-10-20 20:45:00+00:00|RL,2017-10-20 20:45:00+00:00,RL,6109.25,6109.25,6105.9451339390625,6105.9451339390625,6117.512165152344,6117.512165152344,MATCH
2017-10-23 16:30:00+00:00|L,2017-10-23 16:30:00+00:00,L,6101.25,6101.25,6097.129051008457,6097.129051008457,6113.612846974629,6113.612846974629,MATCH
2017-10-23 19:15:00+00:00|S,2017-10-23 19:15:00+00:00,S,6077.644063087062,6077.644063087062,6082.480052302167,6082.480052302167,6063.136095441747,6063.136095441747,MATCH
2017-10-23 22:30:00+00:00|RL,2017-10-23 22:30:00+00:00,RL,6068.010228461385,6068.010228461385,6063.492565962454,6063.492565962454,6079.304384708711,6079.304384708711,MATCH
2017-10-24 20:00:00+00:00|L,2017-10-24 20:00:00+00:00,L,6079.0,6079.0,6074.61825878642,6074.61825878642,6092.145223640742,6092.145223640742,MATCH
2017-10-25 14:45:00+00:00|S,2017-10-25 14:45:00+00:00,S,6063.0,6063.0,6069.191686114259,6069.191686114259,6044.424941657223,6044.424941657223,MATCH
2017-10-25 16:30:00+00:00|S,2017-10-25 16:30:00+00:00,S,6028.5,6028.5,6037.461158574847,6037.461158574847,6001.61652427546,6001.61652427546,MATCH
2017-10-26 14:45:00+00:00|L,2017-10-26 14:45:00+00:00,L,6061.75,6061.75,6055.648948394825,6055.648948394825,6080.053154815524,6080.053154815524,MATCH
2017-10-26 15:30:00+00:00|RS,2017-10-26 15:30:00+00:00,RS,6053.1496069923305,6053.1496069923305,6059.527344010031,6059.527344010031,6037.20526444808,6037.20526444808,MATCH
2017-10-26 20:00:00+00:00|S,2017-10-26 20:00:00+00:00,S,6084.75,6084.75,6092.3062634290645,6092.3062634290645,6062.081209712806,6062.081209712806,MATCH
2017-10-27 15:30:00+00:00|L,2017-10-27 15:30:00+00:00,L,6187.876594642613,6187.876594642613,6181.302989095844,6181.302989095844,6207.597411282918,6207.597411282918,MATCH
2017-10-27 18:00:00+00:00|L,2017-10-27 18:00:00+00:00,L,6219.8762738068435,6219.8762738068435,6213.331688366328,6213.331688366328,6239.51003012839,6239.51003012839,MATCH
2017-10-27 18:45:00+00:00|RS,2017-10-27 18:45:00+00:00,RS,6215.75,6215.75,6222.134982402628,6222.134982402628,6199.787543993429,6199.787543993429,MATCH
2017-10-30 15:30:00+00:00|S,2017-10-30 15:30:00+00:00,S,6225.0,6225.0,6230.777044259353,6230.777044259353,6207.668867221941,6207.668867221941,MATCH
2017-10-31 15:15:00+00:00|L,2017-10-31 15:15:00+00:00,L,6246.75,6246.75,6242.825515900786,6242.825515900786,6258.5234522976425,6258.5234522976425,MATCH
2017-10-31 16:15:00+00:00|RS,2017-10-31 16:15:00+00:00,RS,6243.977236804374,6243.977236804374,6247.9125519167665,6247.9125519167665,6234.138949023394,6234.138949023394,MATCH
2017-10-31 17:45:00+00:00|S,2017-10-31 17:45:00+00:00,S,6249.25,6249.25,6253.123778829443,6253.123778829443,6237.62866351167,6237.62866351167,MATCH
2017-11-01 15:00:00+00:00|S,2017-11-01 15:00:00+00:00,S,6259.75,6259.75,6264.650011267877,6264.650011267877,6245.0499661963695,6245.0499661963695,MATCH
2017-11-01 15:30:00+00:00|RL,2017-11-01 15:30:00+00:00,RL,6251.75,6251.75,6246.610449468004,6246.610449468004,6264.59887632999,6264.59887632999,MATCH
2017-11-01 17:15:00+00:00|S,2017-11-01 17:15:00+00:00,S,6238.0,6238.0,6244.584468802302,6244.584468802302,6218.246593593095,6218.246593593095,MATCH
2017-11-02 15:00:00+00:00|S,2017-11-02 15:00:00+00:00,S,6226.25,6226.25,6232.742445822388,6232.742445822388,6206.772662532837,6206.772662532837,MATCH
2017-11-02 15:15:00+00:00|RL,2017-11-02 15:15:00+00:00,RL,6209.25,6209.25,6202.109693164925,6202.109693164925,6227.100767087686,6227.100767087686,MATCH
2017-11-02 20:45:00+00:00|L,2017-11-02 20:45:00+00:00,L,6258.470250349135,6258.470250349135,6251.378328274803,6251.378328274803,6279.746016572134,6279.746016572134,MATCH
2017-11-03 15:00:00+00:00|L,2017-11-03 15:00:00+00:00,L,6254.5,6254.5,6248.804169930197,6248.804169930197,6271.58749020941,6271.58749020941,MATCH
2017-11-03 17:15:00+00:00|L,2017-11-03 17:15:00+00:00,L,6279.0,6279.0,6273.864610374201,6273.864610374201,6294.406168877396,6294.406168877396,MATCH
2017-11-03 19:00:00+00:00|RL,2017-11-03 19:00:00+00:00,RL,6290.75,6290.75,6285.635023538602,6285.635023538602,6303.537441153497,6303.537441153497,MATCH
2017-11-06 16:15:00+00:00|S,2017-11-06 16:15:00+00:00,S,6305.5,6305.5,6310.194658747415,6310.194658747415,6291.416023757754,6291.416023757754,MATCH
2017-11-06 16:30:00+00:00|RL,2017-11-06 16:30:00+00:00,RL,6304.5,6304.5,6299.832638305971,6299.832638305971,6316.168404235071,6316.168404235071,MATCH
2017-11-07 15:45:00+00:00|L,2017-11-07 15:45:00+00:00,L,6309.0,6309.0,6304.0193382873795,6304.0193382873795,6323.941985137861,6323.941985137861,MATCH
2017-11-07 16:00:00+00:00|RS,2017-11-07 16:00:00+00:00,RS,6314.0,6314.0,6319.14722159029,6319.14722159029,6301.131946024274,6301.131946024274,MATCH
2017-11-07 20:45:00+00:00|L,2017-11-07 20:45:00+00:00,L,6315.424270176118,6315.424270176118,6310.259710021009,6310.259710021009,6330.917950641444,6330.917950641444,MATCH
2017-11-08 16:15:00+00:00|L,2017-11-08 16:15:00+00:00,L,6326.75,6326.75,6322.660277229276,6322.660277229276,6339.01916831217,6339.01916831217,MATCH
2017-11-08 16:30:00+00:00|RS,2017-11-08 16:30:00+00:00,RS,6326.95470363057,6326.95470363057,6331.073731917671,6331.073731917671,6316.657132912819,6316.657132912819,MATCH
2017-11-08 18:00:00+00:00|L,2017-11-08 18:00:00+00:00,L,6332.784038581346,6332.784038581346,6328.663055604117,6328.663055604117,6345.146987513032,6345.146987513032,MATCH
2017-11-09 16:00:00+00:00|L,2017-11-09 16:00:00+00:00,L,6303.5,6303.5,6295.416935566493,6295.416935566493,6327.749193300523,6327.749193300523,MATCH
2017-11-09 16:15:00+00:00|RS,2017-11-09 16:15:00+00:00,RS,6303.672258075532,6303.672258075532,6312.155639335218,6312.155639335218,6282.463804926318,6282.463804926318,MATCH
2017-11-10 16:00:00+00:00|L,2017-11-10 16:00:00+00:00,L,6298.5,6298.5,6292.90993351732,6292.90993351732,6315.270199448041,6315.270199448041,MATCH
2017-11-10 16:30:00+00:00|RS,2017-11-10 16:30:00+00:00,RS,6297.0,6297.0,6302.67523589578,6302.67523589578,6282.811910260549,6282.811910260549,MATCH
2017-11-10 18:00:00+00:00|S,2017-11-10 18:00:00+00:00,S,6300.0,6300.0,6305.366210615286,6305.366210615286,6283.901368154143,6283.901368154143,MATCH
2017-11-10 18:30:00+00:00|RL,2017-11-10 18:30:00+00:00,RL,6300.960816552369,6300.960816552369,6295.675665562658,6295.675665562658,6314.1736940266455,6314.1736940266455,MATCH
2017-11-13 15:45:00+00:00|S,2017-11-13 15:45:00+00:00,S,6313.5,6313.5,6318.86696544237,6318.86696544237,6297.399103672889,6297.399103672889,MATCH
2017-11-13 16:00:00+00:00|RL,2017-11-13 16:00:00+00:00,RL,6310.965595392316,6310.965595392316,6305.687341767258,6305.687341767258,6324.16122945496,6324.16122945496,MATCH
2017-11-13 20:15:00+00:00|L,2017-11-13 20:15:00+00:00,L,6322.0,6322.0,6318.479050865304,6318.479050865304,6332.562847404088,6332.562847404088,MATCH
2017-11-14 15:45:00+00:00|L,2017-11-14 15:45:00+00:00,L,6293.25,6293.25,6286.6387432043875,6286.6387432043875,6313.0837703868365,6313.0837703868365,MATCH
2017-11-15 15:45:00+00:00|L,2017-11-15 15:45:00+00:00,L,6273.25,6273.25,6265.760616370666,6265.760616370666,6295.718150888003,6295.718150888003,MATCH
2017-11-15 20:30:00+00:00|S,2017-11-15 20:30:00+00:00,S,6263.229881980105,6263.229881980105,6269.182489618655,6269.182489618655,6245.372059064454,6245.372059064454,MATCH
2017-11-16 15:45:00+00:00|L,2017-11-16 15:45:00+00:00,L,6332.0,6332.0,6327.518913352208,6327.518913352208,6345.443259943376,6345.443259943376,MATCH
2017-11-16 17:30:00+00:00|L,2017-11-16 17:30:00+00:00,L,6348.25,6348.25,6343.908656377437,6343.908656377437,6361.274030867689,6361.274030867689,MATCH
2017-11-17 15:45:00+00:00|L,2017-11-17 15:45:00+00:00,L,6338.535644446799,6338.535644446799,6334.510620620877,6334.510620620877,6350.610715924567,6350.610715924567,MATCH
2017-11-17 16:15:00+00:00|RS,2017-11-17 16:15:00+00:00,RS,6336.75,6336.75,6341.425913400923,6341.425913400923,6325.060216497693,6325.060216497693,MATCH
2017-11-17 19:15:00+00:00|S,2017-11-17 19:15:00+00:00,S,6327.467039126547,6327.467039126547,6331.366230923806,6331.366230923806,6315.7694637347695,6315.7694637347695,MATCH
2017-11-20 16:00:00+00:00|L,2017-11-20 16:00:00+00:00,L,6319.25,6319.25,6314.865160204621,6314.865160204621,6332.404519386137,6332.404519386137,MATCH
2017-11-20 16:30:00+00:00|RS,2017-11-20 16:30:00+00:00,RS,6316.921400787239,6316.921400787239,6321.2053953046825,6321.2053953046825,6306.211414493629,6306.211414493629,MATCH
2017-11-20 21:00:00+00:00|L,2017-11-20 21:00:00+00:00,L,6315.237822294921,6315.237822294921,6311.559238455296,6311.559238455296,6326.273573813797,6326.273573813797,MATCH
2017-11-21 20:45:00+00:00|L,2017-11-21 20:45:00+00:00,L,6381.75,6381.75,6378.446226876743,6378.446226876743,6391.661319369771,6391.661319369771,MATCH
2017-11-21 21:30:00+00:00|RS,2017-11-21 21:30:00+00:00,RS,6379.312389994263,6379.312389994263,6382.480566819929,6382.480566819929,6371.3919479300985,6371.3919479300985,MATCH
2017-11-22 15:45:00+00:00|L,2017-11-22 15:45:00+00:00,L,6384.75,6384.75,6380.98377902813,6380.98377902813,6396.04866291561,6396.04866291561,MATCH
2017-11-22 16:45:00+00:00|RS,2017-11-22 16:45:00+00:00,RS,6384.25,6384.25,6388.210614709433,6388.210614709433,6374.348463226417,6374.348463226417,MATCH
2017-11-22 19:45:00+00:00|L,2017-11-22 19:45:00+00:00,L,6391.25,6391.25,6388.089335784375,6388.089335784375,6400.731992646874,6400.731992646874,MATCH
2017-11-22 20:00:00+00:00|RS,2017-11-22 20:00:00+00:00,RS,6391.078578104583,6391.078578104583,6394.334909161949,6394.334909161949,6382.937750461169,6382.937750461169,MATCH
2017-11-23 16:30:00+00:00|S,2017-11-23 16:30:00+00:00,S,6383.247858059031,6383.247858059031,6385.151168005064,6385.151168005064,6377.537928220932,6377.537928220932,MATCH
2017-11-23 23:00:00+00:00|RL,2017-11-23 23:00:00+00:00,RL,6381.863193280122,6381.863193280122,6379.933486736478,6379.933486736478,6386.687459639232,6386.687459639232,MATCH
2017-11-24 15:45:00+00:00|L,2017-11-24 15:45:00+00:00,L,6403.631124914355,6403.631124914355,6400.735790689388,6400.735790689388,6412.317127589256,6412.317127589256,MATCH
2017-11-27 16:15:00+00:00|S,2017-11-27 16:15:00+00:00,S,6410.006144606313,6410.006144606313,6414.43656609806,6414.43656609806,6396.7148801310705,6396.7148801310705,MATCH
2017-11-27 17:00:00+00:00|RL,2017-11-27 17:00:00+00:00,RL,6404.610878389187,6404.610878389187,6400.155653893061,6400.155653893061,6415.748939629501,6415.748939629501,MATCH
2017-11-28 17:45:00+00:00|S,2017-11-28 17:45:00+00:00,S,6420.5,6420.5,6424.430283513289,6424.430283513289,6408.709149460132,6408.709149460132,MATCH
2017-11-28 18:15:00+00:00|RL,2017-11-28 18:15:00+00:00,RL,6417.75,6417.75,6413.383454521704,6413.383454521704,6428.666363695739,6428.666363695739,MATCH
2017-11-28 19:30:00+00:00|L,2017-11-28 19:30:00+00:00,L,6414.2793774049205,6414.2793774049205,6408.141749049227,6408.141749049227,6432.692262472003,6432.692262472003,MATCH
2017-11-29 16:00:00+00:00|S,2017-11-29 16:00:00+00:00,S,6330.0,6330.0,6340.305347715839,6340.305347715839,6299.083956852483,6299.083956852483,MATCH
2017-11-30 16:15:00+00:00|L,2017-11-30 16:15:00+00:00,L,6354.25,6354.25,6346.143988896251,6346.143988896251,6378.568033311246,6378.568033311246,MATCH
2017-11-30 16:30:00+00:00|RS,2017-11-30 16:30:00+00:00,RS,6355.7941985195,6355.7941985195,6363.669423115838,6363.669423115838,6336.106137028655,6336.106137028655,MATCH
2017-11-30 21:30:00+00:00|S,2017-11-30 21:30:00+00:00,S,6352.25,6352.25,6360.565872851126,6360.565872851126,6327.302381446622,6327.302381446622,MATCH
2017-12-01 16:30:00+00:00|S,2017-12-01 16:30:00+00:00,S,6300.75,6300.75,6317.827993478009,6317.827993478009,6249.516019565973,6249.516019565973,MATCH
2017-12-01 16:45:00+00:00|RL,2017-12-01 16:45:00+00:00,RL,6302.277065797068,6302.277065797068,6284.35642899606,6284.35642899606,6347.078657799589,6347.078657799589,MATCH
2017-12-04 15:45:00+00:00|S,2017-12-04 15:45:00+00:00,S,6311.336477690327,6311.336477690327,6321.435115204122,6321.435115204122,6281.040565148945,6281.040565148945,MATCH
2017-12-04 17:30:00+00:00|RS,2017-12-04 17:30:00+00:00,RS,6310.75,6310.75,6321.642628886036,6321.642628886036,6283.51842778491,6283.51842778491,MATCH
2017-12-04 20:45:00+00:00|S,2017-12-04 20:45:00+00:00,S,6265.25,6265.25,6275.875040002135,6275.875040002135,6233.374879993594,6233.374879993594,MATCH
2017-12-05 16:15:00+00:00|L,2017-12-05 16:15:00+00:00,L,6332.5,6332.5,6322.191779957033,6322.191779957033,6363.4246601289005,6363.4246601289005,MATCH
2017-12-05 16:45:00+00:00|RS,2017-12-05 16:45:00+00:00,RS,6327.38445847087,6327.38445847087,6337.818586977306,6337.818586977306,6301.299137204781,6301.299137204781,MATCH
2017-12-05 18:00:00+00:00|S,2017-12-05 18:00:00+00:00,S,6297.5,6297.5,6307.818010865153,6307.818010865153,6266.545967404541,6266.545967404541,MATCH
2017-12-05 18:30:00+00:00|RL,2017-12-05 18:30:00+00:00,RL,6307.5,6307.5,6297.133960019332,6297.133960019332,6333.415099951669,6333.415099951669,MATCH
2017-12-06 16:00:00+00:00|L,2017-12-06 16:00:00+00:00,L,6288.0,6288.0,6278.333649742979,6278.333649742979,6316.999050771063,6316.999050771063,MATCH
2017-12-06 17:45:00+00:00|RL,2017-12-06 17:45:00+00:00,RL,6279.25,6279.25,6270.085595253236,6270.085595253236,6302.16101186691,6302.16101186691,MATCH
2017-12-06 18:45:00+00:00|L,2017-12-06 18:45:00+00:00,L,6292.152581862421,6292.152581862421,6283.817636749127,6283.817636749127,6317.157417202306,6317.157417202306,MATCH
2017-12-07 15:45:00+00:00|L,2017-12-07 15:45:00+00:00,L,6329.0,6329.0,6321.562904157922,6321.562904157922,6351.311287526233,6351.311287526233,MATCH
2017-12-07 16:15:00+00:00|RS,2017-12-07 16:15:00+00:00,RS,6325.0,6325.0,6332.738490802608,6332.738490802608,6305.65377299348,6305.65377299348,MATCH
2017-12-07 19:45:00+00:00|S,2017-12-07 19:45:00+00:00,S,6313.5,6313.5,6321.019178685021,6321.019178685021,6290.942463944938,6290.942463944938,MATCH
2017-12-08 16:30:00+00:00|S,2017-12-08 16:30:00+00:00,S,6353.75,6353.75,6359.453629384872,6359.453629384872,6336.639111845382,6336.639111845382,MATCH
2017-12-08 17:15:00+00:00|RL,2017-12-08 17:15:00+00:00,RL,6359.890162153771,6359.890162153771,6354.199747154294,6354.199747154294,6374.116199652463,6374.116199652463,MATCH
2017-12-08 19:15:00+00:00|S,2017-12-08 19:15:00+00:00,S,6348.035626735158,6348.035626735158,6353.854476258164,6353.854476258164,6330.579078166141,6330.579078166141,MATCH
2017-12-11 17:15:00+00:00|L,2017-12-11 17:15:00+00:00,L,6383.205112987548,6383.205112987548,6377.932897538555,6377.932897538555,6399.021759334527,6399.021759334527,MATCH
2017-12-11 21:00:00+00:00|L,2017-12-11 21:00:00+00:00,L,6395.096268150505,6395.096268150505,6390.635650673773,6390.635650673773,6408.478120580701,6408.478120580701,MATCH
2017-12-11 23:30:00+00:00|RS,2017-12-11 23:30:00+00:00,RS,6402.4961047572215,6402.4961047572215,6406.876843125699,6406.876843125699,6391.5442588360265,6391.5442588360265,MATCH
2017-12-12 16:15:00+00:00|L,2017-12-12 16:15:00+00:00,L,6399.75,6399.75,6394.704007640679,6394.704007640679,6414.887977077961,6414.887977077961,MATCH
2017-12-12 19:15:00+00:00|L,2017-12-12 19:15:00+00:00,L,6385.5281147559535,6385.5281147559535,6379.85463699128,6379.85463699128,6402.548548049975,6402.548548049975,MATCH
2017-12-13 16:30:00+00:00|S,2017-12-13 16:30:00+00:00,S,6408.801969196524,6408.801969196524,6414.1989694350195,6414.1989694350195,6392.610968481037,6392.610968481037,MATCH
2017-12-13 17:30:00+00:00|RL,2017-12-13 17:30:00+00:00,RL,6393.25,6393.25,6387.2719397825995,6387.2719397825995,6408.195150543502,6408.195150543502,MATCH
2017-12-14 16:15:00+00:00|S,2017-12-14 16:15:00+00:00,S,6413.25,6413.25,6418.349531272307,6418.349531272307,6397.95140618308,6397.95140618308,MATCH
2017-12-14 16:45:00+00:00|RL,2017-12-14 16:45:00+00:00,RL,6413.5,6413.5,6408.472534260102,6408.472534260102,6426.068664349743,6426.068664349743,MATCH
2017-12-14 18:00:00+00:00|S,2017-12-14 18:00:00+00:00,S,6404.321479725471,6404.321479725471,6409.555817351654,6409.555817351654,6388.618466846925,6388.618466846925,MATCH
2017-12-14 20:00:00+00:00|RL,2017-12-14 20:00:00+00:00,RL,6396.0,6396.0,6389.581911049632,6389.581911049632,6412.04522237592,6412.04522237592,MATCH
2017-12-15 17:00:00+00:00|L,2017-12-15 17:00:00+00:00,L,6447.25,6447.25,6442.294695233727,6442.294695233727,6462.115914298818,6462.115914298818,MATCH
2017-12-15 17:45:00+00:00|RS,2017-12-15 17:45:00+00:00,RS,6455.5,6455.5,6460.679479617894,6460.679479617894,6442.551300955265,6442.551300955265,MATCH
2017-12-15 20:15:00+00:00|L,2017-12-15 20:15:00+00:00,L,6470.615852801444,6470.615852801444,6466.085806505676,6466.085806505676,6484.205991688746,6484.205991688746,MATCH
2017-12-15 21:00:00+00:00|RS,2017-12-15 21:00:00+00:00,RS,6480.25,6480.25,6485.920717642784,6485.920717642784,6466.073205893039,6466.073205893039,MATCH
2017-12-18 17:15:00+00:00|L,2017-12-18 17:15:00+00:00,L,6515.25,6515.25,6510.5703114688,6510.5703114688,6529.289065593598,6529.289065593598,MATCH
2017-12-18 17:30:00+00:00|RS,2017-12-18 17:30:00+00:00,RS,6519.0,6519.0,6523.599889350399,6523.599889350399,6507.500276624001,6507.500276624001,MATCH
2017-12-18 20:30:00+00:00|S,2017-12-18 20:30:00+00:00,S,6517.0,6517.0,6520.844380660916,6520.844380660916,6505.466858017252,6505.466858017252,MATCH
2017-12-18 20:45:00+00:00|RL,2017-12-18 20:45:00+00:00,RL,6516.0,6516.0,6511.881110814864,6511.881110814864,6526.29722296284,6526.29722296284,MATCH
2017-12-19 15:45:00+00:00|S,2017-12-19 15:45:00+00:00,S,6477.0,6477.0,6482.396258476495,6482.396258476495,6460.811224570516,6460.811224570516,MATCH
2017-12-19 16:30:00+00:00|RL,2017-12-19 16:30:00+00:00,RL,6480.0,6480.0,6474.203915862661,6474.203915862661,6494.490210343348,6494.490210343348,MATCH
2017-12-19 18:00:00+00:00|RL,2017-12-19 18:00:00+00:00,RL,6473.5,6473.5,6467.599113608546,6467.599113608546,6488.252215978636,6488.252215978636,MATCH
2017-12-20 15:45:00+00:00|S,2017-12-20 15:45:00+00:00,S,6450.25,6450.25,6456.194757384278,6456.194757384278,6432.415727847165,6432.415727847165,MATCH
2017-12-20 16:15:00+00:00|RL,2017-12-20 16:15:00+00:00,RL,6453.321731866625,6453.321731866625,6447.116813509772,6447.116813509772,6468.834027758755,6468.834027758755,MATCH
