trade_id,direction,outcome,net_R,15m_state,15m_strength,15m_score,5m_direction,5m_struct_score,5m_loc_score,5m_react_score,pb_depth_pct,swing_dist_atr,impulse_atr_15m
T58-055486,LONG,LOSER,-2.2589147286816025,BEARISH,-1.5,-2,NEUTRAL,1,1,0,0.36363636363636365,26.29268292682927,1.2812461147601233
T58-007139,LONG,LOSER,-3.165333333332493,BULLISH,1.0,1,NEUTRAL,2,1,1,0.21621621621621623,13.096774193548386,2.006691582518133
T58-211985,LONG,LOSER,-1.0649080735411762,BEARISH,-2.0,-2,BEARISH,2,0,2,0.6209987195902689,11.654450261780106,5.740759025496813
T58-202437,LONG,LOSER,-1.2706666666665616,TRANSITION,0.0,0,BEARISH,2,1,3,0.1712962962962963,26.802139037433154,1.3160225816366646
T58-073560,LONG,LOSER,-1.1049095607235222,BULLISH,2.0,2,NEUTRAL,2,1,3,0.2977867203219316,8.932358318098721,2.4745988705087925
T58-149451,LONG,LOSER,-1.150370370370346,BULLISH,1.5,2,BULLISH,2,1,1,0.3288888888888889,6.19941348973607,1.6004029289381572
T58-142624,SHORT,LOSER,-1.1533522190745733,BEARISH,-2.0,2,NEUTRAL,2,1,0,0.45714285714285713,4.350467289719626,2.171945430043367
T58-032060,LONG,LOSER,-1.3733333333332585,BEARISH,-1.0,0,NEUTRAL,2,0,0,0.7142857142857143,2.7575757575757573,1.259885822345133
T58-189007,LONG,LOSER,-1.21312335958002,BULLISH,1.5,2,NEUTRAL,2,1,0,0.4189189189189189,7.166666666666667,0.644395576442167
T58-109626,LONG,LOSER,-1.3222222222222222,BULLISH,1.5,2,NEUTRAL,1,1,0,0.2966101694915254,6.4916201117318435,1.4958487548255057
T58-012248,LONG,LOSER,-1.5523809523809524,BULLISH,2.0,2,BULLISH,2,0,2,0.11702127659574468,12.104166666666668,2.1671667905054997
T58-014907,SHORT,LOSER,-2.0614379084973375,BEARISH,-2.0,2,NEUTRAL,1,0,2,0.14285714285714285,9.333333333333334,2.3109063278224506
T58-032284,SHORT,LOSER,-2.002469135801929,NEUTRAL,-0.5,0,BULLISH,2,0,0,0.6333333333333333,2.3333333333333335,1.1851367268812383
T58-154185,LONG,LOSER,-1.069490800171156,BULLISH,1.5,2,NEUTRAL,2,1,0,0.3975,4.170580964153276,1.5969234832839778
T58-147066,SHORT,LOSER,-1.6368627450978939,BEARISH,-1.0,1,NEUTRAL,2,1,2,0.38095238095238093,8.878048780487806,1.2116905003256846
T58-085134,SHORT,LOSER,-1.2834205933681797,BEARISH,-2.0,2,BEARISH,2,1,0,0.17204301075268819,5.133333333333334,1.0142599049204024
T58-007646,LONG,LOSER,-1.6940170940169215,BULLISH,2.0,2,NEUTRAL,2,0,2,0.1320754716981132,6.708333333333334,1.6010293851923063
T58-189361,SHORT,LOSER,-1.071510347864388,BEARISH,-2.0,2,BEARISH,2,1,0,0.393048128342246,3.9660574412532634,2.098575658900207
