system,trade_id,capture_after_signal,capture_entire_move,favorable_spent_before_entry_atr,total_excursion_atr
A_Phase58_1M,T58-191906,0.7663230240549828,0.7663230240549828,1.9548254620123204,8.365503080082135
A_Phase58_1M,T58-130046,0.38888888888888884,0.38888888888888884,0.88,1.44
A_Phase58_1M,T58-107036,0.9742268041237113,0.9742268041237113,0.14314928425357873,5.554192229038854
A_Phase58_1M,T58-090779,0.9888888888888889,0.9888888888888889,0.0510948905109489,4.598540145985401
A_Phase58_1M,T58-099557,1.0,1.0,0.0,11.652173913043478
A_Phase58_1M,T58-075645,1.0,1.0,0.0,5.6
A_Phase58_1M,T58-158600,0.9491525423728813,0.9491525423728813,0.17073170731707316,3.357723577235772
A_Phase58_1M,T58-086955,0.803921568627451,0.803921568627451,1.1814345991561181,6.025316455696203
A_Phase58_1M,T58-177174,0.7977528089887641,0.7977528089887641,0.5206611570247934,2.574380165289256
A_Phase58_1M,T58-115450,1.0,1.0,0.0,0.8235294117647058
A_Phase58_1M,T58-060692,0.7526315789473684,0.7526315789473684,1.4398249452954046,5.8205689277899335
A_Phase58_1M,T58-063163,0.9189189189189189,0.9189189189189189,0.43298969072164945,5.34020618556701
A_Phase58_1M,T58-129999,0.8243243243243242,0.8243243243243242,0.4272300469483568,2.431924882629108
A_Phase58_1M,T58-024613,0.9655172413793103,0.9655172413793103,0.208955223880597,6.059701492537314
A_Phase58_1M,T58-029126,0.9074074074074073,0.9074074074074073,0.6363636363636364,6.872727272727273
A_Phase58_1M,T58-195276,0.8688524590163934,0.8688524590163934,0.47058823529411764,3.588235294117647
A_Phase58_1M,T58-048522,0.9424460431654675,0.9424460431654675,0.896,15.568
A_Phase58_1M,T58-221464,0.4000000000000001,0.4000000000000001,0.26456692913385826,0.44094488188976383
A_Phase58_1M,T58-114321,0.9825783972125436,0.9825783972125436,0.33018867924528306,18.952830188679247
A_Phase58_1M,T58-010164,0.8275862068965517,0.8275862068965517,2.0289855072463765,11.768115942028984
A_Phase58_1M,T58-196264,1.0,1.0,0.0,2.865625
A_Phase58_1M,T58-003292,0.8636363636363636,0.8636363636363636,0.65625,4.8125
A_Phase58_1M,T58-141609,1.0,1.0,0.0,6.4
A_Phase58_1M,T58-097702,0.8333333333333333,0.8333333333333333,1.2894736842105263,7.7368421052631575
A_Phase58_1M,T58-216501,1.0,1.0,0.0,15.297297297297296
A_Phase58_1M,T58-158032,1.0,1.0,0.0,0.536741214057508
A_Phase58_1M,T58-022020,0.6666666666666666,0.6666666666666666,0.39622641509433965,1.1886792452830188
A_Phase58_1M,T58-018366,0.9090909090909092,0.9090909090909092,0.813953488372093,8.953488372093023
A_Phase58_1M,T58-204535,1.0,1.0,0.0,0.46840148698884754
A_Phase58_1M,T58-093960,0.911764705882353,0.911764705882353,0.3620689655172413,4.1034482758620685
A_Phase58_1M,T58-222515,0.937799043062201,0.937799043062201,0.7,11.253846153846153
A_Phase58_1M,T58-105908,0.75,0.75,2.3412969283276452,9.365187713310581
A_Phase58_1M,T58-151349,1.0,1.0,0.0,7.4586894586894585
A_Phase58_1M,T58-123196,0.9655172413793104,0.9655172413793104,0.10370370370370371,3.0074074074074075
A_Phase58_1M,T58-140591,0.9032258064516129,0.9032258064516129,0.3014354066985646,3.1148325358851676
A_Phase58_1M,T58-215339,1.0,1.0,0.0,5.782283884738527
A_Phase58_1M,T58-084617,0.7878787878787878,0.7878787878787878,0.6689419795221844,3.1535836177474406
A_Phase58_1M,T58-014855,0.9206349206349207,0.9206349206349207,1.0294117647058825,12.97058823529412
A_Phase58_1M,T58-196558,0.7543859649122807,0.7543859649122807,0.8200836820083681,3.338912133891213
A_Phase58_1M,T58-141430,0.5789473684210527,0.5789473684210527,0.691358024691358,1.6419753086419753
A_Phase58_1M,T58-104590,0.7838827838827839,0.7838827838827839,1.696098562628337,7.848049281314169
A_Phase58_1M,T58-130584,0.6818181818181819,0.6818181818181819,0.9245283018867925,2.905660377358491
A_Phase58_1M,T58-122191,0.8928571428571429,0.8928571428571429,1.0,9.333333333333334
A_Phase58_1M,T58-127640,0.8970588235294118,0.8970588235294118,0.2960725075528701,2.876132930513595
A_Phase58_1M,T58-029644,0.46153846153846156,0.46153846153846156,0.8949771689497718,1.6621004566210047
A_Phase58_1M,T58-045759,1.0,1.0,0.0,0.36458333333333337
A_Phase58_1M,T58-031142,0.9152542372881356,0.9152542372881356,0.14141414141414144,1.6686868686868688
A_Phase58_1M,T58-185655,0.908256880733945,0.908256880733945,0.5363984674329502,5.846743295019158
A_Phase58_1M,T58-207552,0.9150943396226415,0.9150943396226415,0.5981012658227848,7.044303797468354
A_Phase58_1M,T58-190170,0.5408805031446541,0.5408805031446541,1.6018808777429467,3.4890282131661445
A_Phase58_1M,T58-137757,1.0,1.0,0.0,6.866242038216561
A_Phase58_1M,T58-144497,0.8555555555555556,0.8555555555555556,0.629757785467128,4.359861591695502
A_Phase58_1M,T58-123347,0.8323699421965318,0.8323699421965318,0.7645951035781544,4.56120527306968
A_Phase58_1M,T58-139826,0.7333333333333334,0.7333333333333334,1.382716049382716,5.185185185185185
A_Phase58_1M,T58-060687,1.0,1.0,0.0,3.7379767827529022
A_Phase58_1M,T58-144828,0.4054054054054055,0.4054054054054055,0.7298578199052133,1.227488151658768
A_Phase58_1M,T58-174711,1.0,1.0,0.0,3.357466063348416
A_Phase58_1M,T58-008567,1.0,1.0,0.0,4.310526315789474
A_Phase58_1M,T58-105361,0.8947368421052632,0.8947368421052632,0.2857142857142857,2.7142857142857144
A_Phase58_1M,T58-114787,0.7808764940239045,0.7808764940239045,0.6832298136645962,3.1180124223602483
A_Phase58_1M,T58-210908,0.8461538461538461,0.8461538461538461,0.2522522522522523,1.6396396396396398
A_Phase58_1M,T58-185956,0.989795918367347,0.989795918367347,0.04929577464788733,4.830985915492958
A_Phase58_1M,T58-081854,0.8150684931506849,0.8150684931506849,0.4380069524913094,2.368482039397451
A_Phase58_1M,T58-004130,1.0,1.0,0.0,2.9615384615384612
A_Phase58_1M,T58-012358,0.975,0.975,0.09523809523809523,3.8095238095238093
A_Phase58_1M,T58-147619,1.0,1.0,0.0,2.546572934973638
A_Phase58_1M,T58-035631,0.8727272727272727,0.8727272727272727,0.3850687622789784,3.0255402750491163
A_Phase58_1M,T58-142945,1.0,1.0,0.0,3.0847457627118646
A_Phase58_1M,T58-219223,0.8400000000000001,0.8400000000000001,0.2318840579710145,1.4492753623188406
A_Phase58_1M,T58-221531,0.9545454545454546,0.9545454545454546,0.37311703360370796,8.208574739281575
A_Phase58_1M,T58-010650,0.875,0.875,0.42424242424242425,3.393939393939394
A_Phase58_1M,T58-188831,0.7534246575342466,0.7534246575342466,0.4,1.6222222222222222
A_Phase58_1M,T58-064552,0.6081081081081081,0.6081081081081081,1.1566951566951567,2.9515669515669516
A_Phase58_1M,T58-099077,0.9797979797979797,0.9797979797979797,0.345679012345679,17.11111111111111
A_Phase58_1M,T58-104741,1.0,1.0,0.0,1.6470588235294117
A_Phase58_1M,T58-027996,1.0,1.0,0.0,8.302325581395348
A_Phase58_1M,T58-166423,1.0,1.0,0.0,4.697986577181208
A_Phase58_1M,T58-007629,1.0,1.0,0.0,2.905660377358491
A_Phase58_1M,T58-068659,0.7692307692307693,0.7692307692307693,0.75,3.25
A_Phase58_1M,T58-083052,1.0,1.0,0.0,8.545454545454545
A_Phase58_1M,T58-131637,0.9044943820224719,0.9044943820224719,0.44402985074626866,4.649253731343284
A_Phase58_1M,T58-165143,0.6153846153846154,0.6153846153846154,0.30701754385964913,0.7982456140350878
