trade_id,direction,system,A_eventual_5m,B_at_horizon_5m,A_eventual_10m,B_at_horizon_10m,A_eventual_15m,B_at_horizon_15m,A_eventual_30m,B_at_horizon_30m,A_eventual_60m,B_at_horizon_60m,C_target_before_stop,D_stop_before_target
T58-218463,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-015615,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-154540,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-207803,LONG,A,True,False,True,False,True,True,True,False,True,True,False,True
T58-184959,LONG,A,True,True,True,False,True,False,True,False,True,False,False,True
T58-082730,SHORT,A,True,True,True,False,True,False,True,True,True,False,False,True
T58-016627,SHORT,A,False,True,False,True,True,True,True,True,True,False,False,True
T58-085139,SHORT,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-154424,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-183739,LONG,A,False,False,True,True,True,False,True,True,True,True,False,True
T58-067842,LONG,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-195321,LONG,A,True,False,True,False,True,True,True,False,True,True,True,False
T58-039403,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-063149,SHORT,A,False,True,False,True,False,True,False,True,False,True,False,True
T58-087286,LONG,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-160090,LONG,A,True,True,True,True,True,True,True,True,True,False,True,False
T58-162015,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-109853,SHORT,A,True,False,True,False,True,False,True,True,True,False,True,False
T58-025482,LONG,A,True,False,True,True,True,True,True,False,True,False,False,True
T58-159912,LONG,A,True,True,True,False,True,False,True,False,True,False,False,True
T58-050681,LONG,A,True,True,True,True,True,True,True,False,True,False,True,False
T58-142862,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-117494,SHORT,A,False,True,True,False,True,False,True,True,True,True,False,True
T58-067978,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-141059,SHORT,A,True,True,True,True,True,True,True,False,True,False,False,True
T58-056456,SHORT,A,False,False,True,False,True,False,True,False,True,False,False,True
T58-006059,LONG,A,False,False,True,True,True,False,True,False,True,True,False,True
T58-156663,LONG,A,True,True,True,True,True,True,True,True,True,False,True,False
T58-216203,LONG,A,True,True,True,True,True,True,True,False,True,False,True,False
T58-016022,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-106571,SHORT,A,True,False,True,False,True,True,True,False,True,True,False,True
T58-161188,SHORT,A,True,True,True,True,True,True,True,True,True,False,False,True
T58-057538,SHORT,A,False,True,False,True,False,True,False,True,False,True,False,True
T58-069411,SHORT,A,False,True,False,True,True,False,True,False,True,True,False,True
T58-036760,SHORT,A,False,True,False,True,False,True,True,True,True,True,False,True
T58-108302,LONG,A,True,True,True,True,True,True,True,True,True,False,True,False
T58-217653,SHORT,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-181026,SHORT,A,False,True,False,True,False,True,False,True,False,True,False,True
T58-120148,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-069778,SHORT,A,False,True,True,False,True,False,True,True,True,False,False,True
T58-139017,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-132730,LONG,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-168765,SHORT,A,False,True,True,True,True,True,True,False,True,True,False,True
T58-001394,LONG,A,True,False,True,False,True,True,True,True,True,False,False,True
T58-014065,LONG,A,False,True,True,True,True,False,True,False,True,True,False,True
T58-212840,LONG,A,True,False,True,False,True,False,True,True,True,True,True,False
T58-068307,SHORT,A,False,True,True,False,True,True,True,False,True,True,False,True
T58-135460,LONG,A,True,False,True,True,True,True,True,False,True,False,False,True
T58-218746,LONG,A,False,False,False,False,False,True,True,True,True,True,False,True
T58-045862,SHORT,A,False,False,True,False,True,False,True,False,True,False,False,True
T58-019719,LONG,A,False,False,False,False,True,True,True,True,True,True,False,True
T58-080679,LONG,A,True,True,True,True,True,True,True,False,True,False,True,False
T58-211692,LONG,A,True,True,True,False,True,False,True,False,True,False,False,True
T58-142498,LONG,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-016882,SHORT,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-059126,LONG,A,True,True,True,True,True,False,True,True,True,True,True,False
T58-047559,SHORT,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-188330,SHORT,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-003996,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-010494,SHORT,A,False,True,False,True,False,True,True,True,True,True,False,True
T58-095137,SHORT,A,True,True,True,False,True,True,True,True,True,True,False,True
T58-084258,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
