direction,phase58_entry_i,phase58b_entry_i,lag_bars,phase58_net_R,phase58b_net_R
SHORT,1488832,1488818,-14,2.4167179487179635,2.415284298382895
LONG,2412027,2412026,-1,-1.1620758483034122,2.337924151696588
SHORT,1755594,1755595,1,2.2957232704402366,2.280836707152531
LONG,1270117,1270131,14,-1.3492473118279134,2.2279731993300627
SHORT,2542869,2542847,-22,-1.1181950509461627,-1.1169186465083087
LONG,1290358,1290331,-27,-1.652208835341518,-1.4164102564104428
LONG,1453419,1453428,9,1.9476190476190476,-1.470724637681477
LONG,1061524,1061502,-22,-1.2182795698924218,-1.1630522088353128
LONG,1971097,1971093,-4,2.0166666666666666,-1.4009876543208724
LONG,609155,609132,-23,-1.845833333333077,-1.784541062802153
LONG,2073771,2073769,-2,2.2781420765027147,2.2834666666666332
SHORT,618323,618341,18,-1.5580756013746822,-1.6222222222222915
SHORT,2222216,2222192,-24,2.4146161934805574,2.399938385705491
SHORT,1095561,1095558,-3,-1.2640650406503564,-1.2974358974358975
LONG,1304736,1304729,-7,-1.3980392156861041,-1.3633109619685855
LONG,2408670,2408686,16,-1.0429629629629629,-1.052151573538855
SHORT,1539954,1539945,-9,-1.046909300982092,-1.094473531122749
LONG,1847171,1847155,-16,2.3669942669942734,-1.128278041074238
LONG,1099656,1099649,-7,2.1133333333333333,2.141501103752621
SHORT,1595607,1595577,-30,2.3540880503144654,-1.1391602399314689
SHORT,2136855,2136830,-25,-1.2734006734006198,-1.336231884057971
SHORT,2689784,2689758,-26,2.3729264475743697,-1.1696969696969284
LONG,520825,520813,-12,1.847791164658482,1.814767932489199
SHORT,1436806,1436836,30,2.4038484310242847,-1.0691358024691375
SHORT,2427789,2427813,24,2.3066666666666666,-1.1409722222221794
LONG,196794,196772,-22,-1.3707762557078118,-1.312909441233088
LONG,1885675,1885681,6,-1.1395189003436217,-1.153787878787862
LONG,1477073,1477099,26,-1.3922705314010764,-1.2449472096531564
SHORT,2624154,2624180,26,-1.5255663430422692,2.0412429378535597
SHORT,183391,183380,-11,-1.608239700374333,-1.4511111111110382
LONG,153066,153081,15,-1.4196382428940884,-1.3785547785548042
SHORT,2848626,2848638,12,-1.0765676567656766,-1.0580829756795496
LONG,2723440,2723432,-8,-1.291039426523176,-1.2734006734006198
LONG,2407487,2407510,23,2.4296969696969697,-1.080675608544447
SHORT,736440,736464,24,1.7375586854462177,-1.6683127572021264
SHORT,698737,698753,16,-1.2790378006872434,-1.2653594771241576
