timestamp,15m_state,5m_state,setup_id,5m_decision,5m_score,1m_execution_state,entry_timestamp,entry_price,stop,target,reason_codes
2018-05-25 05:15:00-05:00,BULLISH,TAKE,S58B-004692,TAKE_LONG,5,X1_FAVORABLE,,6983.5,,,15M_SUPPORT_1|5M_HH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_MOM_LOSS
2018-05-25 05:40:00-05:00,BULLISH,TAKE,S58B-004693,TAKE_LONG,8,X1_FALLBACK,,6986.0,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MOM_LOSS|5M_RECLAIM
2018-05-25 08:20:00-05:00,BULLISH,TAKE,S58B-004694,TAKE_LONG,6,X1_FAVORABLE,,6956.75,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-25 08:55:00-05:00,BULLISH,TAKE,S58B-004696,TAKE_LONG,7,X1_FAVORABLE,,6971.5,,,15M_SUPPORT_2|5M_HH|5M_LL|5M_MOM_UP|5M_DIR_RESPONSE|5M_MOM_LOSS|5M_RECLAIM
2018-05-25 10:25:00-05:00,BEARISH,TAKE,S58B-004697,TAKE_LONG,6,X1_FAVORABLE,,6980.75,,,15M_NEUTRAL|5M_HH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MOM_LOSS|5M_RECLAIM
2018-05-25 11:00:00-05:00,BEARISH,TAKE,S58B-004698,TAKE_SHORT,6,X1_FAVORABLE,,6977.25,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_MICRO_SHIFT
2018-05-25 12:10:00-05:00,NEUTRAL,TAKE,S58B-004699,TAKE_SHORT,6,X1_FALLBACK,,6974.0,,,15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_REJECTION|5M_RECLAIM
2018-05-25 14:00:00-05:00,BEARISH,TAKE,S58B-004701,TAKE_SHORT,4,X1_FALLBACK,,6958.25,,,15M_SUPPORT_1|5M_LL|5M_MOM_DN|5M_DIR_RESPONSE
2018-05-25 14:45:00-05:00,BEARISH,TAKE,S58B-004702,TAKE_SHORT,5,X1_FAVORABLE,,6964.5,,,15M_SUPPORT_1|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_MICRO_SHIFT
2018-05-25 15:30:00-05:00,BEARISH,TAKE,S58B-004703,TAKE_SHORT,5,X1_FALLBACK,,6958.75,,,15M_SUPPORT_2|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-27 17:55:00-05:00,BULLISH,TAKE,S58B-004705,TAKE_LONG,4,MISSED_NO_CHASE,,,,,15M_SUPPORT_1|5M_HH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK
