model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Retest,month,2025-07,26,13,13,50.0,0.18747026619747761,4.874226921134418,1.469330757554301,3.8624203433648088,2.0,-1.0,2,3
Retest,month,2025-08,35,12,23,34.285714285714285,-0.110149859122786,-3.85524506929751,0.7918049923722336,11.754280896613896,2.0,-1.0,5,9
Retest,month,2025-09,39,14,25,35.8974358974359,-0.21261432287612522,-8.291958592168884,0.6090644751205494,13.178074312524082,2.0,-1.0,3,8
Retest,month,2025-10,30,13,17,43.333333333333336,-0.08153337310558131,-2.4460011931674392,0.8488933470091354,8.522938925023334,2.0,-1.0,7,4
Retest,month,2025-11,32,15,17,46.875,0.041919403971333966,1.341420927082687,1.08365565470553,5.324737770581321,2.0,-1.0,3,4
Retest,month,2025-12,43,14,29,32.55813953488372,-0.253516286205579,-10.901200306839895,0.5726747641706804,13.672303150186925,2.0,-1.0,2,8
Retest,month,2026-01,30,14,15,46.666666666666664,0.19464462641896826,5.839338792569048,1.4798179418740507,3.59335066184774,2.0,-1.0,5,4
Retest,month,2026-02,36,13,23,36.111111111111114,-0.1212426398831828,-4.364735035794581,0.7714825796994171,7.46886202923705,2.0,-1.0,5,5
Retest,month,2026-03,32,18,14,56.25,0.17687869358605512,5.660118194753764,1.4219714339053422,4.0537808271118365,2.0,-1.0,5,4
Retest,month,2026-04,47,19,28,40.42553191489362,0.10377261612356083,4.877312957807359,1.199035792386073,6.928006456821253,2.0,-1.0,3,7
Retest,month,2026-05,35,11,24,31.428571428571427,-0.295489307779514,-10.342125772282989,0.5655386149382371,13.399467918056903,2.0,-1.0,2,9
Retest,month,2026-06,33,14,19,42.42424242424242,-0.0872459513159708,-2.879116393427036,0.8183408694691585,7.514944441347677,2.0,-1.0,4,7
Retest,quarter,2024Q1,111,47,64,42.34234234234234,0.04410572360170275,4.895735319789005,1.0810994776297107,13.99536866105272,2.0,-1.0,4,7
