date,rth_open_i,research_end_i,on_start_i,on_end_i,on_high,on_low,on_mid,prior_rth_high,prior_rth_low,prior_rth_close,prior_rth_mid,rth_open,atr_open,overnight_bars,prior_rth_bars,gap_atr,on_range_atr,open_vs_prior_high,open_vs_prior_low,open_vs_prior_close,open_inside_prior_range,open_class
2017-10-17,15530,15620,14641,15529,6125.0,6111.5,6118.25,6118.25,6098.0,6116.5,6108.125,6114.5,1.125,889,390,-1.7777777777777777,12.0,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-18,16820,16910,15965,16819,6132.75,6121.5,6127.125,6125.5,6105.0,6124.25,6115.25,6130.5,1.2142857142857142,855,390,5.147058823529412,9.264705882352942,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-10-19,18161,18251,17255,18160,6121.75,6055.0,6088.375,6131.0,6108.0,6116.75,6119.5,6082.25,1.5714285714285714,906,390,-21.954545454545453,42.47727272727273,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2017-10-20,19522,19612,18596,19521,6129.5,6090.5,6110.0,6094.0,6051.25,6093.75,6072.625,6118.75,1.9821428571428572,926,390,12.612612612612612,19.675675675675674,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-10-23,20879,20969,19957,20878,6128.0,6105.0,6116.5,6124.0,6102.5,6108.5,6113.25,6122.0,1.0,922,390,13.5,23.0,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-24,22234,22324,21314,22233,6083.0,6063.5,6073.25,6122.25,6060.5,6069.25,6091.375,6079.25,1.1071428571428572,920,390,9.032258064516128,17.612903225806452,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-25,23579,23669,22669,23578,6079.0,6060.75,6069.875,6092.5,6057.0,6080.75,6074.75,6068.25,1.3035714285714286,910,390,-9.58904109589041,14.0,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-26,24929,25019,24014,24928,6076.0,6051.75,6063.875,6087.5,6011.0,6055.5,6049.25,6053.0,1.9464285714285714,915,390,-1.2844036697247707,12.458715596330276,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-27,26294,26384,25364,26293,6139.5,6078.75,6109.125,6067.25,6035.0,6038.25,6051.125,6134.25,1.5892857142857142,930,390,60.40449438202248,38.2247191011236,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-10-30,27646,27736,26729,27645,6223.25,6204.0,6213.625,6225.75,6128.0,6212.75,6176.875,6206.75,1.5,917,390,-4.0,12.833333333333334,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-31,28989,29079,28081,28988,6249.5,6219.25,6234.375,6251.5,6202.25,6226.75,6226.875,6245.5,1.2321428571428572,908,390,15.217391304347826,24.550724637681157,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-01,30347,30437,29424,30346,6284.5,6246.75,6265.625,6258.75,6228.5,6249.25,6243.625,6274.25,1.3035714285714286,923,390,19.17808219178082,28.95890410958904,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-11-02,31711,31801,30782,31710,6247.5,6200.75,6224.125,6277.25,6223.5,6247.25,6250.375,6240.0,1.625,929,390,-4.461538461538462,28.76923076923077,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-03,33045,33135,32146,33044,6275.0,6244.5,6259.75,6242.5,6192.5,6234.75,6217.5,6258.5,2.0892857142857144,899,390,11.367521367521366,14.598290598290598,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-11-06,34408,34498,33480,34407,6298.75,6268.0,6283.375,6295.75,6236.0,6293.75,6265.875,6289.5,1.2321428571428572,928,390,-3.4492753623188404,24.956521739130434,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-07,35764,35854,34843,35763,6331.5,6305.25,6318.375,6317.5,6287.0,6313.75,6302.25,6309.25,1.4642857142857142,921,390,-3.073170731707317,17.926829268292686,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-08,37115,37205,36199,37114,6326.25,6301.5,6313.875,6326.75,6296.25,6317.75,6311.5,6315.75,1.3035714285714286,916,390,-1.5342465753424657,18.986301369863014,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-09,38473,38563,37549,38472,6351.5,6286.25,6318.875,6345.5,6307.75,6344.25,6326.625,6292.0,1.6785714285714286,924,390,-31.127659574468083,38.87234042553192,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2017-11-10,39834,39924,38908,39833,6321.0,6281.0,6301.0,6313.25,6244.75,6309.5,6279.0,6296.0,1.5535714285714286,926,390,-8.689655172413794,25.74712643678161,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-13,41190,41280,40269,41189,6323.5,6281.0,6302.25,6314.25,6283.75,6309.0,6299.0,6286.5,1.6785714285714286,921,390,-13.404255319148936,25.319148936170212,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-14,42533,42623,41625,42532,6318.25,6292.0,6305.125,6325.0,6285.0,6316.5,6305.0,6293.75,1.6964285714285714,908,390,-13.410526315789474,15.473684210526317,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-15,43898,43988,42968,43897,6294.75,6256.25,6275.5,6301.5,6262.75,6294.25,6282.125,6267.75,1.5535714285714286,930,390,-17.057471264367816,24.7816091954023,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-16,45262,45352,44333,45261,6298.5,6260.75,6279.625,6281.5,6230.75,6263.5,6256.125,6295.5,1.4642857142857142,929,390,21.853658536585368,25.78048780487805,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-11-17,46623,46713,45697,46622,6351.75,6335.75,6343.75,6358.5,6295.0,6344.25,6326.75,6345.25,1.9107142857142858,926,390,0.5233644859813084,8.373831775700934,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-20,47986,48076,47058,47985,6326.0,6291.25,6308.625,6349.25,6313.0,6318.75,6331.125,6324.0,1.5357142857142858,928,390,3.4186046511627906,22.627906976744185,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-21,49335,49425,48420,49334,6348.5,6311.25,6329.875,6329.25,6305.0,6313.75,6317.125,6342.0,1.3571428571428572,915,390,20.81578947368421,27.44736842105263,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-11-22,50698,50788,49770,50697,6393.0,6375.75,6384.375,6385.25,6340.5,6381.75,6362.875,6387.25,1.1071428571428572,928,390,4.967741935483871,15.580645161290322,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-11-23,51999,52089,51133,51998,6398.0,6375.75,6386.875,6395.25,6375.25,6389.25,6385.25,6390.0,0.6428571428571429,866,390,1.1666666666666665,34.61111111111111,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-24,53118,53208,52209,53117,6402.0,6379.75,6390.875,6391.0,6380.25,6385.25,6385.625,6396.0,1.4107142857142858,909,210,7.620253164556962,15.772151898734176,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-11-27,54267,54357,53343,54266,6424.0,6400.75,6412.375,6416.0,6392.5,6414.5,6404.25,6409.5,1.0357142857142858,924,225,-4.827586206896552,22.448275862068964,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-28,55628,55718,54702,55627,6425.75,6398.25,6412.0,6424.5,6394.75,6409.0,6409.625,6423.25,1.125,926,390,12.666666666666666,24.444444444444443,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-29,56974,57064,56063,56973,6428.5,6411.0,6419.75,6429.5,6388.75,6425.75,6409.125,6418.0,1.0714285714285714,911,390,-7.233333333333333,16.333333333333332,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-11-30,58336,58426,57409,58335,6345.75,6289.0,6317.375,6418.75,6283.0,6314.5,6350.875,6337.5,2.3035714285714284,927,390,9.984496124031008,24.635658914728683,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-01,59700,59790,58771,59699,6367.75,6310.0,6338.875,6377.5,6324.25,6366.25,6350.875,6325.25,3.9464285714285716,929,390,-10.389140271493211,14.633484162895927,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-04,61063,61153,60135,61062,6391.75,6363.25,6377.5,6369.0,6246.0,6339.75,6307.5,6378.25,1.4464285714285714,928,390,26.617283950617285,19.703703703703702,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-12-05,62427,62517,61498,62426,6279.25,6231.75,6255.5,6385.0,6257.75,6265.25,6321.375,6262.0,4.375,929,390,-0.7428571428571429,10.857142857142858,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-06,63792,63882,62862,63791,6279.0,6232.5,6255.75,6339.75,6238.75,6267.25,6289.25,6246.25,3.017857142857143,930,390,-6.958579881656805,15.408284023668639,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-07,65153,65243,64227,65152,6327.5,6293.75,6310.625,6307.0,6237.75,6295.75,6272.375,6295.0,2.9464285714285716,926,390,-0.2545454545454545,11.454545454545453,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-08,66486,66576,65588,66485,6367.5,6320.5,6344.0,6335.5,6288.75,6318.25,6312.125,6363.25,1.1785714285714286,898,390,38.18181818181818,39.878787878787875,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-12-11,67826,67916,66917,67825,6378.0,6343.0,6360.5,6379.0,6335.25,6344.75,6357.125,6366.0,1.3928571428571428,909,390,15.256410256410257,25.128205128205128,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-12,69182,69272,68261,69181,6426.25,6407.75,6417.0,6415.5,6365.5,6412.75,6390.5,6408.5,1.1428571428571428,921,390,-3.71875,16.1875,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-13,70537,70627,69617,70536,6433.5,6383.0,6408.25,6423.25,6390.0,6404.75,6406.625,6429.5,1.6964285714285714,920,390,14.589473684210526,29.76842105263158,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-12-14,71891,71981,70972,71890,6431.5,6415.25,6423.375,6437.75,6406.75,6416.0,6422.25,6427.5,1.0357142857142858,919,390,11.103448275862068,15.689655172413792,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-15,73251,73341,72326,73250,6436.75,6400.75,6418.75,6443.75,6404.0,6409.75,6423.875,6433.5,3.017857142857143,925,390,7.8698224852071,11.928994082840237,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-18,74614,74704,73686,74613,6539.5,6497.5,6518.5,6490.75,6423.5,6481.75,6457.125,6523.5,1.6607142857142858,928,390,25.139784946236556,25.29032258064516,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-12-19,75947,76037,75049,75946,6545.75,6520.25,6533.0,6542.0,6513.0,6535.0,6527.5,6523.75,1.6071428571428572,898,390,-7.0,15.866666666666665,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-20,77298,77388,76382,77297,6529.0,6502.0,6515.5,6531.5,6479.75,6497.75,6505.625,6519.5,1.7678571428571428,916,390,12.303030303030303,15.272727272727273,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-21,78650,78740,77733,78649,6501.0,6476.0,6488.5,6521.75,6463.25,6490.5,6492.5,6498.0,1.3214285714285714,917,390,5.675675675675675,18.91891891891892,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-22,79980,80070,79085,79979,6501.75,6480.0,6490.875,6520.75,6482.0,6493.5,6501.375,6482.25,1.7321428571428572,895,390,-6.494845360824742,12.556701030927835,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-26,81238,81328,80415,81237,6492.0,6445.75,6468.875,6492.0,6467.5,6490.0,6479.75,6457.75,1.4285714285714286,823,390,-22.575,32.375,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2017-12-27,82588,82678,81672,82587,6472.0,6453.5,6462.75,6465.75,6432.25,6460.0,6449.0,6459.25,1.8035714285714286,916,390,-0.4158415841584158,10.257425742574258,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-28,83925,84015,83022,83924,6477.5,6451.25,6464.375,6475.5,6442.0,6448.75,6458.75,6467.0,0.9285714285714286,903,390,19.653846153846153,28.269230769230766,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-12-29,85238,85328,84360,85237,6467.75,6443.0,6455.375,6467.5,6442.25,6449.5,6454.875,6458.0,1.9642857142857142,878,390,4.327272727272727,12.600000000000001,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-02,86593,86683,85673,86592,6443.5,6397.75,6420.625,6458.0,6406.25,6409.0,6432.125,6440.5,2.232142857142857,920,390,14.112,20.496,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-03,87923,88013,87028,87922,6531.5,6511.25,6521.375,6523.25,6426.25,6520.75,6474.75,6526.5,1.5892857142857142,895,390,3.617977528089888,12.741573033707866,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-04,89284,89374,88358,89283,6617.5,6580.0,6598.75,6591.25,6526.0,6583.75,6558.625,6607.75,1.8571428571428572,926,390,12.923076923076923,20.19230769230769,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-05,90640,90730,89719,90639,6639.25,6599.75,6619.5,6615.75,6586.5,6596.0,6601.125,6626.0,2.0,921,390,15.0,19.75,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-08,91992,92082,91075,91991,6681.25,6653.25,6667.25,6667.0,6614.25,6660.75,6640.625,6661.25,1.5535714285714286,917,390,0.3218390804597701,18.022988505747126,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-09,93340,93430,92427,93339,6705.75,6679.0,6692.375,6690.75,6658.75,6686.0,6674.75,6700.25,1.3928571428571428,913,390,10.230769230769232,19.205128205128204,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-10,94698,94788,93775,94697,6686.75,6640.5,6663.625,6707.25,6667.25,6689.25,6687.25,6657.0,2.3214285714285716,923,390,-13.892307692307691,19.92307692307692,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2018-01-11,96056,96146,95133,96055,6697.75,6664.25,6681.0,6674.25,6628.25,6672.75,6651.25,6683.75,1.5892857142857142,923,390,6.921348314606742,21.07865168539326,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-12,97413,97503,96491,97412,6744.5,6704.0,6724.25,6717.25,6672.25,6717.0,6694.75,6709.5,2.9285714285714284,922,390,-2.5609756097560976,13.829268292682928,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-15,98770,98860,97848,98769,6798.5,6773.0,6785.75,6774.0,6703.25,6765.5,6738.625,6780.5,1.5178571428571428,922,390,9.882352941176471,16.8,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-16,99905,99995,98980,99904,6819.25,6776.0,6797.625,6784.0,6773.25,6780.25,6778.625,6809.5,2.267857142857143,925,210,12.89763779527559,19.070866141732285,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-17,101270,101360,100340,101269,6795.5,6744.75,6770.125,6845.75,6729.25,6748.25,6787.5,6782.0,2.642857142857143,930,390,12.77027027027027,19.2027027027027,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-18,102635,102725,101705,102634,6836.5,6798.25,6817.375,6834.25,6751.5,6823.25,6792.875,6812.75,2.482142857142857,930,390,-4.230215827338129,15.410071942446043,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-19,103999,104089,103070,103998,6852.75,6801.5,6827.125,6838.0,6796.0,6823.0,6817.0,6844.5,3.5714285714285716,929,390,6.02,14.35,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-22,105358,105448,104434,105357,6850.0,6824.25,6837.125,6857.0,6810.75,6845.25,6833.875,6840.75,1.7321428571428572,924,390,-2.597938144329897,14.865979381443298,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-23,106723,106813,105793,106722,6958.0,6919.75,6938.875,6918.5,6834.25,6917.75,6876.375,6939.25,1.5357142857142858,930,390,14.0,24.906976744186046,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-24,108082,108172,107158,108081,6995.5,6955.0,6975.25,6981.25,6935.75,6973.75,6958.5,6987.5,2.25,924,390,6.111111111111111,18.0,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-01-25,109443,109533,108517,109442,6987.25,6921.5,6954.375,7004.25,6888.25,6929.75,6946.25,6974.0,2.767857142857143,926,390,15.98709677419355,23.75483870967742,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-26,110805,110895,109878,110804,6972.0,6934.25,6953.125,6977.75,6902.0,6924.0,6939.875,6962.5,2.125,927,390,18.11764705882353,17.764705882352942,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-29,112169,112259,111240,112168,7047.25,7000.75,7024.0,7027.75,6949.25,7027.25,6988.5,7014.25,2.4107142857142856,929,390,-5.392592592592593,19.28888888888889,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2018-01-30,113534,113624,112604,113533,7006.5,6925.75,6966.125,7027.5,6980.0,6993.0,7003.75,6934.0,4.678571428571429,930,390,-12.610687022900763,17.259541984732824,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2018-01-31,114898,114988,113969,114897,6981.0,6936.75,6958.875,6969.25,6902.75,6941.25,6936.0,6977.5,2.75,929,390,13.181818181818182,16.09090909090909,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-02-01,116261,116351,115333,116260,6987.75,6898.0,6942.875,6991.0,6922.5,6963.0,6956.75,6913.75,4.214285714285714,928,390,-11.686440677966102,21.296610169491526,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2018-02-02,117626,117716,116696,117625,6963.5,6844.5,6904.0,6979.5,6884.75,6907.5,6932.125,6881.25,4.5,930,390,-5.833333333333333,26.444444444444443,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2018-02-05,118991,119081,118061,118990,6763.25,6687.0,6725.125,6895.75,6761.5,6765.0,6828.625,6707.5,5.821428571428571,930,390,-9.877300613496933,13.098159509202455,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2018-02-06,120356,120446,119426,120355,6539.0,6260.25,6399.625,6813.5,6492.25,6499.5,6652.875,6409.0,11.928571428571429,930,390,-7.586826347305389,23.36826347305389,BELOW_OR_EQUAL,BELOW,BELOW,False,OPEN_BELOW_PRIOR_LOW
2018-02-07,121721,121811,120791,121720,6672.5,6565.0,6618.75,6676.25,6373.75,6666.25,6525.0,6645.5,6.107142857142857,930,390,-3.3976608187134505,17.60233918128655,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2018-02-08,123086,123176,122156,123085,6618.5,6490.25,6554.375,6717.75,6579.5,6579.5,6648.625,6598.25,4.232142857142857,930,390,4.4303797468354436,30.303797468354432,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2018-02-09,124451,124541,123521,124450,6395.75,6288.5,6342.125,6604.25,6301.0,6302.25,6452.625,6391.25,7.571428571428571,930,390,11.754716981132075,14.165094339622643,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2018-02-12,125814,125904,124886,125813,6498.75,6414.25,6456.5,6455.5,6164.0,6409.5,6309.75,6475.0,5.285714285714286,928,390,12.391891891891893,15.986486486486488,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2018-02-13,127179,127269,126249,127178,6551.5,6470.75,6511.125,6567.5,6425.0,6525.25,6496.25,6486.75,4.267857142857143,930,390,-9.02092050209205,18.920502092050206,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2018-02-14,128543,128633,127614,128542,6602.5,6456.25,6529.375,6571.0,6476.0,6555.5,6523.5,6520.0,7.0,929,390,-5.071428571428571,20.892857142857142,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2018-02-15,129908,129998,128978,129907,6740.0,6674.5,6707.25,6690.0,6516.25,6680.75,6603.125,6738.25,3.4285714285714284,930,390,16.770833333333336,19.104166666666668,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
