date,model,family,direction,level_type,level_price,touch_i,confirm_i,entry_i,entry_price,atr,confirmation_type,distance_beyond_atr,volume_ratio,body_fraction,time_bucket,reason_code,opportunity_state,move_from_open_atr,move_last_5m_atr,move_last_10m_atr,breakout_range_atr,gap_atr,on_range_atr,open_class,gross_r,net_r,cost_r,exit_reason,exit_i,hold_minutes,mfe_r,mae_r,risk,stop,target,mfe_5,mae_5,mfe_10,mae_10,mfe_15,mae_15,mfe_30,mae_30,mfe_60,mae_60,fp_0p5_before_0p5,fp_1p0_before_0p5,fp_1r_before_1r,fp_2p5r_before_1r,struct_net_r,struct_gross_r,struct_dist_atr,struct_exit,net_r_slip0,net_r_slip1,net_r_slip2,entry_ts,confirm_ts,touch_ts,year
2025-08-04,B4_10,CONTINUATION,LONG,ON_HIGH,23098.25,2757593,2757594,2757595,23113.0,8.553571428571429,2M_DIST,1.812108559498956,20.931841302136316,0.6528925619834711,0930_0935,B4_10_CONFIRMED,ACCEPTED,2.308977035490605,1.7536534446764092,1.7536534446764092,2.9812108559498953,30.89405684754522,40.01033591731266,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0847599164926829,0.08475991649268282,M0_STOP,2757596,1,1.6659707724425887,1.0521920668058455,8.553571428571429,23104.446428571428,23134.383928571428,5.582463465553236,1.2860125260960333,6.956158663883089,1.2860125260960333,12.421711899791232,1.2860125260960333,17.594989561586637,1.2860125260960333,17.594989561586637,1.2860125260960333,False,False,False,False,2.4701030927835053,2.5,2.835073068893528,M0_TARGET,-1.0847599164926829,-1.1139874739039564,-1.1432150313152298,2025-08-04 09:32:00-04:00,2025-08-04 09:31:00-04:00,2025-08-04 09:30:00-04:00,2025
2025-08-04,B5_125,CONTINUATION,LONG,ON_HIGH,23098.25,2757593,2757594,2757595,23113.0,8.553571428571429,2M_VOL,1.812108559498956,20.931841302136316,0.6528925619834711,0930_0935,B5_125_CONFIRMED,ACCEPTED,2.308977035490605,1.7536534446764092,1.7536534446764092,2.9812108559498953,30.89405684754522,40.01033591731266,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0847599164926829,0.08475991649268282,M0_STOP,2757596,1,1.6659707724425887,1.0521920668058455,8.553571428571429,23104.446428571428,23134.383928571428,5.582463465553236,1.2860125260960333,6.956158663883089,1.2860125260960333,12.421711899791232,1.2860125260960333,17.594989561586637,1.2860125260960333,17.594989561586637,1.2860125260960333,False,False,False,False,2.4701030927835053,2.5,2.835073068893528,M0_TARGET,-1.0847599164926829,-1.1139874739039564,-1.1432150313152298,2025-08-04 09:32:00-04:00,2025-08-04 09:31:00-04:00,2025-08-04 09:30:00-04:00,2025
2025-08-04,B6,CONTINUATION,LONG,ON_HIGH,23098.25,2757593,2757594,2757595,23113.0,6.910714285714286,RETEST_HOLD,2.242894056847545,,0.5882352941176471,0930_0935,B6_RETEST_HOLD,TRADED,2.8578811369509043,2.1705426356589146,2.1705426356589146,3.689922480620155,30.89405684754522,40.01033591731266,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.1049095607235222,0.1049095607235221,M0_STOP,2757596,1,2.062015503875969,1.302325581395349,6.910714285714286,23106.089285714286,23130.276785714286,6.909560723514212,1.5917312661498708,8.609819121447028,1.5917312661498708,15.37467700258398,1.5917312661498708,21.77777777777778,1.5917312661498708,21.77777777777778,1.5917312661498708,False,False,False,False,2.4701030927835053,2.5,3.509043927648579,M0_TARGET,-1.1049095607235222,-1.1410852713178374,-1.1772609819121527,2025-08-04 09:32:00-04:00,2025-08-04 09:31:00-04:00,2025-08-04 09:30:00-04:00,2025
2025-08-05,B3_55,CONTINUATION,SHORT,ON_LOW,23312.5,2758973,2759016,2759017,23308.0,22.696428571428573,2M_BODY,0.2313139260424862,1.0490012484394506,0.9157894736842105,1000_1030,B3_55_CONFIRMED,ACCEPTED,1.8064516129032258,1.046420141620771,1.5531077891424074,0.7269866247049567,4.921501706484642,8.767918088737202,OPEN_ABOVE_PRIOR_HIGH,2.5,2.468056648308417,0.0319433516915829,M0_TARGET,2759037,20,2.191974822974036,0.7269866247049567,22.696428571428573,23330.696428571428,23251.258928571428,0.6498819826907946,0.7600314712824547,1.3107789142407553,0.7600314712824547,2.0047206923682137,0.7600314712824547,5.121951219512194,0.7600314712824547,7.446105428796223,0.7600314712824547,False,False,True,True,-1.0475409836065575,-1.0,0.6719118804091266,M0_STOP,2.468056648308417,2.4570416994492508,2.446026750590085,2025-08-05 10:14:00-04:00,2025-08-05 10:13:00-04:00,2025-08-05 09:30:00-04:00,2025
2025-08-05,B4_10,CONTINUATION,SHORT,ON_LOW,23312.5,2758973,2759016,2759017,23308.0,22.696428571428573,2M_DIST,0.2313139260424862,1.0490012484394506,0.9157894736842105,1000_1030,B4_10_CONFIRMED,ACCEPTED,1.8064516129032258,1.046420141620771,1.5531077891424074,0.7269866247049567,4.921501706484642,8.767918088737202,OPEN_ABOVE_PRIOR_HIGH,2.5,2.468056648308417,0.0319433516915829,M0_TARGET,2759037,20,2.191974822974036,0.7269866247049567,22.696428571428573,23330.696428571428,23251.258928571428,0.6498819826907946,0.7600314712824547,1.3107789142407553,0.7600314712824547,2.0047206923682137,0.7600314712824547,5.121951219512194,0.7600314712824547,7.446105428796223,0.7600314712824547,False,False,True,True,-1.0475409836065575,-1.0,0.6719118804091266,M0_STOP,2.468056648308417,2.4570416994492508,2.446026750590085,2025-08-05 10:14:00-04:00,2025-08-05 10:13:00-04:00,2025-08-05 09:30:00-04:00,2025
2025-08-05,B5_125,CONTINUATION,SHORT,ON_LOW,23312.5,2758973,2759046,2759047,23191.75,15.0,2M_VOL,8.1,1.7950928381962865,0.9,1030_1100,B5_125_CONFIRMED,ACCEPTED,10.483333333333333,2.4833333333333334,4.15,1.45,4.921501706484642,8.767918088737202,OPEN_ABOVE_PRIOR_HIGH,2.5,2.4516666666666667,0.04833333333333333,M0_TARGET,2759051,4,0.9833333333333333,0.0,15.0,23206.75,23154.25,3.4,0.06666666666666667,3.5166666666666666,0.06666666666666667,3.5166666666666666,0.06666666666666667,3.5166666666666666,1.6,5.166666666666667,1.9166666666666667,True,True,True,True,2.4654761904761906,2.5,1.4,M0_TARGET,2.4516666666666667,2.435,2.4183333333333334,2025-08-05 10:44:00-04:00,2025-08-05 10:43:00-04:00,2025-08-05 09:30:00-04:00,2025
2025-08-05,F3,REVERSAL,LONG,ON_LOW,23312.5,2758973,2758974,2758975,23316.0,11.5,RECLAIM,0.2826086956521739,,0.4444444444444444,0930_0935,F3_RECLAIM_REACTION,FAILED_BREAK_TRADED,2.8260869565217392,0.8695652173913043,0.8695652173913043,1.9565217391304348,4.921501706484642,8.767918088737202,OPEN_ABOVE_PRIOR_HIGH,2.5,2.4369565217391305,0.06304347826086956,M0_TARGET,2758980,5,2.8260869565217392,0.8695652173913043,11.5,23304.5,23344.75,1.9130434782608696,1.0,4.043478260869565,1.0,6.065217391304348,1.0,7.086956521739131,1.0,7.086956521739131,4.978260869565218,False,False,False,False,2.442,2.5,1.0869565217391304,M0_TARGET,2.4369565217391305,2.4152173913043478,2.393478260869565,2025-08-05 09:32:00-04:00,2025-08-05 09:31:00-04:00,2025-08-05 09:30:00-04:00,2025
2025-08-05,F4,REVERSAL,LONG,ON_LOW,23312.5,2758973,2758974,2758975,23316.0,11.5,FAIL_PLUS_DISPLACEMENT,0.2826086956521739,,0.4444444444444444,0930_0935,F4_OPPOSITE_DISP,FAILED_BREAK_TRADED,2.8260869565217392,0.8695652173913043,0.8695652173913043,1.9565217391304348,4.921501706484642,8.767918088737202,OPEN_ABOVE_PRIOR_HIGH,2.5,2.4369565217391305,0.06304347826086956,M0_TARGET,2758980,5,2.8260869565217392,0.8695652173913043,11.5,23304.5,23344.75,1.9130434782608696,1.0,4.043478260869565,1.0,6.065217391304348,1.0,7.086956521739131,1.0,7.086956521739131,4.978260869565218,False,False,False,False,2.442,2.5,1.0869565217391304,M0_TARGET,2.4369565217391305,2.4152173913043478,2.393478260869565,2025-08-05 09:32:00-04:00,2025-08-05 09:31:00-04:00,2025-08-05 09:30:00-04:00,2025
2025-08-06,B3_55,CONTINUATION,LONG,ON_HIGH,23227.0,2760358,2760386,2760387,23250.25,27.428571428571427,2M_BODY,0.84765625,1.0763423840253257,0.7536231884057971,1000_1030,B3_55_CONFIRMED,ACCEPTED,2.953125,0.8203125,0.90234375,0.41015625,4.612903225806452,23.419354838709676,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0264322916666657,0.026432291666665664,M0_STOP,2760397,10,1.2669270833333335,1.1484375,27.428571428571427,23222.821428571428,23318.821428571428,1.2669270833333335,0.009114583333333334,1.2669270833333335,0.65625,1.2669270833333335,1.640625,1.2669270833333335,3.135416666666667,1.6041666666666667,3.135416666666667,True,True,True,False,2.4194444444444443,2.5,0.328125,M0_TARGET,-1.0264322916666657,-1.035546874999999,-1.0446614583333325,2025-08-06 10:04:00-04:00,2025-08-06 10:03:00-04:00,2025-08-06 09:35:00-04:00,2025
2025-08-06,B4_10,CONTINUATION,LONG,ON_HIGH,23227.0,2760358,2760386,2760387,23250.25,27.428571428571427,2M_DIST,0.84765625,1.0763423840253257,0.7536231884057971,1000_1030,B4_10_CONFIRMED,ACCEPTED,2.953125,0.8203125,0.90234375,0.41015625,4.612903225806452,23.419354838709676,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0264322916666657,0.026432291666665664,M0_STOP,2760397,10,1.2669270833333335,1.1484375,27.428571428571427,23222.821428571428,23318.821428571428,1.2669270833333335,0.009114583333333334,1.2669270833333335,0.65625,1.2669270833333335,1.640625,1.2669270833333335,3.135416666666667,1.6041666666666667,3.135416666666667,True,True,True,False,2.4194444444444443,2.5,0.328125,M0_TARGET,-1.0264322916666657,-1.035546874999999,-1.0446614583333325,2025-08-06 10:04:00-04:00,2025-08-06 10:03:00-04:00,2025-08-06 09:35:00-04:00,2025
2025-08-06,F3,REVERSAL,SHORT,ON_HIGH,23227.0,2760358,2760372,2760373,23218.5,23.196428571428573,RECLAIM,0.39876828329484215,,0.7303370786516854,0945_1000,F3_RECLAIM_REACTION,FAILED_BREAK_TRADED,2.0908391070053884,0.6466512702078522,2.4572748267898383,0.9591993841416474,4.612903225806452,23.419354838709676,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0312548113933808,0.031254811393380925,M0_STOP,2760377,4,0.7220939183987682,1.0993071593533486,23.196428571428573,23241.696428571428,23160.508928571428,1.896843725943033,1.1316397228637414,1.896843725943033,1.153194765204003,1.896843725943033,2.241724403387221,1.896843725943033,2.8991531947652036,2.306389530408006,2.8991531947652036,True,True,True,False,-1.0345238095238096,-1.0,0.905311778290993,M0_STOP,-1.0312548113933808,-1.0420323325635117,-1.0528098537336426,2025-08-06 09:50:00-04:00,2025-08-06 09:49:00-04:00,2025-08-06 09:35:00-04:00,2025
2025-08-06,F4,REVERSAL,SHORT,ON_HIGH,23227.0,2760358,2760358,2760359,23203.0,16.607142857142858,FAIL_PLUS_DISPLACEMENT,1.4150537634408602,,0.5803571428571429,0935_0945,F4_OPPOSITE_DISP,FAILED_BREAK_TRADED,2.0623655913978496,2.1978494623655913,2.1978494623655913,1.686021505376344,4.612903225806452,23.419354838709676,OPEN_INSIDE_PRIOR_RANGE,2.5,2.456344086021501,0.043655913978498724,M0_TARGET,2760362,3,2.0774193548387094,0.0,16.607142857142858,23219.60714285714,23161.48214285714,3.311827956989247,0.5118279569892473,3.311827956989247,1.189247311827957,3.311827956989247,2.1677419354838707,3.311827956989247,4.621505376344086,3.311827956989247,4.90752688172043,False,False,True,True,-1.0287128712871287,-1.0,1.5204301075268816,M0_STOP,2.456344086021501,2.441290322580641,2.4262365591397805,2025-08-06 09:36:00-04:00,2025-08-06 09:35:00-04:00,2025-08-06 09:35:00-04:00,2025
2025-08-07,B3_55,CONTINUATION,LONG,ON_HIGH,23639.0,2761743,2761760,2761761,23652.75,18.803571428571427,2M_BODY,0.7711301044634379,1.2530672778751517,0.6464646464646465,0945_1000,B3_55_CONFIRMED,ACCEPTED,2.7920227920227925,1.808167141500475,3.65622032288699,0.8110161443494778,25.503875968992247,36.826873385012924,OPEN_ABOVE_PRIOR_HIGH,-1.0,-1.0385565052231698,0.03855650522316976,M0_STOP,2761764,3,0.9705603038936373,1.2896486229819564,18.803571428571427,23633.946428571428,23699.758928571428,0.9306742640075975,1.3295346628679963,0.9306742640075975,1.6220322886989555,0.9306742640075975,3.908831908831909,0.9306742640075975,5.823361823361823,0.9306742640075975,7.31244064577398,True,False,False,False,-1.0783783783783785,-1.0,0.49192782526115864,M0_STOP,-1.0385565052231698,-1.0518518518518498,-1.0651471984805296,2025-08-07 09:58:00-04:00,2025-08-07 09:57:00-04:00,2025-08-07 09:40:00-04:00,2025
2025-08-07,B4_10,CONTINUATION,LONG,ON_HIGH,23639.0,2761743,2761760,2761761,23652.75,18.803571428571427,2M_DIST,0.7711301044634379,1.2530672778751517,0.6464646464646465,0945_1000,B4_10_CONFIRMED,ACCEPTED,2.7920227920227925,1.808167141500475,3.65622032288699,0.8110161443494778,25.503875968992247,36.826873385012924,OPEN_ABOVE_PRIOR_HIGH,-1.0,-1.0385565052231698,0.03855650522316976,M0_STOP,2761764,3,0.9705603038936373,1.2896486229819564,18.803571428571427,23633.946428571428,23699.758928571428,0.9306742640075975,1.3295346628679963,0.9306742640075975,1.6220322886989555,0.9306742640075975,3.908831908831909,0.9306742640075975,5.823361823361823,0.9306742640075975,7.31244064577398,True,False,False,False,-1.0783783783783785,-1.0,0.49192782526115864,M0_STOP,-1.0385565052231698,-1.0518518518518498,-1.0651471984805296,2025-08-07 09:58:00-04:00,2025-08-07 09:57:00-04:00,2025-08-07 09:40:00-04:00,2025
2025-08-07,B5_125,CONTINUATION,LONG,ON_HIGH,23639.0,2761743,2761744,2761745,23639.75,18.767857142857142,2M_VOL,0.039961941008563276,11.123893805309734,0.30952380952380953,0935_0945,B5_125_CONFIRMED,ACCEPTED,2.0647002854424357,2.1579448144624167,1.6251189343482397,0.7326355851569933,25.503875968992247,36.826873385012924,OPEN_ABOVE_PRIOR_HIGH,-1.0,-1.0386298763082746,0.03862987630827462,M0_STOP,2761746,1,0.0,2.331113225499524,18.767857142857142,23620.98214285714,23686.66964285714,0.11988582302568983,3.7164605137963846,0.11988582302568983,3.7164605137963846,0.7193149381541389,3.7164605137963846,1.6650808753568032,3.7164605137963846,1.6650808753568032,5.301617507136061,False,False,False,False,-1.1318181818181818,-1.0,0.29305423406279735,M0_STOP,-1.0386298763082746,-1.051950523311129,-1.0652711703139834,2025-08-07 09:42:00-04:00,2025-08-07 09:41:00-04:00,2025-08-07 09:40:00-04:00,2025
2025-08-07,F3,REVERSAL,SHORT,ON_HIGH,23639.0,2761743,2761745,2761746,23608.25,20.821428571428573,RECLAIM,1.4648370497427101,,0.8169934640522876,0935_0945,F3_RECLAIM_REACTION,FAILED_BREAK_TRADED,0.36020583190394506,0.012006861063464836,0.36020583190394506,1.83704974271012,25.503875968992247,36.826873385012924,OPEN_ABOVE_PRIOR_HIGH,-1.0,-1.0348198970840499,0.03481989708404976,M0_STOP,2761756,10,0.8644939965694682,1.1886792452830188,20.821428571428573,23629.071428571428,23556.196428571428,1.8490566037735847,0.1680960548885077,1.8490566037735847,0.804459691252144,1.8490566037735847,2.413379073756432,1.8490566037735847,3.001715265866209,3.2778730703259003,3.001715265866209,True,True,True,False,-1.0214814814814814,-1.0,1.620926243567753,M0_STOP,-1.0348198970840499,-1.0468267581475148,-1.0588336192109795,2025-08-07 09:43:00-04:00,2025-08-07 09:42:00-04:00,2025-08-07 09:40:00-04:00,2025
2025-08-07,F4,REVERSAL,SHORT,ON_HIGH,23639.0,2761743,2761743,2761744,23634.75,18.285714285714285,FAIL_PLUS_DISPLACEMENT,0.232421875,,0.07894736842105263,0935_0945,F4_OPPOSITE_DISP,FAILED_BREAK_TRADED,1.845703125,0.875,2.447265625,1.0390625,25.503875968992247,36.826873385012924,OPEN_ABOVE_PRIOR_HIGH,2.5,2.4603515624999988,0.039648437500001125,M0_TARGET,2761748,4,1.326171875,0.396484375,18.285714285714285,23653.035714285714,23589.035714285714,3.14453125,0.724609375,3.541015625,0.724609375,3.541015625,0.724609375,3.541015625,1.982421875,5.16796875,1.982421875,False,False,True,True,2.4355555555555557,2.5,0.615234375,M0_TARGET,2.4603515624999988,2.4466796874999988,2.4330078124999988,2025-08-07 09:41:00-04:00,2025-08-07 09:40:00-04:00,2025-08-07 09:40:00-04:00,2025
2025-08-08,B3_55,CONTINUATION,LONG,ON_HIGH,23583.0,2763123,2763124,2763125,23600.5,17.089285714285715,2M_BODY,1.0094043887147335,9.280365296803653,0.6742424242424242,0935_0945,B3_55_CONFIRMED,ACCEPTED,3.423197492163009,1.682340647857889,2.179728317659352,1.7115987460815045,6.134408602150537,12.043010752688172,OPEN_INSIDE_PRIOR_RANGE,2.5,2.457575757575759,0.042424242424241136,M0_TARGET,2763130,5,2.560083594566353,0.2340647857889237,17.089285714285715,23583.410714285714,23643.223214285714,1.960292580982236,0.21943573667711597,2.5893416927899686,0.21943573667711597,2.8672936259143156,0.21943573667711597,4.57889237199582,0.21943573667711597,6.012539184952978,0.21943573667711597,True,True,True,True,2.4736363636363636,2.5,1.6091954022988504,M0_TARGET,2.457575757575759,2.442946708463951,2.4283176593521434,2025-08-08 09:42:00-04:00,2025-08-08 09:41:00-04:00,2025-08-08 09:40:00-04:00,2025
