date,model,family,direction,level_type,level_price,touch_i,confirm_i,entry_i,entry_price,atr,confirmation_type,distance_beyond_atr,volume_ratio,body_fraction,time_bucket,reason_code,opportunity_state,move_from_open_atr,move_last_5m_atr,move_last_10m_atr,breakout_range_atr,gap_atr,on_range_atr,open_class,gross_r,net_r,cost_r,exit_reason,exit_i,hold_minutes,mfe_r,mae_r,risk,stop,target,mfe_5,mae_5,mfe_10,mae_10,mfe_15,mae_15,mfe_30,mae_30,mfe_60,mae_60,fp_0p5_before_0p5,fp_1p0_before_0p5,fp_1r_before_1r,fp_2p5r_before_1r,struct_net_r,struct_gross_r,struct_dist_atr,struct_exit,net_r_slip0,net_r_slip1,net_r_slip2,entry_ts,confirm_ts,touch_ts,year,review_tag
2026-08-13,B4_10,CONTINUATION,LONG,ON_HIGH,29924.0,3121320,3121321,3121322,29979.75,19.767857142857142,2M_DIST,2.832881662149955,13.722689075630251,0.9968454258675079,0935_0945,B4_10_CONFIRMED,ACCEPTED,3.5284552845528454,4.401084010840108,4.401084010840108,2.03613369467028,6.177263969171484,15.483622350674375,OPEN_INSIDE_PRIOR_RANGE,2.5,2.4633242999096687,0.036675700090331345,M0_TARGET,3121323,1,2.908762420957543,0.0,19.767857142857142,29959.98214285714,30029.16964285714,3.4905149051490514,0.11382113821138212,4.287262872628727,0.11382113821138212,8.85275519421861,0.11382113821138212,10.610659439927733,0.11382113821138212,14.543812104787715,0.11382113821138212,True,True,True,True,2.4817610062893083,2.5,2.010840108401084,M0_TARGET,2.4633242999096687,2.4506775067750706,2.438030713640473,2026-08-13 09:36:00-04:00,2026-08-13 09:35:00-04:00,2026-08-13 09:34:00-04:00,2026,WIN_BREAKOUT
2023-01-09,B1,CONTINUATION,LONG,ON_HIGH,11205.25,1848322,1848322,1848323,11221.0,7.678571428571429,1M_CLOSE,2.0186046511627906,,0.9230769230769231,0930_0935,B1_1M_CLOSE,ACCEPTED,2.7348837209302324,0.0,0.0,2.9627906976744187,11.102325581395348,11.069767441860465,OPEN_ABOVE_PRIOR_HIGH,2.5,2.4055813953488276,0.09441860465117238,M0_TARGET,1848324,1,3.0604651162790697,0.03255813953488372,7.678571428571429,11213.32142857143,11240.19642857143,3.093023255813953,2.0186046511627906,3.093023255813953,3.386046511627907,5.144186046511628,3.386046511627907,12.925581395348837,3.386046511627907,13.576744186046511,3.386046511627907,False,False,False,False,-1.0333333333333334,-1.0,2.832558139534884,M0_STOP,2.4055813953488276,2.373023255813944,2.34046511627906,2023-01-09 09:31:00-05:00,2023-01-09 09:30:00-05:00,2023-01-09 09:30:00-05:00,2023,WIN_BREAKOUT
2019-02-05,B0,CONTINUATION,LONG,ON_HIGH,6973.75,468316,468316,468317,6974.75,2.232142857142857,RAW_TOUCH,1.1199999999999999,,0.3333333333333333,0930_0935,B0_FIRST_TOUCH,TRADED,1.008,0.0,0.0,3.024,4.256,20.384,OPEN_ABOVE_PRIOR_HIGH,2.5,2.175200000000038,0.3247999999999622,M0_TARGET,468318,1,9.856,0.0,2.232142857142857,6972.517857142857,6980.330357142857,11.872,0.784,12.32,0.784,16.912,0.784,17.695999999999998,0.784,19.712,0.784,False,False,True,True,2.361904761904762,2.5,2.352,M0_TARGET,2.175200000000038,2.063200000000038,1.951200000000038,2019-02-05 09:31:00-05:00,2019-02-05 09:30:00-05:00,2019-02-05 09:30:00-05:00,2019,WIN_BREAKOUT
2019-10-10,B6,CONTINUATION,LONG,ON_HIGH,7715.0,707176,707177,707178,7725.0,6.767857142857143,RETEST_HOLD,1.4406332453825856,,0.5172413793103449,0945_1000,B6_RETEST_HOLD,TRADED,4.174142480211081,2.5857519788918206,1.8469656992084431,2.142480211081794,-0.8913857677902621,27.632958801498127,OPEN_INSIDE_PRIOR_RANGE,2.5,2.392875989445906,0.10712401055409382,M0_TARGET,707179,1,3.509234828496042,0.0,6.767857142857143,7718.232142857143,7741.919642857143,3.546174142480211,0.36939313984168864,5.503957783641161,0.36939313984168864,5.503957783641161,0.36939313984168864,5.725593667546174,0.36939313984168864,5.725593667546174,0.36939313984168864,True,True,True,True,2.4355555555555557,2.5,1.6622691292875988,M0_TARGET,2.392875989445906,2.3559366754617375,2.3189973614775683,2019-10-10 09:50:00-04:00,2019-10-10 09:49:00-04:00,2019-10-10 09:48:00-04:00,2019,WIN_BREAKOUT
2023-06-20,B1,CONTINUATION,LONG,ON_HIGH,15257.75,2006939,2006939,2006940,15260.25,11.464285714285714,1M_CLOSE,0.2180685358255452,,0.7340425531914894,0930_0935,B1_1M_CLOSE,ACCEPTED,4.252336448598131,3.118380062305296,3.118380062305296,2.0498442367601246,-3.531818181818182,11.327272727272728,OPEN_BELOW_PRIOR_LOW,2.5,2.4367601246105948,0.06323987538940523,M0_TARGET,2006947,7,2.7040498442367604,0.28348909657320875,11.464285714285714,15248.785714285714,15288.910714285714,2.2242990654205608,0.4579439252336449,2.7040498442367604,0.4579439252336449,2.8130841121495327,0.4579439252336449,4.404984423676013,4.906542056074767,4.404984423676013,11.666666666666668,True,True,True,True,-1.033720930232558,-1.0,1.8753894080996887,M0_STOP,2.4367601246105948,2.41495327102804,2.393146417445486,2023-06-20 09:33:00-04:00,2023-06-20 09:32:00-04:00,2023-06-20 09:32:00-04:00,2023,WIN_BREAKOUT
2018-12-27,B2,CONTINUATION,SHORT,ON_LOW,6143.5,431729,431735,431736,6123.25,11.696428571428571,2M_CLOSE,1.7099236641221374,1.57076316732354,0.784,1000_1030,B2_CONFIRMED,ACCEPTED,6.326717557251908,2.5862595419847327,2.4152671755725192,2.1587786259541986,-10.32258064516129,20.838709677419356,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.061984732824428,0.06198473282442817,M0_STOP,431750,14,0.5557251908396946,1.132824427480916,11.696428571428571,6134.946428571428,6094.008928571428,0.8977099236641222,0.833587786259542,0.8977099236641222,0.833587786259542,1.4748091603053435,1.1114503816793893,1.4748091603053435,3.6549618320610686,1.4748091603053435,3.6549618320610686,False,False,True,False,-1.0302083333333334,-1.0,2.051908396946565,M0_STOP,-1.061984732824428,-1.0833587786259549,-1.1047328244274814,2018-12-27 10:20:00-05:00,2018-12-27 10:19:00-05:00,2018-12-27 10:13:00-05:00,2018,LOSE_BREAKOUT
2024-06-06,B0,CONTINUATION,SHORT,ON_LOW,19057.0,2348604,2348604,2348605,19055.75,15.625,RAW_TOUCH,0.352,,0.647887323943662,0945_1000,B0_FIRST_TOUCH,TRADED,3.04,1.136,1.104,1.136,3.7807486631016043,10.106951871657754,OPEN_ABOVE_PRIOR_HIGH,-1.0,-1.0464,0.0464,M0_STOP,2348611,6,0.752,1.024,15.625,19071.375,19016.6875,1.472,0.384,1.472,1.232,1.472,1.232,1.472,2.032,1.472,3.28,True,True,True,False,-1.0537037037037038,-1.0,0.864,M0_STOP,-1.0464,-1.0624,-1.0784,2024-06-06 09:57:00-04:00,2024-06-06 09:56:00-04:00,2024-06-06 09:56:00-04:00,2024,LOSE_BREAKOUT
2022-05-20,B2,CONTINUATION,SHORT,ON_LOW,11895.0,1623485,1623496,1623497,11879.25,17.785714285714285,2M_CLOSE,0.857429718875502,0.9384010484927916,0.754601226993865,1000_1030,B2_CONFIRMED,ACCEPTED,8.23694779116466,2.1506024096385543,1.5742971887550201,0.8293172690763053,14.35897435897436,19.31282051282051,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0407630522088365,0.04076305220883653,M0_STOP,1623498,1,0.0,1.4337349397590362,17.785714285714285,11897.035714285714,11834.785714285714,0.22489959839357432,2.347389558232932,0.22489959839357432,4.160642570281125,0.22489959839357432,4.160642570281125,1.8975903614457832,4.160642570281125,8.855421686746988,4.160642570281125,False,False,False,False,-1.058,-1.0,0.7028112449799198,M0_STOP,-1.0407630522088365,-1.0548192771084348,-1.0688755020080332,2022-05-20 10:22:00-04:00,2022-05-20 10:21:00-04:00,2022-05-20 10:10:00-04:00,2022,LOSE_BREAKOUT
2020-07-23,B4_10,CONTINUATION,SHORT,ON_LOW,10806.0,979214,979251,979252,10802.5,13.339285714285714,2M_DIST,0.26238286479250333,1.549538069448869,0.8617886178861789,1000_1030,B4_10_CONFIRMED,ACCEPTED,2.998661311914324,2.1927710843373496,2.755020080321285,1.386880856760375,-3.066666666666667,23.555555555555557,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.054350736278445,0.05435073627844501,M0_STOP,979270,18,1.536813922356091,1.2369477911646587,13.339285714285714,10815.839285714286,10769.151785714286,1.6492637215528783,0.5060240963855422,2.417670682730924,0.5060240963855422,2.417670682730924,0.5060240963855422,2.417670682730924,2.6613119143239627,2.417670682730924,3.2610441767068274,False,False,True,False,-1.0446153846153847,-1.0,1.2182061579651942,M0_STOP,-1.054350736278445,-1.0730923694779095,-1.091834002677374,2020-07-23 10:12:00-04:00,2020-07-23 10:11:00-04:00,2020-07-23 09:34:00-04:00,2020,LOSE_BREAKOUT
2020-10-22,B7,CONTINUATION,LONG,ON_HIGH,11701.5,1067700,1067706,1067707,11705.0,6.982142857142857,WAIT_RESET,0.4296675191815857,,0.3,0935_0945,B7_RESET_REACTION,TRADED,2.61381074168798,1.647058823529412,0.6445012787723785,1.0741687979539642,4.833759590792839,15.82608695652174,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.103836317135546,0.103836317135546,M0_STOP,1067709,2,1.5396419437340154,3.7595907928388748,6.982142857142857,11698.017857142857,11722.455357142857,1.6112531969309465,4.58312020460358,1.6112531969309465,4.58312020460358,1.6112531969309465,5.22762148337596,1.6112531969309465,8.772378516624041,1.6112531969309465,23.27365728900256,False,False,True,False,-1.1526315789473685,-1.0,0.680306905370844,M0_STOP,-1.103836317135546,-1.1396419437340115,-1.175447570332477,2020-10-22 09:37:00-04:00,2020-10-22 09:36:00-04:00,2020-10-22 09:30:00-04:00,2020,LOSE_BREAKOUT
2023-03-24,B4_10,CONTINUATION,SHORT,ON_LOW,12753.5,1922363,1922368,1922369,12748.5,23.660714285714285,2M_DIST,0.23245283018867927,9.4,0.5393258426966292,0945_1000,B4_10_CONFIRMED,ACCEPTED,3.328301886792453,0.21132075471698114,1.2045283018867925,1.0249056603773585,-1.8164556962025316,14.775316455696201,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.030641509433963,0.030641509433962936,M0_STOP,1922371,2,0.0,1.3841509433962265,23.660714285714285,12772.160714285714,12689.348214285714,0.4015094339622642,2.0815094339622644,0.4015094339622642,3.4973584905660378,0.4015094339622642,3.888301886792453,0.4015094339622642,3.9939622641509436,0.4015094339622642,3.9939622641509436,False,False,False,False,-1.0604166666666666,-1.0,0.5071698113207548,M0_STOP,-1.030641509433963,-1.041207547169812,-1.051773584905661,2023-03-24 09:48:00-04:00,2023-03-24 09:47:00-04:00,2023-03-24 09:42:00-04:00,2023,LOSE_BREAKOUT
2023-09-08,B1,CONTINUATION,LONG,ON_HIGH,15343.75,2086263,2086265,2086266,15345.75,12.285714285714286,1M_CLOSE,0.12209302325581395,,0.7543859649122807,0935_0945,B1_1M_CLOSE,ACCEPTED,5.880813953488372,2.828488372093023,4.273255813953488,1.1598837209302324,-0.5753424657534246,18.526027397260272,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0590116279069792,0.05901162790697924,M0_STOP,2086284,18,2.1162790697674416,1.0988372093023255,12.285714285714286,15333.464285714286,15376.464285714286,0.9970930232558138,0.5697674418604651,1.2412790697674418,0.5697674418604651,1.9127906976744184,0.7325581395348837,3.0319767441860463,2.5436046511627906,3.703488372093023,2.5436046511627906,True,False,True,False,-1.0617021276595744,-1.0,0.9563953488372092,M0_STOP,-1.0590116279069792,-1.0793604651162816,-1.099709302325584,2023-09-08 09:37:00-04:00,2023-09-08 09:36:00-04:00,2023-09-08 09:34:00-04:00,2023,LOSE_BREAKOUT
2024-10-18,B5_125,CONTINUATION,LONG,ON_HIGH,20508.5,2480069,2480093,2480094,20514.0,15.446428571428571,2M_VOL,0.3398843930635838,1.253685293109359,0.27522935779816515,1000_1030,B5_125_CONFIRMED,ACCEPTED,3.1075144508670522,1.699421965317919,2.492485549132948,1.2138728323699421,7.095890410958904,13.093399750933997,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0469364161849743,0.04693641618497426,M0_STOP,2480097,3,0.3560693641618497,1.731791907514451,15.446428571428571,20498.553571428572,20552.616071428572,0.6150289017341041,1.861271676300578,0.6150289017341041,2.945664739884393,0.6150289017341041,2.945664739884393,0.6150289017341041,2.945664739884393,0.6150289017341041,3.997687861271676,True,False,False,False,-1.0381578947368422,-1.0,1.2300578034682081,M0_STOP,-1.0469364161849743,-1.0631213872832403,-1.0793063583815061,2024-10-18 10:10:00-04:00,2024-10-18 10:09:00-04:00,2024-10-18 09:45:00-04:00,2024,LOSE_BREAKOUT
2019-12-18,B6,CONTINUATION,LONG,ON_HIGH,8619.5,773579,773580,773581,8624.0,1.4821428571428572,RETEST_HOLD,3.036144578313253,,0.6818181818181818,0930_0935,B6_RETEST_HOLD,TRADED,3.8795180722891565,2.36144578313253,2.36144578313253,3.710843373493976,8.602409638554217,16.36144578313253,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.4891566265059384,0.48915662650593833,M0_STOP,773582,1,1.855421686746988,1.0120481927710843,1.4821428571428572,8622.517857142857,8627.705357142857,1.855421686746988,2.0240963855421685,1.855421686746988,3.542168674698795,3.373493975903614,3.542168674698795,3.373493975903614,10.457831325301205,3.373493975903614,11.132530120481928,False,False,False,False,-1.1526315789473685,-1.0,3.2048192771084336,M0_STOP,-1.4891566265059384,-1.6578313253011192,-1.8265060240962998,2019-12-18 09:32:00-05:00,2019-12-18 09:31:00-05:00,2019-12-18 09:30:00-05:00,2019,LOSE_BREAKOUT
2022-01-21,B0,CONTINUATION,LONG,ON_HIGH,14816.5,1507774,1507774,1507775,14806.75,22.839285714285715,RAW_TOUCH,0.0875684128225176,,0.125,0930_0935,B0_FIRST_TOUCH,TRADED,2.692728694292416,3.0977326035965596,3.0977326035965596,1.0508209538702111,-5.14431934493347,12.280450358239507,OPEN_BELOW_PRIOR_LOW,-1.0,-1.031743549648162,0.0317435496481619,M0_STOP,1507776,1,0.0,1.1602814698983581,22.839285714285715,14783.910714285714,14863.848214285714,0.470680218921032,2.7365129007036746,0.470680218921032,6.075058639562157,0.470680218921032,6.075058639562157,0.470680218921032,8.778733385457388,0.470680218921032,12.029710711493353,False,False,False,False,-1.0591836734693878,-1.0,0.5363565285379203,M0_STOP,-1.031743549648162,-1.0426896012509768,-1.0536356528537913,2022-01-21 09:35:00-05:00,2022-01-21 09:34:00-05:00,2022-01-21 09:34:00-05:00,2022,LOSE_BREAKOUT
2020-02-18,B1,CONTINUATION,LONG,ON_HIGH,9623.0,830242,830249,830250,9626.0,5.285714285714286,1M_CLOSE,0.5202702702702703,,0.9705882352941176,1000_1030,B1_1M_CLOSE,ACCEPTED,7.9459459459459465,1.2297297297297298,1.8445945945945947,1.6081081081081081,-25.184782608695652,27.01086956521739,OPEN_BELOW_PRIOR_LOW,-1.0,-1.1371621621621757,0.13716216216217564,M0_STOP,830258,8,0.1891891891891892,1.6554054054054055,5.285714285714286,9620.714285714286,9639.214285714286,0.4256756756756757,0.8513513513513514,0.4256756756756757,1.6081081081081081,0.4256756756756757,1.6081081081081081,0.4256756756756757,6.054054054054054,0.4256756756756757,6.054054054054054,False,False,False,False,-1.0852941176470587,-1.0,1.6081081081081081,M0_STOP,-1.1371621621621757,-1.184459459459473,-1.2317567567567702,2020-02-18 10:08:00-05:00,2020-02-18 10:07:00-05:00,2020-02-18 10:00:00-05:00,2020,LOSE_BREAKOUT
2021-02-11,B2,CONTINUATION,LONG,ON_HIGH,13724.75,1173292,1173293,1173294,13731.75,4.464285714285714,2M_CLOSE,1.512,24.597510373443985,0.8636363636363636,0930_0935,B2_CONFIRMED,ACCEPTED,3.1919999999999997,0.5599999999999999,0.5599999999999999,1.792,16.37391304347826,27.330434782608698,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.162399999999981,0.1623999999999811,M0_STOP,1173295,1,0.784,2.6879999999999997,4.464285714285714,13727.285714285714,13742.910714285714,0.84,6.048,1.6239999999999999,6.4959999999999996,1.6239999999999999,6.4959999999999996,1.6239999999999999,11.088,1.6239999999999999,11.088,False,False,False,False,-1.1074074074074074,-1.0,1.512,M0_STOP,-1.162399999999981,-1.218399999999981,-1.274399999999981,2021-02-11 09:32:00-05:00,2021-02-11 09:31:00-05:00,2021-02-11 09:30:00-05:00,2021,LOSE_BREAKOUT
2024-10-09,B0,CONTINUATION,LONG,ON_HIGH,20300.75,2470432,2470432,2470433,20298.0,13.607142857142858,RAW_TOUCH,0.3307086614173228,,0.3442622950819672,1000_1030,B0_FIRST_TOUCH,TRADED,1.1207349081364828,1.984251968503937,3.3989501312335957,1.1207349081364828,-3.210191082802548,18.681528662420384,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.0532808398950193,0.05328083989501923,M0_STOP,2470434,1,0.0,1.8556430446194225,13.607142857142858,20284.39285714286,20332.01785714286,0.5695538057742782,1.800524934383202,1.2309711286089238,1.800524934383202,2.958005249343832,1.800524934383202,4.354330708661418,1.800524934383202,6.57742782152231,1.800524934383202,False,False,False,False,-1.090625,-1.0,0.5879265091863517,M0_STOP,-1.0532808398950193,-1.0716535433070928,-1.0900262467191664,2024-10-09 10:08:00-04:00,2024-10-09 10:07:00-04:00,2024-10-09 10:07:00-04:00,2024,LOSE_BREAKOUT
