bar_i,ts_utc,ts_chicago,ts_ny,unix_ms,open,high,low,close,atr,ctxDir,reactL,reactS,p58InTrade,p58State,p58StateName,p58Dir,rawTake,decision,opportunity_id,internal_dir,internal_entry,internal_stop,internal_target,internal_exit_reason,armedBar,armedBars,armedPrice,total_score,location_score,reaction_score,canonical_signal,canonical_entry,canon_trade_id
3134036,2026-08-26 18:30:00+00:00,2026-08-26 13:30:00-05:00,2026-08-26 14:30:00-04:00,1787769000000,29279.75,29283.5,29275.75,29279.0,7.285714285714286,BULLISH,1,1,True,-2,IN_SHORT,SHORT,False,HOLD,,SHORT,29280.75,29286.147321428572,29267.256696428572,,3134030,2,29277.5,0,0,0,False,False,
3134037,2026-08-26 18:31:00+00:00,2026-08-26 13:31:00-05:00,2026-08-26 14:31:00-04:00,1787769060000,29279.0,29283.0,29278.0,29282.75,6.982142857142857,BULLISH,3,0,True,-2,IN_SHORT,SHORT,False,HOLD,,SHORT,29280.75,29286.147321428572,29267.256696428572,,3134030,2,29277.5,0,0,0,False,False,
3134038,2026-08-26 18:32:00+00:00,2026-08-26 13:32:00-05:00,2026-08-26 14:32:00-04:00,1787769120000,29282.5,29289.5,29281.0,29288.5,6.946428571428571,BULLISH,2,0,False,3,COOLDOWN,,False,EXIT_STOP,,,,,,STOP,3134030,2,29277.5,0,0,0,False,False,
3134039,2026-08-26 18:33:00+00:00,2026-08-26 13:33:00-05:00,2026-08-26 14:33:00-04:00,1787769180000,29288.25,29303.5,29288.25,29300.25,7.535714285714286,BULLISH,2,0,False,3,COOLDOWN,,False,WATCH,,,,,,,3134030,2,29277.5,0,0,0,False,False,
3134040,2026-08-26 18:34:00+00:00,2026-08-26 13:34:00-05:00,2026-08-26 14:34:00-04:00,1787769240000,29300.75,29302.0,29293.75,29297.25,7.285714285714286,BULLISH,0,1,False,3,COOLDOWN,,False,WATCH,,,,,,,3134030,2,29277.5,0,0,0,False,False,
3134041,2026-08-26 18:35:00+00:00,2026-08-26 13:35:00-05:00,2026-08-26 14:35:00-04:00,1787769300000,29297.25,29299.75,29293.0,29297.25,7.178571428571429,BULLISH,0,0,False,0,WATCH,,False,WATCH,,,,,,,-1,0,0.0,0,0,0,False,False,
3134042,2026-08-26 18:36:00+00:00,2026-08-26 13:36:00-05:00,2026-08-26 14:36:00-04:00,1787769360000,29297.25,29298.25,29293.5,29298.0,7.196428571428571,BULLISH,1,0,False,1,ARMED_LONG,LONG,False,ARMED,,,,,,,3134042,0,29298.0,2,0,0,False,False,
3134043,2026-08-26 18:37:00+00:00,2026-08-26 13:37:00-05:00,2026-08-26 14:37:00-04:00,1787769420000,29298.0,29298.25,29292.75,29293.75,7.035714285714286,BULLISH,0,2,False,1,ARMED_LONG,LONG,False,ARMED,,,,,,,3134042,1,29298.0,3,1,0,False,False,
3134044,2026-08-26 18:38:00+00:00,2026-08-26 13:38:00-05:00,2026-08-26 14:38:00-04:00,1787769480000,29294.0,29296.5,29290.0,29295.5,7.089285714285714,NEUTRAL,1,0,False,1,ARMED_LONG,LONG,False,WAIT,,,,,,,3134042,2,29298.0,3,1,1,False,False,
3134045,2026-08-26 18:39:00+00:00,2026-08-26 13:39:00-05:00,2026-08-26 14:39:00-04:00,1787769540000,29295.0,29296.75,29290.75,29292.0,6.803571428571429,NEUTRAL,0,3,False,1,ARMED_LONG,LONG,False,ARMED,,,,,,,3134042,3,29298.0,2,1,0,False,False,
3134046,2026-08-26 18:40:00+00:00,2026-08-26 13:40:00-05:00,2026-08-26 14:40:00-04:00,1787769600000,29292.0,29293.75,29288.5,29293.5,6.875,BULLISH,1,0,True,2,IN_LONG,LONG,True,TAKE_LONG,OPP_3134046_LONG,LONG,29293.75,29288.59375,29306.640625,,3134042,4,29298.0,4,1,1,True,False,
3134047,2026-08-26 18:41:00+00:00,2026-08-26 13:41:00-05:00,2026-08-26 14:41:00-04:00,1787769660000,29293.25,29294.75,29290.75,29293.75,6.678571428571429,BULLISH,2,1,True,2,IN_LONG,LONG,False,HOLD,,LONG,29293.75,29288.59375,29306.640625,,3134042,4,29298.0,0,0,0,False,True,T58-227549
3134048,2026-08-26 18:42:00+00:00,2026-08-26 13:42:00-05:00,2026-08-26 14:42:00-04:00,1787769720000,29293.5,29298.0,29292.5,29292.75,6.839285714285714,BULLISH,0,3,True,2,IN_LONG,LONG,False,HOLD,,LONG,29293.75,29288.59375,29306.640625,,3134042,4,29298.0,0,0,0,False,False,
3134049,2026-08-26 18:43:00+00:00,2026-08-26 13:43:00-05:00,2026-08-26 14:43:00-04:00,1787769780000,29292.0,29294.25,29288.0,29289.25,6.803571428571429,BULLISH,0,2,False,3,COOLDOWN,,False,EXIT_STOP,,,,,,STOP,3134042,4,29298.0,0,0,0,False,False,
3134050,2026-08-26 18:44:00+00:00,2026-08-26 13:44:00-05:00,2026-08-26 14:44:00-04:00,1787769840000,29289.5,29295.25,29288.5,29295.0,6.732142857142857,BULLISH,2,0,False,3,COOLDOWN,,False,WATCH,,,,,,,3134042,4,29298.0,0,0,0,False,False,
3134051,2026-08-26 18:45:00+00:00,2026-08-26 13:45:00-05:00,2026-08-26 14:45:00-04:00,1787769900000,29295.0,29313.75,29294.75,29311.25,7.732142857142857,BULLISH,2,0,False,3,COOLDOWN,,False,WATCH,,,,,,,3134042,4,29298.0,0,0,0,False,False,
