signal_id,direction,entry_timestamp,mfe_1,mae_1,mfe_2,mae_2,mfe_3,mae_3,mfe_6,mae_6,mfe_12,mae_12,mfe_18,mae_18,mfe_24,mae_24,mfe_36,mae_36,mfe_r,mae_r,bars_to_mfe,bars_to_mae,p_0.25R_before_0.25R,p_0.25R_before_0.5R,p_0.25R_before_0.75R,p_0.25R_before_1.0R,p_0.5R_before_0.25R,p_0.5R_before_0.5R,p_0.5R_before_0.75R,p_0.5R_before_1.0R,p_0.75R_before_0.25R,p_0.75R_before_0.5R,p_0.75R_before_0.75R,p_0.75R_before_1.0R,p_1.0R_before_0.25R,p_1.0R_before_0.5R,p_1.0R_before_0.75R,p_1.0R_before_1.0R,p_1.25R_before_0.25R,p_1.25R_before_0.5R,p_1.25R_before_0.75R,p_1.25R_before_1.0R,p_1.5R_before_0.25R,p_1.5R_before_0.5R,p_1.5R_before_0.75R,p_1.5R_before_1.0R,p_2.0R_before_0.25R,p_2.0R_before_0.5R,p_2.0R_before_0.75R,p_2.0R_before_1.0R,p_2.5R_before_0.25R,p_2.5R_before_0.5R,p_2.5R_before_0.75R,p_2.5R_before_1.0R,p_3.0R_before_0.25R,p_3.0R_before_0.5R,p_3.0R_before_0.75R,p_3.0R_before_1.0R
20,Long,2021-01-15 08:30:00-06:00,0.9671104819025703,0.2948507566776129,0.9671104819025703,0.6486716646907484,0.9671104819025703,0.6486716646907484,0.9671104819025703,2.606480689030098,0.9671104819025703,7.465621159077159,0.9671104819025703,7.465621159077159,0.9671104819025703,7.890206248692921,0.9671104819025703,7.890206248692921,0.9671104819025703,7.890206248692921,1.0,24.0,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Long,2021-01-15 12:15:00-06:00,0.368500676574379,0.0,0.368500676574379,0.17587532291049907,0.368500676574379,0.5192509533548068,0.368500676574379,0.6030011071217111,0.368500676574379,0.8291265222923527,0.368500676574379,1.2981273833870168,0.368500676574379,2.2780041824597976,0.368500676574379,3.7520068887573133,0.368500676574379,3.7520068887573133,1.0,36.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Short,2021-01-15 13:55:00-06:00,0.17649379504590257,0.496388798566601,0.9376232861813574,0.496388798566601,0.9376232861813574,0.6397900070413969,0.9376232861813574,1.0258701837043087,1.599475017603492,1.0258701837043087,2.8790550316862857,1.0258701837043087,3.2541043461588286,1.0258701837043087,4.511622635860885,1.0258701837043087,4.511622635860885,1.0258701837043087,36.0,6.0,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Short,2021-01-18 00:50:00-06:00,0.05621145885650792,0.2529515648542856,0.4777974002803173,0.2529515648542856,0.730748965134603,0.2529515648542856,0.730748965134603,0.2529515648542856,0.9837005299888886,0.5340088591368252,0.9837005299888886,2.1360354365473007,0.9837005299888886,2.1360354365473007,0.9837005299888886,2.1360354365473007,0.9837005299888886,2.1360354365473007,12.0,18.0,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Long,2021-01-18 05:05:00-06:00,1.3022339047028055,0.22980598318284803,1.3022339047028055,0.22980598318284803,1.3022339047028055,0.22980598318284803,1.3022339047028055,0.7149519476799716,1.3022339047028055,1.097961919651385,1.3022339047028055,1.097961919651385,1.3022339047028055,1.097961919651385,1.3022339047028055,1.097961919651385,1.3022339047028055,1.097961919651385,1.0,12.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Long,2021-01-19 03:40:00-06:00,0.23826207759027268,0.10830094435921485,0.3032426442058016,0.17328151097474376,0.3032426442058016,0.23826207759027268,0.6498056661552891,0.23826207759027268,0.6498056661552891,0.4548639663087024,0.8447473660018758,0.4548639663087024,0.8447473660018758,0.4548639663087024,0.8447473660018758,2.274319831543512,0.8447473660018758,2.274319831543512,18.0,36.0,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Long,2021-01-19 08:30:00-06:00,0.5895602486673025,1.4218805997270236,0.5895602486673025,1.4218805997270236,0.5895602486673025,2.913121228709024,0.5895602486673025,4.005541689474908,0.5895602486673025,4.005541689474908,0.5895602486673025,4.005541689474908,0.5895602486673025,4.595101938142211,0.901680380314698,4.595101938142211,0.901680380314698,4.595101938142211,36.0,24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Long,2021-01-19 14:00:00-06:00,0.06265201114333023,0.5482050975041395,0.06265201114333023,0.5482050975041395,0.06265201114333023,0.5795311030758046,0.06265201114333023,1.268703225652437,0.06265201114333023,2.4590914373757116,1.3940072479390975,2.4590914373757116,2.8350035042356927,2.4590914373757116,3.148263559952344,2.4590914373757116,3.148263559952344,2.4590914373757116,36.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Long,2021-01-19 15:30:00-06:00,0.27376376065550645,0.1231936922949779,0.43802201704881033,0.1231936922949779,0.7528503418026428,0.1231936922949779,1.9300345126213205,0.1231936922949779,2.285927401473479,0.1231936922949779,2.285927401473479,0.1231936922949779,2.285927401473479,0.1231936922949779,2.285927401473479,0.1231936922949779,2.285927401473479,0.1231936922949779,12.0,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
29,Long,2021-01-20 06:35:00-06:00,0.4988015969186021,0.07875814688188454,0.4988015969186021,0.15751629376376908,0.4988015969186021,0.15751629376376908,1.706426515774165,0.15751629376376908,2.1789753970654724,0.15751629376376908,3.754138334703163,0.15751629376376908,8.768407019516479,0.15751629376376908,16.04040924827715,0.15751629376376908,16.04040924827715,0.15751629376376908,36.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
30,Long,2021-01-20 11:35:00-06:00,0.36912320906652984,0.013182971752376066,0.43503806782841015,0.013182971752376066,0.43503806782841015,0.06591485876188033,0.6855145311235554,0.23729349154276919,1.4764928362661194,0.23729349154276919,1.4764928362661194,0.23729349154276919,2.1488243956372988,0.23729349154276919,3.045266474798871,0.23729349154276919,3.045266474798871,0.23729349154276919,36.0,6.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
31,Long,2021-01-20 13:25:00-06:00,0.08218452818617566,0.2876458486516148,0.47940974775269135,0.2876458486516148,0.8218452818617566,0.2876458486516148,0.9999117595984706,0.2876458486516148,1.26016276552136,0.2876458486516148,1.5615060355373376,0.7944504391330314,1.5615060355373376,1.1779782373351844,1.5615060355373376,1.1779782373351844,1.5615060355373376,1.1779782373351844,18.0,24.0,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
32,Long,2021-01-21 01:45:00-06:00,0.39313968506729874,0.12285615158353086,0.39313968506729874,0.14742738190023702,0.7617081398178913,0.5897095276009481,0.7617081398178913,2.9976900986381527,0.7617081398178913,2.9976900986381527,0.7617081398178913,2.9976900986381527,0.7617081398178913,2.9976900986381527,0.7617081398178913,2.9976900986381527,0.7617081398178913,2.9976900986381527,3.0,6.0,True,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
