entry_model,stop_atr,target_r,hold_minutes,management,score,N,win_rate,AvgR,TotalR,PF,MaxDD,return_over_dd
RETRACE_50,2.0,3.0,60,PARTIAL_1R,0.1267925081962909,2749,0.49581666060385593,0.027378130528941936,75.26248082406138,1.071225004642422,20.663026605800646,3.6423744817195978
NEXT_CLOSE,1.25,3.0,60,FIXED,0.12476476824686122,4150,0.3816867469879518,0.03389729946416713,140.67379277629357,1.0599509784621075,52.11167249267485,2.699468008747322
NEXT_CLOSE,2.0,3.0,60,FIXED,0.11902315074270411,4150,0.4549397590361446,0.029586405268942646,122.78358186611197,1.0705809438655975,49.993583233503635,2.4559868272020053
RETRACE_50,2.0,3.0,60,FIXED,0.11720073472703854,2749,0.44998181156784284,0.026836880094132723,73.77458337877086,1.0625922696097225,22.8894388070034,3.2230839733911827
NEXT_CLOSE,2.0,3.0,60,PARTIAL_1R,0.11668266137145747,4150,0.49566265060240966,0.02563932134700366,106.4031835900652,1.0669652001669532,33.3328493145831,3.1921418593973563
NEXT_CLOSE,1.25,2.5,45,FIXED,0.11646925031179789,4150,0.4163855421686747,0.030809399476137766,127.85900782597173,1.060191069250632,51.649944614556546,2.4754916734206356
NEXT_CLOSE,1.25,3.0,45,FIXED,0.11607125576426588,4150,0.4134939759036145,0.030801797519978486,127.82745970791072,1.05989379134105,52.130290155112846,2.4520765053783924
RETRACE_50,2.0,2.5,60,PARTIAL_1R,0.11561262866378785,2749,0.4961804292469989,0.024974710007406163,68.65547781035954,1.0649724360960375,20.69370264353623,3.3176990600956753
RETRACE_50,1.0,1.5,45,PARTIAL_1R,0.1129435068644229,2749,0.4812659148781375,0.02981076507726237,81.94979319739426,1.064023868995641,38.45595066486932,2.1310042212077698
NEXT_CLOSE,1.0,2.5,45,PARTIAL_1R,0.11143727972298889,4150,0.4619277108433735,0.029121774675663643,120.85536490400412,1.0629071451411767,55.59084069667504,2.174015780107327
NEXT_CLOSE,1.0,2.5,60,PARTIAL_1R,0.109422018419272,4150,0.44987951807228915,0.028653581801795766,118.91236447745243,1.0607090921987126,54.646451035065745,2.176030871632419
NEXT_CLOSE,2.0,1.5,45,PARTIAL_1R,0.10876125728676103,4150,0.5079518072289156,0.023981146184029398,99.521756663722,1.0693741603901539,38.113586099619035,2.6111884723625303
RETRACE_50,2.0,3.0,45,PARTIAL_1R,0.10829023398785836,2749,0.4990905783921426,0.022798055813093958,62.67185543019529,1.0637295837579295,20.32864627577697,3.0829330482705717
NEXT_CLOSE,2.0,3.0,45,PARTIAL_1R,0.10735492264684388,4150,0.5062650602409638,0.023383971388933313,97.04348126407325,1.0676466157724767,36.25940466116192,2.6763671982738924
RETRACE_50,2.0,1.5,45,PARTIAL_1R,0.10598784835464974,2749,0.5020007275372863,0.02200661084486156,60.496173212524425,1.061517182016032,19.37983857957691,3.121603565691059
NEXT_CLOSE,2.0,2.5,60,PARTIAL_1R,0.10471401639509594,4150,0.4959036144578313,0.023281432286527633,96.61794398908968,1.060806826832134,34.82011491368583,2.774773840597367
NEXT_CLOSE,1.0,3.0,45,PARTIAL_1R,0.10322735043069192,4150,0.4580722891566265,0.026219614020153763,108.81139818363812,1.0566380683554222,48.42715340903995,2.24690882126733
NEXT_CLOSE,2.0,2.5,45,PARTIAL_1R,0.10313566687500682,4150,0.5062650602409638,0.02259101085654938,93.75269505467993,1.0653526899219556,37.089679004259224,2.527730020093023
RETRACE_50,2.0,2.5,45,PARTIAL_1R,0.10257056813261012,2749,0.4994543470352856,0.021249063142395427,58.413674578445026,1.0593995365399993,19.23231237078287,3.0372673577819618
RETRACE_50,1.0,1.5,60,PARTIAL_1R,0.10114623972193028,2749,0.4725354674427064,0.027116823734999223,74.54414844751287,1.0572054666293995,40.71257386692998,1.8309858937232069
RETRACE_50,1.25,3.0,45,FIXED,0.10111325858593004,2749,0.39869043288468536,0.026871951377820103,73.87099433762747,1.0498415725126522,32.90677122844584,2.2448569573963737
NEXT_CLOSE,2.0,1.5,45,FIXED,0.10036222540763495,4150,0.4857831325301205,0.02263881751472078,93.95109268609123,1.0622895449450187,39.2446981243681,2.393981790568404
NEXT_CLOSE,2.0,2.5,60,FIXED,0.09944749381645968,4150,0.456144578313253,0.024870627147990577,103.2131026641609,1.0594566677068111,51.66362499862734,1.9977905667072953
RETRACE_50,2.0,2.5,60,FIXED,0.09652951250613846,2749,0.45107311749727175,0.022030039051061188,60.5605773513672,1.0514839061070065,22.65854255294622,2.6727481350512856
NEXT_CLOSE,1.25,2.5,60,FIXED,0.09633444429294657,4150,0.38674698795180723,0.02652700658352924,110.08707732164635,1.0472394240544307,55.99341345000863,1.9660719098672734
NEXT_CLOSE,2.0,3.0,45,FIXED,0.09490293285232569,4150,0.4771084337349398,0.02144446792452861,88.99454188679374,1.058272337245552,38.89990798369567,2.2877828380492446
BOS_RETEST,1.25,1.5,45,FIXED,0.09376101663699186,2898,0.4444444444444444,0.02626761317651416,76.12354298553804,1.053133052204382,51.92862482155876,1.465926418177253
NEXT_CLOSE,1.0,1.5,60,PARTIAL_1R,0.09353227617132077,4150,0.47518072289156627,0.024867099129953732,103.198461389308,1.0526865724584655,59.123284464438754,1.7454791682180548
RETRACE_50,2.0,3.0,45,FIXED,0.09282204276170565,2749,0.46489632593670427,0.02038672414414777,56.04310467226222,1.0526404977026769,21.78263052568149,2.5728345622071673
BOS_RETEST,2.0,3.0,60,PARTIAL_1R,0.09279477097800116,2898,0.49516908212560384,0.023641375362424374,68.51270580030584,1.0621624517629282,47.47673900386283,1.4430794371688305
NEXT_CLOSE,1.0,3.0,60,PARTIAL_1R,0.09252798601811646,4150,0.44385542168674696,0.024908880187024987,103.3718527761537,1.0527750950754091,63.330203599287714,1.632267810636193
RETRACE_50,2.0,1.5,60,PARTIAL_1R,0.09203064165306157,2749,0.49981811567842854,0.019967446925847298,54.89051159915422,1.0519458952278489,21.012491465421295,2.6122800187442543
NEXT_CLOSE,1.0,2.5,45,FIXED,0.09126543604363536,4150,0.3759036144578313,0.026892277077909456,111.60294987332423,1.0461640901442038,77.50830938754945,1.4398836815714573
NEXT_CLOSE,2.0,1.5,60,PARTIAL_1R,0.09056977955437281,4150,0.49927710843373496,0.019823184481673917,82.26621559894676,1.0517745184747982,32.85897038924574,2.503615135362588
NEXT_CLOSE,1.0,1.5,45,PARTIAL_1R,0.09017091744761321,4150,0.47879518072289157,0.024024207780503258,99.70046228908852,1.0518956808979385,61.63990676002135,1.617466143763745
RETRACE_50,1.25,1.5,60,FIXED,0.08932694426022998,2749,0.43215714805383776,0.024769649441481575,68.09176631463285,1.0467220660157381,41.45210514706343,1.6426612369397755
BOS_RETEST,1.0,2.5,45,PARTIAL_1R,0.08932278327587263,2898,0.4592822636300897,0.02456016161775406,71.17534836825126,1.0526703210474981,51.32603379841245,1.386729951661544
RETRACE_50,2.0,1.5,45,FIXED,0.08850874281337023,2749,0.4758093852309931,0.018803834207682973,51.691740236920495,1.0495327686918197,19.77897581103238,2.613469005209446
RETRACE_50,1.25,2.5,45,FIXED,0.08727660335290055,2749,0.40232811931611495,0.022870673915817662,62.87148259458276,1.0426383339452978,31.099726558571092,2.021608854861631
NEXT_CLOSE,2.0,2.5,45,FIXED,0.08726613346028922,4150,0.47759036144578315,0.019858546859760743,82.41296946800708,1.054033579748378,40.138304376547794,2.053224986657875
BOS_RETEST,1.25,1.5,45,PARTIAL_1R,0.08611335613545293,2898,0.4886128364389234,0.02259249295150613,65.47304457346476,1.0509388420811192,42.352842849015076,1.545894919188107
BOS_RETEST,2.0,2.5,60,PARTIAL_1R,0.0853583349519904,2898,0.49516908212560384,0.021891727799698283,63.44222716352562,1.0575619418284277,49.587838985315436,1.2793908438380006
RETRACE_50,1.0,1.5,45,FIXED,0.08464380389043151,2749,0.42851946162240817,0.02455402258144459,67.49900807639118,1.0451048267755847,51.988918348906054,1.2983345339749983
NEXT_CLOSE,1.0,2.5,60,FIXED,0.08193478478054576,4150,0.35012048192771084,0.023908921489982454,99.22202418342718,1.038448428146662,66.62448008223254,1.489272772724988
RETRACE_50,1.25,1.5,60,PARTIAL_1R,0.08163917040891444,2749,0.4776282284467079,0.02082327191517656,57.243174494820366,1.0447652785663986,32.50608506111563,1.760998729536203
BOS_RETEST,2.0,3.0,60,FIXED,0.08144098366059802,2898,0.4503105590062112,0.022310252775593002,64.65511254366852,1.0533607329247523,63.76173635382843,1.0140111647035857
BOS_RETEST,2.0,3.0,45,PARTIAL_1R,0.08050618177469099,2898,0.5013802622498275,0.019949412659152323,57.81339788622343,1.057385116325877,48.5223471370186,1.1914798293447868
RETRACE_50,1.25,1.5,45,FIXED,0.08025466439183208,2749,0.4423426700618407,0.021905553845767346,60.21836752201443,1.04331832974978,40.73104138009062,1.4784391825407448
BOS_RETEST,1.0,2.5,60,PARTIAL_1R,0.07975150172146975,2898,0.4440993788819876,0.02272857106417804,65.86739894398796,1.047860204994851,63.552455652022644,1.036425709568811
RETRACE_50,2.0,2.5,45,FIXED,0.07973053410523054,2749,0.46562386322299015,0.017288738802750715,47.52674296876171,1.0447252188164393,20.853800181246882,2.2790447091509445
RETRACE_50,1.25,3.0,45,PARTIAL_1R,0.07961593049372025,2749,0.46707893779556203,0.019751692847528896,54.29740363785694,1.0435921210896333,29.64400967202885,1.831648425384581
BOS_RETEST,2.0,1.5,45,PARTIAL_1R,0.07804411148661114,2898,0.5027605244996549,0.019368082489192317,56.12870305367933,1.0557129017099947,49.0142988770657,1.1451495653229171
BOS_RETEST,2.0,2.5,45,PARTIAL_1R,0.07660930927981181,2898,0.5013802622498275,0.01902569977282687,55.13647794165227,1.0547280270000323,49.255841566123635,1.1193896234141925
RETRACE_50,1.25,3.0,60,PARTIAL_1R,0.0750330993063223,2749,0.45471080392870133,0.01843487021315548,50.67745821596441,1.0396307604198287,27.620185921927785,1.8347978670096987
NEXT_CLOSE,2.0,1.5,60,FIXED,0.07486144401127372,4150,0.4691566265060241,0.017954131538283142,74.50964588387504,1.0438234061080562,43.722525948497676,1.7041477880679312
BOS_RETEST,2.0,1.5,60,PARTIAL_1R,0.07266142495408989,2898,0.4972394755003451,0.018846754474083793,54.61789446589483,1.0495555122289995,53.59866287463129,1.019015989142258
RETRACE_50,1.25,2.5,45,PARTIAL_1R,0.07255692529238889,2749,0.4688977810112768,0.01775105411652768,48.79764776633459,1.0391766977387515,27.937902062187096,1.746646818995775
NEXT_CLOSE,1.0,3.0,45,FIXED,0.07226776002442223,4150,0.3660240963855422,0.021087955766889693,87.51501643259222,1.0356713168647227,71.40474814476164,1.2256190058281502
BOS_RETEST,1.0,3.0,45,PARTIAL_1R,0.07082957231782416,2898,0.455831608005521,0.019805240372246513,57.39558659877039,1.0424731882902194,57.496219770122615,0.9982497428221444
RETRACE_50,1.0,1.5,60,FIXED,0.0704223169035089,2749,0.42124408875954894,0.02081899195240679,57.23140887716627,1.0370196684284458,55.70238517489408,1.02744987844724
BOS_RETEST,1.25,1.5,60,FIXED,0.06945167890229736,2898,0.4323671497584541,0.020612534393605487,59.735124672668704,1.0391332521298204,68.9783310529925,0.8659984050176175
RETRACE_50,1.25,3.0,60,FIXED,0.06910994673999563,2749,0.3674063295743907,0.019992846037439414,54.960333756920946,1.0343481117501596,45.99114602406609,1.1950198790036997
BOS_RETEST,1.25,1.5,60,PARTIAL_1R,0.06835609820144876,2898,0.47895100069013113,0.01898057943213833,55.005719194336876,1.0411595374514264,56.04153139235246,0.9815170611458891
BOS_RETEST,2.0,2.5,60,FIXED,0.06822453091817965,2898,0.45134575569358176,0.01881095765014082,54.51415527010809,1.0450771329936142,67.60146726726941,0.8064049121090926
RETRACE_50,1.25,1.5,45,PARTIAL_1R,0.06808275986939458,2749,0.47981084030556564,0.01726849408150252,47.47109023005042,1.0381116844438298,32.76143633474118,1.4489929484474617
BOS_RETEST,1.0,2.5,45,FIXED,0.06679764711726462,2898,0.37094547964113184,0.020717996277241194,60.04075321144498,1.0352379914410654,77.54539420466187,0.7742658842249518
BOS_RETEST,1.0,1.5,45,PARTIAL_1R,0.06343339041834771,2898,0.47860593512767424,0.01764345927875081,51.13074498981985,1.037837155921991,55.40889995565261,0.9227893899850593
BOS_RETEST,1.0,3.0,60,PARTIAL_1R,0.061942957585801234,2898,0.43788819875776397,0.017907778334995073,51.89674161481572,1.0377089232620536,71.35593957643604,0.727293928478431
RETRACE_50,1.25,2.5,60,PARTIAL_1R,0.05933160898339339,2749,0.458348490360131,0.01467063006776582,40.32956205628824,1.0315385038625688,28.358967168894438,1.422109691657733
NEXT_CLOSE,1.0,1.5,45,FIXED,0.058200482113705404,4150,0.4291566265060241,0.016697143287588676,69.29314464349301,1.030929130374531,74.17671438276034,0.9341630351262588
NEXT_CLOSE,1.0,1.5,60,FIXED,0.05651994037435843,4150,0.4197590361445783,0.01633595614629838,67.79421800713827,1.0290576725432368,72.7468855543342,0.9319191810143292
BOS_RETEST,2.0,3.0,45,FIXED,0.056407905170462805,2898,0.4717046238785369,0.014830718532659331,42.97942230764674,1.039718578850531,62.404976413947274,0.6887178679878646
BOS_RETEST,1.0,2.5,60,FIXED,0.05610484310924874,2898,0.34782608695652173,0.01822857002184141,52.8263959232964,1.0292336239089102,105.0040534700264,0.5030891111110848
BOS_RETEST,1.0,1.5,60,PARTIAL_1R,0.05465192912085529,2898,0.47101449275362317,0.01525528960525613,44.209829276032266,1.032123501547975,54.71784989567456,0.8079599136355511
NEXT_CLOSE,1.0,3.0,60,FIXED,0.053800745688849246,4150,0.33542168674698797,0.016419518260440892,68.1410007808297,1.0258961566171427,85.03136964555013,0.8013630859396096
BOS_RETEST,1.25,3.0,45,PARTIAL_1R,0.0529819480624044,2898,0.47550034506556244,0.014799105889298812,42.88780886718796,1.033367248114445,64.01058283325492,0.6700112226584319
RETRACE_50,2.0,1.5,60,FIXED,0.05265971096312667,2749,0.46526009457984724,0.012015512887943457,33.03064492895656,1.028705935428331,23.137642637756308,1.4275717473074254
BOS_RETEST,2.0,1.5,45,FIXED,0.05214122361958079,2898,0.4779158040027605,0.013668058192739307,39.610032642558515,1.0370052280091526,62.848195468094765,0.6302493229525861
BOS_RETEST,1.25,2.5,45,PARTIAL_1R,0.05078790155844565,2898,0.47619047619047616,0.014209854818234833,41.18015926324455,1.0320386755076287,64.86234865774023,0.6348854168161607
BOS_RETEST,2.0,2.5,45,FIXED,0.049162737916918484,2898,0.47239475500345063,0.012983292760008418,37.62558241850439,1.0348353188669674,65.11314049649584,0.5778492963417924
BOS_RETEST,2.0,1.5,60,FIXED,0.04612034130506885,2898,0.46238785369220153,0.012721010998911847,36.86548987484653,1.0309743206758768,71.015913966067,0.5191158969306752
BOS_RETEST,1.25,3.0,60,PARTIAL_1R,0.045686227121904295,2898,0.45686680469289165,0.013222027139744996,38.317434650981,1.0286720710075186,78.10102328176043,0.4906137338655021
RETRACE_50,1.25,2.5,60,FIXED,0.042815429186762496,2749,0.3732266278646781,0.012464365746660093,34.264541437568596,1.0215860143623288,48.30284233328575,0.7093690512277931
BOS_RETEST,1.0,3.0,45,FIXED,0.03510547182903955,2898,0.3616287094547964,0.011208153786226086,32.481229672483195,1.0187837818897876,98.50936395624333,0.3297273311693593
BOS_RETEST,1.25,3.0,45,FIXED,0.03467015109839182,2898,0.4033816425120773,0.010680839052099501,30.953071572984356,1.0203242621717157,98.37796550650316,0.3146341908334976
BOS_RETEST,1.25,2.5,60,PARTIAL_1R,0.03458418826597589,2898,0.458592132505176,0.010090933378974164,29.24352493226713,1.0218822692856508,84.48987607769422,0.34611868652021344
BOS_RETEST,1.25,2.5,45,FIXED,0.030819171439393948,2898,0.4051069703243616,0.00950233690997155,27.537772365097553,1.0181356596597724,100.25883898198771,0.2746667789564662
BOS_RETEST,1.25,3.0,60,FIXED,0.028213873097113533,2898,0.3712905452035887,0.00909542980881881,26.358555585956907,1.0158567335895583,125.8377165873812,0.20946466846967646
BOS_RETEST,1.0,3.0,60,FIXED,0.025953777392583293,2898,0.33195307108350586,0.008586984563475468,24.885081264951907,1.0134990281170544,122.5688433620348,0.20302942071051605
BOS_RETEST,1.0,1.5,45,FIXED,0.022716408307449826,2898,0.4240855762594893,0.0068845915992347085,19.951546454582186,1.0125909821569468,75.2396214139445,0.2651734030507027
BOS_RETEST,1.0,1.5,60,FIXED,0.010742306425032997,2898,0.4140786749482402,0.003282007103997594,9.511256587385027,1.0057898472310478,74.11165097981373,0.12833686015139062
BOS_RETEST,1.25,2.5,60,FIXED,0.008770452401796646,2898,0.37577639751552794,0.0028332422872771545,8.210736148529193,1.004968211956228,132.46074363304072,0.061986184912834245
