hypothesis_id,model,dimension,condition,conditions_json,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample,one_sided_p,bootstrap_probability_positive,bootstrap_ci95_low_R,bootstrap_ci95_high_R,first_half_N,first_half_avg_R,first_half_total_R,second_half_N,second_half_avg_R,second_half_total_R,without_best_5_total_R,best_month,without_best_month_total_R,positive_month_pct,positive_quarter_pct,best_quarter,best_quarter_R,worst_quarter,worst_quarter_R,longest_losing_months,yearly_results,fdr_q,evidence_label
H0148,BOS,session,Premarket,"[{""feature"": ""session_name"", ""value"": ""Premarket""}]",276,112,164,40.57971014492754,0.055113586620345247,15.211349907215288,1.0985425424166817,16.376385585405266,2.0,-1.0,5,10,0,0.07745441498841388,-0.09669706675694595,0.20692423999763643,True,0.2383681498085677,0.749,-0.09994133127457372,0.2113532611834006,141.0,-0.04367803497210499,-6.158602931066804,135.0,0.1582959469502377,21.36995283828209,5.211349907215293,2024-10,2.431319346258423,50.0,66.66666666666666,2024Q4,14.45030096047131,2024Q1,-10.54797368734888,2.0,"{""2024"": {""count"": 189, ""mean"": 0.043871, ""sum"": 8.291698}, ""2025"": {""count"": 87, ""mean"": 0.079536, ""sum"": 6.919652}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0149,BOS,session,Open,"[{""feature"": ""session_name"", ""value"": ""Open""}]",75,31,44,41.333333333333336,-0.10464074669996841,-7.84805600249763,0.8000616926051818,14.994716264769004,2.0,-1.0,4,5,0,0.12058690034724363,-0.34099107138056595,0.1317095779806291,True,0.8072377199762683,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0150,BOS,session,MidAM,"[{""feature"": ""session_name"", ""value"": ""MidAM""}]",125,57,68,45.6,0.020233266324456316,2.5291582905570396,1.0420678902328953,10.709487085365772,2.0,-1.0,11,8,0,0.0989705365981289,-0.17374898540787634,0.21421551805678898,True,0.41900590389998416,0.5665,-0.1732580335697045,0.21230316899349472,63.0,-0.06855536227258588,-4.31898782317291,62.0,0.11045396957628954,6.8481461137299515,-7.47084170944296,2024-07,-5.40127515678678,38.88888888888889,50.0,2025Q2,9.579165655204314,2024Q2,-5.376433949320262,5.0,"{""2024"": {""count"": 78, ""mean"": -0.049685, ""sum"": -3.875398}, ""2025"": {""count"": 47, ""mean"": 0.136267, ""sum"": 6.404557}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0151,BOS,session,Midday,"[{""feature"": ""session_name"", ""value"": ""Midday""}]",137,49,88,35.76642335766423,-0.16575020648595068,-22.707778288575245,0.7150182910463933,23.707778288575238,2.0,-1.0,4,9,0,0.09407927227058101,-0.3501455801362895,0.018645167164388105,True,0.9609496604123755,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0152,BOS,session,PM,"[{""feature"": ""session_name"", ""value"": ""PM""}]",152,67,85,44.078947368421055,-0.09574671594613343,-14.553500823812282,0.8065393995431717,21.73073410915842,2.0,-1.0,4,7,0,0.08319622517980994,-0.2588113172985609,0.06731788540629405,True,0.8751038659140427,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0153,BOS,session,After-hours,"[{""feature"": ""session_name"", ""value"": ""After-hours""}]",1,0,1,0.0,-0.2015583471116507,-0.2015583471116507,0.0,0.2015583471116507,-0.2015583471116507,-0.2015583471116507,0,1,0,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0154,BOS,score_band,70-74,"[{""feature"": ""score_band"", ""value"": ""70-74""}]",2,1,1,50.0,0.5,1.0,2.0,1.0,2.0,-1.0,1,1,0,1.4999999999999998,-2.4399999999999995,3.4399999999999995,False,0.36944134018176367,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0155,BOS,score_band,75-79,"[{""feature"": ""score_band"", ""value"": ""75-79""}]",489,202,287,41.30879345603272,-0.03775139913722473,-18.460434178102894,0.9261887546601552,34.077226269494005,2.0,-1.0,6,9,0,0.05045454043817073,-0.13664229839603936,0.0611395001215899,True,0.7728380755290648,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0156,BOS,score_band,80-84,"[{""feature"": ""score_band"", ""value"": ""80-84""}]",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0157,BOS,score_band,85-89,"[{""feature"": ""score_band"", ""value"": ""85-89""}]",75,29,46,38.666666666666664,-0.2220741682651672,-16.65556261988754,0.6049676368590895,20.36444194231563,2.0,-1.0,3,9,0,0.11611751995617925,-0.44966450737927854,0.005516170848944124,True,0.9720936288859505,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
