model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
BOS,session,Overnight,617,269,348,43.59805510534846,0.08773678672798157,54.13359741116463,1.1786809476536273,20.349763605890978,2.0,-1.0,8,11,0,0.04874407948596617,-0.007801609064512119,0.18327518252047525,True
BOS,session,Premarket,454,176,278,38.76651982378855,0.012819461226330821,5.820035396754193,1.0220388118263104,23.75777655777223,2.0,-1.0,5,11,0,0.06039447679295017,-0.10555371328785151,0.13119263574051315,True
BOS,session,Open,121,53,68,43.80165289256198,-0.06479575905364136,-7.840286845490605,0.8733046566226611,24.717284845202343,2.0,-1.0,7,8,0,0.09574491479381562,-0.25245579204952,0.12286427394223727,True
BOS,session,MidAM,197,86,111,43.65482233502538,-0.02079319523598724,-4.0962594614894865,0.9568829355058253,13.710164284738017,2.0,-1.0,11,8,0,0.07679089096260627,-0.17130334152269552,0.12971695105072104,True
BOS,session,Midday,237,97,140,40.92827004219409,-0.06780559091957473,-16.06992504793921,0.871648886958868,27.989063868357405,2.0,-1.0,4,9,0,0.07220902057599794,-0.20933527124853069,0.07372408940938123,True
BOS,session,PM,240,98,141,40.833333333333336,-0.10608204530188635,-25.459690872452725,0.7905433853763336,32.09762861918983,2.0,-1.0,4,7,1,0.06741837008134326,-0.23822205066131913,0.026057960057546445,True
BOS,session,After-hours,1,0,1,0.0,-0.2015583471116507,-0.2015583471116507,0.0,0.2015583471116507,-0.2015583471116507,-0.2015583471116507,0,1,0,,,,False
BOS,score_band,70-74,4,2,2,50.0,0.19732278547213808,0.7892911418885523,1.3946455709442762,1.0,2.0,-1.0,1,1,0,0.7341227974027802,-1.2415578974373112,1.6362034683815871,False
BOS,score_band,75-79,816,342,473,41.911764705882355,-0.013348406861695803,-10.892299999143775,0.9738267478287274,34.077226269494005,2.0,-1.0,8,9,1,0.03981859234728103,-0.09139284786236662,0.06469603413897501,True
BOS,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
BOS,score_band,85-89,134,54,80,40.298507462686565,-0.17386927012951492,-23.298482197355,0.6755554263327227,28.27138413320579,2.0,-1.0,4,9,0,0.08630600731791926,-0.3430290444726367,-0.004709495786393153,True
BOS,score_band,90-94,724,308,416,42.5414364640884,0.09127613649620206,66.08392282325029,1.1751960577864,17.18239360209884,2.0,-1.0,6,10,0,0.04699476107188848,-0.0008335952046993611,0.18338586819710348,True
BOS,score_band,95+,189,73,116,38.62433862433863,-0.13966412452489377,-26.39651953520492,0.7454863500727918,45.81571010333284,2.0,-1.0,4,8,0,0.0772101186688158,-0.29099595711577275,0.011667708065985216,True
BOS,date_third,Early third,669,282,387,42.152466367713004,-0.005746416919734759,-3.844352919302554,0.9889009272914228,39.72730633611094,2.0,-1.0,9,9,0,0.04485754965521001,-0.09366721424394638,0.08217438040447685,True
BOS,date_third,Middle third,577,238,338,41.247833622183705,0.016900125576755888,9.751372457788147,1.0324022332405742,26.029169775472674,2.0,-1.0,9,16,1,0.04968175452771963,-0.08047611329757459,0.11427636445108635,True
BOS,date_third,Late third,621,259,362,41.706924315619965,0.0006101331641699834,0.3788926949495597,1.0011709734865653,29.440218930396192,2.0,-1.0,7,14,0,0.04714683936846081,-0.09179767199801321,0.09301793832635318,True
BOS,volatility,Low,516,212,304,41.08527131782946,0.033750562485715695,17.415290242629297,1.0635379847485988,21.795420936491976,2.0,-1.0,6,10,0,0.05408514540804861,-0.07225632251405958,0.13975744748549096,True
BOS,volatility,Medium,522,212,309,40.61302681992337,0.012649300026639127,6.602934613905624,1.0235577146821118,35.65546533301982,2.0,-1.0,6,11,1,0.053391884437121444,-0.0919987934701189,0.11729739352339714,True
BOS,volatility,High,829,355,474,42.822677925211096,-0.021390003164173426,-17.73231262309977,0.9574259425584527,53.625989769182944,2.0,-1.0,7,17,0,0.0385847297474226,-0.09701607346912172,0.05423606714077486,True
BOS,volatility,Unavailable,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
BOS,trend_state,Bullish trend,1142,476,665,41.68126094570928,0.032622200240444287,37.25455267458737,1.062686442644551,45.17694898174713,2.0,-1.0,9,16,1,0.035685249391707224,-0.037320888567301876,0.10256528904819046,True
BOS,trend_state,Bearish trend,721,302,419,41.88626907073509,-0.04053376415162927,-29.224843953324704,0.9218978692868729,34.35900195227687,2.0,-1.0,7,15,0,0.04189809709813749,-0.12265403446397877,0.04158650616072022,True
BOS,trend_state,Range/chop,4,1,3,25.0,-0.4359491219568803,-1.7437964878275212,0.2727304723746273,2.397730719615378,0.653934231787857,-1.0,1,3,0,0.39004413821705725,-1.2004356328623125,0.3285373889485519,False
Retest,direction,Long,543,224,316,41.25230202578269,-0.05619948175694588,-30.516318594021612,0.8887886503248794,39.739473482313066,2.0,-1.0,7,8,3,0.04662449439394014,-0.14758349076906854,0.03518452725517679,True
Retest,direction,Short,518,205,313,39.575289575289574,-0.00253935765616736,-1.3153872658946923,0.9951923338752925,37.455516799848574,2.0,-1.0,6,14,0,0.052363360887208374,-0.10517154499509578,0.10009282968276105,True
Retest,HTF_regime,Bull,648,274,372,42.28395061728395,0.01668855792751089,10.814185537027058,1.0333861359565386,31.516597705037682,2.0,-1.0,7,9,2,0.04545945593869917,-0.07241197571233948,0.10578909156736127,True
Retest,HTF_regime,Bear,390,149,240,38.205128205128204,-0.09912014684758506,-38.65685727055818,0.8169312522304882,39.29422435118349,2.0,-1.0,4,12,1,0.05614299521959639,-0.209160417477994,0.010920123782823865,True
Retest,HTF_regime,Neutral,23,6,17,26.08695652173913,-0.17343626636457357,-3.9890341263851923,0.6914558051927439,5.663568422590241,2.0,-1.0,2,4,0,0.2287560194233137,-0.6217980644342684,0.27492553170512124,False
Retest,session,Overnight,364,153,210,42.032967032967036,-0.01704842721412113,-6.205627505940091,0.9660796637022725,29.127712936361917,2.0,-1.0,8,7,1,0.05875824259958403,-0.1322145827093058,0.09811772828106356,True
