model,dimension,bucket,feature_1,value_1,feature_2,value_2,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Retest,direction x score_band,Short | 75-79,direction_name,Short,score_band,75-79,221,93,128,42.081447963800905,0.056617912620876995,12.512558689213815,1.1172891355783805,17.18382606264107,2.0,-1.0,7,6,0,0.07908227112755968,-0.09838333878913998,0.21161916403089398,True
Retest,direction x score_band,Short | 80-84,direction_name,Short,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,direction x score_band,Short | 85-89,direction_name,Short,score_band,85-89,28,13,15,46.42857142857143,0.019977100308023972,0.5593588086246712,1.0426300988717945,3.2645883336157633,2.0,-1.0,4,4,0,0.21499136101654842,-0.4014059672844109,0.44136016790045884,False
Retest,direction x score_band,Short | 90-94,direction_name,Short,score_band,90-94,221,87,134,39.366515837104075,0.00899048341469801,1.9868968346482605,1.0161178209291375,18.372851051128933,2.0,-1.0,5,10,0,0.08400956076151458,-0.15566825567787057,0.1736492225072666,True
Retest,direction x score_band,Short | 95+,direction_name,Short,score_band,95+,45,12,33,26.666666666666668,-0.31383396406075154,-14.122528382733819,0.5005215267531061,15.170983683447965,2.0,-1.0,3,5,0,0.1506209083833257,-0.60905094449207,-0.018616983629433148,True
Confirm,HTF_regime x direction,Bull | Long,htf_regime_name,Bull,direction_name,Long,238,96,141,40.33613445378151,-0.0805604046857558,-19.173376315209882,0.8433565444485664,30.32736962948678,2.0,-1.0,5,10,1,0.07034972506598136,-0.21844586581507924,0.057325056443567654,True
Confirm,HTF_regime x direction,Bull | Short,htf_regime_name,Bull,direction_name,Short,195,80,115,41.02564102564103,0.02349778201531206,4.582067492985852,1.0453382578977672,22.59525984002908,2.0,-1.0,6,10,0,0.08552435134927752,-0.1441299466292719,0.191125510659896,True
Confirm,HTF_regime x direction,Bear | Long,htf_regime_name,Bear,direction_name,Long,111,55,56,49.549549549549546,0.06743680227274612,7.48548505227482,1.1478840182739622,8.686316440498553,2.0,-1.0,9,6,0,0.10532770177813784,-0.13900549321240405,0.2738790977578963,True
Confirm,HTF_regime x direction,Bear | Short,htf_regime_name,Bear,direction_name,Short,137,52,85,37.956204379562045,-0.04788034469658294,-6.559607223431863,0.9152730852208448,12.154331672688633,2.0,-1.0,5,7,0,0.10328207160833422,-0.250313205048918,0.15455251565575212,True
Confirm,HTF_regime x direction,Neutral | Long,htf_regime_name,Neutral,direction_name,Long,13,4,9,30.76923076923077,-0.38418516812873543,-4.994407185673561,0.4136826662291583,5.099831728410351,2.0,-1.0,1,4,0,0.2711718914713341,-0.9156820754125503,0.1473117391550794,False
Confirm,HTF_regime x direction,Neutral | Short,htf_regime_name,Neutral,direction_name,Short,11,2,9,18.181818181818183,-0.6327957437395814,-6.960753181135395,0.1421723707544618,7.486197311329086,0.6281988025584996,-1.0,1,6,0,0.19723259812901314,-1.0193716360724472,-0.2462198514067156,False
