model,window_months,start_month,end_month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
BOS,12,2025-05,2026-04,734,303,430,41.28065395095368,-0.00519680268149516,-3.814453168217448,0.9901832861526588,29.440218930396185,2.0,-1.0,9,14,1,0.043636521218369466,-0.09072438426949932,0.08033077890650898,True
BOS,12,2025-06,2026-05,722,298,423,41.27423822714682,-0.011213378819386355,-8.096059507596948,0.9787080587106125,29.44021893039618,2.0,-1.0,9,14,1,0.04365435452843559,-0.09677591369512012,0.0743491560563474,True
BOS,12,2025-07,2026-06,728,309,418,42.44505494505494,0.026723199225800905,19.45448903638306,1.0519439355079112,29.440218930396192,2.0,-1.0,9,14,1,0.04408133651555242,-0.05967622034468183,0.11312261879628364,True
Retest,3,2024-01,2024-03,111,47,64,42.34234234234234,0.044105723601702757,4.895735319789006,1.0810994776297107,13.99536866105272,2.0,-1.0,4,7,0,0.11904498721544678,-0.18922245134057292,0.27743389854397843,True
Retest,3,2024-02,2024-04,103,47,56,45.63106796116505,0.06781808279209844,6.98526252758614,1.1304607267535125,10.319073027227748,2.0,-1.0,4,5,0,0.12221644692169312,-0.17172615317442005,0.30736231875861697,True
Retest,3,2024-03,2024-05,110,46,64,41.81818181818182,0.01810995974088074,1.9920955714968813,1.0342885392717527,15.935978617582549,2.0,-1.0,4,7,0,0.11511598722542055,-0.20751737522094355,0.243737294702705,True
Retest,3,2024-04,2024-06,112,41,70,36.607142857142854,-0.10802028207599666,-12.098271592511626,0.8031020056713883,15.457131414462348,2.0,-1.0,3,7,1,0.10461117020313908,-0.31305817567414923,0.09701761152215592,True
Retest,3,2024-05,2024-07,123,39,83,31.70731707317073,-0.1376279745208475,-16.92824086606424,0.7532574062844009,23.055826654517986,2.0,-1.0,3,10,1,0.09831423186900097,-0.3303238689840894,0.055067919942394405,True
Retest,3,2024-06,2024-08,111,38,72,34.234234234234236,-0.10923211169330856,-12.12476439795725,0.7964378740772308,12.729974189724112,2.0,-1.0,5,10,1,0.10276564840704845,-0.3106527825711235,0.0921885591845064,True
Retest,3,2024-07,2024-09,107,37,70,34.57943925233645,-0.08730741202267,-9.34189308642569,0.8353575644819555,14.906931181628977,2.0,-1.0,5,10,0,0.10633284176877045,-0.2957197818894601,0.12110495784412006,True
Retest,3,2024-08,2024-10,102,38,64,37.254901960784316,-0.0598674623784391,-6.106481162600788,0.8832315933599607,12.379608349565864,2.0,-1.0,5,9,0,0.10880602216655728,-0.2731272658248914,0.15339234106801317,True
Retest,3,2024-09,2024-11,103,42,61,40.77669902912621,-0.03132976182080416,-3.2269654675428283,0.9355605555676185,9.340644645121207,2.0,-1.0,4,8,0,0.10573815493512531,-0.23857654549364976,0.17591702185204144,True
Retest,3,2024-10,2024-12,106,43,63,40.56603773584906,-0.0699768668207493,-7.4175478829994255,0.8650068053427217,14.791842831278547,2.0,-1.0,4,8,0,0.10565584795252973,-0.27706232880770754,0.13710859516620896,True
Retest,3,2024-11,2025-01,98,42,56,42.857142857142854,0.035147368072099366,3.4444420710657377,1.0690569801395473,9.74600390502045,2.0,-1.0,4,7,0,0.11941912532113516,-0.19891411755732555,0.26920885370152425,True
Retest,3,2024-12,2025-02,102,41,60,40.19607843137255,0.04958040415809185,5.057201224125368,1.0959114631626987,8.272795573129786,2.0,-1.0,4,7,1,0.12190777872793017,-0.18935884214865129,0.28851965046483496,True
Retest,3,2025-01,2025-03,102,41,60,40.19607843137255,0.06819734280307042,6.956128965913183,1.1381759965348275,7.241372934161692,2.0,-1.0,3,7,1,0.12039817069393781,-0.16778307175704765,0.30417775736318853,True
Retest,3,2025-02,2025-04,103,46,56,44.66019417475728,0.08149697321503312,8.394188241148411,1.177801026989478,6.29314195176751,2.0,-1.0,4,7,1,0.11492623120951084,-0.1437584399556081,0.30675238638567437,True
Retest,3,2025-03,2025-05,107,48,59,44.85981308411215,0.07335845906810037,7.84935512028674,1.1563930361450272,6.2931419517675105,2.0,-1.0,4,7,0,0.11313213146942888,-0.14838051861198023,0.295097436748181,True
Retest,3,2025-04,2025-06,105,50,55,47.61904761904762,0.05392482843761242,5.662106985949304,1.1192739666177343,10.212281181200346,2.0,-1.0,4,5,0,0.1098715191789241,-0.1614233491530788,0.2692730060283036,True
Retest,3,2025-05,2025-07,96,44,52,45.833333333333336,0.02679460892426354,2.5722824567293,1.0581154372473722,10.212281181200344,2.0,-1.0,3,5,0,0.11444131697414806,-0.19751037234506663,0.25109959019359374,True
Retest,3,2025-06,2025-08,94,40,54,42.5531914893617,-0.03020577254858325,-2.8393426195668257,0.9359755259976246,11.754280896613897,2.0,-1.0,5,9,0,0.112295778229945,-0.2503054978792755,0.18989395278210897,True
Retest,3,2025-07,2025-09,100,39,61,39.0,-0.07272976740331977,-7.272976740331976,0.8548699328891266,20.343339791037884,2.0,-1.0,5,9,0,0.10941503795509125,-0.28718324179529864,0.14172370698865908,True
Retest,3,2025-08,2025-10,104,39,65,37.5,-0.14031927744840222,-14.593204854633832,0.7390121919542857,22.49224068195022,2.0,-1.0,7,9,0,0.1046026525180459,-0.3453404763837722,0.06470192148696774,True
Retest,3,2025-09,2025-11,101,42,59,41.584158415841586,-0.09303503820053105,-9.396538858253637,0.8241429782154136,19.842429976948385,2.0,-1.0,7,8,0,0.10870494723982602,-0.3060967347905901,0.12002665838952795,True
Retest,3,2025-10,2025-12,105,42,63,40.0,-0.11434076736118712,-12.005780572924648,0.7920450124820212,20.082718304780542,2.0,-1.0,7,8,0,0.10771935994212091,-0.3254707128477441,0.09678917812536986,True
Retest,3,2025-11,2026-01,105,43,61,40.95238095238095,-0.035432767497030095,-3.7204405871881603,0.9307377185884701,16.225938077421215,2.0,-1.0,5,8,1,0.11001962737870746,-0.25107123715929675,0.18020570216523654,True
Retest,3,2025-12,2026-02,109,41,67,37.61467889908257,-0.08648253715656358,-9.42659655006543,0.8339816408829599,13.672303150186925,2.0,-1.0,5,8,1,0.10574723526197702,-0.2937471182700385,0.12078204395691138,True
Retest,3,2026-01,2026-03,98,45,52,45.91836734693877,0.07280328521967581,7.13472195152823,1.1596718903293524,11.315473613438346,2.0,-1.0,5,6,1,0.11519541122177458,-0.15297972077500238,0.298586291214354,True
Retest,3,2026-02,2026-04,115,50,65,43.47826086956522,0.053675618406665564,6.17269611676654,1.1082578878823397,10.826249945033073,2.0,-1.0,5,7,0,0.11092259829621536,-0.16373267425391652,0.27108391106724766,True
Retest,3,2026-03,2026-05,114,48,66,42.10526315789474,0.0017132050901590755,0.1953053802781346,1.0031642396260279,18.541266153667628,2.0,-1.0,5,9,0,0.1122228941644252,-0.21824366747211432,0.22167007765243246,True
Retest,3,2026-04,2026-06,115,44,71,38.26086956521739,-0.07255590615567538,-8.343929207902669,0.8699475467141335,19.57492442284849,2.0,-1.0,5,9,0,0.10874377240070272,-0.2856937000610527,0.14058188774970193,True
Retest,6,2024-01,2024-06,223,88,134,39.46188340807175,-0.03229836893597588,-7.202536272722622,0.9408714107651971,16.402563820709233,2.0,-1.0,4,7,1,0.07917997172873033,-0.18749111352428732,0.12289437565233557,True
Retest,6,2024-02,2024-07,226,86,139,38.05309734513274,-0.04399547937379691,-9.9429783384781,0.9186002024651568,24.001259060764866,2.0,-1.0,4,10,1,0.07736262891804706,-0.19562623205316915,0.10763527330557532,True
Retest,6,2024-03,2024-08,221,84,136,38.009049773755656,-0.045849180210227915,-10.13266882646037,0.9138824968559108,24.060743015539792,2.0,-1.0,5,10,1,0.07706178646054167,-0.19689028167288958,0.10519192125243376,True
Retest,6,2024-04,2024-09,219,78,140,35.61643835616438,-0.09790029533761332,-21.440164678937318,0.8185878843447592,25.92120232380082,2.0,-1.0,5,10,1,0.07440621614051642,-0.2437364789730255,0.04793588829779885,True
Retest,6,2024-05,2024-10,225,77,147,34.22222222222222,-0.10237654234962236,-23.03472202866503,0.8094769510481992,27.83073005163641,2.0,-1.0,5,10,1,0.07283152008524098,-0.24512632171669468,0.04037323701744995,True
Retest,6,2024-06,2024-11,214,80,133,37.38317757009346,-0.07173705544626205,-15.351729865500078,0.8599811556451266,18.778537044239375,2.0,-1.0,5,10,1,0.0735729291011706,-0.21593999648455642,0.07246588559203232,True
Retest,6,2024-07,2024-12,213,80,133,37.55868544600939,-0.07868282145270007,-16.759440969425114,0.8499442057772197,23.600800507793693,2.0,-1.0,5,10,0,0.07477817786866717,-0.2252480500752877,0.06788240716988757,True
Retest,6,2024-08,2025-01,200,80,120,40.0,-0.013310195457675257,-2.6620390915350516,0.9739460029693866,19.16394994789499,2.0,-1.0,5,9,0,0.08051005654016695,-0.17110990627640246,0.14448951536105195,True
Retest,6,2024-09,2025-02,205,83,121,40.48780487804878,0.008927979300402636,1.8302357565825402,1.0178029326937648,14.791842831278549,2.0,-1.0,4,8,1,0.08048479276948985,-0.14882221452779748,0.16667817312860272,True
Retest,6,2024-10,2025-03,208,84,123,40.38461538461539,-0.002218360178299252,-0.4614189170862444,0.9956176418263298,14.791842831278547,2.0,-1.0,4,8,1,0.07985687155080017,-0.15873782841786757,0.1543011080612691,True
Retest,6,2024-11,2025-04,201,88,112,43.78109452736319,0.05889865826972214,11.83863031221415,1.1219353590279568,9.74600390502045,2.0,-1.0,4,7,1,0.08262423407216933,-0.10304484051172975,0.22084215705117405,True
Retest,6,2024-12,2025-05,209,89,119,42.58373205741627,0.06175385810723497,12.90655634441211,1.1254065326022369,8.272795573129786,2.0,-1.0,4,7,1,0.0828361884449126,-0.10060507124479373,0.22411278745926366,True
Retest,6,2025-01,2025-06,207,91,115,43.96135265700483,0.06095766160320042,12.618235951862488,1.1290023927955302,10.212281181200343,2.0,-1.0,4,7,1,0.08120165936387096,-0.09819759074998663,0.2201129139563875,True
Retest,6,2025-02,2025-07,199,90,108,45.22613065326633,0.05510789295415934,10.966470697877709,1.1198878581357112,10.212281181200344,2.0,-1.0,4,7,1,0.08097473726336372,-0.10360259208203355,0.21381837799035225,True
Retest,6,2025-03,2025-08,201,88,113,43.78109452736319,0.024925435326964746,5.010012500719914,1.052994865168652,11.754280896613897,2.0,-1.0,5,9,0,0.07979158175063226,-0.13146606490427448,0.181316935558204,True
Retest,6,2025-04,2025-09,205,89,116,43.41463414634146,-0.007857901240891075,-1.6108697543826702,0.983492641162155,20.343339791037884,2.0,-1.0,5,9,0,0.0774973951195948,-0.1597527956752969,0.14403699319351473,True
Retest,6,2025-05,2025-10,200,83,117,41.5,-0.060104611989522654,-12.020922397904531,0.8800030242657805,22.492240681950218,2.0,-1.0,7,9,0,0.07733707491487495,-0.21168527882267754,0.09147605484363222,True
Retest,6,2025-06,2025-11,195,82,113,42.05128205128205,-0.06274811014266904,-12.235881477820461,0.874863918096932,27.007695455462187,2.0,-1.0,7,9,0,0.07793616168622763,-0.2155029870476752,0.09000676676233713,True
Retest,6,2025-07,2025-12,205,81,124,39.51219512195122,-0.09404271860125184,-19.278757313256627,0.8212382528957235,34.052020061707424,2.0,-1.0,7,9,0,0.07659008104326794,-0.24415927744605698,0.056073840243553316,True
Retest,6,2025-08,2026-01,209,82,126,39.23444976076555,-0.08762509780776073,-18.313645441821993,0.8329512150657556,34.05202006170743,2.0,-1.0,7,9,1,0.07582839126956288,-0.23624874469610396,0.0609985490805825,True
Retest,6,2025-09,2026-02,210,83,126,39.523809523809526,-0.08963397813485269,-18.823135408319065,0.8292117291143413,26.886754583193625,2.0,-1.0,7,8,1,0.07562178063677989,-0.23785266818294126,0.05858471191323589,True
Retest,6,2025-10,2026-03,203,87,115,42.857142857142854,-0.023995362666977417,-4.871058621396416,0.9524386096466034,20.082718304780542,2.0,-1.0,7,8,1,0.07880081187567205,-0.17844495394329463,0.1304542286093398,True
Retest,6,2025-11,2026-04,220,93,126,42.27272727272727,0.011146616043538097,2.452255529578381,1.0221455235337873,16.225938077421215,2.0,-1.0,5,8,1,0.07810516594673009,-0.1419395092120529,0.16423274129912907,True
Retest,6,2025-12,2026-05,223,89,133,39.91031390134529,-0.04139592452819414,-9.231291169787294,0.9221008702660496,18.541266153667625,2.0,-1.0,5,9,1,0.07710330414651376,-0.19251840065536108,0.10972655159897281,True
Retest,6,2026-01,2026-06,213,89,123,41.78403755868545,-0.005677029372649933,-1.2092072563744356,0.9888902338651739,19.57492442284849,2.0,-1.0,5,9,1,0.0790661711195581,-0.16064672476698383,0.14929266602168395,True
Retest,12,2024-01,2024-12,436,168,267,38.53211009174312,-0.05495866339942142,-23.96197724214774,0.8973788766435626,35.560504056212416,2.0,-1.0,5,10,1,0.05448912904954365,-0.161757356336527,0.05184002953768414,True
Retest,12,2024-02,2025-01,426,166,259,38.967136150234744,-0.029589242793458117,-12.605017430013158,0.9438088366385493,35.56050405621241,2.0,-1.0,5,10,1,0.0557351187751634,-0.13883007559277838,0.07965159000586214,True
Retest,12,2024-03,2025-02,426,167,257,39.201877934272304,-0.019489279506755466,-8.302433069877829,0.9623414806510726,35.5605040562124,2.0,-1.0,5,10,2,0.0556129546383504,-0.12849067059792224,0.08951211158441132,True
