model,period_type,period,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Control,quarter,2024Q4,275,130,145,47.27272727272727,0.0740744156434528,20.370464301949518,1.1563357256839242,16.943840050696153,2.0,-1.0,6,8,0,0.07015214078932988,-0.06342378030363377,0.21157261159053936,True
Control,quarter,2025Q1,259,90,169,34.74903474903475,-0.1384293606215763,-35.85320440098826,0.7640832783150424,47.26673476944087,2.0,-1.0,4,14,0,0.07151261411223721,-0.2785940842815612,0.0017353630384086272,True
Control,quarter,2025Q2,256,111,145,43.359375,0.017316184253928654,4.4329431690057355,1.0339330326641865,21.908500580669045,2.0,-1.0,4,11,0,0.07366443620596763,-0.12706611070976792,0.1616984792176252,True
Control,quarter,2025Q3,280,127,151,45.357142857142854,0.10969935075465863,30.715818211304416,1.223656397538499,14.353282861559396,2.0,-1.0,8,8,2,0.07351074897811515,-0.034381717242447055,0.2537804187517643,True
Control,quarter,2025Q4,275,113,162,41.09090909090909,-0.020851915076237622,-5.7342766459653465,0.9597755419628907,18.919654798952664,2.0,-1.0,4,8,0,0.0689666921285713,-0.15602663164823738,0.11432280149576213,True
Control,quarter,2026Q1,253,93,160,36.758893280632414,-0.10107365650184703,-25.5716350949673,0.8160854282162884,39.599841309737464,2.0,-1.0,6,21,0,0.07096445102278326,-0.24016398050650223,0.038016667502808146,True
Control,quarter,2026Q2,273,110,163,40.29304029304029,-0.004163442646356279,-1.1366198424552643,0.9923308533369314,22.862791376391556,2.0,-1.0,5,8,0,0.0728702724239361,-0.14698917659727104,0.13866229130455845,True
Control,year,2024,1134,478,654,42.151675485008816,0.006428523508015016,7.289945658089028,1.0125048400842258,37.65026295642696,2.0,-1.0,10,14,2,0.03464946192257685,-0.06148442186023561,0.07434146887626564,True
Control,year,2025,1070,441,627,41.21495327102804,-0.00601749501555463,-6.438719666643454,0.9885534644139616,47.26673476944087,2.0,-1.0,8,14,2,0.0360315415917866,-0.07663931653545636,0.06460432650434711,True
Control,year,2026,526,203,323,38.59315589353612,-0.050776150071145554,-26.708254937422563,0.9070201106904537,50.546333760138616,2.0,-1.0,6,21,0,0.05094118679321421,-0.1506208761858454,0.04906857604355429,True
BOS,month,2024-01,66,29,37,43.93939393939394,-0.004625429376495635,-0.3052783388487119,0.9910924080445963,10.550427569849576,2.0,-1.0,9,9,0,0.14346675872281747,-0.2858202764732179,0.27656941772022664,True
BOS,month,2024-02,64,27,37,42.1875,-0.008411589797603182,-0.5383417470466036,0.9837157680135101,7.533587637299952,2.0,-1.0,5,5,0,0.14699867260292748,-0.2965289880993411,0.2797058085041347,True
BOS,month,2024-03,56,28,28,50.0,0.24212141015774782,13.558798968833878,1.5684448784647977,5.997974619234143,2.0,-1.0,6,4,0,0.1637674407270798,-0.07886277366732855,0.5631055939828242,True
BOS,month,2024-04,75,29,46,38.666666666666664,-0.12130804960747578,-9.098103720560683,0.7854841030833535,16.368339653614292,2.0,-1.0,5,8,0,0.129999502940983,-0.37610707537180244,0.1334909761568509,True
BOS,month,2024-05,79,30,49,37.9746835443038,-0.037286150060305424,-2.9456058547641284,0.9325936545908564,17.58023201263804,2.0,-1.0,4,9,0,0.1341026120841493,-0.30012726974523807,0.2255549696246272,True
BOS,month,2024-06,61,25,36,40.98360655737705,-0.07650550072516996,-4.666835544235368,0.852590737489267,8.116175543967861,2.0,-1.0,3,8,0,0.14125910845673342,-0.35337335330036745,0.20036235185002757,True
BOS,month,2024-07,81,30,51,37.03703703703704,-0.12454675076066812,-10.088286811614118,0.7804716671722977,18.077144068473135,2.0,-1.0,3,9,0,0.12323269331555624,-0.36608282965915834,0.11698932813782209,True
BOS,month,2024-08,60,25,35,41.666666666666664,-0.09004403637515397,-5.402642182509238,0.8316980878764989,8.476402989684393,2.0,-1.0,3,6,0,0.14172416390867357,-0.3678233976361541,0.1877353248858462,True
BOS,month,2024-09,59,24,35,40.67796610169491,0.12268974009342623,7.238694665512147,1.2540767070162007,7.1297499067086605,2.0,-1.0,5,8,0,0.16151389842014185,-0.1938775008100518,0.43925698099690424,True
BOS,month,2024-10,73,37,36,50.68493150684932,0.1288116115880859,9.403247645930271,1.2776455512236724,6.127460946989534,2.0,-1.0,7,4,0,0.14275062584205936,-0.15097961506235041,0.4086028382385222,True
BOS,month,2024-11,52,23,29,44.23076923076923,0.0012162195096060947,0.06324341449951693,1.0025016027860427,4.300626724309,2.0,-1.0,3,3,0,0.15362001232278696,-0.29987900464305633,0.30231144366226853,True
BOS,month,2024-12,56,28,28,50.0,0.12728319440964297,7.127858886940007,1.2793650618810266,7.141386437412125,2.0,-1.0,5,6,0,0.1566064103610401,-0.17966536989799559,0.43423175871728154,True
BOS,month,2025-01,56,15,41,26.785714285714285,-0.1758345410509508,-9.846734298853246,0.7138664275824202,17.10327333075885,2.0,-1.0,3,16,0,0.15705422783423317,-0.48366082760604784,0.13199174550414622,True
BOS,month,2025-02,61,24,37,39.34426229508197,-0.02538818738296896,-1.5486794303611067,0.9523007592636143,9.2014227153034,2.0,-1.0,5,6,0,0.15251171926052087,-0.3243111571335898,0.27353478236765194,True
BOS,month,2025-03,63,24,39,38.095238095238095,-0.11226073300603882,-7.072426179380446,0.8026436173586537,11.007454167219684,2.0,-1.0,4,7,0,0.14616489221166676,-0.39874392174090567,0.174222455728828,True
BOS,month,2025-04,58,31,27,53.44827586206897,0.36234813885974054,21.016192053864952,1.9754933206879124,5.20155834711165,2.0,-1.0,5,6,0,0.16241606672669626,0.04401264807541588,0.6806836296440653,True
BOS,month,2025-05,72,28,44,38.888888888888886,-0.057668284173649234,-4.152116460502745,0.9014814829113691,10.293601356586748,2.0,-1.0,4,7,0,0.1432726032614717,-0.3384825865661338,0.22314601821883534,True
