signal_i,direction,entry_price,atr,mfe_60m_atr,mae_60m_atr,path_class
2245691,SHORT,17390.0,9.660714285714286,0.7504621072088724,16.147874306839185,WRONG_DIRECTION
497173,SHORT,7099.25,1.8392857142857142,0.9514563106796117,6.252427184466019,WRONG_DIRECTION
2606001,LONG,20638.75,10.178571428571429,0.9087719298245613,6.042105263157895,WRONG_DIRECTION
2657848,SHORT,19037.75,52.017857142857146,1.2255406797116375,2.455887401304497,WRONG_DIRECTION
1873794,LONG,12671.75,3.357142857142857,0.8191489361702128,8.787234042553191,WRONG_DIRECTION
141680,LONG,6929.0,1.2857142857142858,1.361111111111111,8.36111111111111,WRONG_DIRECTION
1900475,SHORT,11909.0,5.25,0.23809523809523808,13.523809523809524,WRONG_DIRECTION
899315,LONG,8836.5,11.160714285714286,0.9183999999999999,6.473599999999999,WRONG_DIRECTION
2894964,LONG,25710.75,2.625,0.38095238095238093,11.714285714285714,WRONG_DIRECTION
1828887,SHORT,11373.75,6.071428571428571,1.4411764705882353,7.864705882352942,WRONG_DIRECTION
728920,SHORT,8098.75,1.6785714285714286,1.3404255319148937,21.0,WRONG_DIRECTION
1618561,SHORT,12287.25,5.232142857142857,0.764505119453925,9.651877133105803,WRONG_DIRECTION
2101002,SHORT,14909.0,2.482142857142857,1.3093525179856116,14.906474820143885,WRONG_DIRECTION
706891,LONG,7698.75,3.6607142857142856,0.4780487804878049,4.712195121951219,WRONG_DIRECTION
2713149,SHORT,21946.0,17.339285714285715,0.6920700308959835,1.8455200823892892,WRONG_DIRECTION
814630,SHORT,9042.75,7.357142857142857,1.325242718446602,6.728155339805825,WRONG_DIRECTION
2014939,LONG,15034.0,3.7142857142857144,1.6826923076923077,3.4326923076923075,RIGHT_DIRECTION_BAD_STOP
2724751,SHORT,22830.25,3.267857142857143,1.6065573770491803,5.584699453551913,RIGHT_DIRECTION_BAD_STOP
82543,LONG,6466.5,0.8928571428571429,1.96,15.399999999999999,RIGHT_DIRECTION_BAD_STOP
2683860,SHORT,21437.25,3.9464285714285716,1.583710407239819,11.782805429864252,RIGHT_DIRECTION_BAD_STOP
1130389,SHORT,12859.25,1.0,1.5,6.25,RIGHT_DIRECTION_BAD_STOP
1149074,LONG,12811.0,2.1785714285714284,1.836065573770492,5.39344262295082,RIGHT_DIRECTION_BAD_STOP
839158,LONG,8736.5,4.035714285714286,1.7345132743362832,8.79646017699115,RIGHT_DIRECTION_BAD_STOP
406839,SHORT,6897.25,1.7142857142857142,1.8958333333333335,5.6875,RIGHT_DIRECTION_BAD_STOP
1630591,SHORT,12582.25,7.446428571428571,1.9808153477218227,3.760191846522782,RIGHT_DIRECTION_BAD_STOP
130587,SHORT,6824.5,0.6071428571428571,1.647058823529412,3.7058823529411766,RIGHT_DIRECTION_BAD_STOP
3093535,LONG,29537.25,10.089285714285714,1.833628318584071,9.019469026548673,RIGHT_DIRECTION_BAD_STOP
3014462,SHORT,27356.0,18.267857142857142,1.8885630498533725,2.737047898338221,RIGHT_DIRECTION_BAD_STOP
1083391,SHORT,12326.0,4.821428571428571,1.5037037037037038,10.162962962962963,RIGHT_DIRECTION_BAD_STOP
749446,LONG,8296.25,1.5535714285714286,1.6091954022988506,16.896551724137932,RIGHT_DIRECTION_BAD_STOP
734331,LONG,8247.25,1.3571428571428572,1.8421052631578947,4.973684210526316,RIGHT_DIRECTION_BAD_STOP
1351423,SHORT,15080.5,6.714285714285714,1.824468085106383,9.122340425531915,RIGHT_DIRECTION_BAD_STOP
2792360,LONG,23825.75,2.5535714285714284,1.7622377622377623,8.615384615384617,RIGHT_DIRECTION_BAD_STOP
163449,LONG,6835.75,3.375,1.9259259259259258,8.444444444444445,RIGHT_DIRECTION_BAD_STOP
1776477,LONG,11490.0,2.982142857142857,1.7604790419161676,6.706586826347305,RIGHT_DIRECTION_BAD_STOP
411918,LONG,6747.0,4.982142857142857,1.806451612903226,2.057347670250896,RIGHT_DIRECTION_BAD_STOP
