pullback_id,leg_id,leg_direction,start_i,deepest_i,depth_pts,depth_atr,depth_pct_of_leg,duration,speed,efficiency,overlapping_candles,prior_swing_holds
PB-0000162,LEG-0000398,BULL,6239,6289,10.75,3.3631284916201114,0.589041095890411,51,0.2107843137254902,0.07861060329067641,59,True
PB-0000163,LEG-0000401,BEAR,6295,6336,11.25,4.565217391304348,0.7258064516129032,42,0.26785714285714285,0.08982035928143713,57,True
PB-0000164,LEG-0000403,BULL,6342,6351,8.75,6.20253164556962,1.0,10,0.875,0.08495145631067962,59,True
PB-0000165,LEG-0000405,BULL,6381,6391,5.0,2.4778761061946906,0.6666666666666666,11,0.45454545454545453,0.057803468208092484,58,True
PB-0000166,LEG-0000406,BULL,6407,6462,8.75,6.20253164556962,0.813953488372093,56,0.15625,0.11666666666666667,54,True
PB-0000167,LEG-0000407,BULL,6418,6462,11.0,9.476923076923077,0.8461538461538461,45,0.24444444444444444,0.14864864864864866,55,True
PB-0000168,LEG-0000410,BULL,6489,6516,3.75,3.2307692307692304,0.7894736842105263,28,0.13392857142857142,0.0625,56,True
PB-0000169,LEG-0000412,BEAR,6522,6547,4.0,3.7333333333333334,0.9411764705882353,26,0.15384615384615385,0.0642570281124498,54,True
PB-0000170,LEG-0000422,BULL,6668,6702,5.0,5.6,0.47619047619047616,35,0.14285714285714285,0.2564102564102564,24,True
PB-0000171,LEG-0000423,BEAR,6682,6714,0.75,2.0,0.375,33,0.022727272727272728,0.04477611940298507,24,True
PB-0000172,LEG-0000426,BULL,6720,6730,1.25,2.8,0.4166666666666667,11,0.11363636363636363,0.0847457627118644,16,True
PB-0000173,LEG-0000428,BULL,6763,6763,0.75,2.8000000000000003,0.3333333333333333,1,0.75,0.02857142857142857,29,True
PB-0000174,LEG-0000429,BULL,6777,6778,1.0,3.1111111111111107,0.6666666666666666,2,0.5,0.034482758620689655,34,True
PB-0000175,LEG-0000430,BULL,6798,6802,3.0,5.6000000000000005,0.75,5,0.6,0.10526315789473684,35,True
PB-0000176,LEG-0000432,BULL,6823,6823,1.0,1.8666666666666667,0.23529411764705882,1,1.0,0.034782608695652174,38,True
PB-0000177,LEG-0000433,BULL,6832,6862,1.5,2.625,0.46153846153846156,31,0.04838709677419355,0.05,38,True
PB-0000178,LEG-0000438,BEAR,6915,6957,2.75,5.703703703703703,0.6470588235294118,43,0.06395348837209303,0.14666666666666667,21,True
PB-0000179,LEG-0000440,BULL,6939,6985,1.75,5.764705882352942,0.6363636363636364,47,0.03723404255319149,0.15217391304347827,9,True
PB-0000180,LEG-0000443,BEAR,6978,7003,1.0,4.3076923076923075,0.6666666666666666,26,0.038461538461538464,0.11764705882352941,5,True
PB-0000181,LEG-0000446,BEAR,7018,7045,0.75,4.2,0.75,28,0.026785714285714284,0.09375,5,True
PB-0000182,LEG-0000449,BEAR,7065,7114,1.0,4.666666666666667,1.0,50,0.02,0.07017543859649122,12,True
PB-0000183,LEG-0000458,BULL,7182,7236,4.75,5.541666666666667,0.9047619047619048,55,0.08636363636363636,0.13286713286713286,36,True
PB-0000184,LEG-0000459,BULL,7194,7236,6.0,7.148936170212766,0.9230769230769231,43,0.13953488372093023,0.1889763779527559,36,True
PB-0000185,LEG-0000462,BULL,7256,7314,2.75,5.703703703703703,0.7857142857142857,59,0.046610169491525424,0.11578947368421053,25,True
PB-0000186,LEG-0000468,BULL,7330,7335,3.75,11.666666666666666,1.0,6,0.625,0.16129032258064516,30,True
PB-0000187,LEG-0000469,BULL,7373,7408,1.75,4.8999999999999995,0.6363636363636364,36,0.04861111111111111,0.1,23,True
PB-0000188,LEG-0000474,BULL,7428,7428,0.75,2.625,0.5,1,0.75,0.025,37,True
PB-0000189,LEG-0000475,BULL,7443,7447,2.75,5.9230769230769225,0.8461538461538461,5,0.55,0.08943089430894309,40,True
PB-0000190,LEG-0000476,BULL,7467,7469,1.75,4.083333333333334,0.5833333333333334,3,0.5833333333333334,0.04794520547945205,42,True
PB-0000191,LEG-0000489,BEAR,7606,7607,5.0,2.1052631578947367,0.46511627906976744,2,2.5,0.048426150121065374,57,True
PB-0000192,LEG-0000490,BEAR,7627,7673,5.0,2.31404958677686,0.8,47,0.10638297872340426,0.05649717514124294,56,True
PB-0000193,LEG-0000491,BEAR,7643,7696,12.0,6.109090909090909,1.0,54,0.2222222222222222,0.16271186440677965,55,True
PB-0000194,LEG-0000492,BULL,7679,7736,5.25,3.5853658536585367,0.84,58,0.09051724137931035,0.08677685950413223,55,True
PB-0000195,LEG-0000495,BEAR,7717,7723,2.5,2.5454545454545454,0.7142857142857143,7,0.35714285714285715,0.042735042735042736,56,True
PB-0000196,LEG-0000496,BEAR,7734,7734,1.75,1.849056603773585,0.4666666666666667,1,1.75,0.029166666666666667,56,True
PB-0000197,LEG-0000497,BEAR,7742,7742,2.5,2.3333333333333335,0.7692307692307693,1,2.5,0.043859649122807015,57,True
PB-0000198,LEG-0000502,BEAR,7822,7837,5.5,3.75609756097561,0.8461538461538461,16,0.34375,0.06567164179104477,55,True
PB-0000199,LEG-0000503,BEAR,7851,7852,5.5,4.052631578947368,0.7096774193548387,2,2.75,0.05714285714285714,56,True
PB-0000200,LEG-0000504,BEAR,7869,7876,6.0,3.7333333333333334,0.8571428571428571,8,0.75,0.06060606060606061,56,True
PB-0000201,LEG-0000505,BEAR,7908,7955,10.75,5.626168224299065,0.7049180327868853,48,0.22395833333333334,0.1239193083573487,52,True
PB-0000202,LEG-0000507,BULL,7961,7978,5.0,5.283018867924529,0.4444444444444444,18,0.2777777777777778,0.1834862385321101,31,True
PB-0000203,LEG-0000516,BULL,8112,8116,1.75,3.0625,0.6363636363636364,5,0.35,0.04964539007092199,33,True
PB-0000204,LEG-0000517,BULL,8133,8192,2.5,3.111111111111111,0.4,60,0.041666666666666664,0.07092198581560284,36,True
PB-0000205,LEG-0000518,BULL,8149,8192,4.5,8.4,0.5454545454545454,44,0.10227272727272728,0.1323529411764706,31,True
PB-0000206,LEG-0000520,BEAR,8198,8207,3.0,4.9411764705882355,0.8571428571428571,10,0.3,0.14814814814814814,18,True
PB-0000207,LEG-0000521,BEAR,8217,8218,0.5,1.2173913043478262,0.25,2,0.25,0.028985507246376812,15,True
PB-0000208,LEG-0000522,BEAR,8225,8284,2.75,5.9230769230769225,0.7857142857142857,60,0.04583333333333333,0.16923076923076924,15,True
PB-0000209,LEG-0000524,BULL,8241,8262,1.5,6.0,1.0,22,0.06818181818181818,0.08571428571428572,21,True
PB-0000210,LEG-0000528,BULL,8281,8297,1.0,3.294117647058824,0.5714285714285714,17,0.058823529411764705,0.08,16,True
