entry_i,timestamp_ct,direction,event_type,structure_level,event_id,swing_high,swing_low,dist_swing_high_atr,dist_swing_low_atr,break_dist_atr,body_atr,range_atr,body_vs_avg,close_loc,mom_1,mom_3,mom_5,mom_10,atr,atr_ratio,m5_mom,m15_mom_4,m15_body_atr,ext_30min_atr,ext_60min_atr,phase44_active,core_b1_active,core_authorized,min_since_p44,min_since_core_entry,m15_range_pos_4,m15_range_pos_8,m15_range_pos_12,m15_range_pos_20,m5_range_pos_4,m5_range_pos_8,m5_range_pos_12,mtf_1m_5m_align,mtf_1m_15m_align,countertrend_15m,session_minute,dow,is_reversal,min_since_prev_event,net_R,MFE_R,MAE_R,mfe_5m_atr,mae_5m_atr,mfe_10m_atr,mae_10m_atr,mfe_15m_atr,mae_15m_atr,mfe_30m_atr,mae_30m_atr,mfe_60m_atr,mae_60m_atr,opp_O1,opp_O2,opp_O3,opp_O4,score,fold,decile,top10,top20,episode_id,suppressed,family
2191120,2023-12-26 17:28:00-06:00,LONG,E5,17093.0,P53-0643571,17102.75,17093.0,-4.4799999999999995,-0.98,0.98,1.8199999999999998,1.8199999999999998,3.1707317073170733,1.0,2.1,0.98,0.13999999999999999,-0.5599999999999999,1.7857142857142858,0.6706908115358823,0.0,0.0,1.297063596641928,2.52,4.8999999999999995,1,0,0,388.0,378.0,0.006882312456985547,0.006882312456985547,0.006882312456985547,0.006851661527920521,0.8333333333333334,0.8333333333333334,0.5555555555555556,0,0,0,478,1,1,2.0,-1.5413333333335113,1.8666666666666665,1.68,1.4,0.5599999999999999,1.4,1.5399999999999998,1.4,3.36,1.4,4.62,1.4,7.14,0,0,0,0,0.693134673796185,4,10,True,True,EP-0002925,False,B
2191142,2023-12-26 17:50:00-06:00,SHORT,E2,17088.75,P53-0643578,17097.25,17088.75,-5.846153846153846,0.6153846153846154,0.6153846153846154,0.9230769230769231,0.9230769230769231,1.5384615384615385,0.0,-1.2307692307692308,-1.3846153846153846,-2.4615384615384617,-2.3076923076923075,1.625,0.8808440615622888,-0.3076923076923077,0.0,1.2467243227374414,3.6923076923076925,0.3076923076923077,1,0,0,410.0,400.0,0.003453038674033149,0.0034328870580157913,0.0034328870580157913,0.0034328870580157913,0.4230769230769231,0.3793103448275862,0.2972972972972973,1,0,0,500,1,0,1.0,-1.594871794871795,1.0256410256410255,1.8461538461538463,0.7692307692307693,1.6923076923076923,0.9230769230769231,1.6923076923076923,1.0769230769230769,2.6153846153846154,2.6153846153846154,2.6153846153846154,3.5384615384615383,2.6153846153846154,0,0,0,0,0.7260763459118045,4,10,True,True,EP-0002926,False,B
2191152,2023-12-26 18:00:00-06:00,SHORT,E14,17086.5,P53-0643582,17090.5,17086.5,-2.275,-0.525,-0.525,1.575,2.975,2.6470588235294117,0.23529411764705882,-1.2249999999999999,-1.4,-1.575,-0.35,1.4285714285714286,0.8373456144023451,1.4893617021276595,-0.003395353028828814,1.2223270903783732,7.0,4.2,1,0,0,420.0,410.0,0.0010355540214014498,0.0010355540214014498,0.0010355540214014498,0.001029512697323267,0.9166666666666666,0.9166666666666666,0.7857142857142857,0,1,0,510,1,1,7.0,-1.676666666666353,1.1666666666666667,1.6333333333333333,0.875,3.3249999999999997,0.875,3.3249999999999997,1.2249999999999999,3.3249999999999997,3.675,3.3249999999999997,3.675,3.3249999999999997,0,0,0,0,0.7226443727301134,4,10,True,True,EP-0002927,False,B
2191158,2023-12-26 18:06:00-06:00,SHORT,E6,17090.5,P53-0643587,17090.5,17086.5,-0.14893617021276595,-2.234042553191489,0.14893617021276595,0.44680851063829785,0.7446808510638298,0.8333333333333333,0.0,-0.2978723404255319,0.7446808510638298,2.0851063829787235,0.5957446808510638,1.6785714285714286,0.9917704156995154,-2.058823529411765,0.0,1.2223270903783732,1.4893617021276595,7.297872340425532,1,0,0,426.0,416.0,0.0010369858278603526,0.0010355540214014498,0.0010355540214014498,0.0010355540214014498,0.2916666666666667,0.2916666666666667,0.2916666666666667,1,0,0,516,1,1,2.0,1.9241134751768296,2.5815602836879434,0.5957446808510638,1.9361702127659575,0.44680851063829785,4.0212765957446805,0.44680851063829785,4.0212765957446805,0.44680851063829785,4.914893617021277,0.44680851063829785,6.1063829787234045,0.44680851063829785,1,1,1,0,0.7046319102617974,4,10,True,True,EP-0002928,False,B
2191342,2023-12-26 21:10:00-06:00,LONG,E5,17079.0,P53-0643637,17084.0,17079.0,-4.508474576271186,-0.23728813559322035,0.23728813559322035,1.423728813559322,1.6610169491525424,2.727272727272727,0.8571428571428571,1.6610169491525424,0.9491525423728814,0.4745762711864407,-0.9491525423728814,1.0535714285714286,0.7573812580231072,0.9032258064516129,0.0,1.3589738268210099,6.406779661016949,2.847457627118644,1,0,0,610.0,600.0,0.9975652173913043,0.9975652173913043,0.9975652173913043,0.9975652173913043,0.4166666666666667,0.3333333333333333,0.2,1,0,0,700,1,1,5.0,-1.9175141242936768,0.0,1.5819209039548023,0.9491525423728814,1.423728813559322,1.423728813559322,1.423728813559322,3.559322033898305,1.423728813559322,3.559322033898305,3.3220338983050848,3.559322033898305,4.983050847457627,0,0,0,0,0.7598716557663528,4,10,True,True,EP-0002929,False,B
2191368,2023-12-26 21:36:00-06:00,SHORT,E2,17077.25,P53-0643638,17083.0,17077.25,-4.9411764705882355,0.2058823529411765,0.2058823529411765,0.411764705882353,1.4411764705882355,0.7142857142857143,0.7142857142857143,-0.411764705882353,-0.823529411764706,-1.0294117647058825,-3.7058823529411766,1.2142857142857142,0.9932807478819757,-0.6885245901639345,0.0,1.3030657894217177,1.0294117647058825,5.558823529411765,1,0,0,636.0,626.0,0.0017301038062283738,0.0017301038062283738,0.0017301038062283738,0.0017301038062283738,0.35,0.25925925925925924,0.25925925925925924,1,0,0,726,1,0,0.0,-1.7960784313724327,1.0980392156862746,1.9215686274509807,0.823529411764706,1.4411764705882355,0.823529411764706,1.4411764705882355,1.0294117647058825,1.4411764705882355,2.4705882352941178,1.4411764705882355,2.4705882352941178,5.352941176470589,0,0,0,0,0.723513145706726,4,10,True,True,EP-0002930,False,B
2191368,2023-12-26 21:36:00-06:00,SHORT,E12,17077.25,P53-0643639,17083.0,17077.25,-4.9411764705882355,0.2058823529411765,0.2058823529411765,0.411764705882353,1.4411764705882355,0.7142857142857143,0.7142857142857143,-0.411764705882353,-0.823529411764706,-1.0294117647058825,-3.7058823529411766,1.2142857142857142,0.9932807478819757,-0.6885245901639345,0.0,1.3030657894217177,1.0294117647058825,5.558823529411765,1,0,0,636.0,626.0,0.0017301038062283738,0.0017301038062283738,0.0017301038062283738,0.0017301038062283738,0.35,0.25925925925925924,0.25925925925925924,1,0,0,726,1,1,26.0,-1.7960784313724327,1.0980392156862746,1.9215686274509807,0.823529411764706,1.4411764705882355,0.823529411764706,1.4411764705882355,1.0294117647058825,1.4411764705882355,2.4705882352941178,1.4411764705882355,2.4705882352941178,5.352941176470589,0,0,0,0,0.723513145706726,4,10,True,True,EP-0002931,False,B
2191372,2023-12-26 21:40:00-06:00,SHORT,E2,17077.25,P53-0643642,17083.0,17077.25,-5.46875,0.4375,0.4375,0.875,1.53125,1.4285714285714286,0.42857142857142855,-0.65625,-0.4375,-0.65625,-1.75,1.1428571428571428,0.9439528023598827,-0.43076923076923074,0.0,1.3030657894217177,2.1875,8.09375,1,0,0,640.0,630.0,0.0017301038062283738,0.0017301038062283738,0.0017301038062283738,0.0017301038062283738,0.4166666666666667,0.25,0.18518518518518517,1,0,0,730,1,1,1.0,-1.845833333333053,0.2916666666666667,2.3333333333333335,0.21875,1.75,0.875,1.75,0.875,1.75,2.40625,1.75,2.40625,5.90625,0,0,0,0,0.7278551638363149,4,10,True,True,EP-0002932,False,B
2191414,2023-12-26 22:22:00-06:00,LONG,E1,17081.25,P53-0643657,17081.25,17074.0,0.2641509433962264,-7.9245283018867925,0.2641509433962264,1.0566037735849056,1.5849056603773586,1.9047619047619047,0.8333333333333334,0.7924528301886793,1.0566037735849056,2.1132075471698113,2.905660377358491,0.9464285714285714,0.8484072354730279,1.423728813559322,0.0,1.326298155476945,4.754716981132075,1.0566037735849056,1,0,0,682.0,672.0,0.002434782608695652,0.002434782608695652,0.002434782608695652,0.002434782608695652,0.8666666666666667,0.8666666666666667,0.8947368421052632,1,0,0,772,1,0,8.0,-2.021383647798711,1.4088050314465408,1.761006289308176,2.1132075471698113,1.3207547169811322,2.1132075471698113,1.3207547169811322,2.1132075471698113,1.3207547169811322,2.1132075471698113,2.3773584905660377,5.811320754716982,3.9622641509433962,0,0,0,0,0.7728935837611114,4,10,True,True,EP-0002933,False,B
2191492,2023-12-26 23:40:00-06:00,SHORT,E6,17087.0,P53-0643678,17087.0,17082.25,-0.8888888888888888,-3.3333333333333335,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.7777777777777777,0.0,-0.6666666666666666,-1.1111111111111112,-0.4444444444444444,0.0,1.125,1.1031343022237798,-1.4482758620689653,0.0,1.293976391453724,6.222222222222222,4.0,1,0,0,760.0,750.0,0.9975686002084057,0.9975686002084057,0.9975744975744976,0.9975744975744976,0.07692307692307693,0.14285714285714285,0.42857142857142855,1,0,0,850,1,0,1.0,-1.8592592592592592,2.074074074074074,1.7777777777777777,1.5555555555555556,0.2222222222222222,1.5555555555555556,1.3333333333333333,1.5555555555555556,3.111111111111111,1.5555555555555556,5.777777777777778,1.5555555555555556,9.11111111111111,0,0,0,0,0.7027541989913458,4,10,True,True,EP-0002934,False,B
